P15529	P22307
P15976	Q8N108
P16083	Q92785
P16104	Q16637
P16333	Q9NZN5
P17096	Q15459
P17252	Q14155
P17302	Q14814
P17535	Q9NVC6
P17542	Q16644
P17600	Q9BX66
P17706	Q9Y6Q6
P18085	Q14449
P18085	Q8WUM4
P18505	Q9ULB1
P19338	P98170
P19525	Q9BXH1
P20226	P27540
P20248	P40692
P20248	Q05048
P20248	Q14209
P20393	Q01094
P20700	P41002
P21246	Q8N2G6
P21731	P48052
P22415	P41182
P22415	P48382
P22674	Q14191
P23458	Q96RT1
P23515	P62760
P23528	P61764
P24864	Q5TKA1
P24864	Q99683
P24941	Q12824
P24941	Q92759
P25105	P27348
P25398	Q01780
P25490	Q16778
P26358	P37231
P26358	Q9BXS6
P26998	P28358
P27348	Q99832
P27361	P42345
P27694	Q9NUX5
P27695	Q92831
P27816	Q9P1A6
P28329	Q96PV0
P28340	Q03252
P28702	Q86YN6
P29074	Q9UQ26
P29120	Q15678
P29317	P56945
P0DP23	P29459
P0DP24	P29459
P0DP25	P29459
P29460	Q92785
P30050	Q99558
P30291	P37840
P30307	Q9NXR1
P31350	Q9UNH5
P31946	P62314
P31946	Q12809
P32519	Q14209
P32780	P53041
P33176	Q13490
P33981	P33992
P33992	Q9NUQ8
P33992	Q9UL03
P35030	Q9BR01
P35222	P40818
P35240	P55036
P35398	Q13485
P35568	Q13882
P35663	Q12840
P36507	Q16186
P36578	P54136
P36578	Q13451
P36941	Q96CA5
P38398	Q15466
P38398	Q16533
P38646	P42285
P38646	Q8IXH7
P39748	Q9UGP5
P40305	Q5K651
P40424	Q8TAQ2
P40763	P61326
P40763	Q9H160
P41732	Q9UQ16
P42224	Q13291
P42224	Q8WYH8
P42229	Q9P1Z2
P42262	P46821
P42345	Q13347
P46108	Q04206
P46527	Q05655
P46736	P48729
P46783	Q5JWF2
P48304	P54315
P48552	Q53ET0
P48729	Q08380
P48729	Q8TEW0
P49321	Q92793
P49418	Q92482
P0DP23	P49768
P0DP24	P49768
P0DP25	P49768
P49841	Q9UK53
P68371	Q9Y572
P84022	Q16288
Q00889	Q03431
Q01196	Q13263
Q02078	Q16513
Q12923	Q9UN86
Q13418	Q9NS73
Q16832	Q8NEM2
Q6K0P9	Q7LG56
Q8IXM3	Q9NP98
O00255	O94906
Q92890	Q9H7D7
O00443	Q9BQS8
O00487	P11388
O00567	Q9NYF8
O00750	Q9UMY4
Q9H3P7	Q9NVF7
Q9H9H5	Q9UF11
Q9NVF9	Q9Y3X0
Q9UGU0	Q9Y3X0
O14782	O95613
O14939	P49760
O15069	O94811
O15169	Q96CN9
O15204	P07948
O15524	Q96S21
O15530	P23677
O75689	Q13875
O75821	P62847
O75914	O95886
O76009	P09923
O94864	Q14919
O95665	O95741
O96028	P01106
P04406	P55084
P04637	Q14181
P05412	P16333
P07437	P53041
P07900	Q9HAV0
P07919	P45880
P07949	P42224
P08493	Q14956
P08581	Q13387
P08729	Q99613
P09471	Q15784
P11488	P63096
P12956	Q8WYB5
P13631	P24468
P14136	P50549
P15153	P42574
P18146	Q14209
P19388	P49711
P19438	P20936
P20160	P31997
P21580	Q9HAU4
P23511	Q9Y5L0
P31350	Q14191
P32519	Q16666
P34931	P61964
P35222	Q9H2S9
P37088	Q13571
