P26436	Q9NRM0
Q14258	Q8IUD6
Q14493	Q14566
Q14498	Q9Y6Q9
Q14686	Q16594
Q14997	Q15008
Q14BN4	Q9Y5P8
Q15004	Q99708
Q15046	Q7L2H7
Q15363	Q9Y6B6
Q15459	Q8IWX8
Q15468	Q16667
Q15628	Q3ZCQ8
Q15653	Q92793
Q15654	Q9C0H9
Q15797	Q92985
Q16236	Q9Y6Q9
Q16514	Q92793
Q16539	Q8IX12
Q16543	Q96EY1
A8MYZ6	Q92793
Q6IE81	Q9Y4A5
Q6STE5	Q96ST3
Q6WCQ1	Q99683
Q7Z3B3	Q96KQ4
Q7Z3U7	Q92616
Q7Z434	Q9NYJ8
Q8IY21	Q8IYM9
O00161	O95721
O00167	P49795
Q8N5S9	Q96L34
O00273	Q6PKG0
Q8NI77	Q99618
Q8WU90	Q99543
Q8WXS3	Q9UQB3
Q92743	Q9H1C3
Q92743	Q9NR99
Q93009	Q9Y297
O00311	P06400
O00311	P52292
O00329	P01111
O00453	Q9Y6Y9
O00459	P20963
O00463	P49407
O00470	Q15746
Q96H22	Q9NTJ3
Q96ST3	Q9H7Z6
Q99523	Q9Y5Z0
Q99784	Q9NY72
Q9BQY4	Q9P2R6
Q9BW19	Q9NVI1
Q9BX63	Q9UHC1
O00571	P62913
O00590	Q16570
Q9H169	Q9H313
Q9H2X6	Q9Y618
Q9H694	Q9UKN7
Q9HAP2	Q9NP71
Q9NQ92	Q9NQR1
Q9NQ94	Q9Y3X0
Q9UBB5	Q9UKV0
Q9UH17	Q9ULW0
Q9UI15	Q9UPP2
Q9UI15	Q9UPV7
Q9UM54	Q9Y2U5
O14503	P35869
O14625	P05161
O14641	Q99717
O14654	Q02763
O14733	P05067
O14757	Q14676
O14757	Q14686
O14757	Q9UNN5
O14817	Q13797
O14920	P42677
O14920	P49137
O14924	P09471
O14964	Q07912
O14965	Q2NKX8
O14965	Q5TB30
O14974	P60660
O14979	O95232
O15085	Q13905
O15111	P12956
O15117	P08631
O15143	P07948
O15304	P62136
O15304	Q13323
O15350	P63104
O15371	P11940
O15371	P62851
O15372	O60216
O15372	P38159
O15372	P62906
O15379	P24941
O15455	Q9NR96
O15455	Q9Y616
O15519	Q9UPT6
O15530	P06576
O43283	P46734
O43283	P0DP23
O43283	P0DP24
O43283	P0DP25
O43294	P29353
O43301	P31946
O43312	P68133
O43353	P08238
O43390	P09874
O43482	P20700
O43513	Q16594
O43516	P19174
O43516	Q8TF74
O43561	P10721
O43592	Q7Z3U7
O43707	P22223
O43734	Q9UDY8
O43918	P22736
O60447	P63000
O60496	P54753
O60583	P21675
O60610	O95466
O60613	P09001
O60641	Q13367
O60674	Q13588
O60674	Q9H3Y6
O60716	Q05397
O60825	Q92574
O60921	Q9HCU8
O75015	P30273
O75030	P56693
O75159	Q8WXH5
A6NCE7	Q9BQS8
O75376	Q14814
O75396	Q9NYM9
O75469	Q92731
O75493	Q9BR01
O75554	P62304
O75618	P55211
O75688	P60660
O75925	P18146
O75925	P19532
O75955	P31946
O75995	Q13571
O94776	O95863
O94776	Q9UBL3
O94805	Q9UL68
O94832	Q9ULV4
O94921	P27448
O95067	P30305
O95071	Q13617
O95072	Q7Z5K2
O95163	P04792
O95167	O95168
O95239	Q69YH5
O95382	P53778
O95405	P12757
O95466	P31946
O95670	Q7L1I2
O95793	Q00005
O95813	O95925
O95813	Q9BYJ1
O95948	Q92793
O95999	Q9UQF2
O96013	Q96L34
O96019	P26358
P00519	P29317
P00519	Q9H3D4
P00533	Q15628
P00540	P50461
P00736	P31949
P01100	P12956
P01563	P10914
P02042	P17174
P02042	P69891
P02461	P08493
P02671	Q96IY4
P02679	Q08830
P04049	P51532
P04049	Q6WCQ1
P04150	P13010
P04150	P55347
P04156	P31946
P04183	Q9NTJ3
P04196	Q14520
P04350	Q07020
P04350	Q92616
P04406	P31947
P04439	P62945
P04440	P22794
P04629	Q8IYT8
P04637	Q12906
P04637	Q9NQB0
P04637	Q9Y6K1
P05014	P17181
P05015	Q5JST6
P05015	Q9Y2I2
P05015	Q9Y6X6
P05164	P08311
P05386	Q13233
P05412	P42229
P05412	Q01201
P05412	Q05513
P05997	P09871
P05997	P39060
P06126	P15813
P06239	P21854
P06239	P32248
P06400	P13056
P06493	P49407
P06493	Q04206
P06576	Q13765
P06702	Q7Z4V5
P06729	P16885
P06748	P35579
P06748	P42224
P07333	Q13322
P07437	Q92844
P07437	Q93038
P07900	P46940
P07947	P42679
P07948	P12314
P08047	P52926
P08235	Q9Y6Q9
P08493	P62736
P08519	P17936
P08567	Q8NHL6
P08567	Q9NQ25
P08571	P20292
P08631	P13498
P08631	P19235
P08631	P32246
P08631	Q16581
P08670	Q13114
P08670	Q13158
P08758	P15260
P08865	P61978
P09001	P30876
P09327	P55157
P09429	Q01201
P09486	Q6NZI2
P09543	Q9H9H5
P09619	Q9ULV8
P09629	Q14686
P09871	Q9BRK3
P09871	Q9NZM1
P09874	P63104
P09912	P42226
P10275	Q14207
P10276	Q05513
P10398	P56524
P10398	Q13671
P10415	P49841
P10586	Q14451
P10588	P10589
P10600	Q9Y3F4
P10721	P46934
P10747	Q8WV28
P10826	Q13352
P10827	Q14814
P10828	P14859
P10828	Q92841
P10914	P24928
P11049	P28068
P11142	P28482
P11142	Q92616
P11171	P63104
P11182	P31946
P11233	Q03135
P11274	P50570
P11309	Q92793
P11388	Q562F6
P11473	P51531
P11473	Q9UKV0
P11474	P24385
P11802	Q9H3D4
P12236	P21333
P12236	Q8TEL6
P12755	Q9Y297
P12830	Q15303
P13056	Q96L73
P14316	Q06187
P14635	P25789
P14635	Q96EA4
P14678	Q07666
P14921	P45983
P15336	P19532
P15336	Q9UMQ3
P15407	P45984
P15498	P19397
P15498	Q9Y4G6
P15923	P68400
P15976	Q14209
P16220	P19784
P16885	Q01518
P17066	P56192
P17252	Q03135
P17301	Q15582
P17302	Q9H4G0
P17480	Q9H9Y6
P17600	P20336
P17676	P29590
P17676	P35232
P17676	Q8N2W9
P17706	P25942
P17706	Q07666
P17947	P25791
P17947	Q07325
P17987	Q00839
P18031	P42679
P18031	P52630
P18206	Q02156
P19105	Q01082
P19174	Q9ULV8
P19235	Q07666
P19338	P45984
P19784	Q00653
P19838	P54136
P19878	Q86UR1
P20292	P52566
P20333	P60709
P20333	Q9Y6Q6
P20340	P46459
P20393	Q13547
P20702	P27918
P20749	P68400
P21579	Q8TDI0
P21580	Q96J02
P21731	Q9NPQ8
P22087	P27695
P22090	Q01085
P22681	Q9Y4K4
P23246	P63165
P23381	P28065
P23396	P35568
P23396	Q15758
P23396	Q8NFZ5
P23396	Q9NVI1
P23396	Q9Y297
P23458	P36888
P23528	Q99683
P24941	P32121
P25101	P35749
P25440	P38398
P25705	P26373
P25705	P58107
P25788	Q07021
P25963	P60953
P26436	Q9BXP8
P26583	P33316
P26583	Q96KB5
P26842	Q13489
P0DP24	P27348
P0DP25	P27348
P27348	P62873
P27348	Q13523
P27361	P30049
P27361	P34931
P27361	Q9Y3I0
P27448	Q9Y4H2
P27694	P27708
P27694	Q96B01
P27708	P51571
P27708	Q15233
P27708	Q99623
P27816	P98082
P27986	P48357
P27986	Q99665
P28482	P46060
P28749	P42574
P29374	P51531
P29466	P55008
P29590	P62136
P29590	Q9H7L9
P29590	Q9HCU9
P29597	Q08881
P30304	Q9H4B4
P31749	Q92769
P31930	Q9BU61
P31943	P35580
P31946	P35613
P31946	P38606
P31946	Q13303
P31946	Q9P2R7
P31946	Q9UBS5
P31947	Q16665
P33151	P37023
P33176	Q8TDR0
P33176	Q9P0K1
P33240	Q9NXR7
P33981	Q9Y5N6
P34932	Q13114
P35227	Q9NRZ9
P35249	Q08050
P35269	P51532
P35269	Q9NWA0
P36956	Q13285
P36956	Q15418
P37231	Q9Y2X0
P38398	Q16520
P38646	P61088
P38646	P62277
P38646	Q9NY61
P40227	P46087
P40238	Q05397
P40818	P46937
P40818	Q9NYF8
P40818	Q9P0K1
P40938	Q7L590
P41091	P78344
P41218	P80511
P41240	Q92918
P41252	Q13895
P42224	Q9UBE8
P42224	Q9Y3Z3
P42574	Q01105
P42681	P51451
P42684	P62258
P42684	Q05513
P42768	Q8WX92
P43243	P50991
P43354	Q06889
P43405	Q14449
P43405	Q9UPX8
P45973	Q9BZD4
P45973	Q9NS87
P45985	Q8WYK2
P46063	Q14566
P46778	Q13233
P46781	Q13895
P46934	Q16623
P47756	Q02156
P47897	Q9Y262
P48023	Q9UPX8
P48552	Q05086
P49356	P62745
P49368	Q04864
P49450	Q96FF9
P49662	Q9C000
P49715	Q92830
P49815	Q7KZI7
P49848	Q9HAW0
A0AVK6	Q08050
A0JLT2	P19793
P50750	Q92759
P50991	P62829
P50991	Q16543
P51531	Q99583
P51532	Q969S8
P51571	Q969H8
P51587	P78527
P51617	Q9HC29
P51693	Q99962
P52272	Q08380
P52292	Q96B01
P52333	Q92569
P52564	Q15750
P52565	Q07960
P53350	P61981
P53350	Q13535
P53350	Q9BSJ6
P53778	Q9P0L2
P54136	P55209
P56524	Q15139
P60660	P78371
P60709	P98161
P61024	Q13111
P0DPH7	P61247
P0DPH8	P61247
P61927	Q13233
P61970	Q9UKX7
P62244	Q13895
P62249	Q08380
P62249	Q9H1R3
P62258	P78371
P62269	Q13895
P62277	Q5JTH9
P62277	Q9UBQ5
P62308	Q15046
P62316	P83369
P62424	Q04864
P62805	Q02156
P62834	Q9UQ13
P62913	Q9BQG0
P62993	Q9UKE5
P62995	Q5PRF9
P63010	P63104
P63165	Q13573
P63208	Q16531
P78352	Q12756
P78504	Q13361
P78527	Q9NVI1
P78536	Q15349
P80217	Q08380
P84022	Q04771
P84098	Q13233
P84243	Q15047
P98155	Q07954
Q00403	Q00839
Q00610	Q9NVI7
Q00610	Q9UQM7
Q00613	Q99759
Q00653	Q7Z434
Q00839	Q13485
Q00994	Q9H213
Q01201	Q92598
Q01826	Q9UBC3
Q01892	Q13547
Q02241	Q9BW19
Q03181	Q14995
Q03518	Q99836
Q04206	Q9UQL6
Q04864	Q96EB6
Q05513	Q12933
Q05655	Q14160
Q05682	Q8IWE2
Q07889	Q96RT1
Q08050	Q9Y248
Q08211	Q96EY1
A7KAX9	O00459
Q09472	Q15406
Q09472	Q16621
Q12802	Q9P0K7
Q12840	Q16288
Q12884	Q92743
Q13002	Q15700
Q13094	Q15080
Q13094	Q92835
Q13133	Q92922
Q13188	Q92636
Q13233	Q9NQC7
Q13322	Q13882
Q13330	Q15047
Q13435	Q9BQA1
Q13444	Q8WX92
Q13536	Q9P2S2
Q13554	Q8IZD9
Q13573	Q92831
Q13627	Q53ET0
Q13772	Q14192
Q13950	Q8WVJ9
Q13950	Q92830
Q14185	Q9Y6X8
Q14204	Q71U36
Q14451	Q8WU20
Q14520	Q9NQ94
Q14686	Q9NQB0
Q14767	Q6FHJ7
Q14767	Q9UBG0
Q14790	Q16548
Q14790	Q3ZCQ8
Q14790	Q92985
Q14938	Q15796
Q15149	Q9UDY2
Q15276	Q99523
Q15306	Q15653
