P26436	Q9NRM0
P26640	P48047
P26678	P29536
P27361	P78352
P27361	Q13885
P27361	Q14195
P27448	Q9BYG5
P27448	Q9H0B6
P27635	P62891
P27708	P62244
P28068	Q5TEJ8
P28332	P40394
P28482	P68366
P28715	Q14498
P28799	Q99538
P29350	Q9ULV8
P29353	P52735
P29353	Q13444
P29353	Q9P1W8
P29597	P51451
P29966	P49840
P30291	Q13616
P30291	Q92934
P30304	Q14674
P30304	Q9NYZ3
P30530	Q92918
P31146	Q93091
P31749	P62714
P31946	P47755
P31946	Q7Z2D5
P31946	Q8NFP9
P31946	Q9UEY8
P32121	Q15418
P32927	Q9UKJ1
P32969	P61978
P33993	Q8NFT6
P34931	P49327
P34931	Q9H1R3
P34932	P55209
P34932	Q9UK53
P35222	Q15466
P35249	Q15058
P35250	Q14191
P35269	Q15572
P36873	P53350
P36956	P51812
P38398	Q8WWL7
P38398	Q9Y4K3
P38398	Q9Y572
P38646	P62269
P38646	Q14152
P39060	Q8IUX7
P39748	Q9BSJ6
P40337	Q96G25
P40763	Q01196
P40763	Q14974
P40763	Q16543
P41182	Q9NP62
P41182	Q9Y5X4
P41235	Q9Y466
P41240	Q13444
P41743	Q01970
P42229	Q07666
P42262	P63027
P42677	Q9H1R3
P42681	P42685
P42684	P51813
P42685	Q13882
P42772	P55273
P43034	P62258
P43243	P62249
P43243	Q04864
P43403	P78536
P43405	Q06418
P43405	Q9Y4G6
P43694	Q6STE5
P43694	Q9UBN7
P45984	Q16584
P45984	Q99558
P46060	Q13485
P46108	Q9NZN5
P46109	P52333
P46527	Q01094
P46527	Q92934
P46734	Q06124
P46736	P63165
P46781	Q5JTH9
P0DPH7	P46783
P0DPH8	P46783
P48023	Q14118
P48443	P51843
P48788	Q8WZ42
P49005	P78371
P49368	Q6IN85
P49407	Q13501
P49796	Q6WCQ1
A0AVK6	Q14691
P50750	Q96HR3
P51452	Q13501
P51532	P78347
P51532	Q93074
P51571	Q9BVA1
P51587	Q99741
P51610	Q9HBM6
P51692	Q00839
P51884	Q8IWU6
P51911	Q9BX67
P52272	Q92985
P52292	Q01130
P52435	Q9NPJ6
P53355	Q13546
P54132	Q02447
P54652	P62258
P55008	Q9UBW5
P55042	Q13224
P55083	Q07507
P55316	P63104
P55774	Q13093
P58107	P60660
P60709	P62945
P60709	Q15019
P60880	Q9UJ04
P61088	Q13077
P61353	Q99471
P61981	Q9H0K1
P62136	P63104
P0DP24	Q9H1R3
P0DP25	Q9H1R3
P62241	Q5JTH9
P62258	Q13813
P0DPH7	P62277
P0DPH8	P62277
P62277	Q13895
P62424	Q5JTH9
P62750	Q14974
P62829	P83881
P62837	Q9UKB1
P62847	Q969Q0
P63027	Q59EK9
P63244	Q00987
P67775	Q05586
P67775	Q16566
P68366	Q99558
P68366	Q9NT62
P78352	Q02153
P78371	Q16594
P82251	Q96RT6
P84074	Q13554
Q00535	Q96JB5
Q00610	Q14790
Q00610	Q9BUF5
Q00653	Q05513
Q00839	Q13547
Q00887	Q9H3N8
Q01094	Q13363
Q01813	Q06187
Q01995	Q16832
Q02156	Q14192
Q02224	Q8NBT2
Q02548	Q9UJU2
Q02878	Q13233
Q03001	Q8NF91
Q03692	Q8IWU6
Q04206	Q15427
Q04637	Q92900
Q04864	Q99684
Q04900	Q9H3N1
Q05193	Q9BWQ8
Q05397	Q13387
Q05397	Q9Y5K6
Q05513	Q13303
Q05513	Q9BUZ4
Q05516	Q13485
Q05516	Q9Y5X4
Q05639	Q6WCQ1
Q05655	Q13555
Q06187	Q8IVH8
Q06413	Q13950
Q07011	Q13489
Q07666	Q9H3Y6
Q07912	Q13322
Q08345	Q9UQC2
Q08945	Q6NXT2
Q09472	Q13077
Q12802	Q92574
Q12815	Q9NVP2
Q12837	Q9H306
Q12852	Q5TCX8
Q12873	Q13569
Q12913	Q16620
Q12933	Q9NZL4
Q12983	Q96LC9
Q13114	Q9BVA1
Q13164	Q8TD08
Q13177	Q92556
Q13185	Q7L2H7
Q13191	Q8WUM4
Q13191	Q9UPX8
Q13232	Q9UII4
Q13233	Q9BQ95
Q13315	Q9Y4A5
Q13485	Q9NS56
Q13503	Q9Y5B0
Q13507	Q9NZU7
Q13546	Q9BXL7
Q13546	Q9Y2U5
Q13617	Q969H0
Q13950	Q14814
Q13950	Q9NQB0
Q14103	Q14151
Q14155	Q9NQU5
Q14191	Q7Z2E3
Q14289	Q14451
Q14289	Q9Y4H2
Q14511	Q96B97
Q14691	Q9BSJ6
Q14790	Q9NYJ8
Q14BN4	Q66LE6
Q15080	Q9Y279
Q15208	Q9Y483
Q15233	Q9Y265
Q15326	Q9NYJ8
Q15459	Q9Y3B4
Q15468	Q9HBM1
Q15907	Q4ZIN3
Q16352	Q7L0J3
Q16534	Q9BRR3
Q16566	Q9UQM7
Q4J6C6	Q93100
Q4VCS5	Q9BUF7
Q53QZ3	Q6P9H5
Q58WW2	Q8NHY2
Q58WW2	Q9UNS2
Q5FBB7	Q9Y2T4
Q5PRF9	Q6PKG0
Q5T2W1	Q9HD26
Q5XUX0	Q9UKB1
Q5XUX0	Q9UNN5
Q6IE81	Q96L91
Q6NZI2	Q9NZN4
Q6ZNA4	Q99496
Q6ZRS2	Q96L91
Q7Z5K2	Q92834
Q86X55	Q99873
Q8IW70	Q8TAC9
Q8IX90	Q9BZD4
O00175	P80098
O00213	Q15303
O00231	Q9BUZ4
O00255	Q13315
Q8NHY2	Q8WV16
Q8NHY2	Q96JK2
Q8NHZ7	Q9BTC8
Q8TDW5	Q9HCH5
Q8WTS6	Q9UBC3
Q8WZA2	Q96HU8
Q92561	Q9BR01
Q92616	Q9BQG0
Q92922	Q9Y6K1
Q96B01	Q96H22
O00311	Q02224
O00311	Q8IZT6
O00401	P46109
O00410	O95352
O00422	Q9UBB5
O00459	Q14315
Q96F86	Q9P0K7
Q96F86	Q9UDY2
Q96JC9	Q9H0E9
Q96NX5	Q9BRR3
Q96QU1	Q9Y6N9
Q96ST3	Q9UKL0
Q96T76	Q9Y230
Q99741	Q9Y248
Q9C0K0	Q9UKG1
O00571	P07814
O00590	P55773
O00626	P51671
O00635	P21580
O00750	P25098
Q9GZZ7	Q9NZP6
Q9H2W1	Q9Y279
Q9HBM1	Q9UKT4
Q9NZU7	Q9UPA5
Q9UHD2	Q9Y6Q9
Q9UK39	Q9Y3X0
Q9UMZ2	Q9Y5Z0
Q9Y2Y4	Q9Y618
O14490	P22001
O14497	O75376
O14498	Q05682
O14503	P18847
O14543	P38484
O14545	Q12933
O14576	O15075
O14576	Q7L1I2
O14576	Q9NY72
O14594	Q16288
O14641	P61289
O14654	P50991
O14733	Q9BPZ7
O14735	P16615
O14735	Q9NVI7
O14744	Q15233
O14775	P61952
O14776	P49790
O14920	P05067
O14920	Q08211
O14920	Q8TAQ2
O14939	P56945
O14957	P48047
O14980	P0DMV8
O14980	P0DMV9
O14980	Q15796
O15105	Q9Y297
O15111	P50990
O15111	Q15596
O15143	Q9Y6Y9
O15151	P21675
O15264	Q02156
O15350	P04150
O15354	Q9BT88
O15379	Q9UBC3
O15392	Q9UQ84
O15397	P34931
O15455	Q9BUZ4
O15511	Q14247
O15516	P03372
O15524	Q13387
O15540	Q9BVA1
O43143	O43719
O43143	Q14562
O43143	Q9Y5J1
O43175	P14672
P53999	Q13185
O43283	Q5TCX8
O43294	Q9NVD7
O43296	Q12830
O43318	Q05639
O43318	Q92734
O43318	Q9Y4K4
O43353	Q9BUF5
O43390	Q14978
O43390	Q9H840
O43427	P62136
O43464	Q9Y4K3
O43524	Q9UDY2
O43541	P51617
O43639	Q9UQF2
O43663	Q8NEM2
O43734	P26842
O43734	P34931
O43734	P0DPH7
O43734	P0DPH8
O43736	O94911
O60260	P03372
O60404	Q8TCN5
O60496	Q13322
O60504	Q13813
O60522	Q96J94
O60641	Q9BRR3
O60869	Q16514
O60934	Q9NYF8
O75030	P84022
O75182	Q9UK53
O75398	P10636
O75493	P60880
O75530	P01106
O75530	P08047
O75592	Q8N3F8
O75643	P84103
O75663	P40227
O75711	Q9H313
O75792	Q96KB5
O75807	Q99759
O75821	P62280
O75925	P18847
O75928	Q13772
O94769	Q8IW00
O94776	Q92922
O94805	Q86SE5
O94832	Q13546
O95071	Q5T4S7
O95155	Q9UKV5
O95239	Q12815
O95429	O95817
O95487	Q15041
O95670	Q16288
O95741	Q9NZU7
O95786	P19474
O95786	Q8WXG1
O95813	Q00887
O95816	P51571
O95831	P07910
O95999	P21580
O96013	Q9UKI2
O96019	Q68CP9
O96020	P09884
O96020	Q9UBU7
P00374	Q14680
P00519	P51813
P00519	P68400
P00519	Q8NFY4
P00519	Q9NY61
P00533	Q00613
P00533	Q9Y4G6
P00533	Q9Y572
P00558	P34932
P00734	P01344
P00736	P09619
P01023	P07996
P01040	P30273
P01100	Q9H2X6
P01106	P24385
P01106	Q01826
P01137	Q9Y3F4
P0DML2	P11509
P0DML3	P11509
P01375	P38646
P01375	Q96EY1
P01570	Q96RT6
P01574	P17676
P01579	P19838
P01589	P23458
P01903	P09326
P01903	Q13094
P02144	P11217
P02511	Q09013
P02786	Q00610
P04049	P10636
P04150	Q03181
P04350	P62913
P04350	Q92985
P04406	Q3ZCQ8
P04637	P55854
P04637	Q8N6T7
P05015	P17181
P05067	P41240
P05067	Q14515
P05120	P05121
P05120	Q03405
P05121	Q96IY4
P05129	P37840
P05141	Q8TEL6
P05388	P20290
P05455	Q15185
P05997	P11047
P06028	Q02161
P06213	P29317
P06239	P30273
P06239	P42685
P06241	P25963
P06241	P29376
P06241	P34947
P06307	P21579
P06400	P43246
P06493	P17676
P06748	P12956
P06748	Q13535
P06748	Q16665
P06748	Q92793
P07196	P53779
P07437	P51571
P07585	Q12884
P07766	P30273
P07766	P42684
P07814	P18124
P07900	P61758
P07942	P12111
P07947	P51813
P07949	P35568
P07996	P21333
P08047	Q8WX92
P08138	Q9Y6Q6
P08247	Q9BV40
P08514	P21926
P08514	P26010
P08581	P49023
P08603	Q6FHJ7
P08603	Q92743
P08670	Q13636
P08754	P40227
P08865	P22087
P09001	P09622
P09093	P48052
P09326	Q92835
P09326	Q92918
P09543	P63104
P09619	P33151
P09619	Q12866
P09629	P22415
P09651	Q07021
P09769	P51813
P09769	P52333
P09871	P55083
P09874	P68400
P0CG48	P62847
P10275	Q15532
P10275	Q66K89
P10275	Q99986
P10301	Q92934
P10301	Q99933
P10586	P22223
P10599	P27361
P10636	P54253
P10721	P48357
P10747	P46108
P10827	Q96RS0
P10828	P17844
P10912	P11274
P10916	Q02156
P11021	P51571
P11021	P68400
P11142	Q07020
P11277	Q8IZP0
P11309	P11802
P11387	P20226
P11387	P55209
P11388	Q13111
P11474	P17844
P11474	Q9UPT9
P11802	Q01105
P11940	P84098
P12004	P15172
P12004	P42574
P12111	P40261
P12236	P61619
P12318	Q05397
P12814	P35968
P12830	Q12834
P12931	Q13233
P12980	P13349
P13010	Q92547
P13631	Q06455
P13637	Q9UI15
P13747	P41226
P13747	Q9UL19
P13805	Q8WZ42
P14616	P42679
P14616	Q08881
P14625	Q12933
P14868	Q92973
P14921	Q14814
P14923	P49810
P15036	P40763
P15056	P49840
P15056	Q9UQ13
P15260	Q05397
P15336	P50616
P15336	Q96EB6
P15882	Q9H2X9
P16885	P41240
P16885	Q06418
P16885	Q96B97
P17302	Q16643
P17542	Q06455
P17676	P41279
P17676	Q15648
P17844	Q16665
P17844	Q9NYJ8
P17936	P18065
P17947	Q00403
P17948	Q16288
P17987	Q3ZCQ8
P18031	P35916
P18031	Q96B97
P18124	P61927
P18146	P19838
P18433	Q08881
P18847	P25490
P19105	P34931
P19174	P78352
P19174	Q05655
P19320	Q01201
P19438	Q71U36
P19634	P48764
P20226	Q15796
P20701	P26010
P20718	P22749
P20936	P42566
P20936	Q13671
P20963	Q9Y6W8
P21579	P51674
P21580	Q05639
P22612	P30153
P22626	Q14151
P22681	P63244
P22694	Q13224
P23025	Q12888
P24311	P62310
P24592	Q03135
P24864	P33991
P24941	P25963
P25101	Q14515
P25208	Q9H160
P25445	Q13618
P25490	P28482
P25490	Q15583
P25963	Q9NYJ8
P26038	Q06187
P26436	Q13536
P26436	Q6EMB2
P26583	Q9UBU7
P27348	Q96B97
P27361	P27816
P27361	P39880
P27694	P40692
P27708	P62701
P27708	Q14790
P27708	Q9Y6Q6
P27816	Q71U36
P27986	Q00653
P27986	Q15366
P28068	Q92608
P28360	Q12772
P28482	P41161
P28482	Q8TD08
P28482	Q96ST3
P28562	P50616
P29317	Q92569
P29597	P51813
P29597	Q9Y2R2
P29692	P46776
P30086	Q13224
P30273	Q9UKJ1
P30304	Q99759
P30305	P50613
P30679	P63096
P31350	Q8NI77
P31749	P60510
P31749	Q8IVT5
P31943	Q16543
P31944	P98170
P31946	P35611
P31946	Q01484
P31946	Q05193
P31946	Q05586
P31946	Q92796
P31946	Q9NZR1
P31946	Q9Y6C9
P32121	Q9Y478
P32927	Q9P0V8
P33151	P37173
P33992	P51948
P33993	P42771
P35232	P68400
P0DP23	P35498
P0DP24	P35498
P0DP25	P35498
P35609	P68133
P35611	Q9BX70
P35625	Q6NZI2
P36507	Q13224
P36897	Q13347
P36941	Q8N5C8
P37275	Q92743
P38159	Q15233
P38398	P49815
P38432	Q99700
P38646	P46783
P38646	P62701
P38646	Q13813
P38936	P51587
P38936	Q92905
P38936	Q96EB6
P39748	Q08945
P40238	P52333
P40763	P46940
P40763	Q14686
P40763	Q16539
P40763	Q8N165
P40818	Q13671
P40818	Q9UDY2
P40937	P49005
P40939	P63261
P41182	Q9HCU9
P41236	Q9UKA4
P41240	Q14108
P41252	Q01105
P41252	Q12905
P41252	Q9NR30
P41279	P62277
P41279	P62888
P41597	Q99731
P41743	Q13177
P42081	P51681
P42566	Q9ULV8
P42679	P42685
P42679	P51451
P42680	Q13191
P42684	Q9Y2H0
P42768	Q9UPX8
P42858	Q05513
P43405	Q07890
P43405	Q12913
P46092	P51671
P46108	P46934
P0DP23	P46782
P0DP24	P46782
P0DP25	P46782
P46934	Q99962
P48023	Q8WX92
P48023	Q9H9V4
P48051	Q9NUP9
P48357	Q9NRF2
P48443	P62195
P48788	Q02221
P49023	Q99952
P49407	Q00005
P49736	Q99728
P49848	P51610
P50502	Q8IZP2
P50570	Q14315
P50748	Q9NTJ3
P50750	Q9BQG0
P51452	Q02156
P51532	Q96P70
P51532	Q9UBS8
P51572	P55957
P51692	Q9Y6Q9
P51843	Q13263
P53350	Q14164
P53355	Q14790
P53671	P61981
P53778	Q99683
P53804	Q2LD37
P53992	Q00536
P54132	Q9NYB0
P54132	Q9Y5N6
P54253	Q16630
P54727	Q15843
P54760	P62993
P55036	Q9BRP4
P55081	Q9NYF8
P55210	P62837
P56524	Q13627
P56524	Q9H2X6
P56524	Q9HC62
P57730	Q9Y239
P58107	Q14257
P60660	Q99832
P60709	Q01995
P60880	Q02410
P60880	Q92581
P60880	Q96DZ5
P60880	Q9BRK0
P60900	Q9H1Y0
P61224	P61247
P61601	P78352
P61604	Q13283
P61626	Q9P0V8
P61981	Q8N752
P62072	Q9Y5J9
P62241	P63261
P62249	Q9Y230
P62306	Q01081
P62829	Q14257
P62857	Q13233
P0DPH7	P62913
P0DPH8	P62913
P62917	Q9NZM5
P62942	Q15382
P62993	Q96IW2
P63104	Q2M2I8
P63261	Q71UM5
P67870	Q92793
P78314	Q13480
P78317	P98170
P78317	Q13489
P78347	Q9Y618
P78352	Q9ULH4
P78371	Q04864
P78527	Q92922
P78527	Q93009
P78527	Q9NVI7
P78527	Q9UKI8
P80098	Q9Y4X3
P83916	Q15047
P84074	Q9BR01
Q00005	Q09472
Q00526	Q92793
Q01094	Q8TDN4
Q01196	Q07869
Q03164	Q9UPP1
Q03252	Q08050
Q04206	Q99966
Q04206	Q9NP99
Q04206	Q9NRI5
Q04206	Q9Y2U5
Q04864	Q15654
Q04864	Q99832
Q05193	Q9NZU7
Q05209	Q9UQC2
Q05397	Q9UQF2
Q05639	Q9Y6Q6
Q06124	Q9UM73
Q06413	Q16665
Q06481	Q12756
Q06609	Q96GD4
Q07812	Q14318
Q07912	Q8WV41
Q08050	Q15561
Q08397	Q9BRK3
Q08881	Q9Y5X1
Q09028	Q15583
Q09028	Q9UBL3
Q12778	Q92934
Q12824	Q9UBU8
Q12834	Q9BWT6
Q13002	Q86YM7
Q13045	Q9Y4A5
Q13111	Q9UIG0
Q13239	Q8NHL6
Q13315	Q8N3U4
Q13387	Q9H2X9
Q13480	Q9ULH1
Q13501	Q15418
Q13526	Q13573
Q13546	Q9BUF5
Q13547	Q92985
Q13547	Q9NY61
Q13554	Q59EK9
Q13554	Q9NWB1
Q13620	Q9NX09
Q13772	Q14686
Q13794	Q9C000
Q13952	Q9H3D4
Q14191	Q9H211
