Q14934	Q9UBF8
Q15004	Q9NQW6
Q15052	Q9BZW8
Q15303	Q96RT1
Q15398	Q96EA4
Q15427	Q7KZ85
Q15796	Q9UKE5
Q2LD37	Q86UL8
Q6NXR4	Q9BVM2
Q6PD62	Q8TDB6
Q7L804	Q9NYF8
Q7Z2E3	Q9H7Z6
Q86VW0	Q9H190
Q8IUD2	Q9UK32
Q8IVI9	Q9UNF0
O00148	Q96KB5
Q8N684	Q96T58
Q8NBZ0	Q9UHD2
Q8NFZ0	Q93034
O00267	P09651
O00268	Q53T94
O00292	P61812
Q8TAF3	Q9Y297
Q8WUI4	Q9Y4H2
Q8WWM7	Q9Y2K5
Q92698	Q96GD4
O00444	P27448
Q96CX2	Q9Y575
Q96GV9	Q9H5Z6
Q96GV9	Q9P2T0
Q96JH8	Q96NE9
Q96TC7	Q9Y6M7
Q99615	Q9Y3P9
Q99726	Q9P267
Q99726	Q9Y6N8
Q99741	Q9P2W1
Q9BRR3	Q9NTI2
Q9BRR3	Q9Y6V0
Q9BUZ4	Q9ULH0
Q9BVI0	Q9UNP9
Q9BX63	Q9BXS6
Q9BZW8	Q9HBG7
O00505	P04150
O00562	Q7L0Q8
O00622	P53539
Q9H1Y0	Q9Y4K3
Q9H853	Q9NQC7
Q9HAW4	Q9ULW0
Q9NYM9	Q9UNZ2
O00763	Q9UGJ0
O14503	Q92481
O14735	Q13490
O14735	Q9P035
O14744	Q03164
O14745	Q14451
O15042	Q9Y222
O15047	Q9UBC3
O15111	Q96PM5
O15126	Q9Y496
O15357	Q9Y2R2
O15371	O95831
O15399	Q9C0C4
O15520	P22455
O15530	Q13043
O43187	P42684
O43187	Q92851
O43293	Q04206
O43505	O95970
O43521	Q9ULZ3
O43526	Q8NCB2
O43593	Q99623
O43609	Q12866
O43639	Q15139
O43914	Q3YBM2
O60216	Q8TBC4
O60234	P33241
O60239	P54274
O60516	Q15717
O60759	P32455
O60762	P61758
O60841	P41091
O75122	Q9H7U1
O75528	P23511
O75533	Q99728
O75832	Q92831
O75914	P62993
O75914	P68104
O94811	Q93045
O95149	P52292
O95196	Q08378
O95251	Q99525
O95405	P60880
O95571	Q03169
O95813	P00915
O95967	Q8IWU6
O95970	Q9C0C4
O95983	P28749
O95997	O96028
P00441	P51665
P00918	P05091
P01571	Q9P2N4
P01574	Q9Y297
P02549	P0DP23
P02549	P0DP24
P02549	P0DP25
P02671	P18428
P02730	P10809
P03372	Q12852
P04150	Q13501
P04350	Q9ULX6
P04406	Q9NVI1
P04626	P11309
P04637	P15531
P04637	Q9UKV5
P05388	Q13642
P06213	P62258
P06213	Q8TD08
P06241	P08758
P06400	Q9UBD5
P06744	P62136
P06748	P68366
P07900	P08575
P07910	P26639
P07910	P54136
P07948	Q12852
P07948	Q9H3G5
P07949	Q9BX66
P08047	Q9Y265
P08174	Q99683
P08238	Q13547
P08246	Q14112
P08254	P08962
P08263	Q8TCE9
P08567	P26010
P08567	Q08881
P08581	Q13444
P08621	P49407
P08779	Q8IX01
P08922	Q13882
P09211	Q9Y2U5
P09382	P19021
P10145	P34931
P10145	Q8N668
P10646	Q7Z3S9
P10721	Q5T2W1
P11388	P31431
P11509	Q9UGU0
P11717	P24592
P11912	P42336
P11940	P51398
P12268	P62081
P12931	Q02246
P13647	P14923
P13995	P49915
P14635	Q8IY92
P14923	P30153
P15056	P18077
P15056	Q8N5S9
P15056	Q9UKE5
P15884	Q4L180
P16144	Q07912
P16333	P29597
P16452	Q9UK39
P17066	P78406
P17252	Q9H3D4
