Q96RS0	Q9UI43
P20336	Q9H254
P10644	Q96RU7
Q969T4	Q9Y252
P68363	Q9Y496
Q9BQE3	Q9Y496
O43566	P08567
O95977	P35346
P09619	P36897
Q13501	Q15052
O60260	Q96AX9
Q7L0Q8	Q96M96
Q8IU80	Q9NQ38
P35240	Q9P2A4
Q6DHY5	Q9BYX2
Q13554	Q15375
Q13555	Q15375
Q13555	Q96S38
Q15375	Q9UQM7
Q96S38	Q9UQM7
O75116	P26045
O75116	Q12756
O00273	Q14155
Q13546	Q16760
Q05397	Q8NER5
Q14155	Q9HCM4
O00273	Q9UKW4
Q8IZ41	Q9UKW4
P53667	Q9Y4K4
Q96L33	Q9Y6D5
P17081	Q9Y6D6
P14317	P48059
P54289	Q9UMF0
P21854	Q6UX15
Q6WCQ1	Q86XP1
Q6XE24	Q8IUH3
Q13018	Q9BYZ8
O95835	Q9H347
P63146	Q9H347
Q6ZN04	Q9Y2W6
O14492	Q9Y4K3
Q07912	Q7L7X3
Q13188	Q13555
O95727	P02790
O14709	Q9UQR1
Q92823	Q9Y5E5
Q16222	Q16851
O14807	Q5VVW2
P61586	Q5VVW2
P01112	P49798
P49795	P62834
P09012	Q9H074
O00213	P46934
P10635	Q6VVX0
P43026	P46531
P12018	P40200
P13378	Q06323
Q15438	Q7L591
P49458	Q9UPN3
Q06187	Q9HC98
P08311	P46934
O15146	Q00535
P22607	Q00535
P16234	Q13164
Q13153	Q8IWU2
P10721	Q9HAZ1
P16591	Q9HAZ1
O14763	O60667
O95976	P01584
O75360	P09086
P07766	P15814
P17482	P28069
P09086	P31273
P20701	P40200
P09086	P43699
O14786	Q13203
P21802	Q15746
P07550	Q5VST9
Q96JB3	Q96RE7
P09086	Q9H161
P15692	Q9NZC2
P57087	Q9Y624
P48546	Q8WZ42
P78509	Q99665
P10911	P52198
P52565	P61204
P43034	Q03113
A1IGU5	Q13637
P10911	Q15382
Q96PU4	Q9UKS6
O15020	O94811
O14795	Q9H2B2
O60333	Q02224
Q13829	Q14511
P35222	Q9ULC3
P43405	Q12965
Q12965	Q13322
Q13595	Q14966
P08579	Q9H0Z9
P09012	Q9H0Z9
P52298	Q9UKM9
P15018	Q9UKT4
O15394	Q06418
O94779	Q06418
Q99759	Q9Y6E0
P12644	Q01860
P35030	Q9Y219
O94887	Q9Y4F1
P13591	P13611
P09471	Q96A58
O14793	P27539
Q00535	Q5MAI5
Q5MAI5	Q8NE63
O95948	P40424
P11362	P49765
Q14137	Q8NI36
Q5XKR4	Q96A47
Q04721	Q9H3D4
P56945	Q9HC96
O00187	Q9NZC2
P04626	Q9UDY8
Q8TED0	Q9Y5J1
P02745	Q9NTU7
P40616	P61586
P62330	Q6T310
P49703	Q8IYK8
P52198	Q8IYK8
Q6IQ22	Q8IYK8
O95661	Q969Q4
Q8IYK8	Q9Y3L5
P52333	P54760
O15394	Q92859
P51671	Q9NZ72
P46934	Q9Y2T2
P52565	Q16643
Q14774	Q96F15
P26441	Q13158
P43405	Q9NYB9
P07948	P57075
P63165	Q15011
P52565	Q8N4Z0
P35226	Q9H4P4
Q16560	Q9UHX1
P21127	P42773
P11233	Q9HCE6
P29965	Q16653
Q16827	Q9Y2R2
Q92752	Q9P126
P22105	Q12860
O60469	Q14896
O94779	Q14896
P02751	Q14896
P22105	Q7Z5N4
O60469	Q9UQ52
P13591	Q9UQ52
P01137	Q9UM47
P17948	Q15238
O15394	O43854
O95976	P10321
O95976	P15813
O60422	P28360
P01236	P31785
O14498	P35968
P17947	P41970
O75746	P49792
O15394	P78357
P13747	Q5ZPR3
P98160	Q6UWV2
O43854	Q7Z3B1
O43240	Q9P0G3
O60259	Q9P0G3
P06870	Q9P0G3
P20151	Q9P0G3
Q9P0G3	Q9UKR3
P14616	Q8TAS1
P43405	Q8TAS1
P47869	Q9H2B2
O75396	P56377
O43639	Q02447
P15498	Q02447
O00622	P15498
O60890	P16333
Q15011	Q96AQ7
Q96QB1	Q9NYQ6
P12883	Q8WZ42
P23284	Q9H2H8
Q99884	Q9H2H9
P01112	P61019
P61019	Q9H4E5
O00160	P16885
P51805	Q92888
P48436	P62324
O95409	Q9BRP0
Q96T25	Q9BRP0
O15204	P11215
P01137	P61769
P49418	P63104
P28799	P36897
O15075	P21802
O95817	P35070
P49703	P98174
P21802	Q05513
P22607	Q05513
P34903	Q05901
O00762	Q13501
P98174	Q14088
