Q96RS0	Q9UI43
P53667	Q15208
P51159	Q6ZV73
P61225	Q6ZV73
Q6T310	Q86YV0
Q13322	Q8WXH5
O95661	Q92888
P21709	Q969H4
Q5JSP0	Q969Q4
Q6ZV73	Q96AX2
Q5JSP0	Q9BW83
Q5JSP0	Q9H082
Q9NQT8	Q9NRH3
P51159	Q9UKW4
P98174	Q9Y3L5
O75791	P14317
Q15080	Q5TCZ1
P10451	P19438
P46736	Q15819
Q16623	Q9NQ66
O43353	P04233
P02790	Q12933
P51617	Q13418
Q92585	Q99728
P31749	Q03113
P36897	Q15303
Q6PI47	Q9BQ13
P09326	Q9BQ51
Q86YW5	Q9BY67
O60229	Q9UQP3
P54762	Q9UQP3
Q15208	Q9Y6R4
O15511	P01111
P01732	P28566
P00747	P48052
O15511	P61587
Q13112	Q6PCD5
Q5T6F0	Q6PCD5
O43294	Q6Q0C0
Q8TDY4	Q99728
P14921	Q9BZF9
Q13112	Q9UM11
O95297	P01584
P10966	P13726
O43186	P31268
P17509	P35548
P10600	Q8WX77
P14653	Q9BZE3
Q9Y624	Q9Y6N7
O15034	P16885
P16333	Q14247
O75962	Q6ZMT1
Q6ZMT1	Q8TF42
Q96MF2	Q9UKW4
P57105	Q8NI35
P57105	Q8TEW8
Q8N3C7	Q9Y483
P08588	P0DMS8
P08588	P0DMS9
P24530	P47901
P24530	Q99705
P07996	P20396
P10643	P48023
P41743	Q9UHY1
Q969Q5	Q96P48
O15119	Q9H3D4
P26045	Q4G0W2
P29074	Q6B8I1
P21333	Q9NRD5
Q15262	Q9NRW4
Q9HD43	Q9NRW4
P05112	Q99665
P12755	Q9NYB9
O75369	Q9Y4G6
P23945	P32745
P37288	P46094
O14842	Q9NSD7
Q9NSD7	Q9UKP6
P00519	Q9BXT4
Q9BXT4	Q9UQB8
P01732	P15529
O14793	P37023
P37275	Q15699
P43403	Q5TCX8
Q96N96	Q9NZM3
Q99811	Q9UPW6
Q14807	Q6ZMV9
Q8NI77	Q9ULI4
Q96L93	Q9ULI4
Q9HAQ2	Q9ULI4
O95983	P01137
P02452	P46939
Q96C24	Q9UJD0
O75886	Q13387
Q8TE68	Q9Y5K6
O00327	P50281
O15392	P63146
O15344	P78317
P35968	Q9UM47
Q4LE39	Q9UBC3
P01138	P12644
O95235	P04350
P06493	Q8NG66
O60449	P26718
P01040	P08567
P23560	P39905
P0DMS8	P25025
P0DMS9	P25025
P04439	Q92692
O94813	Q9UQ13
P52945	Q04743
Q5TCQ9	Q8TF65
Q13387	Q8IU80
Q02750	Q9UL54
Q04759	Q15654
O43236	P11234
P19474	Q9Y4L5
Q7Z7A4	Q8IV63
P35637	P98179
Q15020	Q9Y5S9
P24394	Q15306
Q8NF91	Q9NS56
P98171	Q14344
P29323	Q9NRY4
P16591	Q9BQI3
P06493	Q9H1R3
O43739	O75962
P63000	Q9NS23
Q8TAS1	Q9NW64
Q9H426	Q9UPW8
O00212	P0C0E4
P22626	P26378
P11233	P49703
P20336	P55042
P51153	P61586
P49703	P62070
P0C0E4	P62745
P20337	P62745
P61586	Q12829
P51153	Q15382
O00212	Q15907
O75494	Q16560
P14866	Q6NXG1
O14966	Q8TAI7
Q96L33	Q99490
Q969Q4	Q99578
Q08170	Q9BQ04
O15085	Q9NR12
O95758	Q9NW64
O14807	Q9NX57
P78543	Q9NY30
P49703	Q9NYN1
Q9NW64	Q9UKA9
P55042	Q9UL26
P26378	Q9UPN6
P52272	Q9UPN6
P10114	Q9UPQ3
P61225	Q9UPQ3
P62834	Q9UPQ3
P0C0E4	Q9Y272
P15153	Q9Y272
P60953	Q9Y272
P63000	Q9Y272
Q5HYI8	Q9Y272
Q9UPQ3	Q9Y3L5
Q7Z6Z7	Q9Y5A7
P08581	P36888
P10586	P54760
P08922	Q14623
P01732	Q16653
P42331	Q92619
Q92619	Q9BRR9
A4QPB2	P11047
P01242	P40238
P43626	Q8IYS5
P04275	Q9H7M9
O94813	P29279
P35749	Q9Y2K3
O00429	P01116
P21333	P52566
P57775	Q03113
P57775	Q5JWF2
P49757	Q96P48
Q96J02	Q9UNN5
P04440	P20701
Q06418	Q15223
O14640	Q13191
Q9UBX0	Q9Y2V3
O14497	P68431
O14497	Q16695
O15520	P04004
Q9Y5T5	Q9Y6I4
A1KZ92	P27540
O14830	Q00722
P07766	Q29980
P28067	P61769
P20265	Q5SQQ9
P10767	Q8WZ42
Q5SQQ9	Q9NZR4
O75581	Q9BRJ9
O14786	O75147
O75147	P06213
P09630	P52951
P17948	P56199
O14786	Q8WZ42
P16471	Q8WZ42
Q14517	Q9NYQ7
O00499	O60229
O00459	O75962
O14793	P58166
O00459	Q5VST9
P27986	Q96RF0
O43581	P00748
Q14003	Q14721
P04233	Q9NYL2
P14543	Q15772
Q14563	Q9H3S1
O95936	Q70J99
O95376	Q12933
O60260	Q5VTB9
P22626	Q6NXG1
P09651	Q01081
O14733	Q13554
P54578	Q96B97
P26045	P48595
O75093	Q9NYJ7
O15357	P19022
P30542	Q9UKW4
O15467	P10720
P10720	P13501
O43739	O95716
P06241	Q13464
O43739	Q9ULC3
P02776	P61626
O14979	Q9BTD8
O15440	P33527
P49841	P51956
P04049	P80192
O15438	Q09428
Q5TCX8	Q9ULH1
P41273	Q9Y275
P62491	Q12967
P06241	Q9NYL2
O00444	P41743
P49815	Q99490
Q96F15	Q96P48
Q9NX24	Q9UET6
O15539	P49798
P14859	Q8WU20
Q96JF0	Q9H4F1
P35240	Q6PIF6
O75995	Q7Z6B7
O75791	Q8TEC5
O75044	Q8TF42
P49796	Q96JY6
Q7Z6B7	Q9H6S3
P18075	P35240
O00214	Q05315
Q8TE67	Q8TEJ3
P78352	Q8TF65
P40200	Q96IQ7
Q8WYQ9	Q96NU1
O75970	Q9H5P4
Q13796	Q9H5P4
Q96NU1	Q9UHJ3
P49257	Q9UHY1
O75093	Q9UQ16
P12319	P15813
P78337	Q9NQB0
P02790	P05155
P23497	Q71UM5
O75695	Q9UBC3
P10721	Q16849
P10586	P35236
P84022	Q06587
P49593	Q5JR12
P35236	Q99952
P09016	Q9UBX0
P62491	Q9UN86
O75093	P50219
O75093	Q96QS3
O75093	Q9BZM3
P07766	Q9Y219
P11940	Q9Y4C8
P30086	P49427
Q14807	Q8N4N8
P56945	Q8NFH8
Q14CS0	Q504T8
Q15370	Q504T8
Q504T8	Q8WUN7
Q92882	Q9NR46
Q96HL8	Q9NR46
Q9H0L4	Q9HAU5
O00762	Q9UHB6
Q8NB66	Q9UPA5
P06312	Q16552
Q17RY0	Q8IXT5
A8MW92	Q92783
Q02410	Q9Y2H5
P63165	Q13387
O00141	Q9UIK4
O15530	Q9UIK4
P20592	P51159
O15357	Q06546
P49840	Q16566
O14640	O60641
P26718	Q13191
Q10472	Q86SF2
P06241	Q96GW7
P36897	P40121
P62993	Q8WWQ8
P35968	Q15375
P78314	Q5SVZ6
P31997	Q6UX41
O43699	Q6UXG3
Q00888	Q7Z7D3
Q8N4X5	Q8N556
O43278	P00742
P13591	P13688
O14931	P35968
P13611	P35968
P13591	Q15223
Q15772	Q9BQ51
P13591	Q9BY67
Q8WZ94	Q9GZK7
Q9GZK4	Q9GZK7
P08912	P47901
P11229	P47901
P61106	P61966
Q15811	Q58EX7
O15085	Q86YR7
O75962	Q86YR7
P19793	Q8NHV9
Q15811	Q96PX9
Q4KMG0	Q99593
P47901	Q99705
P21462	Q9H244
Q16584	Q8TD08
P22415	Q9BRJ9
O43186	P10588
P52945	Q13285
Q58EX7	Q6ZSZ5
P02751	Q8WWN8
Q08211	Q9H0Z9
O95631	Q92823
O95835	P53778
O15105	Q13203
Q9UHC6	Q9Y6N7
O75563	Q9HB21
P54756	Q13153
P42229	Q16270
P20333	Q5ZPR3
P19320	Q8WV28
Q8NFT8	Q9P2S2
P06681	Q9UGM3
P01732	Q08722
P00533	Q76MJ5
P09564	Q9BQ51
O60658	Q9HCR9
O95263	Q9HCR9
O43747	Q9Y678
Q8TEU7	Q9NRW1
O00338	Q8NCG5
P49888	Q8NCG5
O76050	O95393
O00187	P20851
P35222	Q99835
O14939	Q9BY67
P07766	Q9Y275
O14657	Q9H497
O14727	P19438
P23258	Q14807
Q13017	Q9NYS0
P08754	Q9P212
P19320	Q9UKK3
P04003	P05156
P00748	P07358
P09529	P15692
P16581	Q06187
P61812	Q13263
Q05516	Q4AC94
O75093	Q9H4S2
P10966	Q9NR97
P12644	Q9Y219
O14641	Q9Y4K3
Q5SZQ8	Q86V81
Q92730	Q9NYR9
Q96P47	Q9NYR9
Q96HC4	Q9P202
Q96D21	Q9P212
P15151	P24394
O95936	P29317
P36896	Q8N5S9
P36896	Q9NQU5
O60469	P01241
Q8TAK5	Q92908
P06493	P36897
P02751	Q14627
P02461	Q9UKX5
Q16512	Q9H1R3
O15111	Q9NRH2
O15131	O95373
O15530	P08567
Q5VZP5	Q8WUJ0
Q09472	Q15811
P21953	P29803
O00213	Q7Z4P5
P24593	P35443
Q13464	Q16623
P43146	Q6UWB1
Q04656	Q14623
P02765	P13501
O95343	P31273
Q5T7P8	Q70J99
Q04743	Q9NRY4
O43747	Q9UBF2
Q8WWN8	Q9UQF2
P55290	Q9UN67
P55290	Q9Y5E1
P55290	Q9Y5E9
P55290	Q9Y5F2
Q00653	Q9HBU1
O60603	Q7L1T6
P43034	Q9NR64
Q9ULZ3	Q9Y616
O60861	O75116
P52566	P62834
O95125	Q01826
Q86YM7	Q92529
P52566	Q92963
O43559	Q9HB21
Q9NP90	Q9NYF5
P49815	Q96A58
Q8WVF5	Q9ULS6
P01112	Q99759
P62826	Q86W42
P06702	Q6XPR3
O60784	O75901
P00742	Q99075
P27658	P29965
P20160	Q02388
P02746	Q92838
O75494	Q9UGJ1
Q6UXL0	Q7Z7G0
Q4ZHG4	Q8WZ75
Q8N3J6	Q9P232
P01730	Q9UDY8
O15169	O60260
P11234	Q07960
P43378	Q15256
Q9BST9	Q9NYI0
P19957	Q99895
O94875	Q9UQF2
P30411	Q8IZF2
P60568	Q8N4S9
P54762	Q8ND30
P16885	Q96HU1
P45974	Q9NRM7
Q9Y2H6	Q9Y493
P31483	Q9Y4C8
O14627	P20264
P10586	P20701
P19622	P28356
O43711	P49335
O43711	P56915
P56177	Q01826
O43711	Q01851
P31314	Q01851
Q01851	Q03014
P31273	Q12837
O60504	Q13322
P13688	Q14116
P56915	Q14774
P29965	Q15223
P31268	Q15911
P35367	Q16581
Q15911	Q8NFW5
Q6NT76	Q8NFW5
Q8N4Z0	Q8WXH6
Q05707	Q92729
P31314	Q92826
O95343	Q969G2
P50219	Q99697
Q15699	Q99697
O60890	Q9H0H5
P55040	Q9H0T7
O95343	Q9H2C1
P17481	Q9H2C1
Q14774	Q9HBU1
O60663	Q9UBC0
P07307	Q9UBG0
P19622	Q9UIW0
P49640	Q9UKI9
Q6NT76	Q9UKY1
O15394	P54296
Q9NRH2	Q9Y243
A1IGU5	Q99469
Q99469	Q9Y5K6
P22694	Q96RU7
P09429	Q9Y6Q9
P20719	Q9H3D4
O00213	O00308
P61586	Q7L804
O75553	Q9Y3P9
A6NI73	O14931
P0DML3	P16471
Q02779	Q05655
Q05655	Q16584
P16471	Q9NPF7
P46094	Q9UBY5
A4D2G3	A6NET4
A6NCV1	A6NKK0
A6NET4	A6NKK0
A6NF89	A6NMS3
A4D2G3	A6NMU1
A6ND48	A6NMU1
A6NDL8	A6NMU1
A6NF89	A6NMU1
A6NIJ9	A6NMU1
A6NKK0	A6NMU1
A6NMS3	A6NMU1
A6NCV1	O76099
A6NCV1	O76100
A6NF89	O95007
A6NMS3	O95007
A4D2G3	O95221
A6NKK0	O95221
A6NMU1	P0C7N1
A6NKK0	P0C7N5
A6NMU1	P0C7N5
A6NF89	P47881
A6NMS3	P47881
A6NMU1	P47881
A6NMU1	P47888
A6NCV1	P58170
A6NF89	P58170
P0C7N5	P58170
A6NET4	P58181
A6NMU1	P58181
O95221	P58181
P0C7N5	P58181
A6NCV1	Q15615
A6NET4	Q15615
A6NMU1	Q15615
O95221	Q15615
A6NF89	Q15617
A6NMS3	Q15617
A4D2G3	Q6IEY1
A6NET4	Q6IEY1
A6NKK0	Q6IEY1
O76099	Q6IEY1
O95221	Q6IEY1
P0C7N1	Q6IEY1
P58181	Q6IEY1
Q15615	Q6IEY1
A6NKK0	Q6IFH4
P47881	Q6IFH4
P58170	Q6IFH4
Q15615	Q6IFH4
Q15617	Q6IFH4
A6NMU1	Q6IFN5
A6NMU1	Q7Z3T1
O95221	Q7Z3T1
O76100	Q8IXE1
P0C7N1	Q8IXE1
O76099	Q8N127
O95007	Q8N127
P47881	Q8N127
P58170	Q8N127
Q15617	Q8N127
A6NCV1	Q8N148
A6NMU1	Q8N148
O95221	Q8N148
Q6IEY1	Q8N148
Q8IXE1	Q8N148
A6NMU1	Q8N349
A6NMS3	Q8NG81
A6NMU1	Q8NG81
O95007	Q8NG81
P47881	Q8NG81
A6NET4	Q8NG83
A6NMU1	Q8NG83
O95221	Q8NG83
Q6IEY1	Q8NG83
O76099	Q8NG98
A6NET4	Q8NGA6
A6NMU1	Q8NGA6
P58181	Q8NGA6
Q15615	Q8NGA6
Q6IEY1	Q8NGA6
A6ND48	Q8NGA8
P47881	Q8NGA8
P58170	Q8NGA8
Q15617	Q8NGA8
A6ND48	Q8NGB4
A6NKK0	Q8NGB4
O95007	Q8NGB4
P47881	Q8NGB4
P58170	Q8NGB4
Q15615	Q8NGB4
Q15617	Q8NGB4
A6NKK0	Q8NGB9
O76099	Q8NGB9
P58170	Q8NGB9
Q15615	Q8NGB9
Q15617	Q8NGB9
Q8N148	Q8NGB9
A6NF89	Q8NGC1
A6NMS3	Q8NGC1
A6NMU1	Q8NGC1
O95007	Q8NGC1
Q8IXE1	Q8NGC1
A6NKK0	Q8NGC4
P47881	Q8NGC4
P58170	Q8NGC4
Q15615	Q8NGC4
Q15617	Q8NGC4
Q8N148	Q8NGC4
Q8NGC1	Q8NGC4
A6NCV1	Q8NGC7
Q8N127	Q8NGC7
Q8NGA8	Q8NGC7
Q8NGB4	Q8NGC7
A6NF89	Q8NGC9
A6NMS3	Q8NGC9
O76099	Q8NGC9
O95007	Q8NGC9
Q8NGA8	Q8NGC9
Q8NGB4	Q8NGC9
A6NET4	Q8NGD1
A6NMU1	Q8NGD1
Q6IEY1	Q8NGD1
A4D2G3	Q8NGD2
A6NET4	Q8NGD2
A6NKK0	Q8NGD2
O95221	Q8NGD2
P0C7N5	Q8NGD2
P58181	Q8NGD2
Q15615	Q8NGD2
Q6IEY1	Q8NGD2
Q8NG83	Q8NGD2
Q8NGA6	Q8NGD2
Q8NGC4	Q8NGD2
A6NCV1	Q8NGD4
A6NMU1	Q8NGD4
Q6IEY1	Q8NGD4
A6NF89	Q8NGD5
A6NMS3	Q8NGD5
O95007	Q8NGD5
P47881	Q8NGD5
Q15617	Q8NGD5
Q8N148	Q8NGD5
Q8NGC1	Q8NGD5
Q8NGC9	Q8NGD5
A4D2G3	Q8NGE1
A6NF89	Q8NGE1
O95007	Q8NGE1
P0C7N1	Q8NGE1
P47881	Q8NGE1
P58181	Q8NGE1
Q8N148	Q8NGE1
Q8NG81	Q8NGE1
Q8NGA8	Q8NGE1
Q8NGD5	Q8NGE1
A6ND48	Q8NGE3
P47881	Q8NGE3
Q8NGE1	Q8NGE3
A4D2G3	Q8NGE5
A6NDL8	Q8NGE5
A6NKK0	Q8NGE5
P0C7N1	Q8NGE5
P58181	Q8NGE5
Q15615	Q8NGE5
Q8N148	Q8NGE5
Q8NG83	Q8NGE5
Q8NGD2	Q8NGE5
Q8NGD4	Q8NGE5
A4D2G3	Q8NGE8
A6NF89	Q8NGE8
A6NKK0	Q8NGE8
A6NMS3	Q8NGE8
O95007	Q8NGE8
P0C7N1	Q8NGE8
P47888	Q8NGE8
P58181	Q8NGE8
Q15615	Q8NGE8
Q6IFH4	Q8NGE8
Q8N127	Q8NGE8
Q8N148	Q8NGE8
Q8NG81	Q8NGE8
Q8NGA8	Q8NGE8
Q8NGB4	Q8NGE8
Q8NGD2	Q8NGE8
Q8NGD4	Q8NGE8
Q8NGE3	Q8NGE8
A6NF89	Q8NGF3
A6NKK0	Q8NGF3
P0C7N5	Q8NGF3
Q15615	Q8NGF3
Q6IFH4	Q8NGF3
Q8N148	Q8NGF3
Q8NGB4	Q8NGF3
Q8NGC1	Q8NGF3
Q8NGD4	Q8NGF3
A6NET4	Q8NGF4
A6NMU1	Q8NGF4
O95221	Q8NGF4
Q6IEY1	Q8NGF4
Q8NGC4	Q8NGF4
Q8NGD2	Q8NGF4
A6NMU1	Q8NGF6
Q6IEY1	Q8NGF6
Q8NGE1	Q8NGF6
Q8NGE5	Q8NGF6
A6ND48	Q8NGF9
A6NMU1	Q8NGF9
O76099	Q8NGF9
O95007	Q8NGF9
P47881	Q8NGF9
Q15617	Q8NGF9
Q8NGE1	Q8NGF9
Q8NGE8	Q8NGF9
A6NCV1	Q8NGG2
A6ND48	Q8NGG2
A6NET4	Q8NGG2
P0C7N5	Q8NGG2
P58181	Q8NGG2
Q15615	Q8NGG2
Q6IEY1	Q8NGG2
Q6IFH4	Q8NGG2
Q8IXE1	Q8NGG2
Q8NGA6	Q8NGG2
Q8NGB9	Q8NGG2
Q8NGC4	Q8NGG2
Q8NGD2	Q8NGG2
Q8NGD5	Q8NGG2
Q8NGE1	Q8NGG2
Q8NGE5	Q8NGG2
Q8NGE8	Q8NGG2
Q8NGF3	Q8NGG2
Q8NGF9	Q8NGG2
A6NMU1	Q8NGG3
Q6IEY1	Q8NGG3
Q8NGD2	Q8NGG3
A6NF89	Q8NGG4
A6NMS3	Q8NGG4
O95007	Q8NGG4
P47881	Q8NGG4
P47888	Q8NGG4
P58170	Q8NGG4
Q15617	Q8NGG4
Q6IFH4	Q8NGG4
Q8NG81	Q8NGG4
Q8NGA8	Q8NGG4
Q8NGB4	Q8NGG4
Q8NGC1	Q8NGG4
Q8NGD5	Q8NGG4
Q8NGE1	Q8NGG4
Q8NGF3	Q8NGG4
Q8NGF9	Q8NGG4
A6NET4	Q8NGG8
A6NMU1	Q8NGG8
O95221	Q8NGG8
Q6IEY1	Q8NGG8
Q8NGD2	Q8NGG8
A4D2G3	Q8NGH5
A6ND48	Q8NGH5
A6NET4	Q8NGH5
A6NIJ9	Q8NGH5
A6NKK0	Q8NGH5
A6NMS3	Q8NGH5
P0C7N1	Q8NGH5
P58181	Q8NGH5
Q15615	Q8NGH5
Q7Z3T1	Q8NGH5
Q8N148	Q8NGH5
Q8NG83	Q8NGH5
Q8NGA6	Q8NGH5
Q8NGB9	Q8NGH5
Q8NGC4	Q8NGH5
Q8NGD1	Q8NGH5
Q8NGD2	Q8NGH5
Q8NGD4	Q8NGH5
Q8NGD5	Q8NGH5
Q8NGE1	Q8NGH5
Q8NGE5	Q8NGH5
Q8NGF3	Q8NGH5
Q8NGF4	Q8NGH5
Q8NGF6	Q8NGH5
Q8NGF9	Q8NGH5
Q8NGG2	Q8NGH5
Q8NGG3	Q8NGH5
Q8NGG8	Q8NGH5
A6NF89	Q8NGI0
A6NMS3	Q8NGI0
A6NMU1	Q8NGI0
O95007	Q8NGI0
Q6IEY1	Q8NGI0
Q8NG81	Q8NGI0
Q8NGA8	Q8NGI0
Q8NGB4	Q8NGI0
Q8NGD5	Q8NGI0
Q8NGE1	Q8NGI0
Q8NGF3	Q8NGI0
A6NMU1	Q8NGI4
Q6IEY1	Q8NGI4
Q8NGD2	Q8NGI4
Q8NGG2	Q8NGI4
Q8NGH5	Q8NGI4
Q8NGC1	Q8NGI9
Q8NGC9	Q8NGI9
Q8NGI0	Q8NGI9
A6ND48	Q8NGJ2
A6NMU1	Q8NGJ2
O76099	Q8NGJ2
O95007	Q8NGJ2
P47881	Q8NGJ2
P58170	Q8NGJ2
Q15617	Q8NGJ2
Q8NGE1	Q8NGJ2
Q8NGF3	Q8NGJ2
Q8NGG4	Q8NGJ2
Q8NGH5	Q8NGJ2
A6NF89	Q8NGK0
O95007	Q8NGK0
P47881	Q8NGK0
Q8NGB4	Q8NGK0
Q8NGF3	Q8NGK0
Q8NGG4	Q8NGK0
Q8NGI0	Q8NGK0
A6NF89	Q8NGK1
Q8N127	Q8NGK1
Q8NGA8	Q8NGK1
Q8NGB4	Q8NGK1
Q8NGC4	Q8NGK1
Q8NGD5	Q8NGK1
Q8NGE3	Q8NGK1
Q8NGG4	Q8NGK1
Q8NGI4	Q8NGK1
Q8NGJ2	Q8NGK1
A6NMU1	Q8NGK9
Q6IEY1	Q8NGK9
Q8NGD2	Q8NGK9
Q8NGG2	Q8NGK9
Q8NGH5	Q8NGK9
A6ND48	Q8NGL4
O95007	Q8NGL4
Q8NG81	Q8NGL4
Q8NGE1	Q8NGL4
Q8NGE5	Q8NGL4
Q8NGE8	Q8NGL4
A6NKK0	Q8NGL7
O76099	Q8NGL7
P58170	Q8NGL7
Q15615	Q8NGL7
Q8N148	Q8NGL7
Q8NGC7	Q8NGL7
Q8NGG2	Q8NGL7
A6NMU1	Q8NGL9
A6NMU1	Q8NGN2
Q8NGE5	Q8NGN2
Q8NGH5	Q8NGN2
A6NCV1	Q8NGN5
O76099	Q8NGN8
Q6IEY1	Q8NGN8
Q8N148	Q8NGN8
Q8NGC7	Q8NGN8
Q8NGD1	Q8NGN8
Q8NGD2	Q8NGN8
Q8NGG2	Q8NGN8
Q8NGH5	Q8NGN8
A6ND48	Q8NGP0
A6NMU1	Q8NGP0
Q8NGE1	Q8NGP0
Q8NGG2	Q8NGP0
Q8NGH5	Q8NGP0
A6NET4	Q8NGQ1
A6NMU1	Q8NGQ1
O95221	Q8NGQ1
Q15615	Q8NGQ1
Q6IEY1	Q8NGQ1
Q8NGD2	Q8NGQ1
Q8NGE5	Q8NGQ1
Q8NGE8	Q8NGQ1
Q8NGG2	Q8NGQ1
Q8NGH5	Q8NGQ1
A6NMU1	Q8NGQ4
O76099	Q8NGQ4
P47881	Q8NGQ4
P58170	Q8NGQ4
Q15617	Q8NGQ4
Q6IEY1	Q8NGQ4
Q8NGD2	Q8NGQ4
Q8NGF3	Q8NGQ4
Q8NGG2	Q8NGQ4
Q8NGG4	Q8NGQ4
Q8NGH5	Q8NGQ4
A4D2G3	Q8NGQ5
A6NET4	Q8NGQ5
O76099	Q8NGQ5
O95221	Q8NGQ5
P0C7N1	Q8NGQ5
P58181	Q8NGQ5
Q8N148	Q8NGQ5
Q8NG83	Q8NGQ5
Q8NGA6	Q8NGQ5
Q8NGD1	Q8NGQ5
Q8NGD2	Q8NGQ5
Q8NGF4	Q8NGQ5
Q8NGF6	Q8NGQ5
Q8NGG2	Q8NGQ5
Q8NGG3	Q8NGQ5
Q8NGG8	Q8NGQ5
Q8NGH5	Q8NGQ5
Q8NGI0	Q8NGQ5
Q8NGK9	Q8NGQ5
Q8NGN2	Q8NGQ5
A6NET4	Q8NGR1
A6NMU1	Q8NGR1
O95221	Q8NGR1
Q6IEY1	Q8NGR1
Q8NGA6	Q8NGR1
Q8NGD2	Q8NGR1
Q8NGG2	Q8NGR1
Q8NGH5	Q8NGR1
Q8NGQ5	Q8NGR1
A4D2G3	Q8NGR8
A6NKK0	Q8NGR8
O95007	Q8NGR8
P47881	Q8NGR8
Q15615	Q8NGR8
Q15617	Q8NGR8
Q8N148	Q8NGR8
Q8NGD4	Q8NGR8
Q8NGF6	Q8NGR8
