P28799	Q12805
P29274	Q9Y487
P29597	P60953
P31749	Q13469
P42677	P63279
P42684	Q9BWU1
P43268	Q14653
P47897	Q13310
P48051	Q9HCX4
P53779	Q16620
P53779	Q96EB6
P55211	Q96KJ9
P57735	Q9H0H5
P60709	Q9HAU4
P61599	Q8N159
P68371	Q9Y2U5
P78527	Q07020
P83731	Q96BD8
P84098	Q15233
Q00587	Q96HB5
Q00653	Q13838
Q00887	Q14406
Q02156	Q9NYV4
Q04206	Q9BVM2
Q04864	Q9BXH1
Q05193	Q9Y2J0
Q06481	Q9BXS0
Q07912	Q9UPT6
Q08345	Q8NHJ6
Q12933	Q969Z4
Q12933	Q9BXL6
Q13029	Q92994
Q13094	Q7Z6A9
Q13616	Q92985
Q13875	Q9H313
Q13952	Q92922
Q14240	Q9HBH9
Q14493	Q9Y6X1
Q14686	Q15652
Q14686	Q9UHV7
Q15024	Q9H9D4
Q15370	Q9Y5B0
Q16512	Q92574
Q2Y0W8	Q9UBY0
Q3V6T2	Q6ZP82
Q5SW96	Q9UQF2
Q66K89	Q9BQ15
Q6W2J9	Q96J92
Q6ZP82	Q9UBB9
Q6ZP82	Q9Y3P9
Q70YC5	Q9Y316
Q7Z6Z7	Q96P70
Q8IUC6	Q8IUD6
Q8IXK0	Q9UER7
O00159	Q96T23
Q8N488	Q96DY7
O00254	Q9ULD4
O00294	Q9BYB0
Q92529	Q9UKW4
Q92729	Q9BRK4
Q92769	Q96SB4
Q92783	Q9Y3E7
Q96B97	Q9UJM3
Q96BK5	Q9Y3C0
O00444	P26583
Q96QG7	Q9NXD2
Q99962	Q9BRR3
Q9BT88	Q9HBZ2
O00501	P56747
Q9GZT4	Q9HD26
Q9H0L4	Q9NR12
Q9NQW6	Q9UH17
Q9NVC6	Q9UHK0
Q9NYJ8	Q9UER7
Q9NYS7	Q9UKB1
Q9UBK5	Q9Y4K3
Q9ULM3	Q9UNL4
Q9ULX6	Q9Y265
O14490	P22681
O14503	P04792
O14686	Q9NQB0
O14735	Q9Y575
O14901	Q9UKD1
O15212	Q9Y6U3
O15273	P31930
O15379	P04350
O15492	P16591
O43159	P04637
O43639	Q9H3D4
O43719	Q13435
O43795	Q92600
O43819	P07948
O43889	Q00005
O60674	Q15149
O60934	Q8TAD8
O75044	Q12769
O75319	P62633
O75469	O76064
O75506	Q14686
O76041	P50552
O94915	Q6ZP82
O95155	P50453
O95182	Q5TAQ9
O95665	Q9P1A6
O95997	Q13330
P00367	Q12851
P00533	P00540
P01011	P02649
P01133	P42684
P09105	P0DML2
P09105	P0DML3
P02656	P04264
P02671	Q99574
P02778	P25089
P04233	Q92619
P04439	P40305
P04637	Q15650
P05014	Q76N89
P05015	P40313
P05067	Q96KC8
P05109	P33764
P05412	P17480
P05412	Q15543
P05771	Q7L1I2
P06396	P27348
P07355	Q9Y6N5
P07948	Q99755
P08047	P17987
P08047	P35228
P0DMV8	P18085
P0DMV9	P18085
P08708	Q9Y657
P10589	P11473
P10636	P19438
P11142	Q13895
P11309	P63208
P12034	Q16288
P12081	Q96KQ4
P13010	P23921
P13056	Q86T24
P13671	Q9Y5X2
P13942	P29353
P14136	P31947
P14625	Q15532
P14635	Q9NXR1
P14921	P67809
P15153	Q8TB24
P15923	Q9UK53
P15954	P51946
P16220	P61077
P18085	P22681
P18433	P50549
P19838	Q9NQC7
P20333	Q86SE5
P20749	P53567
P20749	P63165
P21333	P52429
P21580	P54253
P24347	Q99727
P26641	P41250
P29622	Q9NZP6
P0DMS8	P30273
P0DMS9	P30273
P31946	Q8N1W1
P32456	Q9UL46
P32780	Q9H3P2
P33991	Q92831
P35222	Q5XUX0
P35222	Q9Y4G6
P35398	P52630
P36776	Q13526
P38398	P49715
P41235	Q8NEZ4
P42768	Q13761
P43307	P51124
P46013	Q9UNS1
P46778	P68371
P46783	Q12789
P47928	Q8IZD9
P48051	Q96KB5
P48443	Q2M1K9
P48444	Q8IUH5
P49407	P49768
P49411	Q9Y575
P49736	Q9UER7
A0AVK6	P33552
P50570	Q9UKW4
P50613	Q00653
P51610	Q12772
P51948	Q00987
P53365	Q92558
P53779	Q92499
P55008	Q16658
P55199	Q9H3P2
P55884	Q12933
P56693	P60201
P56817	Q02410
P60880	Q69YW2
P0DP23	Q9Y2H2
P0DP24	Q9Y2H2
P0DP25	Q9Y2H2
P62495	P63165
P62701	Q6NXR4
P63104	Q8WYP3
P63165	Q07020
P68400	Q96S44
P78356	Q13049
