P55055	Q92731
P55083	Q01995
P55209	Q92993
P55268	Q13751
P55345	Q9NPI1
P55957	Q12983
P56282	Q9NZJ0
P56945	Q9H204
P58107	P62829
P58107	Q05639
P0DPH7	P58107
P0DPH8	P58107
P58107	Q92616
P60201	Q7L5A8
P60660	P62249
P60709	Q00610
P60709	Q13233
P61024	Q7L590
P61024	Q96R06
P61024	Q9BTX1
P61158	Q16665
P61201	Q7L2H7
P61244	Q13547
P61289	Q9H3D4
P61296	Q92793
P61619	P62269
P61619	Q14257
P61764	Q99819
P61764	Q9BR01
P61981	Q13191
P62081	Q7L2H7
P62136	Q16611
P0DP23	Q08380
P0DP24	Q08380
P0DP25	Q08380
P62191	Q09028
P62195	Q8IY81
P62249	Q13546
P62258	Q9BPZ7
P62258	Q9UBF8
P62258	Q9Y496
P62263	Q71U36
P62263	Q8N163
P62318	Q15427
P62330	P84077
P62877	Q96JK2
P62888	Q93008
P62891	P62917
P62891	Q9NZM5
P62913	Q13233
P63104	Q00653
P63104	Q13485
P63165	Q14653
P63165	Q16594
P63165	Q92922
P68104	Q9UPT5
P68400	Q13330
P68400	Q9H160
P78314	Q9Y2R2
P78317	Q8IUQ4
P78352	Q16352
P78352	Q92561
P78352	Q99962
P78352	Q9NS86
P78410	Q03518
P78527	Q02880
P78527	Q96SB4
P78527	Q9UGN5
P81133	Q15596
P84103	Q9H307
P84243	Q14566
P98077	Q63HR2
P98095	Q9UBX5
P98170	Q8TDB6
P98170	Q9C000
P98177	Q96DY7
Q00325	Q14257
Q00325	Q9UBQ5
Q00403	Q15543
Q00610	Q13114
Q00610	Q16543
Q00613	Q15831
Q00653	Q12906
Q00889	Q9Y2P0
Q01082	Q99996
Q01201	Q05639
Q01813	Q96EY1
Q03112	Q15583
Q03135	Q12929
Q03692	Q9BXN1
Q04206	Q09028
Q04206	Q8WXF1
Q04756	Q14520
Q04837	Q7L2H7
Q04912	Q13094
Q05193	Q71U36
Q05397	Q86WV1
Q05397	Q9UPX8
Q05513	Q96S96
Q05519	Q13464
Q05586	Q08209
Q05586	Q9Y566
Q05639	Q08380
Q05639	Q13813
Q05639	Q9UHB6
Q05655	Q99704
Q06124	Q14449
Q06413	Q15788
Q06710	Q6ZW49
Q07020	Q08211
Q07092	Q9UBX5
Q07157	Q14160
Q07666	Q9H204
Q07666	Q9H694
Q07666	Q9UPX8
Q07889	Q96CW1
Q07912	Q14155
Q07912	Q92918
Q07955	Q15185
Q08050	Q9BW19
Q08881	Q16620
Q09472	Q15131
Q09472	Q15583
Q12778	Q9Y6Q9
Q12805	Q99435
Q12815	Q8NCD3
Q12852	Q9UPT6
Q12866	Q9Y2R2
Q12933	Q70UQ0
Q12933	Q92598
Q12959	Q9UQB8
Q13077	Q9Y275
Q13094	Q14118
Q13094	Q9Y5K6
Q13114	Q92985
Q13164	Q9Y6R4
Q13224	Q7LC44
Q13233	Q16644
Q13287	Q13547
Q13287	Q9UL46
Q13309	Q9Y3I1
Q13323	Q99638
Q13330	Q9H7L9
Q13363	Q14192
Q13363	Q9Y6Q9
Q13367	Q9UI15
Q13387	Q99683
Q13387	Q9Y2U5
Q13438	Q9Y2N7
Q13480	Q8WWW8
Q13480	Q9UM73
Q13489	Q96P09
Q13489	Q9NYJ8
Q13523	Q15208
Q13547	Q14686
Q13547	Q15329
Q13547	Q86U86
Q13547	Q8IZL8
Q13547	Q92925
Q13569	Q8IZL8
Q13651	Q9UBW5
Q13651	Q9Y279
P0DPH7	Q14790
P0DPH8	Q14790
P0DPH7	Q92985
P0DPH8	Q92985
Q14164	Q15831
Q14203	Q9BWQ8
Q14289	Q92529
Q14498	Q9NPJ4
Q14500	Q9P021
Q14596	Q8IXH6
Q14653	Q9UQM7
Q14674	Q15468
Q14680	Q6PL18
Q14680	Q9NQW6
Q14790	Q9Y5U5
Q15024	Q96C86
Q15185	Q9Y5J1
Q15329	Q5H9I0
Q15418	Q16828
Q15468	Q8NCD3
Q15560	Q8N7H5
Q15653	Q8N668
Q15788	Q16236
Q15843	Q9NZJ0
Q16352	Q9BRR3
Q16513	Q9Y243
Q16531	Q92890
Q16537	Q9Y243
Q16594	Q92905
Q16623	Q96PU5
Q16653	Q9UF11
Q16665	Q9NP62
Q58WW2	Q8N5D0
Q59EK9	Q8TDI0
Q59EK9	Q9UPP2
Q5JY77	Q96MC5
A9YTQ3	Q9Y2N7
Q5XUX0	Q86VP6
Q6IE81	Q9H0E3
Q6PIL6	Q9Y2W7
Q6PKG0	Q92574
Q6PL18	Q9NZJ0
Q6ZNE5	Q9P2Y5
Q71F23	Q9NS87
Q7L0J3	Q93045
Q7L4I2	Q9H307
Q7Z6L1	Q9H0Y0
Q86UP2	Q9NYF8
Q86UR5	Q8WZA2
Q86W47	Q9H3N8
Q86W47	Q9Y6X6
Q86WB0	Q8NFZ0
Q86WB0	Q9UKT5
Q86Y07	Q99683
Q8IW19	Q96T60
Q8IW70	Q9UPR5
O00139	P31946
O00141	Q13233
O00159	P27708
Q8IYU8	Q92499
Q8IZT6	Q99741
Q8N6R0	Q9Y265
Q8NAC3	Q8NFM7
Q8NC51	Q92769
O00198	Q14790
O00220	P55957
Q8TAT5	Q99661
Q8TC59	Q96J94
Q8TCN5	Q99726
Q8TDI0	Q9H2X9
Q8TDR0	Q9UKE5
Q8TEW0	Q9Y2J2
Q8WUI4	Q92574
Q8WUI4	Q9Y2J2
Q8WWW8	Q9UQC2
Q8WXG1	Q9H0J9
Q8WYH8	Q92831
Q92581	Q96BY2
Q92636	Q9Y4P1
Q92769	Q92925
Q92793	Q96ST3
Q92793	Q99612
Q92793	Q9UQL6
Q92934	Q9UQL6
O00308	Q15797
O00311	P11388
O00311	Q9NVI1
O00410	Q14145
O00422	Q9H7L9
O00453	P08567
O00459	Q13387
Q96FI4	Q96T60
Q96KB5	Q9NSP4
Q96MC5	Q9BX67
Q96PK6	Q9NVC6
Q96T76	Q9NTJ3
Q99558	Q9Y478
Q99640	Q99661
Q99640	Q9ULW0
Q99767	Q9NZ94
