O00273	Q9GZV5
Q8TDB6	Q9C035
Q8WVK7	Q9H0K1
Q92870	Q9ULV8
A2CJ06	Q9Y4J8
O00401	P51608
O00410	P29144
Q96FW1	Q9C035
O00499	Q92482
O00750	Q9BQ89
Q9H2X9	Q9NYI0
Q9H3Y6	Q9NQ75
Q9HCU9	Q9HD15
Q9UPX8	Q9UQQ2
Q9UQM7	Q9Y618
O00762	P09234
O14490	Q16478
O14686	P31751
O14920	O95630
O15027	P62888
O15047	Q8N163
O15056	Q9UBS5
O15111	O60346
O15111	Q86V81
O15111	Q9HAU4
O15131	Q92574
O15297	Q00688
O15379	P52926
O15446	Q13576
O15524	P49407
O15524	Q9NRD5
O15530	Q16658
A4D0V7	Q96GX1
O43353	P16591
O43707	P20138
O43707	P31994
O43896	Q6ICG6
O43914	P22083
O60235	Q8TCN5
O60566	Q9BRX5
O60566	Q9BXS5
O60573	Q96GV9
O60667	Q96AZ6
O60711	Q6GTX8
O60733	Q9BX51
O60762	P61326
O60762	Q14493
O60763	P41252
O75340	P26447
O75347	P25787
O75711	Q9BT88
O76024	P17813
O94762	P49336
O94805	Q16586
O94832	Q9ULZ3
O94874	Q3L8U1
O95239	P07437
O95445	P29622
O95970	Q9BRK0
O95996	Q9Y3M2
P00367	P62244
P00519	P10412
P00533	P12272
P01106	P63098
P02745	P32455
P02749	P02765
P04216	Q15063
P04406	P83731
P04406	Q14289
P04792	Q09472
P04899	Q13163
P06213	P19838
P06400	Q13322
P06454	P63313
P06753	Q16584
P07197	Q13574
P07355	Q13509
P07355	Q14764
P07437	Q9Y4A5
P07948	Q92619
P08243	P26639
P08581	Q01082
P09493	Q9P0K7
P09525	P78540
P09619	P63261
P0C0S5	P19338
P10826	P41182
P10827	Q7L5N1
P10828	Q7L5N1
P11177	Q9GZT8
P11387	P49848
P12757	P62979
P12931	Q13627
P12931	Q9UJ70
P13473	Q9H3U5
P13500	Q99788
P13807	Q14145
P14316	Q9UBC0
P14649	Q9HAV0
P14921	Q9NQB0
P14923	P55289
P15260	P42345
P15498	P25774
P17600	Q99689
P17676	P27694
P17676	Q16576
P17812	Q7L590
P18433	P30086
P18433	Q9Y2R2
P19387	Q92759
P19532	Q9HAP2
P19838	P51659
P20265	Q6P1X5
P20941	Q01113
P21802	Q01082
P21854	P30874
P22314	P49588
P23497	Q99497
P23945	Q00887
P24864	P52701
P24864	Q04917
P25024	Q9Y272
P25205	Q32P41
P25787	P61088
P26447	P46821
P27348	Q16643
P29377	P60903
P29992	P61619
P30086	P35611
P30536	P37802
P31930	P48788
P32121	Q92597
P33778	Q12905
P33981	Q5BJF2
P35250	Q5JQC9
P35462	Q16620
P36956	P38936
P37802	Q16644
P38398	Q6ZMN8
P40925	Q8IYU8
P42574	Q92844
P43243	Q9UPN3
P43489	Q9UNG2
P45983	Q13105
P46109	Q99952
P46459	Q13526
P48047	Q9NTJ3
P48552	Q9BU76
P49674	Q9BVP2
P51812	Q02447
P56192	Q15758
P56524	Q9UKE5
P60660	Q15758
P60866	Q01780
P61353	Q96CX2
P68371	Q7Z4V5
P78347	Q9Y6K9
P78543	Q5VWX1
P84022	Q6PGQ7
P98172	Q15375
Q00534	Q13574
Q03113	Q15785
Q03181	Q9NP62
Q03468	Q96H20
Q04637	Q969V3
Q06124	Q15149
Q08050	Q13569
Q12774	Q5TCQ9
Q12805	Q9UQB8
Q12913	Q16828
Q13177	Q9Y4H2
Q13387	Q99726
Q13509	Q9Y6U3
Q13554	Q8N126
Q14137	Q9NX24
Q14155	Q9BPZ7
Q14247	Q9UPY6
Q14498	Q8NI08
Q14692	Q2NL82
Q15545	Q9UNN4
Q16270	Q96AC1
Q2M1K9	Q9NQB0
Q3ZCM7	Q9Y230
Q5PRF9	Q6P597
Q6J9G0	Q86YV5
Q6R327	Q9HBI1
Q86Y07	Q9Y230
Q8IZL8	Q8WWY3
Q8N414	Q9NY72
Q8TD23	Q9NYJ8
Q8WXS3	Q9Y6Y1
Q92828	Q9UKV0
Q92922	Q96S59
Q92956	Q9UHD2
O00401	P49750
Q9BY43	Q9Y5K6
O00567	Q96QK1
Q9H211	Q9UIF9
Q9P2U8	Q9UPA5
Q9ULH0	Q9Y4K3
Q9ULH1	Q9UPM8
O00754	Q96DB9
O14492	P01138
O14640	O43395
O14776	P61586
O14810	P51168
O15056	Q9UQ26
O15069	Q9BR01
O15105	P42229
O15105	Q15303
O15151	Q13029
O43236	P04632
O43474	Q14814
O43570	Q60I27
O43795	Q99615
O60269	P01375
O60282	O75781
O60500	P21860
O60759	P28907
O60907	P27540
O75015	P19878
O75368	P51911
O75369	Q9H222
O75478	Q04206
O75578	P03372
O75643	P17812
O75689	P09429
O75928	Q9NRG4
O95185	Q6UXZ4
O95551	P24394
O95704	P23142
O96020	Q8IX90
P01111	Q6ZTQ3
P02686	P04637
P02686	Q16620
P04053	Q9Y483
P04114	P28332
P05060	P62987
P05141	P51617
P05556	Q9H0R5
P06400	P16298
P06748	Q9Y6K9
P07195	P23246
P07332	Q00987
P07948	Q96S53
P0DMV8	Q9UIF7
P0DMV9	Q9UIF7
P08253	Q9H8Y8
P09496	Q07890
P09651	P62917
P10176	Q9P0J0
P10244	P43694
P10275	P29034
P10721	Q03113
P10827	P24928
P11802	Q9UBU8
P13805	Q14324
P15529	Q9UHC3
P17181	P24394
P17542	P55196
P18077	Q15758
P18615	Q03181
P18848	Q8TD31
P19338	P78371
P19438	P56524
P19525	Q04864
P19532	P50616
P20591	P23381
P21854	Q02556
P21926	P27658
P22087	Q00610
P25208	Q66K89
P26358	Q9NXR8
P27348	Q8TF05
P27635	P63279
P27635	Q99623
P27708	P43246
P31946	Q9Y265
P33176	Q93009
P33681	Q96CW1
P35527	P68371
P40925	Q9Y639
P40938	Q08050
P42224	Q9UGK3
P42858	P49815
P46379	P98160
P46734	Q14790
P48058	Q93045
P49454	Q00535
P49810	Q16186
P51116	P63000
P51397	Q00341
P51451	Q86YV5
P51813	Q86YV5
P51955	Q9BX63
P52209	P60709
P52565	Q9HCE7
P52815	Q03169
P54253	Q07954
P54257	Q8NEZ2
P54257	Q99698
P54274	Q5JR59
P55210	Q9UHQ4
P56524	Q15406
P60510	Q9P2T0
P60660	Q93009
P60866	Q8IX12
P61224	P62888
P61289	Q8NHQ1
P61353	Q01780
P61758	Q9ULV4
P62316	Q14103
P62826	Q8IVT5
P62877	Q13485
P63027	Q15173
P63027	Q6ZWJ1
P68371	Q15233
P68371	Q5T5U3
P68431	Q9NQC1
P78345	Q9Y5X2
P78559	Q99615
Q00887	Q99726
Q00987	Q16576
Q02297	Q9P2N4
Q05193	Q96CW1
Q06710	Q99697
Q07869	Q15672
Q12778	Q93008
Q12824	Q15406
Q12982	Q15257
Q13017	Q13393
Q13087	Q9H1R2
Q13185	Q96KK5
Q13351	Q92769
Q13427	Q9Y2A7
Q13536	Q15784
Q13557	Q96A65
Q13557	Q9BQE3
Q13569	Q9Y3V2
Q13643	Q9UBF9
Q14114	Q9Y698
Q14982	Q8WXS3
Q15468	Q9NYP9
Q15788	Q9P2R6
Q16555	Q8WY54
Q3T906	Q96D09
Q7L0J3	Q8TAC9
Q7Z3U7	Q8IUF1
Q7Z6Z7	Q96LC9
Q86XR7	Q9NYK1
O00165	P04908
O00186	Q9UN86
Q8TCU5	Q99996
Q8WUM0	Q9HAV4
O00444	Q9UQL6
Q99435	Q9H0M0
Q9BWQ8	Q9GZN7
Q9BX67	Q9HBL0
Q9BY77	Q9HC98
O00505	Q92750
O00635	P62829
O00754	P15153
Q9GZZ7	Q9UL12
Q9H8S9	Q9P2K8
Q9NPC6	Q9Y6X6
Q9UBU8	Q9UGL1
Q9UKI8	Q9Y252
Q9UQ16	Q9Y2R2
O14490	Q14114
O14512	P42681
O14649	Q8N3F8
O14776	O95400
O14836	P26842
O14901	Q9UKV0
O14936	Q9NZ94
O15143	P04233
O15554	O95613
O43294	Q15652
O43318	P38936
O43451	O75015
O43524	Q9NYF8
O43593	P38936
O43736	Q99714
O60260	P46531
O60264	Q16665
O60462	P46439
O60613	P35998
O60674	Q9UIF9
O60733	Q99801
O60925	Q71UM5
O75044	P00533
O75182	Q14192
O75676	Q15750
O75689	Q8WUI4
O75832	P05412
O75953	Q9UDY6
O94811	Q12829
O94906	P10301
O94972	Q9C0K7
O95232	Q9UKJ3
O95425	Q9HBE1
O95450	P02751
O95487	P22307
O95571	Q9UM63
O95741	Q9Y4E6
O95983	P61088
O95997	Q14974
P00367	Q05639
P01011	P02511
P01100	P61158
P01570	Q8NCG5
P02792	P42768
P04049	Q86X29
P04844	Q15363
P05388	Q8N752
P06493	P62834
P07101	Q8IVT5
P07437	Q9BW19
P07766	Q04759
P08047	Q15291
P08238	P68371
P08238	Q16658
P09382	P63267
P09471	P41732
P0C1S8	Q6J9G0
P10275	P62913
P10301	P53805
P10398	P61224
P10636	Q14344
P10914	P63279
P11362	P41743
P11388	P50613
P11388	Q99828
P11441	Q99615
P11912	Q9NWQ8
P12755	Q14739
P13645	Q9H0K1
P13807	Q01484
P14136	Q96PV0
P15056	Q9H1R3
P15056	Q9Y6M7
P15153	Q9BYG4
P15173	Q9UBX3
P15408	P16298
P16070	Q9BZE4
P17302	P55196
P17600	Q86SE5
P17812	Q9UHX1
P19438	P61073
P19525	Q15418
P20749	Q9Y2X7
P20941	Q93045
P20963	Q13114
P21860	Q99075
P22455	Q08345
P23497	P28838
P23945	Q9NR48
P24593	P38435
P24864	Q06609
P25963	Q8IUE6
P27701	P41732
P29728	Q9NPP4
P29966	P42262
P31151	P55789
P31749	Q14161
P31946	Q08050
P31947	Q9UNH5
P31995	Q9UQ26
P35268	Q8N752
P35520	Q92793
P35527	P62263
P36873	Q01831
P40763	Q9UKL0
P40938	P53350
P41567	P62324
P42262	Q99726
P42575	Q96P09
P42658	Q9UF11
P42679	Q86YV5
P42680	Q7Z698
P42681	Q86YV5
P46782	Q13895
P48995	Q07092
P49137	Q9Y4K3
P49789	P56693
P51003	Q9Y2X3
P51571	Q15628
P51608	Q9NP62
P52566	P55851
P56192	Q12789
P59046	Q9Y4K3
P60510	Q92598
P60660	P61619
P61201	Q12904
P62316	Q13523
P68133	Q13555
P82094	Q9UBS8
Q00537	Q9P0V3
Q01844	Q9NWB1
Q02078	Q07352
Q03164	Q13185
Q04771	Q92886
Q06413	Q96FS4
A6ZKI3	P36404
Q12923	Q14BN4
Q13107	Q15643
Q13224	Q8TBB1
Q13283	Q14108
Q13287	Q13535
Q13347	Q9UER7
Q13402	Q92667
Q13428	Q9NYL9
Q13485	Q14103
Q14005	Q9NZD8
Q14164	Q7L3B6
Q14168	Q16352
Q15398	Q5BJF2
Q15572	Q92759
Q5PRF9	Q9P0V3
Q6UUV7	Q92974
Q7Z3U7	Q9BYX7
Q7Z6Z7	Q9UM63
Q8ND76	Q96NE9
O00303	Q15056
Q8TAC9	Q96EX2
Q92572	Q9UBT2
Q96BD5	Q9NP62
Q96QZ7	Q9H9E1
Q99623	Q9BTK6
Q9BV36	Q9H707
O00560	P51617
Q9HCU9	Q9XRX5
Q9NYF8	Q9UBT2
O14787	Q99986
O14901	Q96K80
O14980	Q96HL8
O15105	P68400
O15111	P24941
O15503	Q9BZE9
O43699	Q9NQ94
O43736	P22303
O43914	Q13191
O60404	O75679
O60506	Q9NYF8
O60563	P23769
O60603	P84095
O60613	P0C0S5
O60613	Q16718
O60716	Q9NWQ8
O60869	Q13352
O75335	Q14160
O75674	Q8IVH8
O75771	P16104
O95831	P25445
P00519	Q9UJM3
P01570	P78369
P02671	P02774
P03372	Q13315
P04040	P56817
P04233	P25105
P04350	Q9H7V2
P04406	P20700
P05412	Q03169
P05412	Q96PM5
P06239	Q15750
P07737	P62993
P07948	Q92597
P08754	Q9NZC3
P10398	Q06418
P10415	P21333
P10809	P17066
P11137	Q92667
P12004	P14921
P12931	P24666
P12931	Q86WI3
P13349	Q8WWR8
P15391	P61981
P15923	Q12906
P15924	P31943
P16871	Q12918
P17655	Q13625
P17655	Q14247
P17858	P52943
P17980	P60510
P19525	P38936
P20810	Q8WV28
P20823	Q92585
P21127	P46527
P21860	Q6ZV89
A6NIZ1	P04049
P23467	P42679
P25705	P50914
P25963	Q99496
P28074	Q9BPX1
P30291	P36897
P30533	Q9H9E1
P32780	Q14188
P33076	Q9BUB5
P33991	Q9BZK7
P35236	Q13233
P38159	P49863
P38398	Q9HAW0
P38646	P42224
P41161	Q08050
P42658	Q8TAC9
P43034	Q96RK4
P46937	Q13523
P48788	P62750
P49411	P50991
P50591	Q8WVN6
P50993	Q8WUY3
P51159	Q9H3U5
P51587	Q8IYD8
P51787	Q8WY22
P51812	Q00613
P52429	Q96QK1
P52434	Q9Y295
P52564	Q9BV47
P52735	P63267
P52737	Q8WWR8
P53680	Q9P1A6
P54132	Q15691
P54136	Q92636
P54253	Q13485
P55083	Q9Y646
P55199	Q99856
P55265	Q8IU60
P55884	Q9UQ88
P57059	Q6PKG0
P60709	Q13705
P60880	Q9UK28
P61024	Q99643
P61764	Q99457
P61764	Q9UQB3
P61956	Q92731
P61962	P62266
P62195	Q01813
P62753	Q13057
P62837	Q8TEB7
P62847	Q12933
P62993	Q15759
P63279	Q12824
P63279	Q9BVA1
P63279	Q9GZX5
P67809	Q96KB5
P67870	Q14676
P68133	Q14192
P78410	Q13651
P78552	Q7Z3B3
P84022	Q15149
P84074	Q9ULB1
P84085	Q7L5N1
P84243	Q9Y689
P98082	Q99062
P98160	Q9HCU0
Q00005	Q9UPY8
Q00610	Q15046
Q00613	Q05397
Q00688	Q7LG56
Q00887	Q12840
Q00887	Q8TC59
Q00887	Q9NRC6
Q00889	Q96IZ2
Q02156	Q9NYA3
Q02790	Q9Y266
Q02978	Q9Y2R9
Q03001	Q96JB5
Q03135	Q5TCQ9
Q04724	Q15723
Q05193	Q7L190
Q05397	Q8N488
Q05516	Q9Y232
Q05639	Q9GZS3
Q06323	Q99962
Q06609	Q9BVW5
Q06828	Q6FHJ7
Q07654	Q6ZT07
Q07666	Q92973
Q07912	Q92870
Q08117	Q14192
Q0VDD7	Q13098
Q12769	Q8N4L8
Q12770	Q12980
Q12841	Q99969
Q12852	Q92569
Q12959	Q13094
Q13011	Q9BYW2
Q13155	Q96KB5
Q13164	Q96PU5
Q13233	Q8IUC6
Q13263	Q15208
Q13291	Q14155
Q13304	Q14088
Q13309	Q96G25
Q13422	Q9Y6J0
Q13427	Q92625
Q13427	Q9Y383
Q13480	Q9Y3P8
Q13490	Q9P0J0
Q13523	Q8WVM8
Q13796	Q86W47
Q13885	Q9Y657
Q13887	Q8N9B5
Q13887	Q92585
Q14093	Q86XX4
Q14108	Q9H1R2
Q14192	Q96P20
Q14839	Q9NTJ3
Q14982	Q96EX2
Q15022	Q8NHZ7
Q15208	Q6WCQ1
Q15311	Q9BUF5
Q15424	Q9BYZ2
Q15468	Q9NRZ9
Q15475	Q8WWR8
Q15637	Q8IVF7
Q15746	Q9UPN3
Q16236	Q96EB6
Q16531	Q8NEB9
Q33E94	Q9BTK6
Q3V6T2	Q99689
Q4J6C6	Q9Y4E6
Q4LE39	Q9UKT9
Q59EK9	Q8WXI2
Q5T5C0	Q96C24
Q7Z419	Q9Y2X8
Q86VZ2	Q92993
Q86WP2	Q9H981
Q8IU85	Q9NSY1
Q8IUQ4	Q8WVN8
Q8IWZ3	Q9H254
O00115	P15586
O00151	Q00403
Q8IZQ1	Q9NX00
O00232	Q93009
O00257	Q13309
O00273	Q13310
Q8NI51	Q9UJW3
Q8TDI0	Q99962
Q8TEW6	Q96RT1
Q8WWZ1	Q9HB29
Q8WYP5	Q9NRI5
Q92561	Q99689
Q92597	Q92729
Q92613	Q9Y4A5
Q92616	Q9Y2K7
A2CJ06	O60941
A2CJ06	P46939
A2CJ06	Q13474
O00308	P24158
O00401	Q9HD26
O00445	P49798
O00483	O95167
Q96EV8	Q9Y6Q9
Q96EY1	Q9HB09
Q96RT1	Q9C000
Q99062	Q9Y2R2
Q99873	Q9UBT2
Q9BXS0	Q9Y5Z0
Q9BYG4	Q9NR80
Q9C0J9	Q9HBZ2
O00571	P67775
O00750	O75312
Q9H2X6	Q9NSC2
Q9NQW7	Q9UPW5
Q9NVI1	Q9Y575
Q9P0K7	Q9Y6M7
Q9UHD2	Q9UKE5
Q9UMS4	Q9Y383
Q9UNN4	Q9Y2W1
Q9UNP9	Q9Y294
Q9UNS2	Q9Y4K3
O00763	Q15654
O14492	P09917
O14512	P78329
O14512	P78357
O14543	Q9GZQ8
O14593	P51532
O14593	Q09472
O14654	Q13153
O14654	Q9BXW9
O14686	Q9UKB5
O14830	O43525
O14908	P63096
O14920	P10145
O14920	P55084
O14933	P53804
O14964	Q93034
O14965	Q86XI2
O15111	Q9UHB6
O15151	Q13233
O15287	P09211
O15287	P17096
O15294	P06493
O15303	O95925
O15355	Q99697
O15379	P04049
O15379	P10145
O15392	Q9BTX1
O15442	P00558
O43143	Q14694
O43150	P35869
O43184	P03372
O43255	P61586
O43283	P21580
O43304	P04350
O43318	P24941
O43318	P49368
O43439	P17482
O43464	P04632
O43541	Q86Y07
