O00273	Q9GZV5
O43557	Q9NWF9
O43592	P78356
O43597	Q13686
O43760	P13498
O43896	P49407
O60235	Q9Y342
O60269	Q96IF1
O60282	Q96EX2
O60296	P46934
O60359	Q04917
O60641	Q9H902
O60641	Q9Y2H9
O60674	O60885
O60674	Q13158
O60674	Q15139
O60759	P14222
O60763	P32856
O60925	Q9UBC5
O75044	Q15393
O75083	Q13094
O75159	P13866
O75182	Q13263
O75293	P48681
O75493	P51693
O75494	Q9NZQ3
O75593	Q9H1R2
O76064	P24928
O76096	P34910
O94762	P49711
O94811	Q16799
O94826	P42704
O94832	Q5EG05
O94874	P51809
O94874	Q5VZL5
O94888	Q9UKB1
O94921	P10276
O94941	Q8IUQ4
O94956	P04440
O94989	P52961
O95229	P07437
O95376	P60604
O95411	Q69YQ0
O95425	Q9Y4B4
A6NDK9	Q02156
A6NDN3	Q02156
O95487	Q92769
O95551	P62269
O95613	Q03001
O95670	P31321
O95704	Q13526
O95782	P18124
O95965	Q08397
O95994	P10451
P00519	P35869
P00738	P98164
P00749	P30273
P00751	P11215
P00915	P05015
P01106	P30622
P01730	P78508
P02686	P35236
P02778	P09914
P02778	Q13651
P04049	P19838
P04179	P30793
P04198	P28482
P04350	Q8WWZ3
P04626	P51617
P04626	Q00613
P04637	Q8TAD8
P04637	Q9NVW2
P05107	P20273
P05198	P62753
P05386	Q8IUE6
P05412	P52333
P05412	Q12834
P05976	P07951
P06241	Q13164
P06702	P12272
P06702	P31947
P06748	Q8WYH8
P07195	P52272
P07196	Q9P0N9
P07197	P0DP23
P07197	P0DP24
P07197	P0DP25
P07437	Q92785
P07737	P47736
P07951	Q02221
P07951	Q13765
P07996	Q99727
P08047	P60484
P0DMV8	Q96GM5
P0DMV9	Q96GM5
P0DMV8	Q9NQS1
P0DMV9	Q9NQS1
P08237	P46778
P08493	Q9BX67
P08648	Q07092
P08670	Q96PU5
P09619	P41271
P09874	Q96ST3
P09912	P38398
P10124	Q16617
P10275	Q9H788
P10275	Q9P0W2
P10276	Q14145
P10586	Q13393
P10645	Q96BY2
P10828	Q9UBW8
P11137	Q9UL51
P11182	Q15758
P11274	Q15831
P11387	Q96PM5
P11509	Q92784
P11586	Q13206
P11712	Q9HBB8
P11831	P12883
P11940	P62979
P12004	P42229
P12109	P23142
P12829	Q9Y6X6
P12883	Q07343
P13010	Q14526
P13995	Q8NCD3
P14616	Q8TD08
P14618	P20929
P14625	Q8IUC6
P14678	P63104
P14859	Q9Y4B4
P15538	P26436
P15882	P52735
P16104	Q14694
P16150	Q13464
P16284	P35869
P17213	Q9UM07
P17542	Q96EB6
P17677	Q9Y4K3
P18507	Q9BPW8
P18583	P31942
P19086	P46439
P19105	Q02809
P19438	P56945
P19544	P30307
P19544	Q96KB5
P19838	Q9UIS9
P20138	Q16288
P20336	P63215
P20701	Q03405
P20749	Q9Y4A5
P20823	Q16539
P21127	Q9P2H0
P21796	P62191
P21918	Q9GZK3
P22087	Q8TEQ6
P22087	Q9H840
A6NI86	Q02156
P22612	Q04864
P22626	Q8WXX5
P22692	Q9UKU9
P23258	Q8ND90
P23443	Q8TEW0
P23467	Q02297
P23468	Q9H7V2
P23497	Q9Y618
P23511	Q6W2J9
P24522	Q99638
P24941	Q86Z02
P25098	Q01959
P25098	Q14449
P25205	Q00526
P25445	Q9NWQ8
P25788	P43320
P25963	Q15583
P26196	P60842
P26436	Q86XX4
P26641	Q13569
P26842	Q9NYJ8
P26998	Q9BWT7
P27694	Q9H9Q4
P27708	P61962
P28039	Q9UBW5
P28482	P53041
P28827	Q75N03
P28908	Q9NWF9
P29323	P54756
P29350	Q96RD9
P29353	Q13470
P30281	Q92574
P30291	Q9H3Y6
P30307	Q8WZ19
P30530	Q15149
P30793	P31689
P31260	Q6GTX8
P31749	Q00994
P31749	Q16531
P31946	P49795
P32121	Q15654
P32519	Q99814
P32780	P51812
P33681	P52961
P34910	Q15669
P34972	Q92750
P35232	Q00653
P35244	Q13352
P35268	Q13895
P35318	P61769
P35609	P63316
P36507	Q8TD08
P36897	Q9H4A3
P37198	Q96FC9
P38398	Q9UK58
P39880	Q99814
P40763	Q9NZN5
P41134	Q15008
P41970	P78345
P42262	Q96BY2
P42566	Q15011
P42574	Q9Y2R2
P43004	P49841
P43034	Q99459
P45880	Q05086
P45983	Q03060
P45985	Q00613
P47928	P78345
P48201	P56385
P48728	Q14011
P48729	Q16594
P48736	Q9UQ13
P48788	Q59H18
P49116	Q86VZ2
P49327	P62879
P49715	Q00839
P49736	Q8NFT6
P49757	Q02447
P49757	Q86VP1
P49757	Q96PM5
P49768	Q92793
P49841	P50613
P49841	Q9UNH5
P52292	Q9NPD8
P53611	Q92905
P53990	Q9H4I2
P54257	Q02833
P54920	Q96CW1
P55199	Q8TDN4
P55201	Q9NXR8
P60880	Q13634
P80098	Q04941
Q00887	Q02446
Q01543	Q8N9N2
Q04912	Q9H204
Q13045	Q13568
Q13546	Q9BV68
Q14192	Q15717
Q14626	Q99062
Q15628	Q9NQC7
Q15884	Q8TCN5
Q5FBB7	Q9BVP2
Q5S007	Q99719
Q5SW79	Q6PKG0
Q69YW2	Q93045
O00141	Q9Y4H2
Q92922	Q9BQG0
Q96QZ7	Q9UJU2
Q9UBK9	Q9ULV4
Q9UPU9	Q9Y2A7
O14559	Q92918
O14594	Q59EK9
O14649	O94915
O14713	Q13418
O14929	Q13619
O15360	P35232
O15379	Q5TKA1
O15527	P49840
O60565	Q01995
O60880	P48023
O75031	Q9C0G6
O75379	P15336
O75448	Q9UHK0
O75531	Q9NYJ1
O94776	Q06609
O94874	Q99081
O95376	Q9Y316
O95379	P07948
O95714	Q8NF91
P01236	P47989
P04844	P13667
P05388	Q93009
P06239	P51398
P06734	P30419
P08922	P20138
P10398	Q12852
P10809	P51948
P11387	Q12933
P11473	Q15418
P13671	P31995
P14151	Q53QZ3
P15924	Q9NQB0
P16070	Q05209
P17987	Q9Y5J1
P19022	P29120
P21246	P21709
P22455	P51451
P27695	Q9NS56
P32780	P61088
P35346	Q08378
P35908	Q92750
P39880	Q9UQ80
P43686	Q9Y6K9
P50552	Q9BYD2
P51532	Q9BXW9
P51959	Q01094
P52333	P63000
P55060	Q16665
P61296	Q02363
P0DP23	Q13523
P0DP24	Q13523
P0DP25	Q13523
P62241	Q14152
P62258	Q9Y2W1
P62330	Q9H3N1
P62888	Q969G3
P62937	P68104
Q00536	Q9UMS4
Q00537	Q16658
Q01094	Q01196
Q03164	Q9NQB0
Q03468	Q9H7B4
Q03518	Q14790
Q05397	Q99962
Q05655	Q13596
Q05655	Q8IZP0
Q07343	Q8N4L8
Q12840	Q7Z3B3
Q13370	Q92934
Q13428	Q9NYF8
Q13554	Q9NYI0
Q14011	Q8IZQ1
Q15526	Q9Y6N1
Q15811	Q9BYG5
Q16666	Q9NR56
Q53EZ4	Q92820
B2RTY4	P46940
Q5TCZ1	Q9UI95
Q66K89	Q96FV9
Q6P597	Q8ND76
Q71UM5	Q9BSJ8
Q7Z3U7	Q9Y4W6
Q8IUE6	Q9BXF6
Q8IXI2	Q8TDR0
Q8IZD9	Q9UMY4
Q8N5S9	Q9Y2J2
O00187	P13671
O00213	P00750
O00214	P21802
Q8TAE8	Q9P0J0
Q8TC07	Q92636
Q8TF40	Q969E8
Q8WTT2	Q9BZE4
Q8WW22	Q9NZP6
Q8WYK2	Q99941
Q92793	Q9Y2D1
Q969H0	Q9BXM7
Q96NW7	Q96PV0
Q99683	Q9C0K7
Q9BY77	Q9ULJ8
Q9BZQ4	Q9UL68
Q9H1R2	Q9UMN6
Q9NPI1	Q9NRG4
Q9NZC7	Q9Y2U5
Q9Y297	Q9Y3C5
O14602	Q14232
O15111	P42766
O15160	Q9BQA1
O15392	P05455
O15446	P42704
O15511	Q13185
O43294	Q07890
O43353	Q9UHB6
O43741	Q9BSB4
O43795	Q13576
O43918	P04150
O60674	Q9ULH1
O60674	Q9Y3F4
O60763	Q96C24
O60825	P49760
O60825	Q93045
O75030	P51532
O75376	Q13029
O75376	Q2VWA4
O75398	P13807
O75794	P11802
O76070	O95229
O94885	Q9BWU1
O95166	Q969W9
O95400	Q68DV7
O95433	P68366
O95997	P09086
O96017	P51668
O96020	Q9Y5N6
P00533	Q13418
P01112	P07900
P01584	P02649
P02655	Q9NZC2
P04053	Q2M1K9
P04183	P33316
P04264	P34931
P05412	Q8WUI4
P05452	P35749
P05787	P06748
P06241	P51965
P06748	Q8IW41
P07602	P23467
P08047	P27694
P08047	Q12874
P08519	Q14520
P09105	Q9UDY6
P09497	Q14164
P09936	P10599
P10071	Q9UKT4
P10412	Q9ULD4
P11362	Q9P104
P12814	P29323
P15085	P40313
P15260	Q09472
P15336	Q13569
P16104	P49848
P17600	Q13370
P17612	Q13464
P17947	Q9H3D4
P18433	Q8IVH8
P19022	P51532
P19438	P55854
P20248	P50750
P21333	Q9GZV5
P21741	P46379
P22102	P24941
P25963	Q9UQ35
P27797	P49459
P30086	Q8IX03
P30291	Q9Y2W1
P32314	Q00887
P32856	Q02410
P35555	Q9NZV1
P37198	Q92973
P38398	Q9H944
P39748	Q99729
P41134	Q9C0A0
P42768	Q00610
P42768	Q13547
P42858	Q9UM63
P43630	Q03518
P46527	Q969H0
P49674	Q9BXA7
P49757	Q06187
P49842	Q09028
P54132	Q9UKT4
P62277	Q9ULX6
P62760	Q9UBL0
P63000	Q15208
P63104	Q15811
A7KAX9	P07437
Q13422	Q13950
Q13882	Q16827
Q13885	Q9UBB9
Q16553	Q96AZ6
Q16643	Q6Q0C0
Q5VTL8	Q86X27
Q5VWQ8	Q92616
Q6UXZ4	Q8IZJ1
Q7L5N1	Q9GZT8
Q86YV5	Q9H3Y6
Q8IX05	Q96IP4
Q92569	Q99102
O00470	O75935
O00716	O60563
O14492	Q92918
O14746	Q13547
O14777	P35269
O15235	P19388
O15519	Q8WUI4
O43164	Q92624
A4D2B8	P54132
O94776	P19838
O95073	Q13315
O95983	Q99459
P00533	Q8NEM2
P04637	P10451
P05412	Q13487
P06127	P60953
P06493	Q9HC98
P06576	P62263
P06702	Q86SG5
P06748	P25787
P07947	Q13352
P0C1S8	Q9H3Y6
P11171	Q00597
P13637	Q96T58
P13688	Q14449
P14373	Q5JST6
P14927	P61313
P15531	P21673
P17302	Q92997
P17535	P56524
P25208	P35398
P27361	Q13257
P30305	Q96IF1
P45985	Q13326
P48729	Q8NHY2
P49760	Q14739
P50749	Q92624
P51948	P55209
P51955	P81274
P55199	Q15648
P55795	Q7Z739
P61586	Q13563
P78527	Q9UIA9
Q00987	Q07890
Q01085	Q14974
Q05513	Q16555
Q13309	Q9UK73
Q13516	Q9Y4J8
