P42771	Q13263
Q13263	Q8N726
Q93009	Q9NS91
Q13467	Q68DV7
O14641	Q13467
Q16665	Q9UK53
P49005	Q9Y253
O00141	Q13526
Q13114	Q96A37
Q96A37	Q9Y4K3
Q7Z434	Q96A37
Q02241	Q9NRM7
P46934	Q9H4B6
P46934	Q9NRM7
Q92769	Q9Y4B6
O15379	Q9Y4B6
Q9BY41	Q9Y4B6
O15379	Q16531
Q16531	Q9BY41
Q16526	Q93009
P31943	Q16526
P26599	Q16526
P78527	Q16526
P68104	Q16526
P13639	Q16526
P61978	Q16526
P62258	Q16526
P55795	Q16526
P52597	Q16526
P31040	Q16526
P42704	Q16526
P60842	Q16526
Q06830	Q16526
P30153	Q16526
P63104	Q16526
Q16526	Q7Z6Z7
Q16526	Q49AN0
P07437	Q16526
P07814	Q16526
Q07666	Q16526
P06748	Q16526
P21333	Q16526
P62979	Q16526
P11940	Q16526
Q16526	Q16891
Q14240	Q16526
P27348	Q16526
P17987	Q16526
P49321	Q16526
P50990	Q16526
Q16526	Q93008
P25705	Q16526
P43686	Q16526
P62714	Q16526
Q15365	Q16526
P49189	Q16526
P31946	Q16526
P05141	Q16526
P62333	Q16526
P50991	Q16526
P43243	Q16526
O75592	Q16526
Q16526	Q9Y265
P62195	Q16526
P11586	Q16526
P31689	Q16526
P62263	Q16526
Q12906	Q16526
Q00839	Q16526
P22314	Q16526
P11021	Q16526
P0CG47	Q16526
P53396	Q16526
P12268	Q16526
P54136	Q16526
P22234	Q16526
P49327	Q16526
P41252	Q16526
P51784	Q16526
Q13162	Q16526
Q16526	Q9Y230
P13645	Q16526
P40227	Q16526
P62191	Q16526
O43242	Q16526
P33993	Q16526
P0DMV8	Q16526
P35908	Q16526
P14618	Q16526
Q15029	Q16526
P0DMV9	Q16526
Q13263	Q16526
P14866	Q16526
P25205	Q16526
Q16526	Q6P3W7
P51991	Q16526
O75489	Q16526
P49915	Q16526
P23246	Q16526
Q14974	Q16526
P14868	Q16526
P41250	Q16526
Q06203	Q16526
O14744	Q16526
P23396	Q16526
P27635	Q16526
P56192	Q16526
Q07021	Q16526
P33991	Q16526
P10599	Q16526
O00231	Q16526
P13010	Q16526
Q16526	Q9BQA1
Q13310	Q16526
Q04917	Q16526
Q16526	Q9H361
P78527	Q49AN0
Q49AN0	Q7Z6Z7
P78371	Q49AN0
O14929	Q49AN0
P13639	Q49AN0
O00571	Q49AN0
P60842	Q49AN0
Q49AN0	Q93009
P42166	Q49AN0
P42167	Q49AN0
P61978	Q49AN0
P04843	Q49AN0
P21333	Q49AN0
P62258	Q49AN0
P53396	Q49AN0
P07814	Q49AN0
P41252	Q49AN0
P68104	Q49AN0
P42704	Q49AN0
P0DMV8	Q49AN0
P23396	Q49AN0
O15027	Q49AN0
O43242	Q49AN0
Q49AN0	Q92945
O15523	Q49AN0
P55072	Q49AN0
Q49AN0	Q9Y230
Q49AN0	Q9H773
Q14240	Q49AN0
O95816	Q49AN0
P48741	Q49AN0
Q16531	Q49AN0
P63151	Q49AN0
Q07666	Q49AN0
P49411	Q49AN0
P19338	Q49AN0
Q05639	Q49AN0
P22234	Q49AN0
P35998	Q49AN0
P62195	Q49AN0
P15880	Q49AN0
P33993	Q49AN0
P49327	Q49AN0
O43143	Q49AN0
P43243	Q49AN0
Q15233	Q49AN0
O95071	Q49AN0
P48643	Q49AN0
P11142	Q49AN0
Q49AN0	Q9UJX3
Q49AN0	Q92841
P31040	Q49AN0
P50991	Q49AN0
P10809	Q49AN0
O00231	Q49AN0
Q49AN0	Q99615
P14868	Q49AN0
Q49AN0	Q9UPY3
P08238	Q49AN0
P05023	Q49AN0
P55265	Q49AN0
P41250	Q49AN0
P11586	Q49AN0
P43686	Q49AN0
Q15029	Q49AN0
Q49AN0	Q99460
Q49AN0	Q6DKJ4
O75643	Q49AN0
