O75398	P35568
P10145	P37173
P37173	Q01892
P02458	Q4AC94
P02753	Q68CZ2
P04003	Q6UW15
P47712	Q96T37
P31271	Q9UKN7
P07996	P55290
O15524	P61812
O14936	Q9BYP7
Q9H4A3	Q9Y243
Q9UK32	Q9Y3S1
P09341	P22692
P28799	P29279
P25067	P37173
P00747	P48023
P01023	P48960
O14944	P50552
Q05193	Q13888
O60858	Q14790
P46934	Q6AZZ1
P78352	Q8IWV2
O94813	Q96PX9
O75367	Q9H0E9
P46531	Q9NRA1
P11230	P51805
P11230	P98172
P0DML2	Q86WN2
P0DML3	Q86WN2
P00519	P01588
P00519	P20809
Q07812	Q15075
Q03181	Q15561
P04201	Q8TE12
Q9BZS1	Q9UIF9
P00751	P01008
P08887	Q8N4X5
Q13438	Q8TBB1
Q96LT9	Q9UNP9
P08620	P35070
Q00059	Q06945
P00748	P01127
P17275	P29317
O15514	Q15544
Q03135	Q676U5
O75382	Q92561
A0FGR9	Q9BXJ3
Q8WXI2	Q9P0R6
Q96GZ6	Q9UHD9
Q5SZQ8	Q9Y2W6
P06396	Q01082
O43586	Q6UXY1
Q7Z6J0	Q99963
Q92692	Q9UNN8
P08572	P50552
O00562	Q04759
P53350	Q9HC52
Q99543	Q9NQY0
P02461	Q9UHF1
Q9Y219	Q9Y657
P09493	Q9Y6Q9
O43294	Q13158
P05156	P49810
Q8TAC2	Q96LJ8
Q8TAC2	Q9BZL1
O00233	Q9C0E4
P05019	P26441
P55040	Q5TH69
P51159	Q70Z35
P09619	Q9UL54
O15304	O95379
Q8IZT8	Q9NNX6
O95631	Q9Y266
P07478	Q6W4X9
Q13795	Q8WU20
P22061	Q9UET6
Q9HBT6	Q9Y5E4
O14917	Q9Y5H7
Q92565	Q9UQ16
P19474	P25787
P02753	Q14258
O75689	Q14289
O43482	Q9P2W1
P23246	Q9Y294
Q14814	Q6ZV89
P61204	Q86VZ2
Q92752	Q9H6B4
O15344	Q9Y679
P01111	P19878
P00451	Q5VST9
P43626	Q8N6C5
P46060	Q8TF47
P13726	Q9NZC2
O75385	P25098
O14757	P49137
P16591	P51812
P53671	P78368
Q07912	Q14004
Q02763	Q8N5S9
Q06323	Q9BXF3
Q969Q5	Q9UJY5
P23458	Q9UKI8
P10911	P63096
O60259	Q92569
O75164	P16333
P08476	Q5JVG2
O14944	Q92904
Q8N9W6	Q9P1W9
Q16671	Q9Y576
Q9HBE1	Q9Y576
Q15465	Q6UXK2
P28482	Q6PHR2
O14936	Q99683
O60449	P02775
P20338	Q15437
P54646	Q96RU8
Q9UEW8	Q9UK32
P16234	P24821
P28360	Q06546
Q8N5H7	Q9UQQ2
O00187	P13501
P53667	Q6ZUT3
Q9H6Q3	Q9NQ38
Q9BV35	Q9Y566
O60260	P49815
P09769	Q13393
Q14118	Q15465
Q14012	Q8NCB2
P04216	Q99435
P33402	Q9H2P0
Q9HDB5	Q9P2S2
P27487	Q9UDY8
P49767	Q9BZP6
Q13356	Q9UMS4
P0DP23	P10644
P0DP24	P10644
P0DP25	P10644
P08246	Q8N143
Q3LI58	Q9NQ38
A6NI72	Q9NRD9
Q8NFT8	Q9UBP9
O14979	Q9UHX1
P00751	P06870
P06241	P20794
P20160	P22891
P22891	P23946
P05156	P57727
P15735	Q00536
Q00536	Q08881
Q00526	Q13627
P05981	Q14520
P35626	Q15131
Q00536	Q15139
P26927	Q92743
P06241	Q96Q40
Q15131	Q96RU7
P06681	Q9H3S3
P09769	Q9HAZ1
Q13557	Q9NYV4
O43240	Q9NZP8
P06870	Q9NZP8
Q13043	Q9UHY1
Q86Z02	Q9UHY1
Q99895	Q9UKR0
Q9H422	Q9UQ07
Q9UQ88	Q9Y6R4
P49675	Q06413
O95935	Q13485
O94826	Q16623
P51153	Q53QZ3
Q09FC8	Q8TBJ5
O95210	Q14315
Q86V81	Q8IY67
P49863	Q9NSI8
O14640	O14939
O14640	P29317
Q13616	Q14139
P55289	Q96N03
Q06945	Q9BT81
Q92561	Q9BXJ3
P29317	Q9NYJ7
Q9BRK5	Q9Y2J0
Q9UK73	Q9Y2K6
P09326	P20138
Q13418	Q92949
A1KZ92	Q9NYA1
Q9H0F7	Q9UG01
P20701	P50591
P01569	P60568
P18084	Q13308
P09471	Q14155
P04439	Q14213
Q03164	Q7Z3T8
O60861	Q8TBB1
O75592	Q92729
P41743	Q96SI9
P14317	Q9BZL6
P12272	Q9NQS3
Q5ZPR3	Q9UNN8
Q9UNN8	Q9Y279
P20594	P39086
Q2M1V0	Q969G2
P03999	Q9GZP7
P51685	Q9GZP7
P29074	Q9UPQ7
P05161	Q9Y2X8
P19086	Q92599
O95096	P13010
O14939	P13726
O14944	Q14004
P23193	Q8IZD2
Q05655	Q8N5D0
P24522	Q99741
Q92575	Q9BS26
Q13490	Q9NQB0
Q08174	Q9Y5E5
Q9NYQ8	Q9Y5E8
P16333	Q7Z6B7
P42684	Q9BY11
Q8IZP0	Q9NQ75
P07203	P13501
Q7Z494	Q8TAM2
O94769	P00747
P08648	Q13349
P17252	Q68G74
O75351	Q9H222
O43353	Q9NQ38
Q9HCE7	Q9UKB1
P02549	Q9UL15
P0DI81	P56377
P0DI82	P56377
Q6ZR37	Q7L591
Q13404	Q9UJU6
Q13404	Q9UN86
P55290	Q8TER0
O60806	Q9Y6N7
Q86UP0	Q9Y6N7
P83731	Q9H492
O00213	Q9NYB0
P15813	Q9UL17
P0DP23	P59282
P0DP24	P59282
P0DP25	P59282
Q16643	Q504T8
Q9BSE4	Q9BZ67
Q9NZL6	Q9ULM0
P21359	P29274
P37275	Q15465
Q12849	Q6PIY7
O14753	Q8TC59
P22301	Q92835
Q5ZPR3	Q9BZS1
Q6PIY7	Q9NRJ5
P23497	Q9UKI9
Q8TBP5	Q8TDI0
P07477	Q92561
P29074	P35240
P01903	P35968
O75191	Q14410
P29317	Q16825
Q8IU80	Q93045
Q96GC6	Q96JM2
Q14119	Q9Y5A6
O14543	Q9Y5X1
P51148	Q9UQ16
Q9UL26	Q9UQ16
P41743	P63172
P06241	Q15047
P14651	Q15583
O15530	Q8N5V2
O15530	Q969H4
Q7L591	Q9BZL6
Q9BZL6	Q9ULL1
P42679	Q9UMS4
Q9UDY8	Q9Y2H6
O00213	Q9Y5S2
P16157	Q13277
P49757	Q96M96
Q8WZ75	Q9Y2I1
A8MW92	O75044
O94885	O95271
A0AV96	P14866
P49459	P68543
A4D1S0	Q13241
P50479	Q14160
Q13242	Q4VXU2
Q6ICB4	Q6WCQ1
Q01085	Q6XE24
Q6XE24	Q86V81
Q6ICB4	Q8IWE5
Q68DC2	Q8N6K7
Q15907	Q8N8L6
Q8N8V4	Q8NA19
Q8IWT1	Q96BF3
Q01085	Q96DU9
Q14160	Q96JY6
Q8IUN9	Q9BWP8
Q8WTT0	Q9BWP8
Q13094	Q9BYL1
Q8NA19	Q9BYL1
Q8WZ64	Q9BYL1
Q969H4	Q9BYL1
P49459	Q9H0A6
Q8N8L6	Q9H0U4
Q53GG5	Q9H6Y5
Q8N4F7	Q9NPD8
Q4VXU2	Q9Y3B4
Q8NCF5	Q9Y679
Q8IUN9	Q9Y6Z7
O75360	P20823
O14813	P35680
P35240	P35711
P35240	P35712
P04085	P37023
P17081	P49137
O00409	P54274
P01019	P78423
O95813	Q13829
O43294	Q16270
P20823	Q5XKR4
Q6SA08	Q8N9W6
Q04759	Q8WZ73
P30626	Q92667
P23246	Q96LI5
Q12849	Q96LI5
Q8NG27	Q96PM5
Q08170	Q96RS0
Q92667	Q96RU7
P35680	Q99453
P15056	Q99728
Q02779	Q99986
P63165	Q9BZE4
P46109	Q9C0K7
P54725	Q9H2G2
Q8TB45	Q9H3D4
P54252	Q9HA38
P20823	Q9HBU1
Q13387	Q9P035
Q9BQ16	Q9UI32
P49639	Q9UKN7
P06850	Q9UNN5
O14641	Q9Y261
Q92968	Q9Y6R0
P31271	P51531
P10398	P68543
P10398	Q5T124
P20936	Q8N8L6
O15119	Q96C24
P42336	Q9BVT8
O00220	Q9BXH1
P46379	Q9BZL1
P32238	Q9HBW0
P05129	P36406
P17081	P51955
P51149	Q13283
P61586	Q14004
O60449	Q70J99
Q13283	Q86YS6
P22674	Q8TDC3
P00747	Q99466
Q96HC4	Q9BWV1
P04275	P26717
P01241	Q4KMG0
P16109	P22897
P11171	Q68DX3
P20138	P50895
P62820	Q05193
Q01974	Q14324
P24821	Q14CZ8
P51153	Q8IVW1
P24821	Q9UIB8
Q9UQP3	Q9Y286
A8MTJ3	P20339
P20336	P29992
Q86X27	Q8TEW6
P27986	Q92730
Q12923	Q96PU4
P29317	Q9UN30
Q9H4B6	Q9UQC2
P61088	Q6IS14
Q12873	Q9H489
P01019	P02790
P04626	Q4KWH8
P56693	Q9NZR4
Q96AX9	Q9Y2E6
Q15075	Q99962
P32004	Q02410
Q02410	Q9P232
O43294	P00750
O43294	P09871
P61978	Q969H6
Q5VT25	Q9BYT3
P40337	Q9NPC7
Q13233	Q9NRC6
P11277	Q9Y616
O14788	P24821
O00763	P31749
P0DMS8	P32245
P0DMS9	P32245
O43294	P41743
O94813	P46109
P35548	P55210
O75563	Q05655
P49640	Q06546
P35548	Q14790
P61073	Q16602
Q8TDI0	Q92993
Q14767	Q9BU40
P06127	Q9HCK4
O00499	Q9NQB0
P10586	Q9NQS3
Q9NPG4	Q9NQS3
Q9NQ25	Q9NZN1
Q13634	Q9Y6N7
O15273	P12107
P01116	P19086
O60667	P43146
P43146	Q04912
O14944	Q14289
Q70E73	Q96JH8
P50895	Q96RL6
Q13884	Q9BX66
P31997	Q9BY67
Q96RL6	Q9BY67
Q7Z6A9	Q9HBG7
P50570	Q9UL25
Q05193	Q9ULW5
Q14896	Q9Y286
P19320	Q86YT9
Q16270	Q96LC7
Q16270	Q96S86
Q9H0T7	Q9NQU5
P48307	Q9NRS4
P54725	Q9NZ52
P61925	Q02779
O15499	Q13133
O60259	Q96MS0
O75909	P30279
Q13188	Q92997
P31751	Q13017
P19838	Q16512
Q08722	Q8WZ42
P51965	Q92793
Q12959	Q96QB1
P42574	Q9BZM3
O15350	Q9P212
P42574	Q9UMQ3
P05067	Q9UPQ4
Q01664	Q9Y6J9
O95716	Q9BZ29
P06396	P51671
Q16760	Q8NBP7
P12643	Q99729
O00175	Q9BVA0
P55265	Q9UBP6
P27037	Q2M2I8
O95999	Q9BRK5
P36896	Q6IQ55
P50613	Q8TAS1
Q16623	Q9UPN3
O75962	P46379
P35070	P63165
P16885	P68543
Q07108	Q5H8C1
P42336	Q5SQS7
P15374	Q6PIF6
P46379	Q86WV1
P51959	Q8IV13
Q2HXU8	Q8IX05
P98171	Q8IYU4
Q8IVE3	Q8IZC4
P00748	Q8N475
O60543	Q8TE67
Q504T8	Q8TE67
P42336	Q8TEJ3
Q8NBE8	Q8WXH5
Q8NCF5	Q96MF2
Q8IYU4	Q99469
O15034	Q99933
Q8TE67	Q99933
Q8IVE3	Q9BST9
Q5T124	Q9BVN2
O94888	Q9H0E7
O60543	Q9H6S3
Q99933	Q9H6S3
P16885	Q9HAC8
P22314	Q9HAC8
Q14D04	Q9HB19
Q96S82	Q9NPD8
Q71RG4	Q9NSI8
O14508	Q9NVX7
P40198	Q9NZQ7
Q86SU0	Q9NZQ7
Q71RG4	Q9UQB8
O60462	O75581
O14641	P05549
P02745	P10643
P08151	P12830
P01137	P15918
P12643	P27540
O95999	P35568
P31268	P51692
P02545	Q09472
O60469	Q15319
P29320	Q30201
P15918	Q9H9Q4
O95813	Q9HAZ2
P46531	Q9NYD6
Q92667	Q9NYK1
P18084	Q9UHI8
P26010	Q9UHI8
P04233	Q9UL17
