Q9NYY3	Q9UH99
P46060	Q9H8V3
Q9BVA1	Q9C026
P62333	Q8TF05
O14579	Q9UEU0
Q9UEU0	Q9UPW8
Q9BXF6	Q9UEU0
O43708	Q16772
P62191	Q04637
P28074	Q13564
P11684	P25490
P17844	Q86U42
P22087	Q9UL46
P30613	P41235
P24863	Q8IXH7
Q9H444	Q9H4M9
Q13319	Q9H598
O00462	P01036
P01036	P41143
Q14508	Q6FHJ7
P09884	Q8N693
Q86XP3	Q99607
Q14008	Q16576
P16662	P78381
P13686	P60852
O43556	Q13326
P32243	Q13421
P20930	Q7L5A8
Q9UNE7	Q9Y689
O75783	P35346
O75150	Q9HAW0
O75150	Q9H2F5
O75150	Q9UFF9
O75150	Q6P1K2
O75150	Q5SXM2
O75150	Q9Y4C5
O75150	O75486
Q15751	Q9H0M0
P61163	Q1MSJ5
P60228	Q86VP6
Q13283	Q8IV48
O15554	P48544
P14866	P62306
P05129	P06732
Q15910	Q8TEK3
Q09013	Q9HC98
P62249	Q99848
Q5SW79	Q9UM11
P38117	P99999
O43186	Q9NZN9
P24390	Q10472
P18858	Q9Y3A3
Q8WWY3	Q9BUP3
O00459	P42331
Q6UUV9	Q9BVC4
O15230	P49747
P55072	Q9BVK8
P41252	Q9BVK8
P62306	Q8IWZ8
P48307	Q13422
P47755	Q02643
O00222	Q2M3T9
P05121	P15586
Q8TCY9	Q96DN2
P41091	Q15056
O14640	Q13467
P16298	P43146
P25791	P31314
O94806	Q9BRK4
Q15398	Q9BRK4
Q8NE35	Q8NH41
P46779	Q13151
P24462	P33260
Q14525	Q9C075
P35908	Q9C075
Q99613	Q9NY61
O76014	P13645
P13929	Q5VST9
P17844	P62263
P52198	Q96PE2
O95453	Q9UQL6
P10644	P17302
O95198	Q14980
Q14331	Q8TC56
O43143	P78346
Q96CF2	Q9H4M9
P39900	Q16394
Q8WXG6	Q9UBN6
P62277	Q9BU89
P52948	P63165
Q13488	Q15181
O75971	Q16633
O00233	Q9Y4X5
P14920	Q9Y3D6
Q13136	Q96RR4
P06576	P61313
O14910	Q9UPX8
P50579	Q10713
P17980	Q86VP6
P52732	P57740
P07195	Q9Y2R2
O14939	Q15208
P24863	Q9Y6J9
Q86SQ4	Q96JA1
P16066	Q9UMX6
O76090	P23942
P14406	P67812
P14406	P46781
P14406	P51572
P14406	Q06587
Q15126	Q99614
P31943	Q8TDN6
P00338	Q9BYV1
P42081	Q99576
P35998	P51114
Q96HD9	Q9BUJ0
P62888	Q9Y6A9
P19338	P84077
P43308	P61158
P49450	Q96IY1
P49450	Q14137
O00487	Q969U7
O00487	O75971
P01569	P42224
P24593	Q10571
Q02363	Q96NK8
O95793	P37235
P11926	Q01105
P46783	Q9NRX1
P61587	Q5T9C9
O15068	Q9NRR2
P35268	Q9BU89
O95926	P41143
P01037	P41143
O43680	Q13547
O14828	P61313
Q92974	Q9NR83
Q12905	Q92974
P23109	Q9Y5T5
P32929	P55263
P10809	Q9H9Y2
P55268	Q92786
P15927	P28715
P04155	Q9HC84
P07199	Q8WVM7
O95149	Q15058
Q01105	Q14094
P56748	Q9UDY2
P08579	Q9UKF6
O76095	Q01105
Q7Z7A1	Q9NPA3
Q4LDG9	Q8NI77
P49756	Q9BWU1
O00270	Q9Y581
P35462	Q9Y581
O15198	Q13394
P40616	Q9BWS9
P10909	P17931
O15273	Q96JY6
P38432	Q08211
O95639	P38432
P30518	P57082
P61296	Q9NYW2
P08034	P48165
Q29RF7	Q8WV22
P62913	Q9H2K0
P53621	Q96B97
P46777	Q9UBQ5
P31939	Q9H0P0
O60507	Q7LGC8
O43865	Q14571
P36873	Q99471
P62244	Q15014
Q15233	Q9UKV8
O00566	Q9BWU1
Q8WVV4	Q96LI6
P46783	Q5VU65
P49790	Q9Y2U8
A5YKK6	O95453
A5YKK6	Q9Y618
O15182	Q9BXC9
Q92748	Q9Y2R9
Q8TCD5	Q9Y227
P46781	P62316
P14678	P62837
P58166	Q969V3
P36404	Q9BV73
P61224	Q9BWF3
O14843	Q9NYW6
Q9UPN3	Q9Y698
Q6UVJ0	Q99996
P24928	Q8WYQ5
O00165	P18848
P08684	Q16762
O15240	P23560
O14939	Q00839
O14939	Q13363
Q9UBL3	Q9UEE5
P01308	Q86TH1
A6NMX2	Q9UK45
P49321	Q03111
Q15583	Q99784
Q02779	Q86UP6
O60832	Q15388
Q01518	Q14671
O76095	Q01518
P60604	Q9BQE4
Q684P5	Q8N2Q7
P17735	P20711
P12004	Q9BXG8
Q15560	Q9UKK6
O95471	Q8NI35
O75880	Q9BRJ2
Q9BXU2	Q9BXU3
A6H8Y1	O75586
P01138	P08134
P40189	Q12778
P27352	Q9H015
P26436	Q9BWV2
P78362	Q9NPE3
P21589	Q05925
O60269	Q15375
P50748	Q96BD5
Q5FWF5	Q9H0E7
Q5BJF6	Q9BW19
P05062	P29401
O60911	P49862
Q14676	Q9H9Q4
Q13257	Q14980
Q96RS0	Q9NX24
P00441	Q96PH1
P0CAP2	P39086
P11182	Q86VP3
O43683	P61163
Q14161	Q15404
Q07283	Q9BT92
P52657	Q99081
P48730	Q9BVA0
Q12772	Q14703
O75376	Q9UNS2
Q49MG5	Q8N4N8
P19013	Q8N4N8
O15265	Q9H6U6
O14646	Q92750
P50052	Q969H4
P61968	Q8IUH5
Q8NHY2	Q96B97
O76027	Q9NPH0
Q53RD9	Q9NZW4
Q96PV0	Q9GZU7
P09132	Q96RP3
Q15637	Q96CJ1
