P22692	P48745
O14522	Q16827
P08476	Q96I82
P02775	P80098
P15498	Q96HU1
P62330	Q9P212
P04637	Q9UKW4
Q9NS40	Q9Y3Q4
O00762	Q6Q0C0
P15498	Q12965
P19878	Q12965
Q12965	Q15080
A1X283	Q9UQB8
O60347	O60447
A6NER0	Q5R372
O15020	Q93045
P09619	Q13546
P61086	Q8WVN8
O43364	P03372
P42768	Q9UL26
P13762	P28068
O43248	P56177
O43182	P51148
P98175	Q86U42
P31942	Q9H361
P31943	Q9H361
Q15427	Q9H6T0
Q9HCM4	Q9UPN3
Q5ZPR3	Q9Y6N7
Q49AM1	Q99551
P20936	Q01082
P22459	Q12791
Q12791	Q9UK17
Q7Z3S7	Q96RW7
Q02410	Q9NRD5
P12319	Q92626
P19838	P51805
P08588	P33032
P11215	Q9BY67
O76041	Q8N2Y8
P36405	Q99418
Q96KC2	Q99418
P42263	Q12879
P61204	Q96DA2
P51955	Q13233
P53365	Q9NP90
Q9UBU9	Q9UN86
P42081	Q7Z6A9
P52954	Q8TE12
P32238	Q9H244
P37173	P49759
A2RU54	P09067
P20265	P31268
P31249	P31276
O95096	P31314
P14651	P35453
P09017	P52952
P07948	Q01974
P09017	Q05925
P09067	Q9BZM3
P31276	Q9BZM3
P20264	Q9H4S2
P02776	P13236
Q8N5S9	Q9NQU5
Q9NQU5	Q9NYY3
P11233	Q6T310
Q8WUD1	Q9NRW1
Q12967	Q9NYS0
Q96AX2	Q9P212
P35575	Q9BUM1
P45985	Q8N5S9
P45985	Q9NQU5
Q8IWQ3	Q9P286
P07437	Q9NRH3
Q9BUF5	Q9NRH3
P01008	P05120
P68036	Q15843
P51159	Q9H4E5
Q12756	Q13509
Q13191	Q9UBU9
P02751	P16144
P11234	Q13009
Q04323	Q9H0E7
P11362	Q14289
Q15819	Q9UHD9
Q8WY64	Q96J02
P54578	Q9UMX0
P15374	P63165
Q6ZVM7	Q9NZ52
Q13509	Q9UJT0
P80365	Q8N3Y7
P13569	Q09428
P14543	Q13203
Q13163	Q9P289
Q8N5S9	Q9P289
