P01116	Q04917
P01137	Q8NET5
P02649	Q96GW7
P00750	P15692
P22749	P42081
P06850	Q16553
O75563	Q96TA1
Q16512	Q9H7X7
O94888	Q9NZ52
Q13241	Q9ULY5
Q5TCZ1	Q6XZF7
P07948	P08887
Q8IYB5	Q8N6T3
O00213	Q9ULD4
Q93045	Q9BZR6
P09327	P11277
P09327	Q9NRC6
O75832	P11309
P09848	Q6UWM7
P09848	Q9H227
P49757	Q9HCM4
Q96EP1	Q9UNE7
P40818	Q92830
P62837	Q8N7F7
P08567	Q9Y2H5
P23443	P36896
P17948	Q96RU8
O15075	P43146
P23497	Q13546
P32245	Q9H254
Q13490	Q9UJU2
P21333	Q9H254
Q14563	Q8IWV2
P01133	Q9NYQ6
O75521	P07108
O15350	O60260
P39905	Q99466
P37173	Q96T37
O14682	O94819
O75382	O94972
O75995	P43405
O14682	Q96KE9
Q8NCP5	Q9UH77
P21333	Q9NYR9
P26842	Q92835
P51948	Q15370
P01375	Q04759
P62380	Q9BZC1
O15530	Q8NER5
P15498	Q96F15
Q13233	Q7RTN6
Q7RTN6	Q9Y6R4
P54296	Q99665
P54296	Q9P232
P54296	Q9UQ52
O14813	P29323
P15529	P29460
O43602	P35711
P20929	P47756
Q15811	Q5JSP0
Q15811	Q6ZV73
Q3KR16	Q96M96
O60260	Q14183
P35270	Q53GQ0
O75191	Q9UHJ6
Q8NFH5	Q9NWB1
P07148	Q15848
O14543	P55212
P27037	Q9H0F7
P01137	Q92667
P07766	Q14774
O14764	O75311
P0C0E4	P21359
O75311	P30532
P28476	P30532
O75311	P30926
O14764	P43681
O75311	P47870
P11488	P52565
O60674	Q01973
P35590	Q01973
P22455	Q04912
O75311	Q05901
P23415	Q05901
P46098	Q05901
O75311	Q15825
P46098	Q15825
P98174	Q6T310
Q14449	Q8TEW6
O75815	Q8WYP3
Q86VI3	Q92730
Q8IXI1	Q92888
Q8TEW6	Q969H4
O75311	Q9GZZ6
P31644	Q9GZZ6
P34903	Q9GZZ6
Q12979	Q9HBH0
Q15696	Q9HCG8
P22607	Q9UKE5
Q8N4X5	Q9UKG1
P61225	Q9UKW4
P62834	Q9UKW4
Q8IXI1	Q9UKW4
O60543	Q9Y2T1
P15374	Q9Y5K5
O15085	P41743
P42773	Q13309
P78310	Q14CZ8
O95365	Q9UQR1
Q9UQ52	Q9Y6N7
P47224	Q8TAI7
A1IGU5	A1X283
A1X283	Q8NFA2
Q6XZF7	Q8NFA2
O75962	Q96RF0
A1X283	Q9NZM3
Q5VST9	Q9UQB8
O14782	Q8NI77
P08254	Q13444
A4FU49	O94875
