P10242	Q9Y572
P10301	Q9Y4G8
P10747	Q6PIZ9
P10826	P12931
P10914	Q8IZL8
P10914	Q9Y6K9
P11021	Q9NRJ5
P11142	Q12791
P11161	Q96RI0
P11388	Q8IYA6
P11388	Q92820
P11473	Q9UK53
P12236	P30154
P12236	P62266
P12318	P31949
P12931	Q13555
P13010	P60568
P13639	P62273
P13667	Q15084
P14151	P32927
P14672	P14868
P14672	P21281
P14672	P35998
P14672	P51809
P14672	P61254
P14672	Q02252
P14672	Q71U36
P14672	Q99719
P14672	Q9BWM7
P14672	Q9UJ70
P14672	Q9UJW0
P15498	P15941
P16144	Q12913
P17066	Q92598
P17677	Q9NXF8
P17858	Q8IUC6
P18124	P56192
P18858	Q92698
P19320	P32455
P19338	P62280
P19419	P61956
P19525	Q86WI3
P19784	P22607
P20290	P62910
P20333	P55008
P20333	P61073
P20827	Q8IUC4
P21579	P23763
P21675	Q14686
P21860	P61978
P22459	Q12879
P22557	Q9NZD4
P22692	Q9BRK3
P22695	P78352
P23276	P31946
P23443	P53778
P23458	Q08334
P23469	Q15256
P24522	P24864
P24844	Q8IUX7
P24941	P31947
P25025	Q96JB8
P25054	P49757
P25205	Q9BXS6
P25398	Q12791
P26045	Q8N3F8
P26373	P31689
P26373	P34931
P26599	Q9BZL6
P26842	P34910
P27797	P68133
P27797	Q12791
P27986	Q9NR96
P29274	Q99598
P29323	P42224
P29597	Q99683
P30040	Q96SL4
P30041	Q9UMX1
P30273	Q13093
P30291	Q9UQC2
P30305	Q13627
P30511	Q8TCB0
P30556	P35813
P31930	Q12791
P31946	Q8NFZ4
P32121	P49815
P32455	P40763
P33316	Q9UI14
P33991	P42166
P34931	P57678
P35225	P84243
P37235	Q12791
P38398	Q13616
P38398	Q9UK53
P38570	Q13797
P41235	P55055
P42261	Q9ULV0
P42684	P98082
P42768	Q9Y4H2
P43489	Q02447
P45984	Q8TD08
P46459	Q9P2U7
P46527	P56945
P46782	P67809
P46934	Q13526
P46937	Q92934
P47712	Q05586
P47756	P62873
P48443	Q14995
P48643	Q9HAV0
P48729	Q9Y572
P49841	Q14790
P50549	P84022
P50748	Q96EA4
P50990	P62258
P50993	Q9BT88
P51170	Q99816
P51531	Q9UBU8
P51608	Q96T58
P51610	P68400
P51884	Q9Y693
P52272	Q9BUF5
P52429	Q14978
P52630	Q96RS0
P53355	Q12778
P53539	Q13950
P55209	Q14790
P55895	Q04206
P56524	Q01196
P0DP23	P60880
P0DP24	P60880
P0DP25	P60880
P60880	Q9UBL0
P60903	Q9Y5Y9
P61088	Q93009
P61978	Q8TD47
P62263	Q12791
P62308	Q99728
P62826	Q05586
P68363	Q00653
P78352	Q92529
P78352	Q9HAV0
P78371	Q12791
P78527	Q13547
P78540	Q8IUC4
P78540	Q8IYS0
Q00722	Q8TC07
Q00889	Q9Y278
Q00978	Q92831
Q01094	Q6P1X5
Q01638	Q9NP60
Q01860	Q96EK4
Q02223	Q9HAV5
Q03468	Q9Y5B0
Q04837	Q9H3N1
Q05513	Q9Y2J2
Q06609	Q15554
Q07666	Q12791
Q08881	Q9H4W6
A7KAX9	Q8WU20
Q09472	Q96S59
Q10567	Q9UMZ2
Q12791	Q92777
Q12791	Q9H4A4
Q12841	Q9Y5Y9
Q12888	Q9BXW9
Q12983	Q9H2V7
Q13177	Q8WV28
Q13216	Q96JK2
Q13263	Q92993
Q13263	Q9Y5X4
Q13351	Q13541
Q13387	Q9UK28
Q13418	Q13489
Q13554	Q9UK28
Q13588	Q14451
Q13625	Q9UNL4
Q14088	Q96D21
Q14161	Q99728
Q14185	Q9Y4K4
Q14195	Q6NZI2
Q14449	Q9NRF2
Q14511	Q92614
Q14894	Q9NYX4
Q14978	Q9BQA1
Q15424	Q9NX00
Q15583	Q92831
Q15653	Q9UQL6
Q16543	Q9UHB6
Q16594	Q16665
Q17R89	Q99962
A8MW92	Q9Y294
Q3MIN7	Q9C0K0
Q5BJH7	Q9Y6W5
Q5VSY0	Q9Y566
Q6DKJ4	Q86X95
Q6GQQ9	Q9Y6K9
Q6PKG0	Q99759
Q6PL18	Q92841
Q6ZVK8	Q96HA8
Q8IUC6	Q9H0E2
O00165	Q96CX2
Q8IZD9	Q9NYQ7
Q8NEM2	Q96R06
Q8NFT6	Q9Y5N6
O00258	P49458
O00299	P07686
Q8NI08	Q9Y4P1
Q8TB45	Q92574
Q8WUI4	Q9UBN7
Q92750	Q9UGU0
Q92905	Q9UNE7
Q92934	Q9P0K7
O00459	Q8WX92
O00483	Q02156
Q96JH7	Q9BPY3
Q96JQ5	Q9P0V8
Q99459	Q9H0B6
Q9BQG1	Q9H4A3
Q9BUB5	Q9BY84
Q9BUF5	Q9H1R3
Q9BVA1	Q9UQF2
O00716	P78396
Q9GZZ7	Q9Y226
Q9H2X6	Q9H4B4
Q9HBM1	Q9NQW6
Q9HCU0	Q9NZN4
Q9NR81	Q9NZN5
Q9NSG2	Q9ULW0
Q9NYF8	Q9UQ35
Q9NZR2	Q9UQF2
Q9P1A6	Q9UIF9
Q9UIF9	Q9UIS9
Q9UQ35	Q9Y2W1
O14594	P21579
O14713	P57105
O14757	O75494
O14782	P63027
O14782	Q9NY72
O14810	P21579
O14920	Q13535
O14933	Q8IYM9
O14936	O95477
O14939	P09619
O14965	Q12933
O14965	Q96H22
O14980	Q9BSJ8
O15085	Q9UPX8
O15105	Q13608
O15111	Q06330
O15162	P09914
O15169	P78368
O15350	P10415
O15519	P0DPH7
O15519	P0DPH8
O15520	P31371
O15524	Q7Z7G1
O43143	P13010
O43353	Q8WXC3
O43390	Q05519
O43424	Q13093
O43541	P61956
O43592	P19105
O60216	P0C0S5
O60232	O95402
O60256	P14672
O60264	Q13535
O60266	Q9NPB3
O60282	P24534
O60359	P32239
O60496	Q16827
O60506	P14672
O75159	Q9BRG2
O75182	Q04206
O75376	P11831
O75448	Q8WX92
O75494	P51991
O75528	Q9UJU2
O75618	P50591
O75815	Q9ULV8
O75914	Q13576
O76021	P62910
O95071	Q8TAT6
O95379	P15153
O95379	Q13287
O95379	Q9Y4K1
O95428	P63104
O95502	Q9UI15
O95630	P62837
O95677	Q7Z434
O95677	Q86UT6
O95793	Q13576
O95970	P21579
O95972	P26436
O96028	Q08945
O96028	Q16576
P00519	Q96RT1
P00540	Q9NQ94
P00749	P05107
P01023	Q03135
P01137	P07900
P01375	P25942
P01579	P49711
P01579	Q92878
P01730	Q9BXL7
P02768	Q08830
P02768	Q8IZ83
P04040	P46108
P04049	P19174
P04049	Q07820
P04150	Q8N3C0
P04196	P21549
P04406	Q04917
P04637	P18846
P05155	P48061
P05204	Q12834
P05549	Q14103
P05783	P12814
P05783	P26045
P05787	Q15256
P05976	P08590
P06213	P42685
P06241	Q13702
P06396	P68366
P06400	P24468
P06400	Q15544
P06400	Q92925
P06493	P55211
P06729	Q13571
P06733	Q12791
P06733	Q93050
P07333	P42685
P07437	P47756
P07437	Q13895
P07438	P13640
P07910	P09874
P07919	P47985
P07947	Q07889
P07948	P98082
P07949	P52333
P07951	Q9UKX2
P07992	P62316
P07996	P26038
P08047	P08238
P08123	P22692
P08174	Q8IUC4
P08238	Q8IZ83
P08571	P32246
P08575	Q9NUV9
P08708	Q15233
P09001	P13010
P09493	Q8IZP0
P09769	P34947
P09874	Q13363
P0C0L4	P27361
P10275	Q9BZ95
P10586	Q9NSA3
P10721	Q9Y5K6
P10809	P21580
P10912	P33151
P11310	P14672
P11387	P39748
P11387	Q92922
P11802	P33552
P11940	P14672
P12259	P25116
P12643	P57105
P12931	Q9H467
P12956	Q15054
P12956	Q9Y6K1
P13612	P56945
P14316	Q9NR96
P14618	Q06416
P14672	P22392
P14672	P30044
P14672	P36776
P14672	P49189
P14672	P61026
P14672	P61803
P14672	P62979
P14672	P78559
P14672	P80303
P14672	Q10713
P14672	Q6IQ22
P14672	Q8IZP0
P14672	Q8NCA5
P14672	Q8NHP8
P14672	Q96EY5
P14672	Q99436
P14672	Q9UBI1
P14921	P17302
P15056	Q9HC98
P15172	P15336
P15336	Q9NPF7
P15407	Q16539
P15498	Q9BYG5
P0DP23	P15882
P0DP24	P15882
P0DP25	P15882
P16220	Q9Y618
P16234	P56945
P17174	Q9NRV9
P17302	Q9Y5Y9
P17658	Q12959
P17676	Q9Y6K9
P17812	Q08050
P19174	Q02763
P19419	Q86Y07
P19438	Q9H492
P20700	Q02241
P20963	P31358
P21580	Q99836
P21810	P61812
P22307	P49458
P22314	P30154
P22314	P33240
P22314	Q04637
P22732	Q13571
P23025	P51587
P23142	P26447
P23246	Q05639
P23443	Q96CP6
P23588	P62910
P23588	P83881
P24539	Q9H3K2
P24593	P54826
P25054	P32121
P25054	Q00005
P25054	Q5JR59
P25445	Q13490
P25490	P49841
P25774	P51681
P25963	Q04323
P25963	Q92844
P25963	Q9UJY1
P26373	P30260
P26436	Q9UHW9
P26639	Q15046
P26678	P68032
P27361	Q96C36
P28562	P46695
P29353	Q13671
P29475	P49840
P30086	P53004
P30153	P35613
P30307	P48730
P30511	Q95460
P30876	Q15653
P31350	P54132
P31689	P49327
P31749	P55212
P31749	Q15599
P31946	P62070
P31946	Q13936
P31948	P78371
P35222	Q96J02
P35250	Q14566
P35268	Q12791
P35398	Q14994
P35749	Q8WX93
P36873	Q9BXG8
P37231	Q13573
P37231	Q6NXT2
P38398	Q9NRZ9
P39023	P60228
P40313	Q99895
P41143	Q96DX8
P41252	Q01201
P41279	Q8TEL6
P41279	Q92793
P42566	Q14511
P42677	Q13490
P42677	Q9NVI1
P42684	Q99962
P42766	Q99623
P42768	Q86WV1
P43403	Q9ULH1
P45983	Q8TD08
P45985	Q14934
P46013	Q96FF9
P47712	Q9NWF4
P48643	Q3ZCQ8
P49407	Q5JUX0
P49411	P54727
P49450	Q9NQW6
P49768	Q8TCJ2
P49796	Q6ICG6
P49815	Q00537
P49841	Q92974
P50613	P78396
P50613	Q14686
P50991	P62241
P51452	P53779
P51532	Q9UNL4
P51693	Q9HCL0
P51884	Q12884
P51965	Q8TBC4
P52272	P83731
P52735	Q13163
P52799	Q15375
P0DP23	P52907
P0DP24	P52907
P0DP25	P52907
P53779	Q8TEQ6
P53779	Q9UBS5
P54257	Q5T7V8
P54760	P98172
P55072	Q9BUZ4
P56282	Q9UKT4
