Q14247	Q92783
P00519	Q9NR46
Q06187	Q9NR46
Q6PCD5	Q6R6M4
Q7KZF4	Q9NRR4
P05413	P35790
O95976	P05362
O43187	Q15109
Q14289	Q16787
P05362	Q6UWV2
P22105	Q8TDX9
O15537	Q9C0A0
P08581	Q9H3Y6
Q96PU5	Q9P1U1
Q8WXS8	Q9UKF2
Q9P0K1	Q9UKJ8
Q9UKF2	Q9UKQ2
Q9P0K1	Q9Y3Q7
P08246	P45974
Q12849	Q14011
P52298	Q6NXG1
Q14011	Q6NXG1
P61769	Q8N6C8
Q05513	Q12955
Q12791	Q14982
O60939	Q8IZS8
Q05513	Q96KQ4
O14498	Q99983
Q9BY11	Q9Y2H9
P04216	Q14155
P04216	Q9UNA1
P01019	P02776
P00750	P48960
O60543	Q01826
O95817	Q15011
O95819	Q8IV63
Q12851	Q8IWQ3
O60315	Q96S38
Q8N423	Q9P1W8
Q16584	Q9UBS0
O60403	O95007
O76100	P58173
Q01973	Q01974
Q13349	Q14773
O60403	Q15620
P47881	Q15620
P47890	Q6IFN5
O60403	Q8N349
O60431	Q8N349
Q15620	Q8N349
P49703	Q8N4G2
P47881	Q8NGL0
Q15617	Q8NGL0
O60403	Q8NGS5
P58182	Q8NGX6
Q15620	Q8NGX6
O60403	Q8NH16
P58173	Q8NH16
Q15620	Q8NH16
Q8NGL0	Q8NH16
Q15617	Q8WZ84
Q15612	Q8WZ94
Q8WZ84	Q8WZ94
P36406	Q969Q4
O60403	Q9GZK4
P34982	Q9GZK4
P34982	Q9GZK7
P58173	Q9GZK7
Q8NGL0	Q9GZK7
Q8WZ84	Q9GZK7
Q8WZ92	Q9GZK7
P47881	Q9GZM6
Q8NGS5	Q9GZM6
Q8WZ94	Q9GZM6
P47881	Q9H207
O76100	Q9H209
Q15617	Q9H209
Q6IFN5	Q9H209
Q8NGX6	Q9H339
Q9GZK7	Q9H339
P58181	Q9H340
Q9GZK7	Q9H340
Q6IFN5	Q9H343
Q8N349	Q9H343
Q8NGX6	Q9H343
Q8NH16	Q9H344
Q8WZ94	Q9H344
Q9GZK4	Q9H344
Q9GZK7	Q9H344
O95007	Q9P1Q5
Q15620	Q9P1Q5
P58182	Q9UGF7
Q9GZK7	Q9Y3N9
O76099	Q9Y585
O76100	Q9Y585
P47881	Q9Y585
P47888	Q9Y585
Q15620	Q9Y585
Q9H339	Q9Y585
Q9H343	Q9Y585
P09493	P84022
P23415	Q01826
O60603	Q12933
P38936	Q6PCD5
O00273	Q9BQ83
O15370	O60248
O75116	Q00535
O75603	Q96QB1
O60765	P02452
P02652	P40933
O60260	Q05084
O60880	Q05655
P62873	Q8TDF6
P01034	Q9Y6C2
O00213	P11277
O75689	P21283
P20138	P55773
O76041	Q13017
O76050	Q15223
Q13574	Q5TCX8
Q8TBB1	Q9C026
Q92782	Q9H4P4
P61812	Q12929
P12111	Q15911
P32942	Q9NYQ6
O14807	Q8N4Z0
P61204	Q9ULC3
P36405	Q13636
P78310	Q7Z6A9
P50613	Q9H422
P98174	Q9HB21
P16144	Q04759
Q504T8	Q8NHQ8
Q8IYU4	Q8NHQ8
Q8IYU4	Q92575
Q96JH8	Q96LJ8
P08631	Q02779
P25686	Q01453
P17081	Q99704
P51153	Q99704
P62487	P67809
P14859	P55771
P45974	P61086
P46934	Q8IWV7
Q14511	Q8WXH5
P36897	Q8WZ75
Q969H4	Q9NYS0
P28358	P35712
P17481	P41231
P49767	P61812
P19793	Q8TAU0
P17948	P42701
Q92841	Q9Y5S9
O15524	P31751
P60763	Q9H7X7
P52564	Q14004
P21359	Q86WG5
P35462	Q96P69
Q96HU1	Q96RU8
P05230	Q9NRA1
O43312	Q9Y490
P43405	Q16623
O60291	Q8TDB6
Q15185	Q9UGI9
A6NJZ7	P46379
A6NNM3	P46379
A2RUH7	Q2WEN9
O00478	Q496F6
O00481	Q496F6
Q14324	Q496F6
A6NJZ7	Q504T8
A6NNM3	Q504T8
Q496F6	Q5DX21
Q14324	Q5SQ64
Q495A1	Q5SQ64
A2RUH7	Q5TFQ8
P0DPA2	P78324
P0DPA3	P78324
P0DPA2	Q5TFQ8
P0DPA3	Q5TFQ8
Q496F6	Q5ZPR3
Q496F6	Q6UX41
O00478	Q71H61
O75054	Q71H61
Q6UX41	Q71H61
Q496F6	Q7KYR7
Q496F6	Q8N3J6
Q496F6	Q8N9C0
Q496F6	Q8WVV5
Q71H61	Q8WVV5
Q7Z7D3	Q8WZ42
A6NKC9	Q96JZ2
Q496F6	Q96N03
Q5SQ64	Q96N03
Q496F6	Q96RD9
Q496F6	Q96S86
P01597	Q99795
Q496F6	Q9BX59
Q00889	Q9NZQ7
Q2WEN9	Q9NZQ7
