Q92616	Q9HAV4
Q92731	Q92831
Q92769	Q9NQB0
Q92769	Q9UBT2
Q92769	Q9UIF9
Q92793	Q969G3
Q92793	Q96RN5
Q92831	Q9UNL4
Q92934	Q99683
Q92934	Q99759
Q92934	Q9BXH1
Q92985	Q9NWZ3
Q92997	Q969F2
Q92997	Q9Y2T1
Q93008	Q99717
Q969G9	Q9Y5P8
Q96A32	Q9UKX2
Q96AC1	Q9BX67
Q96AE4	Q9H307
Q96B01	Q96GD4
Q96B01	Q9NYZ3
Q96B97	Q9ULV8
Q96B97	Q9UPX8
Q96B97	Q9UQC2
Q96BD5	Q9H160
Q96BH1	Q9UKV5
Q96BY9	Q9NRX5
O00308	Q13485
O00311	P54132
O00329	P22681
O00329	P42338
O00401	P42566
O00401	Q13153
O00410	Q9BPW8
O00422	O15379
O00422	P48552
O00422	Q9NRP7
O00444	P49450
O00444	Q15058
O00444	Q15398
O00444	Q9BXS6
O00444	Q9NVI1
O00453	Q15080
O00453	Q93091
O00459	P29597
O00459	P40238
O00459	P51451
O00459	P98077
O00459	Q13239
O00459	Q6PIZ9
O00459	Q8WV28
O00459	Q9NWQ8
O00459	Q9UM73
O00459	Q9UPX8
O00459	Q9Y4K4
O00463	P42574
O00482	Q13133
O00483	O14561
O00483	P03905
O00483	P56181
Q96DU3	Q9UIB8
Q96DZ5	Q96MC5
Q96EB6	Q9Y618
Q96EY1	Q9BVA1
Q96EY1	Q9Y230
Q96FA3	Q99558
Q96GM5	Q96ST3
Q96GX1	Q9BV97
Q96H22	Q9NZJ0
Q96I25	Q9Y3B4
Q96J02	Q9HCE7
Q96J02	Q9P2P5
Q96KB5	Q99640
Q96KB5	Q9NYZ3
Q96LB8	Q9NQ94
Q96LW7	Q9BWT7
Q96MN2	Q96P20
Q96MN2	Q9Y239
Q96R06	Q99618
Q96R06	Q9NSP4
Q96R06	Q9NVP2
Q96R06	Q9NYZ3
Q96RT6	Q9H3N8
Q96ST3	Q9BZK7
Q99459	Q9UKE5
Q99661	Q9NSP4
Q99661	Q9UQ84
Q99741	Q9BXS6
Q99784	Q9UI15
Q99801	Q9Y6N8
Q99819	Q9P2U7
Q9BQQ3	Q9H8Y8
Q9BR01	Q9NTI2
Q9BR01	Q9UM19
Q9BRK3	Q9UKU9
Q9BUZ4	Q9Y616
Q9BVA1	Q9NYJ8
Q9BWT7	Q9BXL6
Q9BXW9	Q9NXR7
Q9BY77	Q9Y5S9
Q9BY84	Q9Y6W6
O00487	P99999
O00507	O14607
O00570	P26998
O00571	O43143
O00571	P61247
O00571	Q07021
O00571	Q9NR30
O00602	P02675
O00622	P26651
O00622	Q03135
O00622	Q05682
O00623	P56589
O00626	P13501
O00629	Q01201
O00631	Q9UKX2
O00716	P11802
O00716	P20226
O00716	P24941
O00750	Q07912
O00750	Q15303
Q9GZZ7	Q9HBB8
Q9GZZ7	Q9HCX4
Q9H0H5	Q9NSP4
Q9H0H5	Q9NYZ3
Q9H160	Q9UK53
Q9H160	Q9UKG1
Q9H160	Q9Y5X4
Q9H2W1	Q9H3U5
Q9H2X9	Q9NZU7
Q9H3R5	Q9HBM1
Q9H4P4	Q9Y4K3
Q9H8V3	Q9UBU7
Q9HC62	Q9P0U3
Q9HCK8	Q9UPS6
Q9HCU9	Q9NP62
Q9NPH3	Q9Y616
Q9NPJ8	Q9UKK6
Q9NQ25	Q9UIB8
Q9NR99	Q9UBG0
Q9NS87	Q9NYZ3
Q9NTJ3	Q9UKT4
Q9NWB1	Q9UPV7
Q9NX14	Q9P0J0
Q9NYL9	Q9Y6K9
Q9NYX4	Q9P2U7
Q9NYX4	Q9UPA5
Q9NZU7	Q9UI15
Q9NZU7	Q9UPP5
Q9P0U4	Q9UBC3
Q9UBC5	Q9Y6K9
Q9UBK2	Q9UHV7
Q9UBK9	Q9Y6K9
Q9UDY4	Q9Y2U5
Q9UER7	Q9UIS9
Q9UHD2	Q9Y2T4
Q9UKT4	Q9ULW0
Q9ULV4	Q9Y6K9
Q9UPW8	Q9UQ26
Q9UQ16	Q9Y6Y1
Q9Y265	Q9Y285
Q9Y266	Q9Y6K9
O00762	P30260
O00762	P33991
O00762	P33993
O00762	Q8NHZ8
O00762	Q9H1A4
O14490	P50570
O14490	Q14500
O14490	Q9P021
O14492	P46109
O14492	Q08881
O14498	P12110
O14498	Q9UBG0
O14508	P42680
O14508	P48357
O14508	Q06124
O14522	Q13332
O14530	Q9BUL8
O14543	Q13617
O14561	O43676
O14561	O95139
O14561	P47985
O14576	O60282
O14576	O60641
O14576	Q93045
O14576	Q9UI15
O14594	O95670
O14594	P14136
O14613	Q00587
O14625	P14316
O14625	P28838
O14641	O15105
O14654	P04629
O14654	Q07912
O14654	Q9UKW4
O14727	O15304
O14727	P55212
O14733	Q15759
O14757	O60934
O14757	O75330
O14757	O75943
O14757	P00374
O14757	P04183
O14757	P04818
O14757	P40937
O14757	P56282
O14757	Q02224
O14757	Q71F23
O14757	Q86XI2
O14757	Q9BVW5
O14757	Q9H8V3
O14776	Q14498
O14777	P25205
O14777	Q15468
O14777	Q8NI77
O14782	P21579
O14782	Q14982
O14782	Q70YC5
O14782	Q8IW70
O14786	P49767
O14798	Q9UBN6
O14879	P28065
O14920	P01106
O14920	P04150
O14920	P04406
O14920	P06493
O14920	P19105
O14920	P38398
O14920	Q15349
O14920	Q15796
O14920	Q9BUF5
O14920	Q9NWZ3
O14920	Q9Y265
O14929	P0C0S5
O14933	P61077
O14933	Q8IY21
O14933	Q8TCB0
O14948	O43914
O14948	P30273
O14948	P34910
O14958	P23327
O14964	Q14203
O14965	P49736
O14965	P61024
O14965	Q15468
O14965	Q9NZJ0
O14980	P05455
O14980	P42704
O15056	Q9NZQ3
O15075	P31946
O15105	P31689
O15111	P04150
O15111	P10275
O15111	P23246
O15111	P23396
O15111	P27708
O15111	P31689
O15111	P42224
O15111	P45984
O15111	P53779
O15111	P62993
O15111	Q16539
O15111	Q9BUF5
O15111	Q9NWZ3
O15111	Q9Y230
O15117	P41218
O15143	P29466
O15143	P52566
O15143	P63261
O15151	P30307
O15151	Q13535
O15151	Q13627
O15160	P17480
O15162	P23497
O15164	O75448
O15164	P08047
O15164	Q15596
O15164	Q15648
O15164	Q15910
O15169	Q00987
O15198	P12755
O15198	P12757
O15198	Q09472
O15198	Q93008
O15239	O43678
O15264	Q9UPT6
O15273	P17661
O15273	P48788
O15294	Q13547
O15350	P03372
O15350	Q15797
O15350	Q9H160
O15357	P42566
O15357	P46109
O15357	Q06124
O15357	Q9UKW4
O15371	O43432
O15371	P15880
O15371	P78344
O15372	P35268
O15372	Q7L5N1
O15379	O95983
O15379	P04150
O15379	P45973
O15379	P84022
O15379	Q02447
O15379	Q08999
O15379	Q14839
O15379	Q15796
O15392	O43353
O15392	Q15468
O15455	Q6IA17
O15455	Q92985
O15467	P13236
O15516	P27540
O15516	P35869
O15519	P01375
O15519	Q9Y572
O15524	O43639
O15524	P19174
O15524	P22681
O15524	P42679
O15524	P42684
O15553	Q8WXC3
O43143	P25789
O43143	P31943
O43143	P62314
O43143	Q01130
O43143	Q7L014
O43159	Q92769
O43164	O75122
O43175	Q96EY1
O43181	O95299
O43684	Q13185
P40227	Q13185
O43187	Q13501
O43294	P00533
O43294	P12110
O43294	P53814
O43304	P26436
O43318	P28482
O43318	P31946
O43318	Q09472
O43318	Q15831
O43318	Q92793
O43318	Q9BUF5
O43353	Q9Y616
O43390	O60216
O43390	O60934
O43390	P09001
O43390	P78527
O43390	Q9UBT2
O43424	Q9ULK0
O43439	P51608
O43439	P56524
O43463	Q8WTS6
O43482	Q9BSJ6
O43482	Q9BTX1
O43482	Q9NZJ0
O43502	Q99728
O43504	P24539
O43516	P08575
O43516	P34910
O43516	Q08881
O43524	Q9Y6Q9
O43526	P17677
O43541	P01100
O43541	P12755
O43541	Q16539
O43557	P01374
O43557	P25942
O43557	P98170
O43557	Q9HAV5
O43561	P10747
O43561	P21860
O43561	P29353
O43561	Q9GZY6
O43586	P06241
O43586	Q06187
O43592	Q14974
O43633	Q9BY43
O43639	P98077
O43663	P10244
O43663	P61024
O43663	Q15910
O43663	Q16763
O43663	Q9H211
O43674	O95299
O43674	P56181
O43676	O75306
O43676	O95299
O43676	P03905
O43683	P33552
O43683	Q15468
O43683	Q15691
O43684	O60216
O43734	P36941
O43734	Q7Z434
O43739	Q9UIA0
O43747	Q9NZ52
O43747	Q9UJY4
O43795	P0DP24
O43795	P0DP25
O43808	O75381
O43808	P56589
O43813	Q4J6C6
O43813	Q9NY35
O43815	Q14738
O43914	P02649
O43914	P11049
O43914	P31358
O43920	O95299
O60216	Q9UBT2
O60240	P00325
O60244	P10276
O60244	P19793
O60282	P07197
O60282	P51693
O60282	Q99784
O60282	Q9UI15
O60315	Q8N2W9
O60333	Q86UL8
O60341	Q8NHZ7
O60341	Q9C0K0
O60383	P43026
O60479	P28360
O60496	O60674
O60496	Q08881
O60496	Q14289
O60502	Q8TF01
O60504	O94875
O60504	P42684
O60506	P25788
O60516	P42345
O60563	O60583
O60563	P63272
O60566	P26583
O60602	Q9Y2C9
O60603	P10124
O60613	P49458
O60613	P63165
O60641	P07197
O60641	P09471
O60641	P21579
O60641	Q9UQ16
O60674	P07949
O60674	P16871
O60674	P30530
O60674	Q13905
O60674	Q14449
O60674	Q8WV28
O60674	Q9ULZ2
O60683	P56589
O60684	P19838
O60711	P14317
O60716	P10586
O60716	P16284
O60716	P21860
O60716	P27986
O60759	P05107
O60762	P52907
O60832	O96019
O60869	P48552
O60880	Q13239
O60880	Q86WV1
O60921	Q9HAW4
O60934	Q6PGP7
O60941	Q9Y4J8
O75052	Q15700
O75112	P52179
O75122	Q92581
O75182	Q06455
A5LHX3	P28070
A5LHX3	Q8TAA3
O75190	Q8NHS0
O75192	O96011
O75293	P26651
O75330	P39748
O75330	P52292
O75330	Q02224
O75330	Q14691
O75330	Q8NEM2
O75330	Q96R06
O75334	Q14161
O75335	Q14161
O75335	Q9UPA5
O75376	O94776
O75376	P10589
O75376	P17542
O75376	P35869
O75376	Q14994
O75400	Q8NC51
O75419	Q15004
O75419	Q53HL2
O75436	Q9H992
O75446	P06400
O75446	P29590
O75446	P48552
O75446	P51608
O75446	P51610
O75446	P68400
O75446	Q05516
O75446	Q8NHZ7
O75446	Q9BZK7
O75446	Q9UBB5
O75448	P04637
O75448	P10276
O75448	Q15466
