P05388	Q96A05
P28370	Q9UKL0
Q5VVJ2	Q9UKL0
O15197	P98172
O95239	Q8NHU6
Q8NDV7	Q9UL03
Q08379	Q9NV70
Q14183	Q9Y4E6
O15305	P02787
P22033	Q9Y5N6
Q03252	Q9Y5N6
Q96GD4	Q9Y5N6
P58304	Q96KN7
O14893	Q9BQA1
O14893	O75818
O14893	Q8TF01
P12644	Q96SF7
O43175	P05160
O43303	Q9UIF3
Q15323	Q92619
Q13233	Q9H0H5
P23396	P49366
Q5JVL4	Q8N0X2
P31942	Q99633
O43290	Q14011
O94979	Q9UL51
Q5VIR6	Q96RN5
Q14117	Q9UBR1
P62318	Q9GZL7
O00541	Q14674
O95486	Q9UJY5
Q5TA45	Q9UBB9
P55769	Q9BSU3
P61218	Q9GZM3
Q14565	Q8N3U4
O75367	Q14565
Q14565	Q9Y6X3
O75446	Q14565
Q8WXG6	Q9BY77
P43307	Q9BY77
Q8TC26	Q9BY77
Q149N8	Q15750
P49450	P50502
Q7Z5G4	Q86U06
O14744	Q8WY41
P62333	Q9H4B4
O75431	Q9Y5K8
Q9NZ32	Q9Y5K8
P50748	Q13243
P62191	Q96MF6
P25490	Q9UKY1
P41226	P60900
P49321	Q5PSV4
Q8WWY3	Q9H307
O00482	Q05048
P78406	Q9H3R5
P78406	Q13257
O14737	Q9H3Z4
Q9H4K7	Q9P2I0
O14818	Q92558
O14818	O15144
Q15438	Q8N6T3
Q13795	Q9BXJ9
P68400	Q5SXM2
Q8TCT9	Q9UBQ5
P31943	Q9BZJ0
O00567	P61221
Q15691	Q9UJT1
O00512	Q15691
Q15691	Q70YC5
Q9BT67	Q9H444
Q8WWR8	Q9H444
Q86UA6	Q9P0L0
O43148	P50750
O00422	Q99708
P33240	Q9UK58
Q15047	Q8N3U4
O95258	Q5T2R2
Q15075	Q9Y3E7
Q15075	Q96CF2
Q16584	Q92674
Q92674	Q9Y265
Q13474	Q16478
Q96BT3	Q9NVP2
Q92963	Q9NPB6
Q08AM6	Q96FJ0
O43143	Q15572
P16930	Q9UJT1
O60216	P16930
Q96FJ0	Q9H223
O75822	Q9Y2R9
O75822	P61254
Q969F9	Q9UL45
Q1MSJ5	Q96DZ5
O75586	Q9HAW0
P60228	P60468
P01270	Q13510
P54868	Q13011
P18074	Q16531
Q15428	Q9BZI7
O60499	Q9NX95
O60499	P43378
Q16222	Q9H0K4
Q8N165	Q9H0K4
O43663	O43765
Q13487	Q8WXI9
P13805	Q9UKA8
O95707	Q15007
P36954	P55145
Q96DZ5	Q9BVA0
P06730	P39019
O00115	Q13636
O14579	P61158
P29218	Q9BVK8
O60381	Q9NX24
Q86UN6	Q96DT5
P27037	P31271
P55884	Q9H2K0
P38432	Q9NW13
O00425	P20839
P61966	Q9UKE5
Q8NDX2	Q9UDT6
P62263	Q15056
P53667	Q92558
P60468	P61221
P06576	Q99933
P05387	Q14152
O75364	P00352
Q16584	Q9UQE7
P49720	P60842
Q86XK2	Q96IG2
O15234	Q01130
O00444	Q9UJT1
Q9HCL2	Q9Y2B2
O95249	Q9Y2I7
O95249	Q8WWQ8
P54802	Q15181
Q9NZN8	Q9UQL6
A5YKK6	Q9UQL6
Q9H4Z2	Q9UQL6
O95232	Q9UMS4
Q8IY31	Q9HAV4
Q5HYA8	Q8IY31
O75449	Q8IY31
O00462	P07510
Q99704	Q9NY12
Q9GZL7	Q9NY12
O43143	Q8IUF8
P02511	P56597
Q9H553	Q9NRS6
Q9HD42	Q9NRS6
Q53EZ4	Q9NRS6
A5D8V6	Q9NRS6
P22059	Q01968
Q9H6E5	Q9UMS4
P43307	Q8WXG6
O15533	P60033
P52948	P54821
Q6NWY9	Q9Y333
Q92686	Q96RR4
Q13601	Q9Y2P8
P46087	Q9UI43
P46087	P61221
P41238	Q8IU60
Q9H7L9	Q9NPF5
P62263	Q9Y3E0
P05160	P07195
Q13242	Q9UK58
P49761	Q13242
Q07001	Q99715
Q03111	Q15208
Q15208	Q9H081
O95793	Q9H0U6
Q13895	Q8IUF8
P0DML2	P10912
P0DML3	P10912
O14645	P56597
P35998	Q9NP92
Q9NWX6	Q9Y282
Q9H2F5	Q9ULM6
P54136	Q14686
O75367	Q13976
A0A0B4J2D5	Q9H8V3
P0DPI2	Q9H8V3
P24534	Q9P0U1
P78345	Q9Y3B4
Q969L4	Q9Y3B4
P49450	Q96RT8
P49450	Q14008
Q04771	Q86XK2
Q9HD67	Q9UHY1
O60683	P28330
Q8NDI1	Q8WYP3
Q15435	Q6QHK4
O43815	Q92954
O43815	Q9ULJ8
P14868	Q13200
Q16629	Q96RS0
O14548	O76095
P49721	Q9NSD9
O00512	P48730
Q9BUF7	Q9NR48
P23246	P38432
P00492	P23109
Q05519	Q9UKF6
Q05519	Q9P0U4
Q05519	Q86XP3
Q01432	Q9BXI3
O15229	Q8IWA4
P21912	P36578
Q16222	Q96PU9
P20023	P78386
Q12834	Q96A00
P51955	Q96IF1
Q96IY1	Q9UBC0
P43308	Q15005
Q15005	Q9UHX1
Q03169	Q9HBV2
Q05707	Q13886
P62306	Q9UKF6
P54727	Q9NRP7
Q53GS7	Q92688
P36404	Q7Z7A1
Q8IZU1	Q9UHC1
Q8IZT9	Q9UHC1
P49756	P52597
O00461	Q8NHH9
P16422	Q6GTX8
P09913	P47813
O75940	P31943
P50914	P62495
O94827	P10909
Q92905	Q96LD8
P38432	P83369
O43791	Q9P0U4
P61803	P78383
P27037	Q9NZC4
O15235	Q9H2K0
Q01968	Q92643
Q01968	Q15041
O95863	P08476
O76074	Q9UI46
Q7Z2G1	Q96BD5
Q12815	Q7Z2Y5
O95573	Q99541
O95573	Q6XE38
O95292	Q86UA6
O95793	Q9UPX8
Q96GQ7	Q9Y312
P0DI81	P51809
O00566	Q9NVN8
P56545	Q93008
P14854	Q9P0I2
Q96HY6	Q9P0I2
A5YKK6	P62837
P00505	Q9UI09
O15239	P0DPB5
O15239	P0DPB6
P09467	Q16740
Q9BYW3	Q9UQD0
Q8IZP9	Q9H112
Q9H112	Q9UQD0
P05160	Q9BY32
P20042	P50914
O60841	P49721
O75410	Q96CW5
Q14457	Q9BXW4
Q92979	Q96D46
P54652	Q99932
O14921	O60266
O14957	P19404
Q7Z5B4	Q9UPN3
P18848	Q13200
O75752	Q9NPC4
O60506	P31941
Q99973	Q9NUX5
P03999	P08254
O14929	Q00403
P25786	Q96H20
Q8NGZ3	Q8WX93
O14495	O14939
Q16799	Q9NZN9
P51116	Q9GZL7
O43896	Q96I34
Q96IF1	Q9UJX6
P10606	P61803
Q13136	Q15052
Q03188	Q13042
P57086	Q13042
O60841	Q9Y3U8
Q9BSJ2	Q9NQS7
Q969S2	Q9BSJ2
P62314	Q9BUE0
Q8NI99	Q9Y577
Q00013	Q9NQT8
O15544	Q9NTG1
P57678	Q14498
P62917	Q01518
O76071	Q9BRG1
Q8NEZ2	Q9BRG1
O15182	O75161
O75116	Q8IUC4
Q6P1N0	Q8TCJ2
O15232	Q14520
P61326	Q8TF01
P60059	Q9BY50
O95218	Q9NYV4
Q5ST30	Q9UKK6
Q92759	Q9UKK6
Q8WYP3	Q96FJ0
P49336	Q5VIR6
P35580	Q96I34
O00750	Q99569
O00750	Q9H2B4
P13942	P35247
O75586	Q9H6I2
O75586	Q9Y4A5
O75116	Q58F21
Q6P3W7	Q9BY64
Q12815	Q86VQ0
Q9H0A0	Q9H0E7
Q12815	Q96PY6
Q12815	Q70YC5
Q12815	Q5SW79
Q12815	Q8N3I7
Q12815	Q5HYA8
O43424	Q9BWQ8
Q14674	Q86SH2
P36896	Q96SB8
Q99961	Q9BXF6
Q8WWZ7	Q9Y4E8
Q6XE38	Q9UHD4
Q96S42	Q9C0A1
Q9H0E3	Q9UEE5
Q14980	Q5BJF6
O43172	P78345
Q5VVW2	Q9NY99
Q01718	Q13285
