Q8TF64	Q96HC4
Q86T26	Q96NZ8
Q96JB8	Q9H6Y5
Q8N7F7	Q9NR46
Q504T8	Q9UKS6
O95755	O95755
P43304	P43304
Q04721	Q04721
Q58EX2	Q58EX2
Q5TGJ6	Q5TGJ6
Q5ZPR3	Q5ZPR3
Q6ZWK6	Q6ZWK6
Q7Z5N4	Q7Z5N4
Q86V35	Q86V35
Q8WXH6	Q8WXH6
Q96J65	Q96J65
P14921	Q99811
Q9BV35	Q9BV35
Q9BWV1	Q9BWV1
Q9NP58	Q9NP58
Q9NP78	Q9NP78
Q9UQP3	Q9UQP3
Q9BVN2	Q9H3Y6
O95343	P09016
P16333	P18146
P11362	P19320
P19338	P31942
O14796	P42679
O15393	P46721
P19338	P52597
P00736	Q02388
O75398	Q13485
P23527	Q14839
P61956	Q14847
Q14839	Q16778
P29074	Q76G19
P04233	Q7Z6J0
Q14088	Q86VZ2
Q8IW93	Q8TDF6
Q8TAS1	Q92804
P12757	Q96KQ4
P20916	Q96MS0
Q06187	Q96SU4
Q5TCZ1	Q9BY11
Q6ZUT3	Q9H2C1
Q9BRR9	Q9UH65
Q5VT06	Q9ULT8
P08709	Q92959
Q70E73	Q8NCF5
Q8NCF5	Q92734
Q92783	Q92796
P28223	Q9UHV5
Q01082	Q9UL15
O14776	Q5JSL3
Q96IW2	Q9UI38
P10072	P16415
P16415	Q14587
P16415	Q14588
P16415	Q2VY69
Q14588	Q2VY69
P16415	Q68EA5
Q2VY69	Q6ECI4
Q2VY69	Q6ZS27
Q8IVC4	Q8N859
Q2VY69	Q8NEK5
P16415	Q9Y2G7
Q2VY69	Q9Y2G7
Q8N859	Q9Y2G7
Q2VY69	Q9Y2P7
P28482	P49759
P49840	P51817
P06729	Q5DX21
P21333	Q5VST9
P22455	Q8IVH8
P47869	Q9UGM1
Q00888	Q9Y279
Q96SB3	Q9NPB6
O75914	P11309
O15075	Q96GD4
O43781	Q96L34
Q00536	Q9H2X6
Q9NSY1	Q9P0L2
P11464	P35613
P13726	Q9UHF4
P23945	Q9UKP6
P52735	P61019
P52735	Q8WUD1
Q5TCX8	Q96PC5
P10911	Q9UBK7
P10911	Q9UNT1
P49763	P61812
O00548	Q14623
O95390	Q8IWV2
P55199	Q92750
Q92833	Q96L73
Q92765	Q9HCK8
O15357	Q9UQF2
Q96JH8	Q96NW7
Q9P126	Q9ULY5
O95361	P78423
Q9H254	Q9NR48
P20248	Q9UEE5
P29466	Q9UM47
P02655	Q8WY64
O76054	Q16270
P17252	P51805
P14859	Q96QS3
P17081	P28482
O60487	P57087
O95072	Q14511
P17252	Q15669
P52198	Q5JSP0
P17252	Q9H4E5
Q96PU5	Q9NZM3
Q99704	Q9Y2I1
P0DP23	Q6PJ69
P0DP24	Q6PJ69
P0DP25	Q6PJ69
P0DP23	Q8TEC5
P0DP24	Q8TEC5
P0DP25	Q8TEC5
O43278	P10323
P10323	P10646
P02489	Q8WU20
P40189	Q9P218
