O75554	Q6Y7W6
O75593	P15336
O75688	O95999
O75688	Q3ZCQ8
O75791	Q8TC17
O75792	Q15398
O75886	Q92569
O75925	O95251
O75925	P10276
O75937	P62306
O75953	Q9Y2U5
O76081	P49798
O94776	Q15047
O94782	Q9UBT2
O94830	Q92581
O94832	Q96EY1
O94874	Q9NW38
O95049	Q13813
O95166	Q13233
O95229	Q9H3R5
O95251	Q96L91
O95411	P0DP23
O95411	P0DP24
O95411	P0DP25
O95498	P52790
O95751	Q06787
O95816	Q8IUC6
O95831	P04406
O95996	Q9UQB3
O95997	P45973
O96013	Q14247
O96017	P78396
O96017	Q00535
P00451	P05546
P00519	P25098
P00519	Q01082
P00519	Q15796
P00533	Q12959
P00533	Q15642
P00736	P13164
P00736	Q01453
P00749	P02763
P00751	P15529
P01009	P31949
P01033	P07686
P01112	P36404
P01112	Q9UPT6
P01236	Q13077
P01568	Q92985
P01584	P05112
P01732	Q8NHL6
P04040	P12931
P04049	Q8NFJ9
P04114	P30101
P04150	Q02078
P04216	Q15113
P04350	P42658
P04350	Q59EK9
P04554	Q8WWU5
P04843	Q9H853
P05067	P48745
P05120	P28749
P05161	P29597
P05412	P08631
P05549	P19338
P05787	Q93045
P06239	Q02750
P06241	Q8TC17
P06454	Q00839
P06493	Q12824
P06576	Q05639
P06737	Q96IP4
P06746	Q9Y277
P07197	Q5JY77
P07332	Q9C0H9
P07339	Q02818
P07437	Q8NE71
P07766	P26373
P07814	Q9BQG0
P07900	P82094
P07900	Q8WUM4
P07910	Q14493
P07947	Q8TC17
P07992	Q5SRE5
P08069	Q08881
P0DMV8	Q07817
P0DMV9	Q07817
P08133	P61601
P08183	P61086
P08195	Q05397
P08238	P23528
P08238	P53355
P08708	P62937
P08754	Q08116
P09012	Q04206
P09630	Q9NYD6
P09651	Q13435
P09769	Q8TC17
P09914	P55265
P09972	P50993
P10145	P60568
P10275	P17706
P10398	Q9UQ13
P10636	P15941
P10636	Q13033
P10636	Q5VSL9
P10721	P27701
P10809	P55957
P10828	P61289
P10828	Q969S8
P10912	P61981
P11021	Q15326
P11308	P45983
P11362	P42768
P11473	Q6ZRS2
P11509	Q01523
P11586	Q99741
P11802	Q14686
P11940	P25398
P12236	P60866
P12830	Q16827
P12931	Q8TC17
P12931	Q96JZ2
P12980	Q86U70
P13591	Q05397
P13611	Q99616
P14314	Q8IV08
P14317	Q99759
P14635	Q92793
P14920	Q00889
P15056	P26045
P15884	Q71U36
P16333	Q8TC17
P17535	P51532
P17676	P51692
P17844	Q00610
P18850	P84022
P19338	Q15208
P20248	P22314
P20908	Q07954
P20936	P61587
P21554	Q7Z6G3
P21579	Q9BZQ4
P21580	P84103
P22626	Q14493
P23246	P40227
P23443	Q13418
P23443	Q92574
P23515	Q59EK9
P23528	P68363
P23528	Q86W92
P23528	Q9H4A3
P24468	Q15788
P24557	Q6GTX8
P24928	Q15370
P25963	P42229
P26045	P46108
P26436	Q99445
P26447	Q92993
P27348	P53779
P27348	P63000
P27348	Q14012
P27797	P30988
P28702	Q05516
P28749	P42224
P28749	Q5VTD9
P29034	Q8N488
P30050	Q9BQE3
P30307	P50613
P31483	Q92973
P31943	Q05519
P31946	Q15831
P31946	Q6P3W7
P31947	Q13233
P33993	Q9NYZ3
P33993	Q9UBU8
P34931	P40763
P35221	Q05397
P35269	P62875
P35269	Q15233
P35269	Q8N7H5
P36575	Q562R1
P38646	P51398
P38646	P62987
P40189	Q9NSE2
P40222	Q9H853
P40763	Q13444
P40939	Q99558
P41220	Q9NQ66
P41279	P43243
P42285	Q9NVP1
P42566	Q9UQC2
P42575	Q13418
P42680	Q9H792
P42684	P63244
P42858	Q14686
P43246	Q92616
P43246	Q99708
P45984	P60520
P46087	Q3ZCM7
P46108	Q9Y2R2
P47897	P62701
P48023	Q9Y3X0
P48060	Q9H3U5
P48552	P62195
