A1X283	Q13233
Q9HB21	Q9NR48
P43146	Q9UBP9
O75146	P61020
P31943	Q08211
P22692	Q12948
O14944	O95935
Q08043	Q96QB1
O43295	O43566
P00747	P08151
O76036	P09564
O43307	P10398
O15344	P10966
P06850	P11684
O75592	P14210
O60500	P29320
P22105	P29320
P16144	P29322
P08922	P36897
P01732	P47871
P35227	P63146
O95361	Q13422
O60500	Q15375
P54725	Q5JXB2
P23467	Q6UWB1
Q15382	Q7Z6B7
Q7L591	Q7Z736
O43295	Q8TAI7
O15169	Q92575
P29320	Q92752
P00750	Q92959
O43295	Q96A58
Q13636	Q96P48
Q8WXA9	Q96T37
P98073	Q9BQ16
O96018	Q9BXM0
P14210	Q9BXT4
P54578	Q9HAU4
Q7Z736	Q9HD67
O00401	Q9NR12
Q8TAI7	Q9NRY4
O43566	Q9UGC6
P10398	Q9UNA1
P35568	Q9UNN5
Q8NEU8	Q9UQF2
Q13177	Q9Y2U5
Q53QZ3	Q9Y3L5
P08754	P20340
Q00537	Q13188
O43566	Q15011
O75886	Q15811
Q15052	Q9UHR4
Q9P0V3	Q9UHR4
Q9H628	Q9ULC3
P33176	Q9HAQ2
O00292	P48742
O14627	P62993
P10070	P78545
P07996	Q03014
P78536	Q14289
P61812	Q9H2P0
P26842	Q9HBE4
P04003	Q9HC29
P13726	Q9HC29
P17275	Q9NPG4
P98174	Q9P107
Q8IZD4	Q9UPR3
Q99490	Q9Y2X7
O60259	P49767
Q06455	Q4G0G5
O00213	Q6ZN54
O75554	Q6ZN54
P62873	Q92667
P30939	Q13639
P09104	Q15119
P29320	Q14623
P61088	Q17RB8
P61077	Q496Y0
P35226	Q5JXB2
P54760	Q8TD84
P11940	Q96EP5
Q5TCX8	Q9Y5P4
Q12906	Q8NFH4
P56377	Q9UKW4
P61966	Q9UN86
P05997	P35713
O15259	P38398
P40933	P48061
P50281	P55287
Q14653	Q29983
Q16363	Q8WZ75
P78337	Q99835
O75689	Q9NZ72
P09067	Q9UP38
P20719	Q9UP38
A6NHN0	O14788
A6NHN0	O43557
A6NHN0	P01374
O00478	P01703
P01594	P06731
P04432	P06731
P01703	P40198
P49840	Q13976
P49841	Q13976
A6NHN0	Q06643
P01717	Q14002
P04432	Q14002
O95971	Q00889
O95976	Q00889
P01594	Q00889
P01717	Q00889
P04432	Q00889
P40259	Q00889
Q14315	Q2Q1W2
O95297	Q2WEN9
O95971	Q2WEN9
O95976	Q2WEN9
P01703	Q2WEN9
P04432	Q2WEN9
P01619	Q2WEN9
P40259	Q2WEN9
P01703	Q3KPI0
P01597	Q3KPI0
O60667	Q496F6
P24071	Q496F6
Q3KPI0	Q496F6
P01703	Q5SQ64
P01597	Q5TFQ8
Q13201	Q5VWW1
A6NHN0	Q6IMN6
P16109	Q6UVW9
P01594	Q6UXG3
Q2WEN9	Q6UXG3
Q2WEN9	Q6UXN2
Q5SQ64	Q6UXN2
P01703	Q6ZMC9
P40198	Q71H61
Q14002	Q71H61
Q3KPI0	Q71H61
Q6ISS4	Q71H61
Q6MZW2	Q7RTY3
Q496F6	Q7Z6A9
P01597	Q7Z7D3
P01703	Q86XK7
Q71H61	Q86XK7
P41273	Q86Z23
Q7Z410	Q8IUA0
Q2WEN9	Q8IWT1
O75531	Q8IXM2
Q71H61	Q8N3J6
Q7RTY3	Q8N475
Q00889	Q8NET5
Q2WEN9	Q8NET5
P01594	Q8TDQ1
P06312	Q8TDQ1
P04432	Q8TDQ1
P01597	Q8WVV5
Q08ET2	Q96BF3
Q14943	Q96BF3
Q00889	Q96BF3
Q2WEN9	Q96BF3
P01703	Q96IQ7
P04432	Q96IQ7
Q71H61	Q96IQ7
P56715	Q96JP2
Q15011	Q96JP2
Q71RG4	Q96JP2
Q71H61	Q96N03
Q7Z410	Q96NZ8
Q15695	Q9BTD8
Q6UVW9	Q9BXN2
Q496F6	Q9H106
Q71H61	Q9H106
Q2TV78	Q9H3U7
Q7RTY7	Q9H3U7
Q8IWN7	Q9H7E2
Q9H6E5	Q9HCJ3
Q00889	Q9NP99
Q2WEN9	Q9NP99
Q496F6	Q9NP99
Q15424	Q9NTZ6
Q9BY77	Q9NTZ6
Q00889	Q9NZC2
Q00889	Q9UKJ0
Q2WEN9	Q9UKJ0
Q496F6	Q9UKJ0
Q5SQ64	Q9UKJ0
Q496F6	Q9UKJ1
Q96JP2	Q9UNZ2
Q13976	Q9UPZ9
O95971	Q9UQ74
O95976	Q9UQ74
P01703	Q9UQ74
P04432	Q9UQ74
P40259	Q9UQ74
Q6UXG3	Q9UQ74
Q6UXN2	Q9UQ74
Q8NET5	Q9UQ74
Q96BF3	Q9UQ74
Q9NP99	Q9UQ74
Q9UKJ0	Q9UQ74
A6NHN0	Q9Y275
Q86Z23	Q9Y275
