O14836	O95999
O14965	O94776
O14965	Q8NI77
O15105	P31273
O15151	P53350
O15211	P47736
O15357	O75369
O15357	P35916
O15379	O75469
O15379	O95243
O15530	P05783
O15530	P29474
O15530	P61586
O43150	Q9GZY6
O43318	P06239
O43318	P61981
O43318	Q9P2J5
O43482	Q2NKX8
O43502	P55210
O43505	Q9Y6A2
O43524	P12830
O43924	P15056
O60234	P12318
O60268	P17600
O60500	P23469
O60674	Q9Y4K4
O60763	Q99767
O60869	Q00403
O75146	P49407
O75146	Q14790
O75419	P30304
O75436	P55795
O75446	Q8WUI4
O75509	Q06481
O75899	Q7L0J3
O75973	Q9NQ94
O94761	Q99640
O94832	P55084
O94832	Q9BUF5
O94906	Q92993
O95201	P21741
O95816	Q9H857
P00367	P52272
P00505	P17174
P01106	P80217
P01112	Q9GZQ8
P01588	P09923
P02746	Q8IYL9
P02760	P04196
P03372	P50616
P04150	Q92844
P04632	Q96CW1
P04843	Q9NY65
P05387	P22087
P06400	P60484
P06454	Q8NCD3
P06748	P15311
P07437	P62266
P07814	P62244
P07900	P62140
P07942	Q9NR99
P08123	P27658
P08603	P22692
P08922	P09619
P08962	Q13683
P09496	P14618
P09619	P15260
P09619	P22692
P09651	P62913
P10244	Q9NS87
P10275	Q13616
P10275	Q16576
P10914	P23396
P10914	P41279
P11168	Q6DJT9
P12081	Q9C040
P14222	P26718
P14316	P38398
P14784	Q14289
P15311	P60484
P16070	P20936
P16104	Q05048
P16220	P38936
P17480	P51946
P17480	Q16514
P17813	P63010
P17844	P41279
P17844	Q9NS56
P17947	Q01201
P17987	P62277
P18124	P49368
P18621	P20290
P19525	P68400
P20248	Q13535
P20749	Q99743
P21579	Q96BY2
P22003	Q13873
P22459	Q13002
P23468	P23471
P25705	Q13546
P27448	P46937
P27708	Q15653
P28482	Q13257
P28482	Q9NRH2
P29590	P55055
P29590	Q9UM07
P0DP23	P30154
P0DP24	P30154
P0DP25	P30154
P30307	Q16644
P31749	P48729
P31946	P43403
P31946	Q13523
P34931	P50991
P35269	Q92831
P35555	Q8IWU6
P36507	Q13480
P36873	P53355
P36956	Q16828
P37275	Q9NYF8
P38646	Q99615
P41240	Q07954
P41743	Q8IZQ1
P42345	Q04759
P42677	P51398
P43243	P50990
P43686	P49368
P45984	P98164
P48643	Q04837
P49459	P61289
A0AVK6	Q99618
P50613	Q14004
P51636	Q14108
P51681	Q14005
P51693	Q9UL51
P54753	Q08881
P55795	Q9UQ13
P56524	Q6PKG0
P61225	Q9Y3L5
P61978	Q13444
P62140	P62829
P0DP23	Q12852
P0DP24	Q12852
P0DP25	Q12852
P62314	P84103
P0DPH7	P62424
P0DPH8	P62424
P62995	Q9H0B6
P63279	Q66K89
P68400	Q08050
Q00610	Q7Z3U7
Q00839	Q13546
Q01453	Q14206
Q03135	Q9BU40
Q03188	Q92769
Q05048	Q9NXR7
Q06187	Q14765
Q12778	Q99967
Q12933	Q92934
Q13113	Q9H2G2
Q13177	Q14118
Q13485	Q9Y6B2
Q13516	Q13875
Q13547	Q13574
Q13651	Q92835
P0DPH7	Q8N2H9
P0DPH8	Q8N2H9
Q13905	Q9C0H9
Q14004	Q9P2K8
Q14406	Q8N568
Q15004	Q5BJF2
Q15036	Q92918
Q15326	Q9HAV5
Q15366	Q9UHX1
Q15796	Q86Z02
Q15811	Q5TCZ1
Q15831	Q9BYG4
Q16352	Q9H169
Q59EK9	Q9UJ04
Q5MNZ9	Q9Y4P8
Q66K89	Q9H2X6
Q86UT5	Q9HBW0
Q86XI2	Q9NYZ3
Q86XR8	Q8WUM0
Q86XR8	Q96T76
O00221	Q9Y3I1
O00273	P23528
Q92540	Q9BZI7
Q92542	Q9Y4K3
Q92576	Q9NYF8
Q92598	Q92769
Q92841	Q9BTK6
Q92956	Q99683
Q96B36	Q9Y2J2
Q96B67	Q9UQC9
O00311	Q9BPX3
O00401	Q8IVI9
O00459	O75159
Q96JB8	Q9HAP6
Q96L91	Q9C086
Q96RR4	Q9UQL6
Q9BXS5	Q9UMZ2
Q9BZ29	Q9HCE7
Q9BZ29	Q9Y3F4
Q9C0K7	Q9Y6Q6
O00631	P06732
Q9NYQ7	Q9UL42
Q9Y265	Q9Y6Q6
O14530	Q92905
O14543	Q9UK73
O14654	P16885
O14654	P42677
O14686	Q13029
O14727	P31749
O14757	P22415
O14782	Q96DZ5
O14910	Q96JB8
O14948	P02746
O14965	Q14191
O14974	P09651
O14980	P33316
O15085	Q9Y4K4
O15239	O75251
O15264	P54646
O15264	Q05923
O15442	Q99784
O15516	P28702
O15524	Q9UBN7
O43353	Q5VVH5
O43463	Q9NQS7
O43502	Q9BQ15
O43541	Q93008
O43819	Q02809
O43918	Q8WVM7
O60216	P63165
O60264	Q13363
O60583	P51825
O60641	Q9NTI2
O60674	P14778
O60674	P27348
O60925	Q9UDY4
O60934	P61160
O75179	Q8NB78
O75182	Q9UM07
O75368	Q05682
O75528	O75928
O75528	Q15543
O75688	Q9BVA1
O75688	Q9H467
O75830	P25686
O75830	P41271
O75886	Q05397
O75953	Q8TC59
O94826	P50502
O94921	P30279
O94941	Q9Y3C5
O95067	P17096
O95067	P40938
O95073	Q9UI14
O95251	Q09472
O95347	Q92616
O95997	P17812
O95999	Q8NFZ5
P00519	P08575
P01308	P10997
P02461	Q6NZI2
P02545	P31949
P03372	Q15750
P04049	P60510
P04233	P13498
P04234	Q13291
P04406	P07948
P05106	P42684
P05129	P49759
P05230	P07196
P05408	Q16352
P05412	Q13105
P06729	Q8WUM4
P07196	Q69YW2
P07333	P18433
P07437	P43489
P07437	Q02246
P07900	P29350
P08069	P49760
P08574	Q9UBQ5
P08575	Q16581
P08579	Q9Y3F4
P08708	P52272
P09012	P11387
P09486	P15884
P09871	Q9NR99
P10275	Q9H160
P10412	P62829
P10827	Q9NNW7
P11142	P61619
P11509	P47775
P11831	P84022
P0DPH7	P11940
P0DPH8	P11940
P12004	Q16665
P12034	Q76N89
P12830	Q9UQM7
P12931	P19784
P13637	Q7Z570
P14543	P54259
P14618	P35268
P14635	P42166
P14778	P17676
P15498	P98077
P15882	Q9HBZ2
P15923	P50549
P17252	P42336
P17677	Q9BWQ8
P17844	P40763
P17858	Q01082
P18847	Q92769
P19105	P62987
P19525	P42345
P19784	P38646
P19838	Q9NWZ3
P20036	P32455
P20226	P22736
P20807	Q13822
P21333	Q9BQE3
P22314	P67870
P22626	Q9BQS8
P25490	Q9H0M0
P25705	P46783
P25788	Q15691
P25789	Q92905
P25789	Q9NVI1
P26583	Q02224
P26599	P51513
P27361	Q92769
P28300	P35318
P29466	Q06187
P30291	P31751
P30305	Q6WCQ1
P30307	Q15131
P30530	P35579
P31749	Q13526
P31947	Q07890
P32121	Q92945
P32780	Q9Y618
P32927	Q99704
P33778	P62249
P33993	Q14191
P36507	Q9Y6R4
P36941	Q14790
P38398	Q14653
P38398	Q9Y3C5
P38646	Q9Y2U5
P38936	Q13330
P38936	Q15648
P39059	Q8IZF2
P40145	Q08828
P41235	Q9NQ94
P42166	Q96B01
P42766	Q9UBK9
P42768	Q15303
P43004	Q9UQM7
P43243	Q9UBK9
P46109	Q8TF42
P46940	P62879
P46940	Q9Y2U5
P48023	Q14289
P48741	Q99942
P49454	Q14566
P49795	Q13351
P51451	P52757
P51693	Q9Y328
P51911	Q13418
P52272	Q9P2J5
P52565	Q13576
P54753	Q05397
P55072	Q13164
P60201	Q92876
P60709	Q13464
P62258	Q15303
P62263	Q15653
P62995	Q5VWX1
P63165	P84103
P68036	Q96LR5
Q00403	Q9NR30
Q00839	Q14653
Q00839	Q9H3D4
Q01201	Q96DB2
Q02880	Q08211
Q04759	Q13501
Q04917	Q13619
Q04917	Q14978
Q0VDF9	Q13233
Q13077	Q92841
Q13113	Q8WTV0
Q13233	Q9HBH9
Q13546	Q9Y4K4
P0DPH7	Q9BUZ4
P0DPH8	Q9BUZ4
Q13761	Q8WUI4
Q13761	Q92985
Q13813	Q99683
Q14185	Q15654
Q14498	Q9ULK4
Q14541	Q14994
Q14596	Q66K74
Q14982	Q9H169
Q15185	Q9Y3F4
Q155Q3	Q9UIE0
Q15645	Q9UI14
Q15652	Q9ULJ6
Q15653	Q9BWT7
Q15759	Q9UBE8
Q15784	Q9H2X9
Q5KU26	Q9C0D2
Q5VTR2	Q99728
Q6STE5	Q9Y6Q9
Q7Z7G1	Q9UQF2
Q86Z02	Q9H2X6
Q8IUH5	Q9UKA4
Q8IZJ4	Q9NZL6
Q8N2H9	Q8N5C8
Q8N5D0	Q9UNS2
Q8NEM2	Q9H8V3
Q8NEM2	Q9Y248
O00232	O94972
O00257	Q99708
Q8TAC9	Q9BR01
Q8TAQ2	Q9UBN7
Q92769	Q9Y6B2
Q92793	Q9NYB0
Q92793	Q9Y466
Q92820	Q96B01
Q92974	Q9H4A3
Q96B97	Q9Y5X1
O00418	P49815
O00459	P01111
Q96JB8	Q9NUP9
Q99784	Q9UL42
Q9BVA1	Q9C0K7
Q9BVM2	Q9C086
Q9BZK7	Q9Y5X4
Q9C0D2	Q9HCM1
O00571	P35268
O00571	Q9Y230
O00750	Q13322
Q9H2X9	Q9Y6A2
Q9NRY6	Q9Y6Y8
Q9NZU7	Q9UPR5
Q9P2U7	Q9UPP5
Q9UKC9	Q9UKT8
O14733	P40763
O14733	Q07866
O14920	Q12802
O14933	Q06323
O14980	Q96EE3
O15056	Q9Y2A7
O15085	Q16513
O15111	P37231
O15169	Q8N2W9
O15287	P60896
O15492	P21860
O15530	Q15118
O43294	Q93062
O43304	Q13536
O43318	Q13885
O43439	Q15583
O43561	P35968
O43561	P42680
O43592	P11142
O43761	Q8IZD9
O43795	Q01082
O60264	P11473
O75081	Q9NYJ8
O75335	Q9BRK0
O75351	O95630
O75369	P05067
O75400	Q9NYF8
O75419	Q9BSJ6
O75436	O95487
O75489	Q02978
O75586	Q06546
O75791	Q9NZM3
O75899	P62760
O75925	P10588
O94761	Q99661
O94805	O96019
O94811	Q9UQB3
O94888	Q9UK73
O95670	Q9BZQ4
O95711	Q9NZC2
O95997	Q8TAT5
O96028	Q15047
P00519	P46736
P00533	Q92597
P01106	Q00613
P01374	Q9Y5U5
P02462	Q01995
P02533	P02538
P02745	P61626
P02749	P02760
P04150	P36956
P04271	Q9UF11
P05161	P28062
P05455	P42574
P05549	P25208
P05783	Q13224
P06127	Q9NP31
P06213	P16471
P06213	P48357
P06239	P32942
P06241	Q16584
