P23560	Q9UL15
P31749	P41182
O15197	P54753
P42771	Q13625
O60502	Q14184
Q8IZU2	Q8N5V2
Q8N4F7	Q8NB66
O75366	Q92730
Q5PSV4	Q9H329
O14788	Q9UBS5
Q8WZ60	Q9UBW5
O14682	Q9UHD9
Q8N4F7	Q9UPW8
Q9BVI0	Q9Y483
Q9Y2W6	Q9Y483
Q13303	Q9H3F6
P46736	Q92560
P31749	Q9UQK1
P09529	P40200
O75695	P40617
Q13588	Q13813
O00499	Q5VV41
O14924	Q8TF72
P15529	Q8WX77
Q86WV1	Q9UKN7
O75695	Q9Y689
P04629	P11215
O95716	P25098
P56945	P60763
P20339	Q09013
P20340	Q13627
O15530	Q6ZV73
P28482	Q96A58
P52735	P54619
Q01201	Q30154
P50897	Q5VXI9
P50897	Q5VXJ0
O43181	P07204
Q96F15	Q9Y5L4
P63096	Q15291
O95633	Q8TBJ5
P04637	Q8WZ42
Q15223	Q9UN71
Q15223	Q9UN72
O60487	Q9UN74
Q15223	Q9UN74
O60487	Q9Y5G1
Q02413	Q9Y5G2
Q15223	Q9Y5G2
Q02413	Q9Y5G3
O60487	Q9Y5H6
Q15223	Q9Y5H6
Q15223	Q9Y5I3
O60487	Q9Y5I4
Q15223	Q9Y5I4
O15511	P35606
O43623	P52741
Q14119	Q86WZ6
O43623	Q8NEK5
Q8NHY6	Q9BRP0
Q96HC4	Q9C037
Q96G23	Q9GZZ0
Q96EP1	Q9NR12
Q01860	Q9H461
P05556	P13591
O15105	Q04323
Q04912	Q13017
P60568	Q16619
O60264	Q6ZRS2
P16109	Q8IX03
P28356	Q8NF91
O15350	Q8NFW5
P05107	Q8WZ75
P19525	Q99942
Q05707	Q9BZA8
Q05707	Q9BZZ2
Q6ZMJ2	Q9C035
Q70EK9	Q9H0E7
P20701	Q9NRJ7
P05783	Q9NZ52
P54764	Q9NZR4
Q00653	Q9P1W8
Q14289	Q9UHY8
P00519	Q9UIG0
O75051	Q9UQP3
Q9UKW4	Q9UQR0
Q05707	Q9Y5I2
P80075	Q9Y2Y1
P09086	P14651
P09086	P19622
P09086	Q05925
O14492	P01579
P08567	P11831
O95072	P41225
P83731	Q9H4B7
O00327	Q9NW64
P18075	Q9Y252
O15031	O60313
O43639	P01111
P11215	P20827
O00273	P23560
P17301	P30530
P46934	P63010
O14640	Q03052
Q13349	Q8IWV2
O43559	Q8N4X5
P15086	Q9BS40
P01116	Q9BY11
P01008	Q9H3S3
P19022	Q9H6X2
Q13349	Q9HC56
O00308	Q9NRM7
Q96T37	Q9UBB5
P01008	Q9UI38
Q8IUK5	Q9UKW4
P40818	Q9UMW8
P31151	Q9UPW6
Q70EK9	Q9Y6I4
P30626	P43694
Q13367	Q9Y296
P00749	P04216
O14920	Q9P1W9
P04054	P78423
O94888	Q93009
P36894	P78367
P01375	Q16363
P35240	Q96HF1
P16144	Q8N423
O95231	P49335
P49335	P50221
O43711	P54821
P23946	P83110
P32243	Q01826
O60902	Q03052
O75360	Q14774
P17481	Q15911
Q01543	Q16760
P19622	Q86UP3
P31249	Q86UP3
P43699	Q8N693
Q15911	Q8N693
O95238	Q8NA19
P62826	Q96P47
P42679	Q96QS6
P04629	Q9BUB5
P36888	Q9BUB5
P42679	Q9BUB5
P09629	Q9BZE3
Q86UP3	Q9BZE3
P35453	Q9H4I2
O75360	Q9H9S0
Q8WYN0	Q9NVW2
Q6PHR2	Q9NYL2
P35453	Q9UKY1
O95231	Q9UPW6
P50221	Q9UPW6
Q14781	Q9UQF2
O43915	P04070
P10644	P23443
O75319	P23471
O60469	P29459
P35227	P46531
P27986	P53667
O43294	P63146
P31483	Q12933
P23471	Q13418
P01111	Q16527
P03951	Q8IWY4
P53778	Q96KQ4
P19883	Q99728
Q93034	Q9H6Y7
Q8NDT2	Q9HCE7
Q96CG3	Q9UDY8
P54725	Q9UNE7
P43378	Q9UNH5
P06493	Q9Y5K6
P13726	Q99665
P11362	Q9HCU4
Q63HQ2	Q9HCU4
P56377	Q9NRW1
Q6WRI0	Q9Y6N7
Q04206	Q08708
Q04206	Q16270
P02708	Q9BY67
Q01082	Q8IZX4
O95813	P01225
O75603	P18075
O60603	P18887
O75603	P46531
O60315	Q13393
Q06643	Q6UWB1
P29279	Q76FK4
Q96L73	Q9HC52
P45379	Q9UNA1
Q6UXL0	Q9UNN8
O60260	P60953
P05981	Q8IYR6
P62995	Q8NFH5
Q13242	Q8NFH5
Q13247	Q8NFH5
Q86XE0	Q96S79
P00736	Q7RTY3
P00747	Q7RTY3
Q6ZWK6	Q7Z410
P01597	P12544
P01602	P12544
P01344	P14314
P53350	Q8NFD2
Q8NBP7	Q8WZ42
O15344	O75581
O00468	O95388
P09016	P10275
O95076	P11473
P01584	P20138
O43186	P35398
P10275	P49639
P11474	P49640
P10275	Q00444
P98160	Q07157
P02751	Q14119
O95727	Q86UR5
O15116	Q8IZD4
Q12802	Q8WYP3
P12830	Q8WZ75
O43186	Q92570
P49640	Q92570
P02458	Q9UPN3
P22003	Q99466
Q9H9G7	Q9P2K8
Q9BXT8	Q9UQR1
Q9NZV1	Q9Y561
P17483	Q9Y5X4
Q9HB65	Q9Y6Q9
O60315	Q9Y2U5
O95479	O95544
O94761	P26358
O43543	P61586
O95096	P78412
P58304	Q14863
P40426	Q3C1V8
Q30154	Q8IZU9
P0C7M4	Q8TE12
P23760	Q9BQY4
P78414	Q9NY43
O94761	Q9UBC3
Q6ZNG2	Q9Y6X8
Q7L985	Q86UR5
