P47755	Q12791
P02458	Q12791
P62140	Q12791
P60880	Q12791
Q12791	Q99653
P19404	Q12791
P04792	Q12791
Q12791	Q14696
Q12791	Q9BUL8
P35232	Q12791
P35914	Q12791
P30040	Q12791
P45880	Q12791
P61601	Q12791
P62760	Q12791
P35080	Q12791
P14625	Q12791
P07954	Q12791
P06396	Q12791
P50454	Q12791
P22626	Q12791
P60981	Q12791
P48735	Q12791
P48444	Q12791
Q12791	Q13561
P40925	Q12791
Q12791	Q9H444
P62714	Q12791
P67775	Q12791
P05937	Q12791
P06753	Q12791
P10916	Q12791
P16949	Q12791
P30041	Q12791
O43405	Q12791
P15104	Q12791
P20472	Q12791
P37840	Q12791
P60983	Q12791
Q12791	Q9NP72
P22392	Q12791
P05062	Q12791
P14618	Q12791
Q03252	Q12791
P08238	Q12791
P20700	Q12791
P31749	Q12791
P49841	Q12791
Q12791	Q15118
P11142	P43405
P13639	P43405
P06733	P43405
P38646	P43405
P22234	P43405
P05388	P43405
P43405	Q9BRJ7
P08865	P43405
P43405	Q99832
P43405	P62888
P00338	P43405
P43405	P50990
P43405	P46777
P08243	P43405
P22392	P43405
O00425	P43405
P08238	P43405
P43405	P62701
P43405	Q15436
P04406	P43405
P39748	P43405
P18124	P43405
P05386	P43405
P43405	P67809
P43405	P62258
P43405	Q14240
P43405	P62424
P43405	Q92526
P10599	P43405
P29966	P43405
P25205	P43405
P43405	Q02338
P43405	P60981
P25398	P43405
P09972	P43405
P43405	P63208
O15372	P43405
P43405	Q99497
P26196	P43405
P43405	Q92499
O14979	P43405
P43405	P53618
P43405	Q13085
K7EKS7	P43405
P43405	Q9Y6E2
P43405	Q9BY44
P35613	P43405
P43405	Q99623
P43405	Q9Y3U8
P43405	Q9NXR5
P23284	P43405
P43405	Q15057
P26583	P43405
P43405	P47756
P43405	P62826
P13693	P43405
P43405	P63279
P43405	Q14694
P43405	P48444
E9PAV3	P43405
P43405	Q13765
P30101	P43405
P11473	P43405
P43405	P56199
P43405	Q14651
P08727	P43405
P43405	Q92896
E9PAV3	P06401
P06401	Q13765
Q13257	Q9H3R5
E9PAV3	P08238
P08238	Q13765
O75626	Q9UH73
Q9HCC6	Q9HCC6
O60551	Q9H3D4
P30419	Q9H3D4
P15056	Q13526
P15056	Q9ULX6
O14579	P15056
P15056	Q9BXL7
O43255	P15056
O00303	P15056
P15056	Q99623
P15056	Q96N67
P15056	P62826
P15056	Q93009
P15056	Q86VI3
P15056	Q9Y6G9
P18433	Q12860
Q15147	Q15147
P18433	P30153
P55347	P60709
P55347	Q9BQG0
P35579	P55347
P55347	P61247
Q9NV58	Q9Y6Q9
Q15047	Q9Y6Q9
Q9P2Y4	Q9Y6Q9
P30044	Q9Y6Q9
Q9P2Y4	Q9P2Y4
P04908	Q9P2Y4
O75925	Q9P2Y4
Q01973	Q9Y5V3
P51531	Q13422
Q13422	Q92922
Q96KN7	Q96KN7
A7KAX9	P07998
C4P0D8	Q15631
C4P0D8	Q08378
C4P0D8	Q2TAA8
C4P0D8	O94901
C4P0D8	Q99996
P05067	Q12756
A0A0J9YVX5	Q9H461
A0A0J9YVX5	Q13467
A0A0J9YVX5	A0A0J9YVX5
P54198	Q5TEC6
A0A1B0GUS4	Q9BYM8
A0A1B0GUS4	O95376
A0A1B0GUS4	Q9NWF9
A0A1B0GUS4	Q9Y4X5
