Q14494	Q9ULX9
P05062	P36543
P09972	P36543
O14939	P04075
P01023	P02649
P01023	P11021
P01023	P22301
P01023	P05112
P18825	Q96SB3
P18089	Q96SB3
P08913	Q96SB3
P55212	P55212
P55212	Q14790
O14745	P16234
O14745	P09619
Q13191	Q96B97
P09619	Q96B97
P10721	Q96B97
P10721	Q13191
P05106	P09619
P09619	P29353
Q15750	Q16539
Q16539	Q16539
P27361	Q13115
Q13115	Q16539
P45983	Q13115
P43004	Q96IF1
P09619	P21453
P01127	P09486
P55087	Q96CW1
P04085	Q13442
P01127	Q13442
P43489	Q12933
P60880	Q86Y82
P16284	P16284
O95295	P60880
P60880	Q9C026
P60880	P63027
P05106	P07996
P05106	Q14289
P05106	P49023
P05106	P16234
P09619	Q03135
P16234	Q03135
P09619	P56539
P16234	P56539
P07359	P40197
P16109	P25063
P07359	P16109
P16109	Q9BXS5
P55327	P55327
P55327	Q16890
O43399	P55327
Q16890	Q16890
O43399	Q16890
O43399	O43399
O43157	Q9NZN5
P49796	P63104
Q12866	Q14393
P30530	Q14393
P62318	Q16637
Q16637	Q9Y333
Q16637	Q9Y4Z0
P62312	Q16637
Q16637	Q9UK45
Q08211	Q16637
P20226	Q08211
Q00403	Q08211
O14893	Q08211
Q08211	Q9UHI6
P57678	Q08211
Q14242	Q14242
P16109	Q14242
P15151	Q9Y6Q5
P04004	P15151
P09874	P09884
P09874	Q14181
P09874	P10244
P25054	Q13257
O43683	P25054
O43684	P25054
O60566	P25054
P06132	P06132
P16389	Q14722
P16389	P18433
P30533	Q07954
P06858	P98155
P30533	Q99523
P01130	P30533
P49768	Q9NQB0
P49810	Q07817
P49768	Q07817
P49768	Q15011
O75460	P49768
O60716	P49768
P10636	P49768
P60981	Q8WYL5
P60709	Q8WYL5
P60709	Q76I76
P60033	P60033
O00206	Q15399
P49810	Q14192
Q9NNX6	Q9NNX6
O75506	O75506
P34947	P37840
P34947	Q16143
O76070	P34947
P37840	Q15835
Q15835	Q16143
O76070	Q15835
P37840	P43250
P43250	Q16143
O76070	P43250
P52895	P52895
P53365	P53365
O75446	Q05195
Q05195	Q13547
O75608	O75608
P02753	P02766
P13727	Q13219
O95466	P63000
O95466	P07737
O95466	P35080
P01308	Q16270
P12004	P20585
P12004	P52701
P12004	Q9UK53
P12004	P49005
P04053	P12004
P12004	Q13111
O14508	P16471
O60674	P16471
P16471	Q06124
Q06830	Q06830
Q06830	Q13162
P07602	P07602
P05154	P07288
O00213	Q06481
P05067	Q13564
P05067	P06396
P05067	Q13867
O95704	P05067
O95704	P51693
O95704	Q06481
O00213	P51693
P02741	P02743
O43852	P02743
P02743	P02751
P03950	P13489
P20339	P30556
P30411	P30556
P02730	P16157
P16157	P48751
P15391	P52735
P15391	P20273
P15391	P43405
P11912	P15391
P15391	P40259
P15391	P21926
P01189	P04004
P25786	P25788
O14818	P53350
P28066	P53350
P25787	P53350
P53350	P60900
P20618	P53350
P49720	P53350
P25786	P53350
P25788	P53350
P25789	P53350
P28074	P53350
P28072	P53350
P53350	Q99436
P20273	P43405
P19174	P20273
P16070	Q99075
P15311	P16070
P13611	P16109
P13611	P14151
P13611	P16070
P12931	P16070
P08575	P16070
P06241	P16070
P07357	P13987
P01732	P13987
P21854	Q8WV28
O15446	P07766
P48551	P63244
P04070	Q9UNN8
P19525	Q12905
P19525	P19525
P19525	Q15633
P19525	Q99683
O15111	P19525
O14920	P19525
Q02750	Q02750
P36507	P36507
P27361	P46734
Q02750	Q9Y6R4
P45985	Q9Y6R4
P46734	Q9Y6R4
P52564	Q9Y6R4
O60880	Q96DU3
Q06124	Q96DU3
P29350	Q96DU3
Q06124	Q07889
O95297	Q06124
P29350	Q96RL6
Q06124	Q96RL6
Q06124	Q14289
P10912	Q06124
P29350	P78324
P29353	P46109
P46109	Q06124
P29353	Q13905
P19235	P46109
P00451	P07225
P07225	P12259
P23467	Q92823
P23467	Q12860
P29350	P43403
O60716	P29350
P29350	Q05655
P29350	Q8WV28
P18031	P46108
P18031	P56945
O60716	P28827
Q16512	Q99996
P10644	P51817
Q7Z4T9	Q99417
Q7Z4T9	Q92667
Q92667	Q99417
P31323	Q7Z4T9
P31323	Q9UKA4
P10644	Q9UKA4
P13861	Q5JQC9
P00734	P12259
P00734	P05155
P00734	P07996
P21817	P23297
O60674	P40189
P29597	P40189
P21781	P21802
O15520	P21802
P29320	P52803
P52803	P54762
P23458	P48551
P23458	P24394
P15260	P23458
P05549	P67809
P04114	P21810
P04114	P14625
P04114	P13667
P04114	P30988
P04114	P23284
P04114	P61619
P04114	P60468
P04114	P11150
P02649	P10636
P02649	P07197
P54257	Q15154
P13010	P27695
P18887	P27695
P27695	P39748
P12004	P27695
P27695	Q9UIF7
P12004	Q9UIF7
P27694	Q9UIF7
P14866	P27695
P06858	Q07954
P11150	Q07954
P01130	Q15036
Q07954	Q15036
P98155	Q15036
P98164	Q15036
Q14114	Q15036
O00213	Q07954
P15172	P24468
O15164	P03372
O15164	P10827
O15164	P10276
O15164	P19793
O15164	P04150
O15164	P10275
P10589	Q9H165
P10589	Q9C0K0
Q15046	Q6PI48
P54136	Q13155
P41252	Q13155
Q13155	Q6PI48
P47897	Q13155
P54136	Q12904
Q02223	Q13077
Q02223	Q12933
Q02223	Q13114
P46459	P49407
P49116	Q86WQ0
P20231	P20231
P15289	P15289
Q02978	Q02978
Q9H4M9	Q9NZN3
Q9H4M9	Q9H4M9
Q9UL51	Q9UL51
O60741	O60741
O75340	Q9UBV8
P25092	Q86UT5
Q7L804	Q96D71
P42566	Q7L804
Q7L804	Q7L804
Q7L804	Q9BXF6
P46976	Q9C029
Q9BXF6	Q9BXF6
Q6WKZ4	Q6WKZ4
Q6WKZ4	Q7L804
O95782	Q7L804
P52948	P78406
P48736	Q8WYR1
Q14680	Q969S3
P78362	Q07955
P78362	P84103
P78362	Q01130
P78362	Q13243
P78362	Q13247
P08621	Q96SB4
P08621	P78362
Q969S3	Q969S3
P02489	P02511
P02489	P43320
P02489	P07315
P02511	P43320
P83916	Q9Y689
P02511	P07315
P45973	Q9Y689
Q13185	Q9Y689
P07315	P43320
P52292	Q9Y689
P02489	P02489
P43320	P43320
P07315	P07315
P02489	P04792
P04792	P43320
P15311	Q8WX93
P48730	Q99996
Q99873	Q9BUJ2
P55345	Q9BUJ2
Q96JC1	Q96JC1
Q00610	Q13492
P29350	Q96P31
Q06124	Q96P31
P43403	Q96P31
P43405	Q96P31
P28482	P29353
P29353	P42229
P29353	P51692
P27361	Q07021
P28482	Q07021
P19419	P45983
P27361	P28562
P28482	P28562
P28562	P45983
P28482	P50616
P45984	P50616
P27361	P60983
P27361	Q16828
P28482	Q16828
P27361	P56524
P28482	P56524
P27361	Q12772
P27361	P36956
P28482	P36956
P28482	Q12772
O15527	P17252
P63104	Q02156
P17252	P63104
P63104	Q05655
P17252	Q13009
P05771	Q13009
P05129	Q13009
Q02156	Q13009
Q05655	Q13009
Q05513	Q13009
P17252	P63244
P05556	P17252
P05771	Q96HC4
Q02156	Q96HC4
P05771	P14598
O15530	P05771
P42338	Q02156
P37088	Q99816
P37088	Q9H0M0
P37088	P63279
O95232	O95232
O95232	Q07955
O95232	P49759
O95232	Q96SB4
O95232	P78362
P62745	Q8IUC4
Q96KP1	Q9UGK8
Q16656	Q5VV67
P10276	P78413
Q8WZ42	Q969Q1
Q969Q1	Q969Q1
Q969Q1	Q9BYV6
Q969Q1	Q9BYV2
Q01105	Q9Y6X0
O75385	P60520
Q7L523	Q9NQL2
Q5VZM2	Q9NQL2
Q5VZM2	Q9HB90
O14939	Q05655
P63244	Q92615
P11940	P63244
P30556	Q6RW13
P50052	Q6RW13
P63244	Q6RW13
P54252	P54725
P54252	P54727
P12931	P63244
O00167	P19086
O00167	P04899
P23258	Q9NXR1
O00167	Q15475
Q92904	Q96EP5
Q15038	Q92904
Q96EP5	Q9NQZ3
Q15038	Q9NQZ3
Q9NQZ3	Q9NQZ3
O15530	Q16512
Q05513	Q9Y243
Q05513	Q99689
P12931	Q05513
Q16819	Q16819
O94813	P35052
Q05513	Q96IZ0
Q13501	Q13546
Q05513	Q13163
P04271	Q09666
P04271	Q92597
P22830	P22830
P02730	P16452
P01116	P16452
O15525	O75444
O75444	O75444
P06276	P06276
P06276	Q9Y215
A5YKK6	Q9NZN8
A5YKK6	O95628
O75175	Q9UFF9
P12272	P49407
P22888	P32121
P25105	P32121
P32121	P63010
P32121	Q99683
P32121	P45985
P54762	P62993
P54762	Q13322
P62993	Q13233
P36888	P62993
O15360	Q9Y5X3
O95271	O95271
O75340	P50995
P62993	Q5JS13
P16333	Q5JS13
P62993	Q92738
O43597	P62993
P12931	P18433
P23469	P62993
P62993	Q05193
P54259	Q9UQB8
P54259	Q9UQB3
O14640	P54259
P10827	P61201
P10828	P61201
P42226	Q7KZF4
P10589	P61201
P24928	Q7KZF4
P61201	Q96ST3
P42575	P42575
P42574	Q14790
P55210	Q14790
P55211	Q14790
P42575	Q14790
P14921	P63279
P48145	Q8N729
P48145	Q8NG41
P19544	P63279
P63279	Q06609
P63279	P63279
P50613	P51946
O00267	Q13526
O75899	Q9UBS5
P63165	Q9HC62
P55854	Q9HC62
Q8TEW0	Q9NPB6
Q8TEW0	Q9BYG5
Q8TEW0	Q9BYG4
P41743	Q8TEW0
Q05513	Q8TEW0
Q9BY67	Q9Y2J2
Q9UKT4	Q9UM11
Q12834	Q9UKT4
Q05193	Q13627
P07910	P62993
P45984	P62993
P01241	P29353
O60674	P29353
P10912	P29353
P35462	P62993
P46527	P62993
P09917	P62993
Q9UKV8	Q9UPY3
Q8WTW3	Q96JB2
Q96JB2	Q96MW5
Q96JB2	Q9H9E3
Q14746	Q96JB2
Q96JB2	Q9Y2V7
Q8WWZ3	Q9UNE0
Q12933	Q8WWZ3
Q96HE7	Q9BS26
Q86YB8	Q9BS26
P07237	Q96HE7
P07237	Q86YB8
O95352	Q9NT62
O94817	Q9NT62
Q13573	Q15796
P84022	Q13573
Q13485	Q13573
O96017	Q96NY9
O14733	O43283
O43283	Q9UQF2
P08581	P29353
P08581	Q07889
O14512	P16333
P06241	P48023
P06239	P48023
P48023	Q13588
O75791	P48023
P16333	P48023
O00750	P29353
O00750	P62993
O00750	P00533
P10912	P62993
P10912	P19174
P10912	Q13322
O60674	Q13322
P14317	P62993
P62993	Q86Y01
P62993	Q8IWV1
O75791	Q8IWV1
P19174	Q07890
P62993	Q07890
P19174	P50607
P00519	P50607
O60674	P50607
P21917	P62993
P16333	P21917
O43561	Q13588
P62993	Q14289
Q86WV1	Q86WV1
P62993	Q86WV1
O75674	P06241
O75674	P62993
P29353	Q05682
P09564	Q9BTU6
P50995	Q9H553
P20073	Q9H553
O60763	P42574
Q02078	Q14814
Q9Y6N9	Q9Y6N9
Q13177	Q92608
P15153	Q13177
P20963	Q92608
P56817	Q92542
P62491	Q7L804
O15020	P61163
O15020	P60709
Q9NVH6	Q9NVH6
P46734	Q16539
P46734	Q9UL54
P52564	Q9UL54
Q99683	Q9UPT6
P24928	Q13526
P29353	Q04912
P19174	Q04912
Q8TBC3	Q96B97
P62993	Q8TBC3
P22607	P62993
Q01814	Q12959
Q01814	Q92796
Q01814	Q15700
P23634	Q15700
P23634	Q92796
P04150	P27797
P02787	P27797
P02787	P27824
P27824	P31645
P27797	P31645
P27797	P43699
P16473	P27824
P11021	P16473
P11166	P27824
P11166	P27797
P02730	P27824
P03956	P35613
O15374	P35613
P35613	P53985
O43734	Q13114
O43734	P25942
P12956	P25942
P13010	P25942
P31943	P52597
O15105	Q9Y3F4
O43541	Q9Y3F4
Q9Y3F4	Q9Y3F4
Q15796	Q9Y3F4
P84022	Q9Y3F4
Q9UPN9	Q9UPN9
O15164	Q9UPN9
Q9UJY5	Q9Y5Z0
Q9UJY4	Q9Y5Z0
P01024	P15169
P01031	Q96IY4
O00330	P11177
P08559	P11177
P11177	P29803
P20336	Q8TDW5
P20340	Q8TDW5
P07951	P55042
P61019	Q9H8Y8
P20338	Q6WKZ4
P20339	Q9H1K0
P20339	Q9NRW7
Q9NRW7	Q9NSN8
O95235	P20340
P20340	Q8TD16
P20339	Q8WYP3
P61020	Q8WYP3
Q8WYP3	Q8WYP3
P51148	Q15075
P51148	Q9H1K0
P04629	P62834
O14807	Q92565
P62834	Q9Y4G8
P61225	Q9Y4G8
P62834	Q8TEU7
P10114	Q8TEU7
O14807	Q8TEU7
O15357	P56945
O75600	Q8IZJ6
P36896	Q15796
P36896	P84022
P27037	P36896
P13164	P60033
O75636	O75636
Q13546	Q14790
Q13546	Q92851
O15519	Q99558
Q14790	Q99558
Q92851	Q99558
O15111	Q14790
O14920	Q14790
P62993	Q92835
Q13153	Q15746
Q15049	Q15746
P23528	Q13464
P23528	P53671
P53671	Q13464
P19544	Q96IZ0
P36941	Q9BUZ4
Q14765	Q99665
P46734	Q00722
P52564	Q00722
Q00722	Q16539
P10244	P24941
P10244	P78396
O43561	O75791
P29401	P29401
Q13616	Q9Y3I1
P63208	Q9Y3I1
Q13616	Q9UKT8
P63208	Q9UKT8
Q13616	Q9UKT7
P63208	Q9UKT7
P62837	Q9Y297
P62837	Q9UKT8
P62837	Q9Y3I1
P62837	Q9UKT7
P62837	Q9UKT5
P49427	Q9UKT8
P49427	Q9Y3I1
P49427	Q9UKT7
P49427	Q9UKT5
P63208	Q9UKT4
P63208	Q9H4M3
P04049	P62837
P62837	Q9UNE7
Q99933	Q9UNE7
P51813	Q96T51
P51813	Q8WXA3
P20226	Q12947
Q00403	Q12947
P20827	P29320
P29320	P98172
P29320	P52797
P29320	P52798
Q8IUQ4	Q99933
Q8IUQ4	Q8IUQ4
O15389	O15389
Q01850	Q16512
Q9UEE5	Q9UEE5
O94768	O94768
P27694	P43351
P27694	Q06609
P43351	P63279
O14787	P52948
O15457	Q06609
O15457	P27694
P23025	P27694
P09884	Q8NG08
Q14181	Q8NG08
P35244	P35244
P27694	P27694
P06400	P51948
P06400	Q15291
P06400	Q14209
P06400	Q15643
P10827	Q15643
P06400	P17480
P06400	P35869
P06400	P27540
P52435	Q9NY61
P78396	Q01094
P06400	P78396
P28749	P78396
P78396	Q08999
P19793	Q9UBK2
P08047	P10276
P08047	P19793
P19793	P37231
P19793	Q13352
P68032	Q8WXH0
P50281	Q07021
P36894	P62942
P36894	Q15326
Q15326	Q15750
P06241	P20749
P41182	Q96ST3
P05412	P41182
P17535	P41182
P17275	P41182
P68133	Q96SB3
O95365	P41182
P68032	Q8N556
O60673	Q9UI95
P05771	Q8N556
Q02156	Q8N556
P05129	Q8N556
Q05655	Q8N556
P17252	Q8N556
P29590	P41182
P41182	Q05516
P68133	Q9Y6U3
Q13257	Q9UI95
O60673	Q13257
O14604	P68133
Q14449	Q9H2K2
O95954	Q9H2K2
O95954	Q14449
P07550	Q02952
P07550	P25098
P35626	Q9Y2X7
Q14315	Q86SQ0
Q14315	Q9UBF9
Q9UBF9	Q9UBF9
P34947	P35243
P35243	P43250
P35243	Q03135
O15357	Q14315
P49810	Q6PIL6
P49768	Q6PIL6
P07550	Q15599
P78352	Q9NZV8
P78352	Q09470
P16389	P78352
O14745	P47900
P35609	P78352
P07550	Q08209
P07550	P43250
P12814	P12814
P63208	Q8NFZ0
Q13616	Q8NFZ0
P11216	P12814
P62877	Q8NFZ0
P13688	Q06124
P13688	P49023
Q15078	Q9UQM7
P12814	Q15078
P12814	Q13319
P12814	P35221
O14908	O60333
O14908	P11166
O14908	P12814
Q04771	Q99717
Q04771	Q15797
P18075	P27037
P18075	Q13705
P36896	Q04771
Q07157	Q8N144
P12004	Q8WVB6
P12004	Q07864
P12004	P28340
P12004	P78527
P12004	Q9Y230
P12004	Q9BQG0
P12004	P12956
P07355	P12004
P12004	P43246
P12004	P27694
P12004	P22674
P12004	P18858
P49768	Q99828
P49810	Q99828
Q14289	Q8TDY2
Q05397	Q8TDY2
P19793	Q99743
O15516	P19793
P10276	Q99743
O15516	P10276
O00327	Q99743
O00327	P19793
O00327	P10276
P30154	P62714
P30154	Q9Y5P8
Q15019	Q9UHD8
Q14141	Q9UHD8
Q16181	Q9UHD8
O75144	Q9Y6W8
O14893	Q9UHI6
O43422	Q13217
P19525	Q16777
Q9HB19	Q9HB21
O75970	Q9HB21
O75970	Q9HB19
O14640	Q92997
O14640	O14640
P10827	P19793
