Q14494	Q9ULX9
O15525	Q14494
O75052	P29475
P29475	P78352
P29475	Q15700
O95644	P18146
O95644	P11161
P00533	Q02297
O14795	Q14183
P62140	Q05397
P78352	Q9UP38
P78352	Q14332
P78352	Q9ULV1
O75084	P78352
P15173	Q06413
P02751	Q99972
P00533	P16070
P04626	P16070
O95832	Q9UDY2
O95832	Q07157
O95049	O95832
P57739	Q07157
O15551	Q07157
O14493	Q07157
O00501	Q07157
P56747	Q07157
O95471	Q07157
P56748	Q07157
P19438	Q92636
P11387	Q9H0C5
P11387	Q9BX70
O15360	P38398
P20338	Q13526
P00451	P27824
P12259	P27797
P30101	Q03518
O00463	P28908
P28908	Q12933
O95343	Q04724
O95343	Q08117
O95475	Q04724
O95475	Q08117
P06748	P19338
P49789	P63279
Q14155	Q8WY54
P49593	Q14155
O14920	P25963
P08631	P40189
P06239	P43403
O60260	P37840
P06400	P09429
P09429	P61978
P09429	P51608
P09429	Q04724
P09429	Q08117
P09429	P20226
P09429	P52655
P00750	P09429
P09429	P15918
P15918	P26583
P06401	P09429
P06401	P26583
P04150	P09429
P04150	P26583
P09429	P10275
P10275	P26583
O15350	P09429
P05114	P05114
P05204	P05204
O00712	P08651
O00712	Q14938
O00625	Q14938
P25963	Q15418
P25963	Q9UN86
O15226	Q04206
O15226	Q00653
O15226	P19838
O15226	Q04864
P19838	P42226
P05412	Q9Y618
P01100	Q9Y618
P11831	Q9Y618
P60510	Q04206
P04637	P60510
P05412	P60510
P19838	P60510
P10599	P19838
P19838	Q99576
Q00653	Q99576
P09874	Q04206
P17676	P19838
P56524	P63279
P61086	P63279
P23497	P63279
P29590	P63279
P63279	Q13569
P19838	Q01094
P58546	Q04206
P19838	P58546
P58546	Q04864
Q04206	Q05513
P01375	P14859
P14859	Q04206
P21675	Q04206
P20226	Q04206
P49848	Q04206
Q04206	Q15544
Q04206	Q15672
P01106	Q04206
Q00403	Q04206
P52292	Q04206
P43699	Q04206
Q04206	Q04206
Q04206	Q92750
Q13243	Q9UBK2
Q13247	Q9UBK2
Q08170	Q9UBK2
Q01130	Q9UBK2
P04637	P19338
O75689	P19338
O75689	P39687
P84077	Q13393
P11233	P84077
P78423	P78423
O00560	Q12913
P53602	P53602
P42574	P42574
P55210	P98170
Q13487	Q5SXM2
Q2M1K9	Q9UH73
Q2M1K9	Q9HAK2
Q2M1K9	Q9H4W6
P23515	Q9BZR6
O94875	P42684
O94875	P00519
P05412	P14921
P14921	Q13950
P27986	Q9UQC2
P31749	Q9UQC2
O15111	P31749
P10721	Q13322
O15530	P31749
P31749	Q13418
P31749	Q9UQF2
P07996	P10646
P04083	P05787
P00740	Q07954
P38398	Q14676
P38398	Q12888
P38398	Q6NZY4
P38398	Q13416
P38398	Q9UBD5
O96017	Q9Y248
O96017	P55072
P24864	P38398
P15927	Q92793
O96017	P51587
O96017	Q92878
O96017	Q12888
Q15726	Q969F8
Q16854	Q16854
Q05397	Q05397
P31749	Q16513
P31749	P41279
P31749	P63104
P04049	P15056
O14807	P15056
P04049	Q13233
Q02750	Q13233
P28482	Q13233
P63000	Q09013
P04049	P09619
P04049	Q99683
P04049	Q13164
P04049	P35232
P06400	P35232
P15056	P62834
Q02750	Q13322
P04049	Q99933
P04049	Q13153
P61981	Q05513
P27348	Q05513
Q04917	Q05513
P04049	Q05513
P31946	Q05513
P07949	Q14451
P29323	P46108
P10914	Q02556
O00291	Q9NWB7
O00291	Q14790
Q14790	Q9NWB7
P02788	P08571
P43405	Q05397
P07948	Q05397
P10721	P42679
O95271	Q07820
O14920	O15360
Q9H270	Q9P253
Q9H269	Q9H270
Q9H269	Q9P253
P07949	Q8WU20
Q96AX1	Q9H270
Q96AX1	Q9P253
O15400	Q9H270
O15400	Q9P253
P07949	Q99748
P07949	P56159
O95685	P36873
P07949	Q13322
P46108	Q13905
P00519	Q9Y3L3
P12931	Q9Y3L3
P46108	Q9Y3L3
P46108	Q07889
O14980	P46108
P30291	P46108
P46108	Q15464
P43403	P46108
P42566	P62993
P42566	P46108
Q14247	Q15746
P61160	Q14247
P61158	Q14247
O15144	Q14247
P59998	Q14247
O15145	Q14247
P16389	Q14247
P43405	Q14247
P12755	P51608
O75376	P51608
P04637	Q99816
Q00987	Q99816
P06400	Q00987
Q00987	Q96DY7
P01100	P17861
O14964	Q13153
O14964	O43318
P08581	P12931
P04626	Q14451
P04626	P19174
P04626	P40189
P21860	P40189
P04626	Q99650
P43403	Q13094
P15498	Q13094
P15498	P29350
P29350	Q07889
O43255	P15498
P15498	Q8IUQ4
P15498	P40189
P40189	P62993
P04271	P15498
P15498	P43403
P07947	P27635
P12931	P27635
P07948	P27635
P06241	P27635
P08631	P27635
P45983	Q04864
P25963	Q04864
Q04864	Q15653
P10721	P29350
O75970	P10721
O00459	P46109
P10721	Q16827
P09769	Q13291
Q13291	Q92835
P08575	Q13291
P02741	P02751
O14958	Q13061
P15311	P46940
P15311	Q9NZA1
P16333	Q13153
Q13153	Q14155
P21860	Q13882
O14920	Q16584
O15111	Q16584
P14678	Q16637
P20701	P27701
Q05513	Q13158
P25445	Q9UNN5
P00540	P15172
P55735	P62491
P04150	Q9Y618
P28698	P57086
P63104	Q92934
P01042	P02792
O00151	P12814
O75369	P16473
P50914	Q8WV24
Q13310	Q8WV24
O15371	Q8WV24
P47224	P59190
P29323	P29323
Q15078	Q96SN8
Q00535	Q96SN8
Q15078	Q96SZ6
Q15078	Q96JB5
P56705	Q8N474
P09769	P22681
P09769	P43405
P09769	P25063
P07948	P25063
P11487	Q99848
P46531	Q92585
Q04721	Q92585
Q92585	Q99466
Q92585	Q9UM47
P46531	P48745
O95644	P11309
P11309	Q13185
P51159	Q8NEV8
P61026	Q4VX76
P61026	Q9BV36
P61006	Q12851
P17948	P19174
P19174	P35968
P10301	Q12967
Q12967	Q9Y4G8
P04049	P10301
O94906	P04049
O43615	O94906
O94906	O94906
O94906	P31946
P40189	Q99650
P07948	P29353
P07948	P14317
P36873	Q12972
P07948	Q12972
P07948	P48736
P05412	P06400
P05412	P23511
P05412	P08047
P05412	Q13285
Q00403	Q13285
P17275	P84022
P17275	Q13485
P17535	P84022
P05412	P21675
P17275	P45983
P17275	P45984
P05412	P45984
P17947	Q15306
O00458	Q13547
O95999	Q9H257
Q9H257	Q9H257
P08151	Q15915
P10070	Q15915
P10071	Q15915
O95409	P08151
O95409	P10070
O95409	P10071
O60481	P10071
P08151	Q9NRP7
P10070	Q9NRP7
P10071	Q9NRP7
P00519	P22681
P20963	Q9H6Q3
P43403	Q9H6Q3
P22681	Q9H6Q3
O15357	P22681
O15357	P06213
P22681	P29353
P16333	P22681
P19174	P22681
P00533	P19174
O95999	Q9BXL7
O95999	Q9BXL6
P00533	Q96B97
Q96B97	Q99962
P22681	Q99962
O75955	P22681
P52824	P61586
O75116	P61586
O75962	P61586
P10911	P60953
P10911	P61586
P22059	Q9P0L0
Q02962	Q6ZW49
P15863	P50221
P15863	P50222
P23760	P50221
P23760	P50222
P43699	Q06710
P51790	P51790
O14745	P51790
P51790	Q5T2W1
P13569	Q5T2W1
P51790	Q9HD26
P13569	P51790
P11309	P38936
Q01094	Q99856
P10588	P24468
P10588	P19793
P10588	P13631
P24941	Q04864
P11309	Q14980
P11309	P83916
P05556	Q9Y490
P10721	Q13588
P19235	Q13588
Q07889	Q13588
Q8N3R9	Q9NPB6
O43294	Q01959
P04629	P04629
P46459	P54920
P51671	P51671
P00450	P02788
O14796	Q13291
Q06124	Q9UIB8
Q06124	Q9HBG7
P54821	P78347
P11831	P78347
P01270	P49190
Q03431	Q15599
O14745	Q03431
P12272	Q14974
Q03518	Q03519
O15533	Q03518
O15533	Q03519
O75901	P19021
P27986	P68363
P19793	Q07869
Q07869	Q9Y618
P19793	Q13133
Q07869	Q13133
Q07869	Q9UBK2
P27986	P36897
O00459	P36897
P27986	P37173
O00459	P37173
P01112	P27986
P27986	Q05397
Q99490	Q9H4G0
P27986	Q99490
P16284	P27986
P22681	P27986
P22681	P46108
P27986	P46109
P09564	P27986
P12931	Q07960
P27986	Q07960
P07332	P27986
P27986	Q96B97
P62993	Q96B97
P27986	Q06124
P27986	Q92835
P27986	P42338
P10321	P43627
O95997	P12956
P46531	P49768
O75410	P62308
O15519	Q8WXF8
O75618	Q13158
O15519	O75618
O43184	P27986
P23297	P36871
P04271	P36871
P26678	Q16821
P19174	P63244
Q07666	Q08881
Q08881	Q08881
P19174	Q9Y4H2
Q13526	Q96Q89
Q14653	Q92985
Q92985	Q92985
P19174	Q12913
O43561	Q12913
P19174	Q13492
P19174	Q07889
P16284	P19174
P16284	Q92835
P16284	P29350
P28069	P78337
P00734	P35237
Q13568	Q14653
O60237	P62140
P35222	Q9HCS4
P00742	P00750
P00742	P00747
P00747	P01042
P00747	Q96IY4
P00747	P08697
P00747	P09486
P00749	P05120
P31946	Q9HAP2
P18850	P18850
P18850	Q99941
P18850	P23511
P23511	Q99941
Q92547	Q99638
Q07864	Q92547
O43521	P21796
O00241	O43914
O43914	Q5TFQ8
P18850	Q13952
Q13952	Q99941
O00241	P43405
P43405	Q5TFQ8
Q14164	Q92844
Q9Y5U5	Q9Y5U5
O14776	Q15637
O75400	Q68DA7
O75554	P14678
O75554	Q07666
P14678	Q8N3X1
Q07666	Q8N3X1
P46937	Q96G27
Q9Y275	Q9Y275
O75888	Q9Y275
O75888	O75888
P36404	Q13432
P51955	Q9BV73
O14777	P51955
P51955	Q8WTT0
Q07812	Q16611
P45985	Q16584
O14733	Q16584
O14733	Q12852
P20701	Q9NQ30
O95498	P05107
Q9BUI4	Q9H1D9
O15318	Q9BUI4
P20226	Q9BUI4
P20226	Q9H1D9
P20226	P26367
P21675	P26367
P04637	P21675
P20226	P23760
P06400	P26367
P20226	Q14919
O15259	Q14289
O15259	Q9HBL0
Q05209	Q14289
P43405	P49023
P43405	Q9Y4K3
P15498	P16885
P16885	P43405
P43405	Q71U36
P07766	P43403
P07766	P43405
P02647	P04180
P63104	Q14642
P41238	P41238
P78352	Q02779
P78352	Q16584
O43747	Q9Y6Q5
O43747	Q9BXS5
Q05193	Q9Y6J0
P49418	Q9Y6J0
Q10567	Q9Y6J0
O75626	Q04724
O75626	Q04725
P29353	Q12929
Q13485	Q99717
P84022	Q01196
P84022	Q13761
Q01196	Q15797
Q13761	Q15797
Q01196	Q15796
Q13950	Q15796
Q13761	Q15796
Q01196	Q99717
Q13950	Q99717
Q13761	Q99717
P30793	Q9Y2J0
P37088	Q96PU5
P37088	Q76N89
P37088	Q96J02
P51168	Q96PU5
P51168	Q76N89
P51168	Q96J02
P51170	Q96PU5
Q01970	Q15599
O60296	P47870
P61803	Q07820
P11831	P28324
P35354	Q03135
Q12923	Q52LW3
Q04721	Q9Y219
P41235	P49116
P41235	Q9ULK4
O60244	P41235
P41235	Q15648
P28482	Q9BY84
P45983	Q9BY84
P60983	Q16539
P45983	P50549
P27361	P50549
P50549	Q16539
P49137	P50549
Q02078	Q13164
Q13164	Q14814
Q06413	Q13164
Q16539	Q16644
P51812	Q16539
O75582	Q16539
Q16539	Q9BUB5
P00813	P04150
P30542	P47900
P04899	P30542
P30542	Q13255
Q14192	Q8WZ42
P00568	Q14192
P08237	Q14192
P06732	Q14192
Q13642	Q14192
O95622	Q08462
O14939	P35372
P35372	P84077
P24390	P84077
P24390	P53618
O15151	P42771
O15151	Q8N726
P11233	P62330
P61204	Q02241
O94906	P10275
P12235	P30405
P04075	P36543
