Q12834	Q9BY44
Q13263	Q9NVX0
P68366	Q9NVX0
P68371	Q9NVX0
Q13509	Q9NVX0
P23258	Q9NVX0
P0CG47	Q9NVX0
Q99871	Q9NVX0
Q12979	Q86XR8
P68133	Q86XR8
Q86XR8	Q9NVI7
P36542	Q86XR8
Q86XR8	Q9Y520
Q86XR8	Q8N5R6
Q86XR8	Q9H0W5
P13688	Q86XR8
Q5SW79	Q86XR8
O15078	Q86XR8
P53675	Q86XR8
Q86XR8	Q9UBL6
Q86XR8	Q9H3G5
P01040	Q86XR8
P62269	Q86XR8
P0DMV8	Q86XR8
Q16531	Q86XR8
O43143	Q86XR8
Q05639	Q86XR8
P68400	Q86XR8
Q08554	Q86XR8
Q01469	Q86XR8
P62805	Q86XR8
P62829	Q86XR8
Q86XR8	Q9Y3D0
Q86XR8	Q9UBX5
P02794	Q86XR8
P02792	Q86XR8
Q13724	Q86XR8
Q6Y7W6	Q86XR8
Q86XR8	Q9BQ67
Q86XR8	Q9NQE9
P22626	Q86XR8
Q00839	Q86XR8
Q1KMD3	Q86XR8
Q86XR8	Q86YZ3
P07900	Q86XR8
P34931	Q86XR8
P54652	Q86XR8
P11021	Q86XR8
P38646	Q86XR8
P04792	Q86XR8
P46940	Q86XR8
O14654	Q86XR8
Q86XR8	Q96II8
P62310	Q86XR8
Q86XR8	Q8NDX9
P61626	Q86XR8
Q7KZI7	Q86XR8
P33993	Q86XR8
Q13201	Q86XR8
Q86XR8	Q9NQ50
Q13405	Q86XR8
P82912	Q86XR8
Q86XR8	Q9Y3D9
Q86XR8	Q9Y2R9
P14649	Q86XR8
P46020	Q86XR8
P46019	Q86XR8
P52434	Q86XR8
Q86XR8	Q8WUF5
Q86XR8	Q9UMS4
Q7L0Y3	Q86XR8
P62913	Q86XR8
P35268	Q86XR8
P62888	Q86XR8
P63173	Q86XR8
P05387	Q86XR8
P62280	Q86XR8
P62263	Q86XR8
P62244	Q86XR8
P62249	Q86XR8
P08708	Q86XR8
P62266	Q86XR8
P62851	Q86XR8
P23396	Q86XR8
P61247	Q86XR8
P62701	Q86XR8
P62081	Q86XR8
Q86XR8	Q99584
Q13813	Q86XR8
Q04837	Q86XR8
Q7KZ85	Q86XR8
O60343	Q86XR8
Q86XR8	Q8WZ42
P68366	Q86XR8
P0CG47	Q86XR8
Q5T4S7	Q86XR8
Q12979	Q8TAP6
P04637	Q12979
O60488	P04637
O60488	Q96CW5
P04637	P62736
P60709	Q08380
P60709	Q8NHV4
P04637	P60709
P23258	P60709
P60709	Q9BSJ2
P60709	Q96CW5
O00468	P23258
P04637	Q9BRQ8
P04637	Q02952
Q02952	Q96CW5
Q4VCS5	Q9NVX0
Q4VCS5	Q8TAP6
Q9BV73	Q9P2G1
P55072	Q86XL3
Q6AI12	Q96CW5
P23258	Q96C12
Q9NVX0	Q9UH62
Q9BSJ2	Q9NVI7
P04637	P25705
O95816	Q08380
O95816	P04637
O95816	P23258
O95816	Q9BSJ2
P04637	P48634
P48634	Q96CW5
Q9NVX0	Q9Y520
Q8TAP6	Q9Y520
Q08380	Q9Y520
P04637	Q9Y520
P23258	Q08AG7
Q08AG7	Q9BSJ2
Q08AG7	Q96CW5
Q9GZT3	Q9NVX0
P55072	Q9GZT3
Q9H6D7	Q9NVX0
Q6ZTW0	Q9UNF1
Q6IQ49	Q9NVX0
Q6IQ49	Q96CW5
Q07021	Q9UNF1
Q8TAP6	Q9BU61
Q68CZ6	Q9NVX0
Q8TAP6	Q9BRT2
Q9BRT2	Q9BSJ2
Q9BRT2	Q9UGJ1
P04637	P27708
P23258	P27708
O43852	Q8TAP6
Q13557	Q9NVX0
Q13557	Q8TAP6
P04637	P07384
P04632	Q8NHV4
P04632	Q9BSJ2
P04632	Q96CW5
O14936	Q8NHV4
P30153	Q96MW1
Q96CS2	Q9NVX0
P30153	Q16204
P23258	Q9H0W5
Q3V6T2	Q9NVX0
P78371	Q08380
P78371	Q8NHV4
P04637	P78371
P23258	P78371
P49368	Q08380
P49368	Q8NHV4
P04637	P49368
P23258	P49368
P50991	Q08380
P50991	Q8NHV4
P04637	P50991
P23258	P50991
P48643	Q08380
P48643	Q8NHV4
P23258	P48643
P40227	Q08380
P40227	Q8NHV4
P04637	P40227
P23258	P40227
Q08380	Q99832
Q8NHV4	Q99832
P04637	Q99832
P23258	Q99832
P50990	Q08380
P50990	Q8NHV4
P04637	P50990
P23258	P50990
Q5SW79	Q9NVX0
Q5SW79	Q96CW5
Q5VT06	Q9BV73
Q53EZ4	Q8TAP6
Q08380	Q53EZ4
P04637	Q53EZ4
Q53EZ4	Q96CW5
Q8NHV4	Q96BP2
O75339	Q8NHV4
Q14008	Q9NVX0
P30153	P51797
Q9BV73	Q9HAW4
P23258	P39060
Q9BV73	Q9UBL6
P04637	Q9UBL6
Q96CW5	Q9UBL6
Q08380	Q53ET0
Q53ET0	Q8NHV4
P04637	Q53ET0
Q6UUV7	Q8NHV4
P16989	Q8TAP6
P26232	P30153
P17812	Q96CW5
Q14999	Q9BV73
P07437	Q9NVX0
P07437	Q8TAP6
P07437	P50402
P07437	Q08380
P07437	Q9UNF1
P07437	Q8NHV4
P04637	P07437
P07437	P23258
P07437	Q9BSJ2
P07437	Q96CW5
P07437	Q9UGJ1
P07437	P55072
P23258	P62269
P62269	Q96CW5
P0DMV8	Q9NVX0
P0DMV8	Q9P209
P0DMV8	Q8TAP6
P0DMV8	P50402
P0DMV8	Q08380
P0DMV8	Q8NHV4
P0DMV8	P30153
P0DMV8	P23258
P0DMV8	Q9BSJ2
P0DMV8	Q96CW5
P0DMV8	Q9UGJ1
Q5T197	Q8NHV4
P23258	Q9BW61
Q16531	Q9P209
P04637	Q16531
Q16531	Q9BSJ2
P04637	P17844
P17844	Q96CW5
P55072	Q8TDD1
P04637	Q96DF8
Q96CW5	Q96DF8
P55072	Q96DF8
P30153	Q86XP1
P04637	P31689
O60884	P04637
P55072	Q9UBS4
P04637	Q96N67
Q96CW5	Q96N67
Q02413	Q8TAP6
P23258	Q02413
P15924	P23258
Q13409	Q96CW5
P04637	Q99848
P04637	P68104
P23258	P68104
P68104	Q9BSJ2
Q05639	Q9NVX0
Q05639	Q8TAP6
P23258	Q05639
P55072	Q05639
O60573	P04637
O60573	Q96CW5
P50402	Q9BSJ2
P50402	Q9UGJ1
Q08380	Q8N8S7
P04637	Q8N8S7
P58107	Q96CW5
P55072	P58107
Q12931	Q9P209
Q08380	Q12931
P04350	Q9BSJ2
P68400	Q8TAP6
Q08554	Q8TAP6
P23258	Q08554
Q01469	Q96CW5
P01763	Q8TAP6
Q8NHV4	Q9Y676
P04637	Q9Y676
Q96CW5	Q9Y676
Q9UGJ1	Q9Y676
P55072	Q9Y676
P02042	P50402
Q15154	Q9NVX0
O95983	Q9BV73
Q15293	Q9NVX0
Q15293	Q8TAP6
Q14257	Q9NVX0
Q14257	Q8TAP6
P04637	Q14257
Q14257	Q96CW5
P18621	Q8TAP6
P18621	P23258
P83731	Q8TAP6
P04637	P83731
P23258	P83731
P83731	Q96CW5
P55072	P83731
P42677	Q9UGJ1
P0DPH7	Q8NHQ1
P51398	Q9NVX0
P51398	P55072
P23258	P62805
P62829	Q8TAP6
P62829	Q08380
P23258	P62829
P62829	Q96CW5
P55072	P62829
P04637	Q15024
P04637	Q96B26
P08709	Q8TAP6
P08709	P55072
P55072	Q969W3
Q6P1L5	Q8NHV4
Q6P582	Q9BSJ2
Q6P582	Q96CW5
Q6NZ67	Q8NHV4
P04637	Q6NZ67
P23258	Q6NZ67
Q6NZ67	Q9BSJ2
Q6NZ67	Q96CW5
Q6NZ67	Q9UGJ1
Q9H019	Q9NVX0
Q86YD7	Q8TAP6
Q8TAP6	Q9Y3D0
P50402	Q9NVI1
P04637	P35544
P04637	P62861
P55072	Q8TES7
P04637	P22087
O94952	P04637
P22830	P30153
P09038	P23258
P11487	P23258
P20930	P23258
P02794	P04637
O75323	P55072
Q13724	Q9NVX0
Q13724	Q8TAP6
Q08380	Q13724
P04637	Q13724
Q6Y7W6	Q8TAP6
P50402	Q6Y7W6
Q08380	Q6Y7W6
Q6Y7W6	Q9UNF1
P04637	Q6Y7W6
Q6Y7W6	Q96CW5
P55072	Q6Y7W6
P16278	P55072
P04637	Q9UKJ3
Q8IZF6	Q9P209
O15399	P55072
Q8TAP6	Q9BQ67
P04637	Q9BQ67
P55072	Q9BQ67
P23258	P78347
P04637	Q9Y5Q9
P04637	Q9UKN8
P23258	Q71UI9
P55072	Q71UI9
P40939	P50402
P23258	P40939
P23258	P55084
O00165	Q9BSJ2
O00165	Q96CW5
Q13547	Q9NVX0
Q9NVX0	Q9UQL6
P82673	Q9NVX0
P04637	Q9ULT8
Q96CW5	Q9ULT8
P23258	P42694
P09651	Q8NHV4
P04637	P09651
P09651	Q96CW5
P22626	Q8NHV4
P04637	P22626
P52597	Q8NHV4
P04637	P52597
P31943	Q8TAP6
P04637	P31943
P31943	Q96CW5
P31943	P55072
P04637	P52272
O43390	Q9BV73
Q00839	Q9NVX0
Q00839	Q8NHQ1
Q00839	Q8TAP6
Q00839	Q08380
Q00839	Q9UNF1
Q00839	Q8NHV4
P04637	Q00839
P23258	Q00839
Q00839	Q96CW5
Q00839	Q9UGJ1
P04637	P84074
P37235	Q8TAP6
Q86YZ3	Q8TAP6
P07900	Q8TAP6
P08238	Q8TAP6
P08238	Q08380
P04637	P08238
P08238	P23258
P08238	Q9BSJ2
P08238	Q96CW5
P34931	Q8NHV4
P04637	P34931
P23258	P34931
P54652	Q9NVX0
P54652	Q8TAP6
P11021	Q9NVX0
P11021	Q8NHQ1
P11021	Q8TAP6
P11021	Q08380
P11021	Q9UNF1
P11021	P23258
P11021	Q9BSJ2
P11021	Q96CW5
P11021	Q9UGJ1
P30153	P48741
P23258	P48741
P11142	Q9NVX0
P11142	Q08380
P11142	P23258
P11142	Q9BSJ2
P11142	Q96CW5
P11142	Q9UGJ1
P38646	Q9NVX0
P38646	Q8TAP6
P38646	Q8NHV4
P23258	P38646
P38646	Q9BSJ2
P38646	Q9UGJ1
P10809	Q08380
P10809	P23258
P10809	Q96CW5
P10809	P55072
O43837	P04637
Q9NVX0	Q9NZI8
Q9BSJ2	Q9NZI8
Q96CW5	Q9NZI8
Q9NZI8	Q9UGJ1
O00425	P04637
O00425	Q96CW5
P08758	Q96CW5
P04637	Q96PE2
P46940	Q8TAP6
P04637	P46940
P46940	Q96CW5
P46940	P55072
O14654	Q9NVX0
O14654	Q8TAP6
O14654	P50402
O14654	Q08380
O14654	Q8NHV4
O14654	P30153
O14654	P04637
O14654	P23258
O14654	Q96CW5
O14654	P55072
P04637	Q96DU7
O94927	Q9NVX0
Q96CW5	Q9H0B6
P23258	Q16787
P11047	P23258
P13473	P23258
Q08380	Q96CW5
P23258	P47929
P23258	P36776
P42704	Q9NVX0
P42704	Q8TAP6
P62310	Q9NVX0
Q8NDX9	Q8NHV4
P04637	Q8NDX9
Q8NDX9	Q96CW5
P61626	Q8NHV4
Q9UNF1	Q9Y5V3
Q08380	Q9UNF1
P23258	Q9UNF1
Q96CW5	Q9UNF1
P29966	Q96CW5
P33993	Q9NVX0
P04637	P55083
P23258	Q9H306
P04637	Q96A35
Q96DV4	Q9NVX0
P04637	Q96DV4
P04637	Q9NYK5
P04637	Q8IXM3
Q8NHV4	Q9H2W6
P82912	Q8TAP6
O60783	P04637
O60783	Q96CW5
O60783	Q9UGJ1
Q8TAP6	Q9Y3D3
P04637	Q9Y399
Q96CW5	Q9Y399
P82921	Q96CW5
P82650	Q9NVX0
P04637	P82650
Q8TAP6	Q9Y3D9
P04637	Q9Y3D9
Q96CW5	Q9Y3D9
Q9UGJ1	Q9Y3D9
P55072	Q9Y3D9
Q96EL2	Q9NVX0
Q96EL2	Q9UGJ1
P82663	Q8TAP6
P04637	P82663
P82663	Q96CW5
Q8TAP6	Q9BYN8
Q8NHV4	Q9BYN8
Q92552	Q9NVX0
Q8TAP6	Q92552
P04637	Q92552
P04637	Q9Y2Q9
Q96CW5	Q9Y2Q9
P23258	P82930
P04637	P82675
Q8TAP6	Q9Y2R9
P23258	Q9Y2R9
Q96CW5	Q9Y2R9
Q9UGJ1	Q9Y2R9
P04637	P82933
Q13613	Q9BV73
Q13613	Q96CW5
P14649	Q8TAP6
Q8NHV4	Q96JP2
P55209	Q9UNF1
Q99733	Q9UNF1
Q8NHV4	Q96CW5
P55072	Q9BPW8
P15531	P23258
P23258	Q9Y5B8
Q9BSJ2	Q9Y5B8
Q96CW5	Q9Y5B8
P55072	Q7Z3B4
O75147	P04637
P26373	Q8NHV4
P04637	P26373
P23258	P26373
P26373	Q9UGJ1
P26373	P55072
P04637	P11940
P30153	Q9BY11
P04637	Q15365
Q15365	Q96CW5
Q5JVF3	Q96CW5
Q9P209	Q9Y6V0
P04637	P22061
Q00537	Q96CW5
O14737	P23258
O75340	Q9NVX0
O75340	P04637
O43933	P30153
Q8NHV4	Q9UHV9
P23258	Q9UHV9
P46020	Q9BSJ2
P04637	P46019
P46019	Q9BSJ2
P04637	Q93100
P15735	Q9NVX0
P04637	P15735
P15735	P55072
O00443	Q9UNF1
O43164	Q9UNF1
P23258	Q13835
P50402	Q8IY17
P30153	Q9Y2S7
P04637	Q9Y2S7
O75145	P30153
Q86W92	Q8TAP6
P04637	Q86W92
P55072	Q86W92
Q96CW5	Q9Y3C6
O60237	P30153
Q08209	Q8TAP6
P04637	Q08209
P55072	Q08209
P16298	Q8TAP6
P16298	Q96CW5
P04637	P63098
O43900	Q96CW5
P50402	P78527
Q8TAP6	Q9UMS4
Q96CW5	Q9UMS4
P55072	Q9UMS4
O43395	P23258
P55072	Q8WWY3
O43172	Q9BSJ2
O43172	P55072
O75475	P30153
P25786	Q96CW5
P20618	Q9NVX0
P43686	P55072
P61289	Q96CW5
P04637	Q96EY7
P23258	Q9H3S7
P54725	Q8TAP6
P04637	P78406
P54136	Q9BSJ2
Q8IY67	Q9NVX0
Q8IY67	Q9P209
Q8IY67	Q8TAP6
Q08380	Q8IY67
Q8IY67	Q8NHV4
P30153	Q8IY67
P04637	Q8IY67
P23258	Q8IY67
Q09028	Q8TAP6
P04637	Q09028
Q09028	Q96CW5
P04637	Q16576
P30153	P38159
P04637	P62877
P04637	Q8NBN7
P35250	Q8TAP6
P04637	P40938
P04637	P35249
Q7L0Y3	Q8TAP6
P04637	Q7L0Y3
P04637	P62424
P04637	P62906
P23258	P62906
Q8TAP6	Q96L21
P04637	Q96L21
P23258	Q96L21
P62913	Q9BV73
P62913	Q9BSJ2
P62913	Q96CW5
P04637	P30050
P23258	P40429
P04637	P50914
P23258	P50914
P50914	Q9UGJ1
P04637	P61313
P04637	Q07020
P04637	Q02543
P23258	Q02543
Q02543	Q9UGJ1
P55072	Q02543
P04637	P84098
P46778	Q8TAP6
P04637	P46778
P23258	P46778
P46778	Q9UGJ1
P35268	Q8TAP6
P23258	P35268
P35268	P55072
P62750	Q8TAP6
P04637	P62750
P62750	Q96CW5
P61254	Q8TAP6
P23258	P61254
P61254	Q96CW5
P04637	Q9UNX3
P23258	Q9UNX3
P04637	P61353
P61353	Q9UGJ1
P39023	Q8NHV4
P04637	P39023
P23258	P39023
P39023	Q9UGJ1
P62888	Q8TAP6
P04637	P62888
P55072	P62888
P62899	Q9BV73
P62899	Q8TAP6
P04637	P62899
P23258	P62899
P62899	Q96CW5
P04637	P61513
P61513	Q96CW5
P63173	Q9NVX0
P63173	Q8TAP6
P63173	Q08380
P63173	Q8NHV4
P63173	Q9UGJ1
P04637	P36578
P46777	Q9NVX0
P23258	P46777
P04637	Q02878
P23258	Q02878
P04637	P18124
P18124	P23258
P18124	Q9UGJ1
P04637	P62917
P62917	Q96CW5
P05388	Q9NVX0
P04637	P05388
P05388	P23258
P04637	P05387
P05387	P23258
P05387	Q9BSJ2
P05387	Q9UGJ1
P04637	Q96P16
P23258	P46783
P46783	Q96CW5
P62280	Q8TAP6
P23258	P62280
P55072	P62280
P62277	Q9NVX0
P23258	P62277
P62263	Q8TAP6
P04637	P62263
P23258	P62263
P62263	Q96CW5
P62841	Q8TAP6
P04637	P62841
P23258	P62841
P62841	Q96CW5
P62244	Q8TAP6
P23258	P62244
P62249	Q8TAP6
P23258	P62249
P62249	Q9UGJ1
P08708	Q8TAP6
P04637	P08708
P08708	P23258
P08708	Q96CW5
P39019	Q8NHV4
P30153	P39019
P39019	Q9BSJ2
P39019	Q9UGJ1
P15880	Q8NHV4
P04637	P15880
P15880	P23258
P15880	Q96CW5
P60866	Q9BSJ2
P62266	Q8TAP6
P23258	P62266
P04637	P62847
P62851	Q8TAP6
P04637	P62851
P23258	P62851
P62851	Q96CW5
P55072	P62851
Q5JNZ5	Q96CW5
P04637	P42677
P42677	Q96CW5
P23396	Q8NHV4
P23258	P23396
P23396	Q9BSJ2
P23396	Q96CW5
P23396	Q9UGJ1
P23396	P55072
P61247	Q8TAP6
P61247	Q8NHV4
P04637	P61247
P23258	P61247
P61247	Q9UGJ1
P55072	P61247
P62701	Q8TAP6
P62701	Q08380
P62701	Q8NHV4
P23258	P62701
P62701	Q96CW5
P55072	P62701
P04637	P62753
P23258	P62753
P62753	Q96CW5
P55072	P62753
P62081	Q8TAP6
P62081	Q96CW5
P04637	P62241
P23258	P62241
P62241	Q96CW5
P62241	Q9UGJ1
P55072	P62241
P46781	Q8TAP6
P46781	Q8NHV4
P04637	P46781
P23258	P46781
P46781	Q96CW5
P55072	Q9P2E9
P04637	Q14684
P55072	Q9Y230
P26447	Q8TAP6
P05109	Q96CW5
O43290	P04637
O43819	Q8NHV4
O43819	P04637
O43819	Q9BSJ2
O43819	Q96CW5
O15027	P50402
P60059	Q96CW5
P30153	Q9UHV2
P04637	Q13435
P04637	P63208
P23258	P63208
P63208	Q96CW5
P04637	Q8TD20
Q6U841	Q9P209
Q969G3	Q9NVX0
Q8TAP6	Q969G3
Q96Q15	Q9NVX0
O75643	P50402
P62318	Q9BV73
P62318	Q8TAP6
P04637	P62318
P04637	Q13573
Q13573	Q96CW5
O43291	P23258
Q13813	Q8TAP6
P55072	Q13813
P23258	Q01082
O75044	P30153
P30626	Q9NVX0
Q9NVX0	Q9UJZ1
Q7KZ85	Q8TAP6
P50402	Q7KZ85
P04637	Q7KZ85
P23258	Q7KZ85
Q7KZ85	Q96CW5
P55072	Q7KZ85
P55072	Q92797
O60343	Q9P209
O60343	P04637
Q8NHV4	Q96EI5
P30153	Q96EI5
P04637	Q96EI5
O14776	Q8TAP6
P17987	Q08380
P17987	Q8NHV4
P04637	P17987
P17987	P23258
P30153	Q8NDG6
Q00059	Q8NHV4
P30153	Q00059
P02786	P04637
Q86V81	Q8NHV4
P23258	Q9Y5L4
O43615	P55072
P04637	Q3ZCQ8
Q8NHV4	Q9BYE2
P55072	Q9BYE2
P04637	Q8NFQ8
P04637	Q9H496
O43399	P55072
Q08380	Q71U36
Q71U36	Q9UNF1
P04637	Q71U36
P23258	Q71U36
Q71U36	Q9BSJ2
Q71U36	Q96CW5
Q71U36	Q9UGJ1
P68363	Q8TAP6
P68363	Q9BSJ2
Q9BQE3	Q9BV73
Q9BQE3	Q9P209
P50402	Q9BQE3
Q08380	Q9BQE3
Q9BQE3	Q9UNF1
Q8NHV4	Q9BQE3
P04637	Q9BQE3
P23258	Q9BQE3
Q9BQE3	Q9UGJ1
P55072	Q9BQE3
P68366	Q8TAP6
P68366	Q9UNF1
P04637	P68366
P23258	P68366
P68366	Q9BSJ2
P23258	Q9H4B7
Q13885	Q8TAP6
P50402	Q13885
P04637	Q13885
Q13885	Q9BSJ2
Q13885	Q9UGJ1
P68371	Q8TAP6
P50402	P68371
P68371	Q08380
P68371	Q9UNF1
P04637	P68371
P23258	P68371
P68371	Q9BSJ2
P68371	Q96CW5
P68371	Q9UGJ1
P55072	P68371
P50402	Q13509
P23258	Q8NHV4
P04637	P23258
P23258	Q9BSJ2
Q8NHV4	Q9UGJ1
Q9BSJ2	Q9UGJ1
Q96CW5	Q9UGJ1
Q96RT8	Q9BSJ2
Q8NHV4	Q96RT7
P23258	Q96RT7
Q96RT7	Q9BSJ2
Q96CW5	Q96RT7
P0CG47	Q8TAP6
P0CG47	Q9UNF1
P04637	P0CG47
P0CG47	P23258
P0CG47	Q9BSJ2
P0CG47	Q9UGJ1
Q5T4S7	Q9BV73
P04637	Q5T4S7
Q5T4S7	Q96CW5
O95071	P23258
O95071	Q96CW5
Q96CW5	Q9NYU2
P23258	Q8IZJ1
P14927	Q8TAP6
P04637	P50552
P04637	Q99536
Q5TAQ9	Q96CW5
P50402	Q9NNW5
P61962	Q86XR8
P61962	Q8TAP6
P04637	P61962
P55072	P61962
P12956	P50402
Q08380	Q9H0D6
Q9H0D6	Q9UNF1
P27635	Q96CW5
P04637	Q9BYJ9
P62258	Q86XR8
P04637	P62258
P27348	Q96CW5
P23258	Q9H8U3
P30153	Q6FIF0
Q86XR8	Q96PM9
A4D1E1	Q8TAP6
O95229	Q8NHV4
O95229	P04637
P34932	P40337
P07900	P40337
Q96S21	Q96S21
P12004	Q8NFZ0
Q8NFZ0	Q9NZJ0
P38398	Q9NTK5
P23258	Q9NTK5
Q99728	Q9NTK5
P34932	Q16584
Q16584	Q9UNE7
P42345	P62873
P42345	P59768
P42345	P62879
P16520	P42345
O14775	P42345
P62873	Q6R327
P62873	Q8N122
P59768	Q6R327
P59768	Q8N122
Q15326	Q9UBF1
P20248	Q9Y3Z3
P24941	Q9Y3Z3
Q13309	Q9Y3Z3
P06493	Q9Y3Z3
P07910	Q86YC2
P07910	P38398
P07910	P51587
P07910	Q06609
P07910	Q9BX63
P37231	Q6ZW49
P37231	Q9UBL3
P37231	Q15291
P48431	Q8WTS6
O14770	Q96SW2
P55036	Q01831
