Q12834	Q9BY44
O75339	Q12834
O43683	Q12834
P11021	P38936
P38936	Q08999
P38936	Q8IY67
P38646	P38936
P38936	Q13724
P38936	P51784
P07437	P38936
P38936	Q5T4S7
P38936	Q6Y7W6
O14654	P38936
O60343	P38936
P11142	P38936
P38936	P42704
P33552	P38936
P38936	Q14671
O95071	P38936
P38936	Q53ET0
P38936	Q4VCS5
O75179	P38936
P38936	Q9BYJ9
P38936	Q14677
P38936	Q9H3G5
O94952	P38936
P19338	P38936
O60516	P38936
P38936	P54652
P22626	P38936
P38936	Q7KZI7
P38936	Q86W92
P22674	P38936
O95248	P38936
P38936	Q12979
P38936	P62249
O75643	P38936
P38936	Q6P2Q9
P38936	P61024
P0DMV8	P38936
P38936	Q7KZ85
P38936	Q9NZI8
P38936	P46020
P38936	Q13136
P38936	Q13557
P15735	P38936
O15078	P38936
P38936	P62701
P38936	P58107
O00330	P38936
P38936	Q9UHX1
P38936	P62851
P38936	Q15029
P0CG47	P38936
P38936	Q9HB63
P38936	Q13425
P38936	P46781
O95071	Q9BV73
Q15154	Q9BV73
P07437	Q9BV73
P0DMV8	Q9BV73
Q9BV73	Q9BVA1
P68371	Q9BV73
P38646	Q9BV73
P11021	Q9BV73
Q13509	Q9BV73
Q5JTC6	Q9BV73
P61247	Q9BV73
P62241	Q9BV73
Q7KZ85	Q9BV73
Q14257	Q9BV73
P68363	Q9BV73
P04350	Q9BV73
Q96PK6	Q9BV73
Q71U36	Q9BV73
Q8NDV7	Q9BV73
P23396	Q9BV73
P16403	Q9BV73
Q9BV73	Q9Y4B6
P62917	Q9BV73
P62424	Q9BV73
P36578	Q9BV73
Q9BV73	Q9Y2I6
P11142	Q9BV73
P61353	Q9BV73
P08238	Q9BV73
P62753	Q9BV73
P05387	Q9BV73
Q8N0Z3	Q9BV73
Q08211	Q9BV73
P54652	Q9BV73
Q9BV73	Q9Y5V3
Q02543	Q9BV73
P11940	Q9BV73
Q13263	Q9BV73
Q00839	Q9BV73
P26373	Q9BV73
P46777	Q9BV73
P62277	Q9BV73
P62906	Q9BV73
P46778	Q9BV73
P62888	Q9BV73
Q96CS2	Q9BV73
P18124	Q9BV73
P17844	Q9BV73
Q02952	Q9BV73
Q86YT6	Q9BV73
P62750	Q9BV73
Q9BV73	Q9NR30
Q8IY67	Q9BV73
P05388	Q9BV73
P83731	Q9BV73
P08709	Q9BV73
P46781	Q9BV73
P27635	Q9BV73
Q07020	Q9BV73
P15880	Q9BV73
O43395	Q9BV73
Q9BV73	Q9P2F8
Q96C92	Q9BV73
P62249	Q9BV73
P0CG47	Q9BV73
P16989	Q9BV73
O00165	Q9BV73
P62266	Q9BV73
Q15293	Q9BV73
P61313	Q9BV73
Q6Y7W6	Q9BV73
Q08378	Q9BV73
Q92841	Q9BV73
P54725	Q9BV73
P62263	Q9BV73
Q12979	Q9BV73
Q9BV73	Q9NRA8
Q9BV73	Q9UNF1
P22087	Q9BV73
Q5SSJ5	Q9BV73
Q96N67	Q9BV73
P37198	Q9BV73
P39019	Q9BV73
P43243	Q9BV73
P30050	Q9BV73
Q5JNZ5	Q9BV73
P46783	Q9BV73
P31943	Q9BV73
Q96ED9	Q9BV73
Q92522	Q9BV73
O75420	Q9BV73
P42704	Q9BV73
P62280	Q9BV73
P68104	Q9BV73
Q92974	Q9BV73
P62829	Q9BV73
O95714	Q9BV73
O43143	Q9BV73
Q9BV73	Q9H0W5
Q9BV73	Q9UKV8
Q9BV73	Q9UHI8
O14654	Q9BV73
Q86UW6	Q9BV73
P62244	Q9BV73
Q9BV73	Q9Y5Q9
Q86V81	Q9BV73
P62701	Q9BV73
Q9BV73	Q9UJV9
P07900	Q9BV73
P02792	Q9BV73
P62851	Q9BV73
Q4VCS5	Q9BV73
P40429	Q9BV73
Q9BV73	Q9UMS4
Q9BV73	Q9Y5Q8
A7MCY6	Q9BV73
P60709	Q9BV73
P69905	Q9BV73
P84098	Q9BV73
O60783	Q9BV73
Q08380	Q9BV73
P07477	Q9BV73
Q5VUJ6	Q9BV73
P82933	Q9BV73
P68871	Q9BV73
P33993	Q9BV73
Q16531	Q9BV73
Q14677	Q9BV73
Q9BV73	Q9Y4C2
Q96DF8	Q9BV73
P51398	Q9BV73
Q86W92	Q9BV73
Q99959	Q9BV73
Q9BV73	Q9Y399
Q9BV73	Q9Y676
O15027	Q9BV73
P82930	Q9BV73
Q3V6T2	Q9BV73
P58107	Q9BV73
O60516	Q9BV73
Q9BV73	Q9HCE1
Q13724	Q9BV73
P50914	Q9BV73
O94972	Q9BV73
P23258	Q9BV73
P82650	Q9BV73
P50552	Q9BV73
Q9BV73	Q9UQL6
Q9BV73	Q9Y2D8
P48741	Q9BV73
Q7Z6Z7	Q9BV73
Q9BV73	Q9NZB2
Q53ET0	Q9BV73
Q6P9A2	Q9BV73
Q8TEW8	Q9BV73
Q9BV73	Q9NZI8
P08708	Q9BV73
Q7Z2W4	Q9BV73
O43852	Q9BV73
P52272	Q9BV73
Q9BRK4	Q9BV73
P25398	Q9BV73
P10644	Q9BV73
O43172	Q9BV73
Q9BV73	Q9NXR1
P42766	Q9BV73
P34931	Q9BV73
O94927	Q9BV73
Q99733	Q9BV73
P52597	Q9BV73
P07910	Q9BV73
P84103	Q9BV73
Q02878	Q9BV73
Q9BV73	Q9GZR7
Q5JTW2	Q9BV73
Q96EY7	Q9BV73
P62269	Q9BV73
Q8IWC1	Q9BV73
Q13049	Q9BV73
O75925	Q9BV73
P17029	Q9BV73
Q09028	Q9BV73
Q16629	Q9BV73
P39023	Q9BV73
Q9BV73	Q9Y265
P82673	Q9BV73
Q96JN8	Q9BV73
P46087	Q9BV73
Q9BV73	Q9Y4W2
Q15366	Q9BV73
P30550	Q9BV73
Q9BV73	Q9BVI4
Q5RKV6	Q9BV73
P25054	Q9BV73
Q9BV73	Q9NVE4
P62805	Q9BV73
Q12931	Q9BV73
Q86SQ0	Q9BV73
Q9BV73	Q9Y3D9
Q7KZ85	Q9NVX0
P19474	Q9NVX0
