Q01151	Q8WV28
P12757	Q9BWV1
P10643	Q9NZC2
Q9Y279	Q9Y4H2
P36405	Q86YS6
P18085	Q96DA2
Q14982	Q92913
P32239	P58173
P32239	P58182
P58173	Q6U736
P32239	Q9H339
P32239	Q9H340
P10635	P15538
O14966	P52735
O95755	P52735
P0C0E4	P52735
P20337	P52735
P51151	P52735
P51153	P52735
P52735	P59190
P52735	P61020
P52735	P61026
P52735	P62491
P52735	Q12829
P52735	Q14964
P52735	Q15286
P52735	Q15907
P23258	Q2VIQ3
A5PKW4	Q5JT25
P52735	Q6IQ22
P52735	Q86YS6
Q5JT25	Q8NDX1
P52735	Q8WXH6
A6NIZ1	Q92538
P61224	Q92538
A6NIZ1	Q99418
P61224	Q99418
Q5JT25	Q9BQI7
Q5JT25	Q9NRD0
Q9H0N0	Q9NRD0
Q2VIQ3	Q9NRH3
Q5JT25	Q9NYI0
Q9H0N0	Q9NYI0
P52735	Q9NYS0
Q7Z444	Q9UJF2
P52735	Q9UL25
P52735	Q9ULW5
P52735	Q9UNT1
Q7Z444	Q9Y4F1
O60469	P02649
P11137	Q9UBP0
Q13404	Q96EP0
Q13888	Q9BQ83
Q96P71	Q99075
O60462	P50552
O43541	Q15465
Q15465	Q8NFT8
O43541	Q92667
O14830	Q8TE77
O14829	Q9NS61
O15344	Q9NYJ8
P20023	Q7Z407
P43628	Q8IYS5
P35568	Q8TED9
O60499	Q96FZ7
O60235	P23415
P08253	Q13164
Q53EL6	Q9NR30
P02708	Q15825
O43680	P43694
P35968	Q92908
P31483	Q9BZS1
O14497	P06899
O60861	P48061
P15498	P51671
P51671	Q8IZP0
O14497	Q96A08
Q13905	Q5HYI8
P61587	Q8IV61
Q15438	Q8WY64
Q86XP1	Q9NS40
O95297	P15692
P14616	P35968
O00505	P62491
P32243	P78424
P08887	Q8TD84
O15273	Q8WZ75
P34130	Q8WZ75
O43829	Q96JB3
Q01851	Q9BZE3
P52951	Q9UBC0
P05230	Q14183
P07766	P36897
