P54578	Q9NZ52
P40200	Q8IXA5
Q15642	Q96HU1
Q9HB75	Q9HC29
Q13191	Q9NZM3
O00194	P18085
P61006	Q96P47
P29692	P63241
P62888	P63241
Q14289	Q9UMS4
O75592	Q9BZB8
Q99435	Q9H2G4
O14792	Q9Y661
P02461	Q07325
Q9HDC5	Q9UN86
Q86YR7	Q8TER5
P14416	Q01362
P19474	Q13216
O15530	Q6ZMU5
O15392	Q96EE3
P49798	Q96S79
Q0P5N6	Q9Y6D6
P32241	Q8IU80
O15075	P24588
P06307	P24588
P26583	P41159
P21728	P61278
P24588	Q96JJ6
O95396	Q9UBE0
Q86Y82	Q96EY1
P17693	Q92692
O75592	P54753
O14964	P67775
O75385	P05771
O00238	P51451
P05771	Q00537
P36896	Q13237
P19784	Q14680
Q07002	Q15418
O96013	Q86SG6
P40616	Q8IWE5
O14757	Q8N2I9
P43250	Q96NX5
P30291	Q9UBS0
Q13554	Q9UEW8
O95711	P10643
P12644	P19838
P07949	Q12849
P20336	Q13277
P06241	Q14344
P54753	Q7Z553
P11464	P35968
P35968	Q13046
P13688	Q6UWV2
P24821	Q86YT9
Q5ZPR3	Q9HBG7
P24821	Q9Y286
P18075	P27986
P01023	Q9BUD6
Q8IYI6	Q9HCH5
P20936	Q9HB19
P31270	P31275
P31271	P31275
O75360	P50221
O15522	Q00056
P23468	Q15772
P35548	Q8NHV9
P17483	Q96IS3
O14627	Q9C056
O14627	Q9NZR4
P47888	P47900
P50281	P51511
P48454	P67775
P47900	Q7Z3T1
Q7Z3T1	Q9NYW0
O75054	P00709
Q16560	Q4VXU2
P14921	Q5K651
P21709	Q5VXD3
P41212	Q68DC2
Q5K651	Q68DC2
P78352	Q8IVF2
Q6ZW76	Q8IXK0
P54762	Q8N8V4
Q14847	Q8TEJ3
Q5EBL8	Q96JY6
Q5VXD3	Q96LT4
P52272	Q9BTD8
O75335	Q9BYL1
Q5K651	Q9BYL1
Q6SZW1	Q9BYL1
Q6ZW76	Q9BYL1
Q96S82	Q9H0E2
Q9H009	Q9H7E2
Q9H6Y5	Q9HD26
P10398	Q9NWM3
Q13191	Q9NWM3
Q9H706	Q9NYL2
Q8N8V4	Q9NZS9
Q68DC2	Q9UHJ3
Q99729	Q9Y388
Q9BTD8	Q9Y388
O43927	P01137
O14944	P01584
P48729	Q9UQ88
O94769	Q92626
P08246	Q9NNX6
O60674	P17081
P15918	P16885
P01374	P35070
O15409	P43699
P40145	P48546
P38405	P49418
O15409	P56177
Q06124	Q13705
O15085	Q7KZI7
P49418	Q8IV63
Q13253	Q8WU20
P48023	Q92529
P05019	Q96RI1
P29459	Q9BQ51
P60568	Q9BQ51
O14944	Q9NY15
P17481	Q9P2D1
Q96B97	Q9UMF0
Q8NER5	Q9UPW8
O76093	Q9Y639
O00468	O14492
O00175	O60449
P30281	P30291
O76041	P41743
O75886	Q04759
P36888	Q13873
O94887	Q14644
P62330	Q16576
O60563	Q16589
Q12929	Q7L0Q8
P0C0S8	Q7Z6Z7
O60260	Q86WG5
P52564	Q8IX03
P62993	Q8IXZ3
O75962	Q8N4G2
Q15811	Q8N4G2
