Q96FF9	Q9BYX7
O96008	Q7Z7F7
P10809	P17706
Q99986	Q9BRP8
Q16658	Q9NVA2
P51149	P78344
O60245	Q00839
P31942	Q9BUJ2
P84103	Q7KZF4
Q8WVJ2	Q9Y508
Q15800	Q96HY6
Q13813	Q9BWM7
P62829	Q16540
Q03405	Q3ZAQ7
P46013	Q8IVH2
P98170	Q8WVJ2
Q12905	Q6NZI2
P84103	Q96AE4
P52789	Q8IVD9
O00287	P55769
Q96CS3	Q9BZE1
P24928	Q6IN85
Q9NPJ3	Q9Y3A5
Q14151	Q6ZRS2
P28070	Q96A49
Q92544	Q9Y320
P62753	Q6EMK4
Q92890	Q9H267
O60231	Q5JSH3
P08238	P33992
Q14011	Q92945
P15374	P68036
P20671	P62244
O95232	Q12857
P62195	Q6NZY4
P08174	P08754
P09661	Q13561
P11277	Q14644
O95400	P61020
P36543	Q9H9B4
P21796	Q01085
Q15276	Q9BZF9
Q9P0L0	Q9Y277
P04264	P05141
P61088	Q9UL12
P62987	P63027
A4D2B8	O75818
P34931	Q00325
P02533	Q92817
P06576	P21912
P13473	Q9NR30
P00387	P31040
Q3ZCQ8	Q9H9B4
P28066	Q9Y3D3
Q13404	Q15942
P08174	Q27J81
Q96ME1	Q9HD42
O75844	P52597
Q02790	Q16594
O75439	Q15007
Q9NVK5	Q9NZJ7
P31939	Q7Z6E9
O14880	Q13405
Q01844	Q8IYW5
O95747	Q8TDP1
P60903	Q15717
Q13435	Q9BTD8
P18583	Q8N4Q1
P09012	Q9BSE5
Q92544	Q96A26
P35659	Q9Y2W1
P22314	Q08J23
P49459	Q14166
P21796	Q5T6F2
Q96S82	Q9UBQ0
A6NHG4	O14980
P21281	Q5BJH7
Q2TAY7	Q86VM9
Q6FIF0	Q9Y6I4
P04004	Q15459
O00303	P38606
Q13404	Q9Y244
O00170	P50395
P07437	P07814
Q15185	Q9BTM9
P21283	P28288
P53992	Q13492
O75380	P31040
P24752	Q08050
O43181	P41219
O60563	P46781
Q14683	Q9UKV3
P30044	Q9H3S7
Q8NFH3	Q9H2M9
P60174	P62987
P05976	P57740
Q12874	Q14315
O43819	P23284
P07910	Q9UNL2
O43143	Q9Y5H9
O94992	Q92499
O95905	Q13200
O95168	Q15388
Q9BYC8	Q9NUL7
O75915	P61244
Q8TBC4	Q8WVJ2
P29558	Q9UMX0
O95182	Q9NTK5
