Q96FF9	Q9BYX7
P62841	Q13488
P26196	Q5TC82
P08574	Q04837
P34931	P39023
O95182	Q9UQ35
Q8WVJ2	Q99436
Q96GQ7	Q9BZZ5
O43583	Q9NPF5
Q8WXC6	Q9UFG5
Q96K17	Q9BZK3
Q16531	Q9HCD5
P20290	Q9NUG6
O60506	Q96CM3
P20290	Q6NW29
P50225	Q9BUF5
Q13428	Q9UIU6
Q15185	Q9NP77
Q13889	Q86XA9
P52888	Q9NP77
Q96S82	Q9UHD9
O94888	P50225
O75152	P50454
P50225	Q96K21
A6NFI3	Q9UQR1
O75312	P50225
O95218	P63146
P51784	Q9BUR4
P17980	Q96S59
P00441	P15531
O75027	Q7Z7H8
P37198	Q96I24
P06733	Q9BY32
P40222	P47897
P21912	Q9NX14
Q15428	Q6KC79
P10809	Q8NBJ5
Q12905	Q7Z7F7
P28074	P67809
P02545	P05141
P62269	Q9Y5K8
O60506	P04843
P34931	Q9NS69
O00487	Q9UNE7
P35749	P60981
Q9UI12	Q9UNN8
O95983	Q9ULG1
P29401	P63279
O15164	Q13435
P30405	Q9ULW0
O95182	O96008
O00116	P28288
P04080	Q9Y266
P01112	P49721
P09110	P23284
P35637	Q9UHR5
P04844	P30101
P11441	P33316
P35610	Q9UBX3
Q00341	Q06418
P36871	Q96G03
P14868	Q9Y490
O14745	P40925
Q03169	Q92547
P47985	Q9UHD8
A9UHW6	Q6P996
Q16540	Q969G5
O76021	Q9BUI4
P62854	Q969G5
Q96LR5	Q9UKA9
Q6IBS0	Q96S82
P62256	Q14157
Q13404	Q96C45
Q93050	Q9H9J2
Q8IWB7	Q96EM0
P17480	Q9NW82
Q8N1G0	Q9C0C9
Q17R98	Q8IWX8
P46776	Q96L21
P12004	Q9NWV8
P42892	Q9H3Z4
Q15942	Q16658
Q8N1G0	Q9H7D7
P07237	Q14697
O00422	Q13595
P31943	Q8ND56
O43819	Q01085
P83731	Q9Y3F4
O75955	Q14197
O75955	Q7Z7F7
O75691	Q9H2M9
O60783	P62829
O75955	Q6NUK1
P25205	P35249
P22087	Q9UKD2
O95169	Q9Y512
Q14254	Q9UBI6
P25705	P35579
Q96QC0	Q9Y4Y9
P13639	P23921
P50225	Q9NZC9
P19338	Q9BYN8
P29558	Q9P2E9
P14618	Q15365
P08865	P34932
P28288	Q13423
P28288	Q15526
P26599	Q9Y3U8
O96008	Q9Y512
P33240	Q16531
Q96FV9	Q9UI30
O75955	P63027
O94966	Q9Y490
Q86XP3	Q9Y237
P61201	Q15019
P62753	Q14677
P17987	P60866
O95155	P50225
P50225	Q04323
P49721	P51531
O60610	O95757
Q8IYT4	Q92499
Q7Z6Z7	Q9UPQ0
P38159	Q9H1E3
Q96IR7	Q9BXS6
O75955	Q9NX40
O60313	Q9NQR4
P43243	Q969G5
P46087	P62750
Q13887	Q9P2E9
P17600	Q9BXP5
Q5SRD1	Q96A26
Q53S58	Q96DV4
A5PLL7	O75396
Q8TDN6	Q8TED0
P55060	Q04323
O76080	Q9UI12
Q15942	Q9UGR2
P62314	Q13263
Q00839	Q92542
P62701	Q6NZI2
O43318	Q9NR33
P51659	Q9Y3D6
P09012	P31942
P62266	Q7Z7F7
O43852	P41219
P49821	Q969X5
Q01085	Q9Y3A5
Q00839	Q96L21
P37108	Q9UMS4
P08865	Q96L21
P21589	Q8TAD4
P78347	Q13242
P55084	P62241
O43395	Q9Y2X3
O00425	Q1KMD3
P19174	Q9BV86
P24534	Q9NRL3
Q13813	Q5VYK3
P51784	Q8NDT2
O43143	P49792
P49792	Q08211
Q86VS8	Q8WVM8
P14923	P46778
P34931	Q99757
O95486	P06703
O43852	Q9UMR5
P14868	Q9NQW7
Q04323	Q9UMX0
P09525	P20073
Q01844	Q8TEQ6
Q01844	Q92839
P19105	Q01518
O60313	Q58FG0
O00151	Q8TCS8
P06454	Q6PGN9
P61019	Q12906
Q13421	Q9BYD6
Q4U2R6	Q53S58
P42765	Q6PI78
O95486	Q99614
O95486	Q8N5M4
O95486	Q70CQ2
O95486	Q9C0B0
P61086	Q9GZS3
Q15459	Q86VM9
P53992	Q96K21
O00762	O95218
P08559	P78347
Q92973	Q9BUR4
Q99613	Q9P015
Q08211	Q9P032
P07951	Q9BR76
P28331	Q86Y82
O75643	Q93008
P54819	Q15424
Q14203	Q8IYW5
P21912	Q16795
P46060	Q15029
O00571	P12270
P35580	P52272
P33527	Q12846
P38606	Q13421
P52272	P62834
P06733	P13929
P07951	P50225
P07951	Q92783
P57721	Q96T58
Q00839	Q7KZF4
O75396	P18887
P18031	Q9UHA4
Q9P2I0	Q9Y5Q9
P61978	Q9UBU9
P63279	Q8IWZ8
O75436	Q9H3S7
P10809	P61020
O00217	P31040
P35573	Q04760
Q06323	Q9NRX4
P53992	Q04721
P60891	Q12792
O14957	Q9H7Z7
O14983	Q14573
O43290	Q9UI30
O60664	Q9NY27
O00422	Q96PK6
P14635	Q9NX18
P21283	Q9NZ45
O75844	P08174
Q92945	Q9NVP2
O75874	Q9NVP2
P42166	Q12906
P42167	Q12906
Q8IVS2	Q8IY67
Q15393	Q9BSE5
Q9BSE5	Q9BWJ5
O14530	O43818
P0C7P4	P84103
Q8N5M4	Q9Y3C8
P36543	P60903
O14530	Q92558
P34896	Q9UPT8
Q15648	Q5BKZ1
P62081	Q13123
P48729	Q99755
O75575	Q9NRG0
P09661	P28066
P49459	Q00341
P63220	Q8WVJ2
O43390	Q8IXI1
P06753	Q96FV9
P63279	Q16181
P50914	Q14197
P60981	Q13630
P04004	P15924
Q00341	Q03405
O96008	Q3ZCQ8
P09234	P27105
P07858	Q9UNN8
P13645	Q15717
O00762	Q9NRR5
P10599	Q16864
P11233	Q13421
O14965	Q6PGN9
P30405	Q9Y5M8
P45880	P68036
P82933	Q9UHA4
O00571	O95983
P52597	Q04941
P13639	Q13151
P35579	Q16181
Q15291	Q92620
Q13423	Q16795
P37802	Q9H2U1
Q9Y237	Q9Y5M8
Q6PFW1	Q8WU90
Q8WVJ2	Q92925
P19338	Q9UHD8
O75477	Q9UI09
P63027	Q15637
O95425	P22061
P19022	Q8N2U0
P35659	Q13868
P42166	Q01813
P42167	Q01813
Q01844	Q9NZJ7
P19022	Q9UMX5
O75439	P15927
P52815	Q9NQR4
P05141	P82930
Q12905	Q96NB2
P48382	Q9GZT3
P26639	P48147
P19404	P21912
P08174	Q9Y3E5
P63241	Q9P0L0
Q13813	Q8IVS2
P36776	Q14204
Q14103	Q8TAD4
P50225	P63165
P62917	Q96L21
O75380	P25398
P62979	Q12962
P22234	Q14671
P31939	P46108
P04818	P21283
P04818	P36543
P62263	Q6P2Q9
P43307	P52272
P14927	P24752
P49459	Q9H0D6
Q04941	Q8TCJ2
P14923	Q16643
Q5VSL9	Q92499
P19404	P31040
P11279	Q93096
O14880	Q9BYN8
P13693	Q99426
Q13619	Q9Y2Z0
O00161	O60506
P50454	P67936
O95155	Q9Y3A5
O00625	Q9Y2Z0
Q9BUI4	Q9BVI4
P21283	Q15904
P30041	Q5JRX3
O60664	P61586
P11142	Q04837
Q92499	Q99575
P38919	Q13151
P62081	P62314
Q08170	Q96S55
O94906	Q13595
P47985	Q9UQ53
P62266	P82912
P25490	Q14966
O75439	Q9UK76
Q8N6R0	Q9BV86
O60568	P40939
A0FGR8	O43808
P46782	Q2VIR3
O75844	P82675
O15400	Q13636
Q01995	Q15637
O75152	P0C7P4
O95155	O95218
O95182	P62857
Q02127	Q14318
O14880	P21283
P15924	P17252
O95071	P51668
O00422	Q99848
P20618	Q15459
O60828	P52758
Q13243	Q9P258
P35580	Q12906
P49023	Q8WVJ2
O14974	P51553
Q15388	Q9BWM7
O75533	P49736
P09661	Q12789
P31040	P60842
P12956	P31040
P62847	Q71UM5
P61960	P62333
P61960	Q15819
O00193	O60563
Q04323	Q8NBS9
O14979	Q9Y3D3
O00425	Q9Y5T5
P39023	Q96L21
P29692	Q96RQ3
P08621	P82909
Q92887	Q9Y3E5
Q15365	Q96AE4
P55055	Q53EL6
P12236	P27635
P08579	Q13309
P35269	Q14011
O95168	Q9UHA4
P52815	Q15067
O96008	P50416
O75643	Q02880
P48643	P55072
O75792	Q15811
P42892	Q16643
P21912	P82664
P04004	Q08211
P31040	Q5VT66
P78318	Q96G74
P30086	P78318
P50897	Q9NQR4
O94762	Q7Z478
Q07020	Q58FG0
Q5T653	Q9NUL7
P08865	Q96QV6
P78318	Q6YHU6
P07814	P22314
Q8TF74	Q96NB3
Q86VN1	Q9UHR6
P07900	P29966
P04406	Q12996
P42892	Q96AY3
Q8TAD4	Q92887
Q12906	Q96TC7
Q04837	Q12906
P31948	P49321
Q12906	Q96AG4
Q969X5	Q9Y3B7
Q969X5	Q9BYC8
Q05519	Q9Y2W1
Q8TEM1	Q8WVJ2
O43819	P27105
O43395	Q99547
Q04760	Q9BY32
P09525	P25325
P62269	Q9UHA4
O94842	Q15459
P12004	P14625
P25325	Q96FQ6
P28288	P57105
P61011	Q9Y3B4
O15164	O75533
Q9BQ95	Q9NRK6
P31942	Q04837
P34931	P35658
O43819	P22307
P49756	Q12857
P49756	Q99986
P22061	Q04721
P09234	P82979
A2A3N6	P25205
O75127	Q00839
P43487	Q96DM3
Q14CB8	Q8N1G4
P33316	Q6P1L8
Q00839	Q9H9J2
Q00839	Q96GC5
P07954	Q9Y617
O15357	Q9NYT0
O43175	Q2TAY7
O15400	P29558
O15031	O75410
Q6ZVM7	Q96ST3
O75436	Q9C0B0
O60763	P98170
O14980	Q8IWV7
P51398	Q96TA2
O75152	P29558
P55809	Q9Y5J7
P21796	Q8IWZ8
P47985	Q969X5
P05387	P52815
P61513	P63244
Q14137	Q9UKV3
O43615	P24752
P32119	Q9Y6Y8
O95292	Q9UHD8
O94842	Q13435
P11441	Q14247
P30044	Q9BRT9
P34931	Q99459
Q9Y2W1	Q9Y3B4
P15880	P52815
O43633	O75477
Q99707	Q99747
O60313	Q16795
O75351	P61020
Q03405	Q9NX18
Q96PK6	Q9Y5S9
Q6PI98	Q9NRG0
P13929	Q3LXA3
Q14203	Q14315
P07741	P11172
P51668	Q16831
O75351	P35658
P37108	P62314
P05388	Q8NHW5
Q12906	Q8WWI1
P50552	Q12874
P21283	P50416
P27105	Q15427
P25789	P67809
P56385	P63220
Q8N4V1	Q9UI09
P04843	Q7KZF4
P33316	Q9UFG5
P20290	P47914
Q5XKP0	Q96A35
O00584	Q9NQR4
O76021	Q15050
P28066	Q96A49
Q53S58	Q8N5N7
P29401	Q9Y3C8
O75152	Q15233
Q00839	Q86VM9
P36543	Q13492
P47897	P61758
Q9UBV8	Q9UHA4
P50416	P61586
O14907	P63027
Q13099	Q9NQC8
O43396	P07237
P09493	Q96FV9
P04818	Q5MNZ6
P08238	Q13561
P09651	Q9Y696
P27708	Q8TAQ2
P06702	Q6P2Q9
P78371	Q13263
Q9HAV4	Q9Y5K5
P20618	Q04721
P17980	Q7Z3T8
O75396	O95292
O60216	Q9Y237
P23396	P27708
P63027	Q8TAD4
E9PAV3	P11498
P11498	Q13765
P78316	Q6ZW49
Q04837	Q9BQ15
P51610	Q9C005
P26639	P49591
O75955	P25705
P39210	Q96DV4
O75368	P25786
Q12906	Q13492
P09661	P27105
Q15005	Q9UHA4
P07951	Q8N684
O43598	Q06830
O43670	Q6PJT7
Q00839	Q14197
P51991	Q9BYN8
P25398	P30044
Q8IXI1	Q8N4Q1
O14964	Q9HD47
Q15843	Q9Y3D2
P56589	Q8N4Q1
Q13636	Q92542
Q8N4Q1	Q96L21
Q9HD33	Q9UHA4
Q02878	Q8IY81
P62847	Q8N183
P62854	Q8N183
P08174	P60903
P60903	Q96L21
Q8N9R8	Q9H2T7
Q9H2G2	Q9UBK7
Q01082	Q9NUU7
Q6P1L8	Q9Y5M8
Q8IUR0	Q9H2T7
P52888	Q8N584
P61086	Q9BRA2
P61088	Q92890
O00762	Q9C0B0
Q96QK1	Q9UJA5
Q9BXK1	Q9Y6W5
Q13123	Q9BV38
Q6PJT7	Q9Y546
O95218	Q16629
O95218	P15374
P15924	Q9NZ01
P83369	Q13472
P22234	Q9BRT9
P07437	P49721
O75955	P33527
Q04941	Q9UP95
P78318	Q15084
O60271	Q92597
O75251	P39210
Q99848	Q9UBU9
P06702	P26368
P15374	Q16864
P30041	P32119
P15374	P22061
Q12906	Q8NHW5
O95831	Q16762
P32119	P38606
P46020	Q08AM6
P34932	P61978
P22307	Q8IWZ8
P38606	P60842
P07910	Q9NQ50
P07954	P36551
O43678	Q9Y237
Q13123	Q13595
Q14011	Q99567
P38159	Q9UBU9
P62258	Q13185
P04406	P18669
P14618	P29401
P04818	P18669
O14980	Q9BTM9
O43808	Q9BYC5
P15311	P52824
P50750	Q9UPS6
P62834	Q9UBI6
O00161	P07947
P07602	Q01081
P54727	P63220
P04179	Q9BQ15
P33176	Q08211
P17980	Q9Y265
P09132	Q9NU22
Q06830	Q96KR1
Q15654	Q9BYN0
P53992	Q96RN5
P62249	Q14165
O14745	Q9UHG3
P09525	P12429
Q8TAE8	Q99613
P07900	Q58FG0
Q01844	Q16718
Q99460	Q9NTZ6
O75955	Q92665
P14923	Q96H78
Q15459	Q8IXT5
O00193	P49721
P54577	Q86W50
O75955	Q9BQE3
Q13404	Q8N5M4
P31949	Q969M7
O95801	Q16763
O75844	P21796
O75351	Q8N5M4
Q7Z2W4	Q86UV5
O95801	Q96JM3
O00625	P49721
P40938	Q00577
Q99986	Q9BWJ5
P62829	P82912
P15880	Q9BYG3
P04083	P09525
P46937	Q93008
P28066	Q15459
Q04323	Q96FQ6
P38606	Q14914
P34896	Q8IVS2
P62314	Q9Y5B9
P16144	Q00839
P52815	P54819
P19022	Q9NP81
P04004	Q14498
P22102	P23381
P50990	Q15046
Q15233	Q8IXM3
O95400	Q15819
P61960	Q15654
P18754	Q96PK6
P49755	Q96FQ6
P42704	P82673
Q07955	Q9BYV6
P61201	Q9P270
P21127	P49756
P11021	P51149
P18206	Q8TBC4
O14965	Q9H3S7
P36404	P99999
P36543	Q8TAD4
Q12906	Q969V3
Q8WXH0	Q9Y6M9
Q12768	Q641Q2
P50443	Q9UQ53
P60981	Q9Y508
P20674	P61006
Q86XP3	Q9BVI0
P60981	Q15811
P60981	Q93045
Q86VX2	Q9P000
P40926	Q6ZMR3
Q12857	Q5SSJ5
Q5SSJ5	Q9UBU9
A6NHG4	P67775
P79522	Q9UHA4
Q9BQ61	Q9Y3U8
Q5SSJ5	Q8IY81
Q00325	Q9NP92
O43865	Q9Y617
O43865	Q07955
O43865	P63208
O00193	Q15293
O43865	Q9UMY4
O43865	P42226
P17600	P17844
P31483	P84103
Q04726	Q9UBT2
Q13641	Q5SSJ5
P12270	P41223
Q13595	Q5SSJ5
Q8N5M4	Q9UBT2
O43865	Q04323
Q5VIR6	Q93009
Q9BZV1	Q9UGR2
Q16630	Q8NAP8
O95232	P18754
Q07955	Q9UI30
O43615	P51553
Q15645	Q86V81
Q16531	Q96S59
Q13838	Q9H267
P08758	Q14671
P29401	Q9Y277
Q14011	Q14444
P48729	Q16630
O75380	P11233
P20618	P46777
P04844	P25705
P23526	P49915
Q14203	Q96RQ3
P61978	P62081
P60981	Q01130
P21333	Q9UQ35
P13639	P29317
Q96HA7	Q9Y6X3
O75027	Q9Y5K8
P08243	P41250
P14927	P30837
O75396	Q9P0T7
Q15424	Q16630
O14949	Q04837
Q9H9B4	Q9P0U1
P53778	Q9Y6N7
O75794	P06753
Q12768	Q9Y3C0
O15260	P06702
O60524	P62913
P15924	P61020
P17844	P60866
P52655	Q96EB6
P18031	Q00839
P24534	P35269
O94826	Q08211
P02792	Q58FF7
P07099	Q9NXV6
P54317	Q6ICL3
P05976	Q9UBT2
O43819	Q6ICL3
O75368	Q9UNZ2
P19447	Q8N196
Q9P2N5	Q9Y4P3
P78371	Q8IYD1
Q15029	Q969S3
O75312	O75794
Q99848	Q9UI10
P28331	P61020
P17987	P43307
Q6NZY4	Q96RU2
P13995	Q96CN9
P43307	P48643
O75369	P52272
P21333	Q05519
O14672	Q8NH73
P39210	P62841
P09493	Q8NI27
P54727	P61960
P14923	Q92887
Q13488	Q9P0L0
P82979	Q9ULW0
O43390	Q7KZF4
P08621	P17661
P61244	Q16630
Q15388	Q92887
P27708	P35998
P21912	Q15363
P21796	P61960
P10599	P23246
P04181	P10619
O95169	Q00325
P19022	Q9UMR5
P16083	Q15349
P02765	P53041
Q13148	Q9Y5M8
P23588	P49790
P61106	Q12906
O43390	O60264
O75934	Q13151
P15927	Q9UKK9
O75886	P54920
P40818	Q9NSD9
Q9BTV4	Q9NUL7
P11233	P35580
Q16611	Q9P0U1
O43390	Q8IYS2
P23588	Q9BWU0
P13797	P54105
Q96EY7	Q9UKV3
P56134	P82930
P78344	Q9GZT3
P55786	Q9Y3F4
P26599	Q53S58
Q14166	Q8N5M4
Q9NUQ3	Q9Y490
A6NIH7	Q13242
Q14694	Q7Z2W7
Q8N5M4	Q9NRR5
P15374	Q8N5M4
Q05086	Q92890
P61960	Q99614
Q8N5M4	Q96K21
O95218	Q8N5M4
Q6IBS0	Q86VN1
P06748	Q99733
Q7KZF4	Q9UNL2
P33527	Q16864
P54289	P62491
P47914	Q15599
P62701	Q99459
P49792	P62263
Q15599	Q9NQC3
P84103	Q15437
P11021	P35580
P60981	Q8NI22
O00422	P12270
Q8WUM0	Q9NR33
P30044	P54727
O96008	P51649
O95232	P06702
P40855	P60981
Q92542	Q9BQG0
O60907	Q7Z6Z7
P50897	Q13428
P12236	P62906
O60664	Q14126
P08174	P57105
P50454	P63146
P00966	Q14161
P31939	Q13148
P60981	Q9UJY1
P04075	P10809
Q01130	Q9Y265
O00233	P63279
Q13085	Q2NKX8
O75874	P00568
P10599	Q9H9B4
P09622	Q16540
O75400	Q10471
P07602	P09661
O43678	P50416
Q12840	Q9NSK0
Q02809	Q99618
P54819	Q8IY67
Q15434	Q9NUL7
Q8WXF1	Q9H2T7
P54725	Q00796
Q5VT52	Q8WYQ5
P29350	Q5PRF9
P63272	Q9ULU4
Q15293	Q9BYN0
O60232	P06702
P50225	Q15293
P68363	Q8NHW5
O43865	Q9BUF5
O75663	Q00796
P06702	Q04726
P26447	Q6ZVM7
O94888	P54727
P26447	Q9C0B0
P06702	Q9C0B0
O14530	Q5VIR6
P45880	Q8N9F8
Q12905	Q96DV4
P38606	P49006
P49792	Q9BYV6
P37802	P62306
O95619	P17480
O75533	Q9Y5L4
O14979	P62081
Q00577	Q9BUQ8
O00161	P12429
P84103	Q15019
O60313	P55084
P50454	P55795
P23526	P35237
P18206	P60174
Q9BQ15	Q9NVA2
Q14247	Q96I99
P31350	Q15233
Q00341	Q92547
Q14203	Q96S59
O75794	Q8IZP0
P30041	Q06830
Q14108	Q92804
P15374	P50225
P67936	Q12906
O96008	Q9BVL2
Q00839	Q4U2R6
P05386	P11021
P40926	P54105
P14314	Q8TCS8
P11021	P60842
Q8TAQ2	Q96PK6
Q13838	Q14240
O43678	O75521
O15143	Q9BPX5
Q7L5D6	Q96KP1
O15111	Q7Z478
P51608	Q96IR7
Q15149	Q15155
P48382	Q9UK45
P50914	Q9NQ39
P63220	Q9H009
P21912	P82675
O43175	Q07955
P10646	Q2TAY7
P62072	Q15155
Q13243	Q9UM00
Q7Z7H5	Q9Y5M8
Q14147	Q8IZ69
P18583	Q9UHP3
Q8NBS9	Q9H3U1
P23246	Q7Z2W4
O75312	P61960
P52272	Q9Y2W1
P38919	Q14739
P09661	Q8TAQ2
O43390	Q96PK6
O95169	Q8N4V1
P35268	Q8NHW5
P62829	Q15050
P10646	P18583
Q9HCE1	Q9Y6N5
P30044	Q99497
P23193	Q9BSL1
O95155	Q15654
P09622	Q9BZE1
P11233	P35579
O95169	Q15526
Q15555	Q9BTT6
O95182	P63279
P11940	P21281
Q92499	Q92839
P67936	Q12905
O60506	P10515
P08195	P82933
P18583	Q16629
P33176	Q12792
Q13151	Q86W42
Q13185	Q9C0C2
O75431	Q8N4V1
O95168	Q5VT66
P78356	Q9BUE0
P14923	Q9UMX5
Q969G5	Q9UMX5
O94829	Q15269
Q12905	Q8WU10
P62910	Q9UMX5
P21912	Q9BYC9
O95758	Q9UMX5
P62750	Q9NQ39
P06454	Q01130
O75368	Q9BS40
P49903	Q9NX55
O43678	Q9Y4P3
P04179	Q9Y4P3
Q8N584	Q9BWD1
O75191	P52888
P46937	Q8N5M4
P78549	Q7Z2W4
P37275	Q5T4S7
Q13769	Q8WXB4
P19022	Q9NSE4
Q9UKV3	Q9Y2W1
P67936	Q9Y4R8
Q15233	Q93050
Q14157	Q9P0L0
Q15942	Q99439
P15880	P63244
P04216	P09234
O14907	O96008
P11021	P25705
P06753	Q15428
P50454	P53992
P11021	Q14974
Q8IYB3	Q96PK6
P31040	Q9NX62
P07741	P49915
P08238	P21281
O43290	Q9Y5J7
P24752	P31040
O43290	Q9Y2X3
O14672	Q9Y3D2
O43660	Q9Y5K5
P68036	Q13200
P41214	P41567
O43765	P30520
P22234	Q9UNE7
P22234	P63146
Q9HD42	Q9Y6K5
P10646	Q05519
O43504	Q9H8Y8
O94782	P49459
Q86UV5	Q96KR1
Q04721	Q07157
O95619	Q15059
O60493	Q15436
P08670	Q96AX1
Q12789	Q15019
Q8N4V1	Q92887
P49257	Q00839
O75955	Q12907
P00492	Q8TDW7
P10644	Q58FG1
Q99538	Q9UKV3
P32969	Q58FG1
Q13123	Q14151
P50402	Q2TAY7
P31689	Q13813
P68363	Q04837
P39019	Q9Y4P3
Q01085	Q96EL3
Q53S58	Q9NVA2
P11279	Q92544
O15118	Q9NYL9
P43686	Q9NYL9
P50225	Q9NYL9
P09110	Q8IUR0
P51668	Q14166
P62256	Q9NP77
P52888	P62256
P61964	Q9H3U1
O14980	Q9NUU7
O95218	P50225
O75955	P62841
O60563	Q12888
P12270	Q00839
Q9NRK6	Q9Y2Q5
O00401	Q14966
P51149	Q9ULV4
Q12792	Q9ULW0
P42126	Q15067
P25786	Q01130
Q99717	Q9Y6I3
P49257	Q15363
P00387	P34931
Q08211	Q9Y5J7
Q99873	Q9NZM5
P11021	Q13813
O43143	O75494
O75368	P62306
O43633	P62136
O14980	P07437
Q9BQ15	Q9Y5M8
P42166	Q14011
P42167	Q14011
P49406	Q8TAT6
Q16881	Q9Y6G9
P60981	Q8WX93
P22061	Q9NX18
P21283	P43307
P46060	Q7Z6Z7
P23526	Q96EB6
P10599	Q9BZL1
P20700	Q9NR30
O43684	Q15019
Q96AE4	Q96G23
P11021	P62851
P49790	Q15021
P55795	Q14011
P11142	P62244
P21281	Q13526
P49750	Q96EA4
O75494	Q13428
Q01844	Q8IVS2
Q14677	Q6ZNB6
O75955	Q13636
P54725	Q06830
P52272	Q9Y3A4
P08574	Q96CM3
P54105	Q9UMY4
Q15005	Q9H9J2
P07602	P61956
Q9BTF0	Q9Y5X2
P55809	Q53S58
P04818	P61086
O14578	Q96RU2
P21281	Q9BQE3
Q7L014	Q8N5G0
O75152	P23284
Q8WXB4	Q9NYV4
Q9UBQ0	Q9UHR6
O95218	Q9H582
Q04637	Q12874
P30048	Q06323
Q16576	Q9BUR4
P11021	P14866
P08238	P62314
Q00266	Q03426
P21281	Q13404
O14980	P48643
P62491	Q12906
P09651	P98179
Q5VSL9	Q92945
O96008	P30044
O94905	P13639
P13639	Q9BWF3
A0AVT1	Q86UV5
P15374	P46937
Q03405	Q9UHD9
Q00325	Q7Z7H8
Q13151	Q99729
P39210	Q8NFJ5
P00441	Q01082
P30044	P63146
O60245	P49006
O00567	Q99575
Q13488	Q92887
P11021	P12956
O75251	Q96EY1
P25705	P34931
O95168	P33897
Q9Y4P8	Q9Y5L4
Q27J81	Q92616
P21912	Q3ZCQ8
Q15291	Q9H0B6
O95831	P36551
P12235	P15880
P60981	Q9UGP4
O75128	Q9UKY7
O60271	Q9UMX5
Q15717	Q9NX40
Q8WVJ2	Q9NP77
Q53S58	Q8TAE8
P00491	Q53S58
Q53S58	Q96FQ6
Q15785	Q96EV2
O94826	Q96NB2
Q6ZMI0	Q8NBS9
O96008	Q5T6F2
Q12905	Q5JSH3
P21281	Q96K21
P49821	Q9UBS4
P51649	Q01085
P04792	Q14671
P06703	P35658
P47985	Q9H9B4
P11233	Q92520
P11279	Q9NVU7
P22695	Q13243
Q12906	Q9H4L4
P33981	Q00341
Q3ZCQ8	Q9P0U1
O95292	P25325
O60493	P62937
P51808	Q9Y6G9
Q12857	Q9UKV3
Q15019	Q9H2P0
P52272	Q15019
Q15637	Q96KR1
P50454	Q15654
P21281	Q00341
O95155	P15374
P61960	Q04323
O43678	Q8WXI9
Q13228	Q3ZAQ7
P06576	P15880
P63220	P82921
O43143	Q14739
P49756	Q16181
O75964	P49748
O75955	Q92520
P53621	Q15436
O00159	O00422
O43808	Q00839
P53992	Q99460
P11142	Q02543
Q15021	Q8TCS8
P17661	P55084
P49023	P60981
P49756	Q96EB6
O95139	Q70UQ0
P17661	Q99832
O60701	P29401
P08670	Q9P258
O00567	Q9H9Y6
A4D2B8	Q15084
P47914	Q9BVI4
O43583	Q86UT6
P14927	P19105
P46087	P62888
Q04941	Q8TCC3
O75955	Q8N5N7
P62269	Q9BYD3
Q04941	Q9BQC6
O43175	Q9H2P0
Q15233	Q8IX01
O95905	P17980
Q9BSE5	Q9Y247
O60232	Q9BYN0
O60232	P63165
P13797	Q9NWX6
Q6PI78	Q9Y5M8
Q05086	Q13242
