P43364	Q2M243
Q8N0U7	Q96ER3
Q12857	Q9H8W4
A5D8V6	Q96AE4
Q8NDC0	Q96AE4
Q96AE4	Q9NZ81
P10073	Q0ZGT2
P15622	Q0ZGT2
Q9UDY4	Q9Y230
O43679	Q68G74
Q68G74	Q8N9N5
Q68G74	Q6QHK4
Q68G74	Q8TD31
Q68G74	Q99941
A0A0B4J2F2	Q68G74
P57059	Q68G74
Q8IYX1	Q9UNH6
Q0VD86	Q5T8I9
Q5T6C5	Q9UKS6
Q5T6C5	Q70EL1
Q5T6C5	Q8TF50
Q5T6C5	Q8N9N5
Q5T6C5	Q8IYB1
A1L4K1	Q5T6C5
A8MQ03	Q5T6C5
A6NEM1	Q5T6C5
P0C264	Q5T6C5
Q5T6C5	Q96MP8
P02549	Q5BKZ1
P57678	Q5BKZ1
Q2NL98	Q5BKZ1
O15131	Q5BKZ1
Q8N126	Q9BY50
P57086	Q96IT1
P55854	Q96IT1
Q5SNT2	Q92806
Q07627	Q969P0
P0C7H8	Q969P0
Q969P0	Q9BYR9
Q8IUG1	Q969P0
Q6L8G8	Q969P0
P01574	P40855
P40855	Q8N9F0
P40855	Q9UIG4
Q8N6F1	Q96DU3
Q8N5M9	Q96DU3
Q6PL45	Q96DU3
Q6ZT21	Q96DU3
Q04864	Q96LT6
P24592	Q96LT6
Q969V4	Q96LT6
Q8WWY6	Q96LT6
Q96T37	Q9H2G4
P0DP23	Q96L03
P53672	Q8TDS5
P31943	Q8TDS5
Q8TDS5	Q9BTL3
Q8N7B9	Q8TDS5
O75360	Q8TDS5
Q8TDS5	Q9BVI4
Q3LI72	Q8TDS5
Q8TDS5	Q8WXK3
Q7Z3C6	Q8TDS5
P86481	Q8TDS5
P86496	Q8TDS5
P60328	Q8TDS5
Q6L8G9	Q8TDS5
A8MV65	Q8TDS5
Q8TDS5	Q9H0X6
Q3LI67	Q8TDS5
P86480	Q8TDS5
P86479	Q8TDS5
P86478	Q8TDS5
P0C870	Q8TDS5
Q8TDS5	Q9BYR5
P35680	Q8TDS5
Q04864	Q9BWG6
O94888	Q04864
Q04864	Q9BV19
O43609	Q04864
O43711	Q04864
Q04864	Q6BCY4
Q04864	Q8IYX1
Q04864	Q6AZZ1
Q04864	Q8NC69
O95671	Q04864
P52597	Q04864
Q04864	Q86YD7
P47897	Q04864
Q04864	Q8WYK0
P11474	Q04864
Q04864	Q96AH0
Q04864	Q8IXL7
Q04864	Q9NUJ3
Q04864	Q9UBL6
P54725	Q04864
Q04864	Q9NWQ9
Q04864	Q8N3F0
Q04864	Q8IYB1
Q04864	Q9UI47
O75771	Q04864
Q04864	Q99447
Q04864	Q96NU1
Q04864	Q86UR1
Q04864	Q5TBC7
P62508	Q04864
Q04864	Q9BYP7
Q04864	Q8WW01
P28062	Q04864
Q04864	Q9UIG4
Q04864	Q8IYR0
Q04864	Q0P5N6
Q04864	Q8IZ13
P29972	Q04864
Q04864	Q96MP8
Q04864	Q96JP2
P08779	Q3MIT2
P02533	Q3MIT2
Q92968	Q96LK0
P55040	Q9NRI5
Q86XR8	Q9NRI5
Q6AZZ1	Q9NRI5
Q13515	Q9NRI5
P47897	Q9NRI5
Q8NCU1	Q9NRI5
Q2TAC2	Q9NRI5
Q8N8B7	Q9NRI5
O75145	Q9NRI5
Q9NRI5	Q9NWN3
Q96CN9	Q9NRI5
Q96SZ5	Q9NRI5
Q9H7E9	Q9NRI5
Q9NRI5	Q9UI47
Q9BUI4	Q9NRI5
Q9H257	Q9NRI5
Q15973	Q9NRI5
Q9NRI5	Q9Y4C2
Q8IY18	Q9NRI5
O95872	Q9NRI5
Q8TD31	Q9NRI5
Q8IYR0	Q9NRI5
Q8IYE1	Q9NRI5
Q8NHY3	Q9NRI5
Q8WUE5	Q9Y316
Q9NT22	Q9Y316
Q8HWS3	Q9Y316
Q8N720	Q9Y316
O15209	Q9Y316
Q8NDH6	Q9C005
Q96MA6	Q9C005
P17980	Q9C005
Q96K21	Q9C005
A6NKD2	Q9C005
Q5T5X7	Q9C005
Q9C005	Q9Y605
Q7Z4T9	Q9C005
Q86UN6	Q9C005
P0CV98	Q9C005
P0CW01	Q9C005
P02655	Q8WWC4
P55056	Q8WWC4
Q8WWC4	Q99525
Q15560	Q9H3M0
O15296	Q9H3M0
A8MQ03	Q92765
Q86XR8	Q96M89
Q96M89	Q9H3K6
Q7Z3Y8	Q96M89
Q8N8B7	Q96M89
P62760	Q7Z699
O43610	P62760
P62760	Q9BXU2
P62760	Q86TD4
P62760	Q99732
P62760	Q7Z698
P62760	Q15517
Q96AQ1	Q96LK0
Q8N720	Q96AQ1
P40426	Q8NI60
Q8N138	Q8NI60
Q8NI60	Q9NS64
Q8IZR5	Q8NI60
Q7Z6W1	Q8NI60
Q6IN84	Q8NI60
Q6S9Z5	Q8WW24
Q3KP44	Q8WW24
Q8TDC0	Q8WW24
Q8NCR6	Q8WW24
Q8NI38	Q8WW24
Q8WW24	Q969V4
P31943	Q8WW24
Q8WW24	Q9BTL3
O43790	Q8WW24
O95678	Q8WW24
Q8WW24	Q9P0T4
Q8TAU3	Q8WW24
O75360	Q8WW24
Q7Z4H9	Q8WW24
Q8WW24	Q9H707
Q8WW24	Q8WXH5
Q8NC06	Q8WW24
Q8IUC1	Q8WW24
Q5JST6	Q8WW24
Q14524	Q8WW24
Q8IUB9	Q8WW24
Q8TF47	Q8WW24
Q8HWS3	Q8WW24
