P43699	Q96PL1
O15084	Q16650
Q13330	Q9H0E3
Q96SN8	Q9NRI5
P49755	Q99436
P31948	Q9BPX5
Q9NRX2	Q9P015
Q6RI45	Q9P2F6
Q92619	Q9P2F6
Q15393	Q9BU64
P19544	Q9P212
P00492	P31939
Q8NFD2	Q8TF72
O95487	Q16799
P26842	Q96PJ5
Q969I6	Q96NT1
P48060	Q9BWV2
P48060	Q8TDM5
Q8IZT9	Q8IZU3
Q99081	Q9Y265
Q99081	Q9Y230
P22695	Q9Y606
Q92620	Q9H6E5
Q9BVA0	Q9H900
P46095	Q14703
Q8IWX7	Q9Y4X5
P04637	Q4G1C9
Q7RTS9	Q96KQ7
P17858	Q16875
P23528	Q99961
A0JLT2	Q96KG9
P07288	Q96IZ0
P22694	Q13370
P47813	P62241
Q9NQ69	Q9Y462
Q9P2M7	Q9UPT5
Q16774	Q9BUH8
O75964	P10809
P62314	Q8TBC4
Q7Z3C6	Q9NT62
O75469	P19224
P52824	Q9NQ66
P55735	Q03188
O00221	Q9H0Y0
P54725	P63172
Q9BWG6	Q9Y383
P61647	Q9NRR6
O43447	P78346
P23396	Q92748
O95478	P23396
Q9H900	Q9NQS7
P98082	Q14183
P43629	Q8NC01
P52895	P78385
O43451	P01270
P78345	Q9H0U9
P47813	Q8N4S9
Q5T0T0	Q96N16
O43521	P13942
O15182	Q5QJ74
P57678	Q00839
O14646	P61964
O95622	Q14123
P29966	P49913
Q96DB5	Q9NWS8
P11279	Q8NEZ2
Q96HA8	Q9H4P4
P55735	Q2NKX8
P0DP23	Q92777
P0DP24	Q92777
P0DP25	Q92777
P11308	Q9H252
Q00597	Q13635
Q96H20	Q9UJX6
P21359	Q01196
P02489	Q9GZS0
P02489	Q86XW9
A0A0B4J2D5	Q8N3I7
P0DPI2	Q8N3I7
P01037	Q9H254
Q15019	Q7L7X3
Q7L7X3	Q9BW19
P24310	Q86YH6
O95750	P22680
P61326	Q12874
O14495	O75907
Q12873	Q5VVJ2
P01210	P18847
P07476	Q9Y693
P09871	P26022
Q15238	Q9H5V8
P52434	Q12874
P49802	Q99697
O75446	Q86TJ2
P17301	P24043
P08133	P62263
Q86XP3	Q8TA86
P28328	P61964
Q05707	Q14296
P63272	Q92966
O95471	P57739
Q5T0T0	Q8IU60
O15116	Q5T0T0
P54725	Q15555
Q15555	Q7Z6G8
Q969H6	Q9UHB9
P00156	P49821
P11177	Q13200
O60508	P52597
O95416	P33778
P62875	Q15365
P24928	Q15365
Q12873	Q68CP9
O14490	P31321
P06858	P19835
Q8IUF8	Q9H0U9
O76021	P05387
P09017	Q13884
P23528	P36404
P78508	Q14118
P00156	Q86Y39
Q8N2Z9	Q9UJX6
P49760	Q9NR00
Q8TDM5	Q9BXW4
O43772	Q9NRL2
P19099	P26439
P15382	Q14524
P24928	Q9H9B1
Q15848	Q86WK9
Q9UPT5	Q9Y227
Q12874	Q13838
Q16696	Q86W10
O43829	Q93009
Q9NPB1	Q9Y227
O43561	Q9BXL7
P37198	Q7Z3C6
P13569	Q9NYQ7
P27816	Q9Y6D9
O60729	Q9Y6D9
O14559	Q12802
O14561	O75348
P30260	Q14807
P05141	Q86VP1
O60869	P52435
O00444	P31323
P63010	Q9UBQ0
