O75716	P02686
P02686	Q13043
P02686	Q9P289
P02686	Q9NQC3
P02686	P49759
P02686	Q8IW41
P02686	Q9BUB5
P02686	Q9NSY1
P02686	Q86UE8
P02686	Q9NYV4
P02686	Q8TD19
P02686	Q96SB4
P02686	Q8IYU8
P02686	Q8TD08
P08138	P20916
P20916	P60201
P20916	Q9BZR6
Q15751	Q9Y3C5
O43157	Q03164
P42568	P42568
P10301	Q96C95
P07737	Q96C95
P62834	Q96C95
P10114	Q96C95
P25791	Q96C95
P01112	Q96C95
Q93008	Q96C95
P62070	Q96C95
P47736	Q96C95
Q92692	Q96C95
P29323	Q96C95
Q07157	Q96C95
Q12967	Q96C95
P54753	Q96C95
P78504	Q96C95
Q15375	Q96C95
O15197	Q96C95
Q96C95	Q9BX66
P61981	Q96C95
O14807	Q96C95
Q15223	Q96C95
Q96C95	Q9NQS3
Q96C95	Q9HDB5
Q96C95	Q9Y4C0
Q92963	Q96C95
Q96C95	Q9Y2D8
Q96C95	Q9P2S2
O94875	Q96C95
Q96C95	Q99578
Q96C95	Q96NY8
P12931	P20138
P15172	P17252
P15172	Q02078
P15172	Q9Y618
P15172	Q15672
O96004	P15172
P15172	P84022
O75838	P15172
P15172	Q7RTS1
P15172	Q9NQ33
P05067	P35030
Q02156	Q9UKX2
P26447	Q9UKX2
P35749	Q8IW41
P12883	P28347
P35579	Q8WZ42
O95208	Q9Y3C5
P35579	Q14896
P35579	P49411
P35579	P52179
P35579	P54296
P35579	Q86VB7
P35579	Q05586
P61968	Q12866
P26447	P35580
P07196	Q9Y4I1
P41219	Q9Y4I1
Q9C040	Q9Y4I1
P08590	P42574
Q13203	Q14324
P29474	P30419
P12931	P30419
P27216	P30419
P02462	P02743
P26715	Q06124
P02743	P02745
P26715	P29350
P10747	P29459
P30414	Q15287
O43707	P20929
P08138	P34130
P08138	Q16288
P08138	P62995
P05771	P17677
P17677	Q13813
P18827	P21246
O75056	P21246
O14594	P21246
P21741	P21741
P18827	P21741
O75056	P21741
P21741	P22735
P21741	P98164
P02743	P25391
P21741	P42224
P21741	P31431
P00797	P29120
P29120	Q9UHG2
P05408	P16519
O15399	P21359
P21359	Q99615
P21359	Q05586
P01266	P02743
P12036	P61764
P07197	P61764
P07196	Q05586
P02743	P31994
P25103	Q9UHF0
P29371	Q86UU9
O14773	P08949
P25800	Q02575
P50461	Q02575
P61968	Q02575
P01303	P20382
P01303	Q16820
P01303	Q15761
P01303	Q9UBU3
O15130	P01303
P01303	Q9Y5X5
O14924	P49146
P20160	P33981
P17275	Q14494
P17535	Q14494
P02751	P12757
P08047	P29474
P29474	Q15172
P24530	P29474
O43707	P35228
O75400	P02751
P06493	Q06481
P17252	P29475
P05089	P29475
P29475	P56539
P29475	P63167
P17612	P29475
P29475	Q16849
P29475	Q13363
P04156	Q06481
P29475	Q14012
P29475	Q9UQM7
P29475	Q16566
P29475	Q9P1A6
P29475	Q9Y314
P09769	P37840
P07101	P37840
P37840	P43405
P37840	Q14289
P31946	P37840
P37840	Q71U36
P37840	Q9UQF2
P37840	P62258
P37840	Q9BXS0
P09429	P17676
P09429	P26651
P09429	P21675
P09429	P19532
P09429	P22670
P09429	P42574
P09429	P78527
P09429	Q04725
P09429	Q12948
P09429	Q92858
P09429	P55318
O43593	P09429
P09429	Q15583
P09429	Q99583
P09429	P49711
P09429	P35713
P09429	Q8N196
P09429	Q06190
P09429	P50548
P09429	Q96NK8
P09429	Q9H2L5
P14859	P26583
P04637	P26583
P26583	P78527
P26583	Q03052
O15198	P02751
P05114	P05204
P05204	P51812
P05204	P17612
P05114	P17612
O75676	P05114
O75582	P05114
P19525	P25963
P06748	Q9UM73
P84022	Q9UIS9
Q9H422	Q9UIS9
O15105	Q9UIS9
Q99717	Q9UIS9
P25963	P68363
O14788	P25963
O15198	Q9UIS9
Q15797	Q9UIS9
O60216	Q14980
P19838	Q6P4R8
P01100	P19838
P17947	P19838
P03950	P32971
P14598	P19838
O75592	Q05209
P10275	P19838
P01019	P01019
P35556	Q15796
Q10567	Q15796
P17612	P19838
P01019	P08311
O14788	P19838
Q15796	Q8WVM7
P19838	P61086
P01019	P23946
P01019	P04201
Q15796	Q96C95
P19838	Q9UN86
P01019	P01042
Q15796	Q99732
Q15796	Q7Z6Z7
P01019	Q16819
P01019	P48147
O95405	Q1RMC9
P01019	P13727
P01019	Q9ULA0
P12757	Q9H422
P12757	Q86WT6
P00533	P30556
P12757	Q9HB07
P29474	P30556
O75400	Q9BYN7
P30556	P52888
P30556	Q6Y2X3
P10275	Q04206
P84022	Q2TA85
Q04206	Q04912
P12821	P21964
O75400	P98160
P98160	Q6VMQ6
Q04206	Q99576
P12821	P50052
P30154	Q04206
O75400	P24347
P22748	P48751
Q14315	Q9H422
P49796	Q9H422
Q04206	Q92831
P48751	Q02156
Q8TAD8	Q9H422
P00918	P48751
O43815	Q6VMQ6
P32004	Q01484
O75925	Q04206
Q04206	Q5VVH5
P01023	Q6VMQ6
Q10567	Q6VMQ6
Q01484	Q92823
P09651	Q9UMX1
P63261	Q9UBC5
P01127	P07910
P12429	Q06141
P46087	Q12913
P09525	P55259
P19338	Q9UBK2
O15297	P19338
P50570	Q6VMQ6
P06748	P53350
P00491	Q00059
P00491	P61601
P00491	Q9H5Q4
P10909	P41159
P41159	P54646
P41159	Q9UBU3
P06241	P15391
P14859	Q99728
Q2TAL8	Q6VMQ6
P47890	Q9NY56
P47874	Q9BXY8
Q96K83	Q9UH73
P23515	Q86UN2
P25705	Q12904
O15304	P42684
P01100	P14921
P15391	P22681
P14921	Q02548
P14921	P27361
P14921	P51692
P14921	Q9UQM7
P14921	Q13554
P15391	P28482
O60825	P31749
P00519	P15391
P21453	P31749
P31749	Q13370
P31749	P55211
O14788	P31749
O14757	P31749
A0A024R6G0	P31749
P13727	P31749
P31749	P46937
P31749	Q8N5S9
P31749	Q8NBZ7
P31749	Q09666
P31751	P98177
P31751	Q96B36
P15036	P15036
P15907	P20273
P15036	P51692
P00738	P20273
P15056	P17612
O00141	P15056
P04049	P17252
P04049	P10114
P04049	Q15404
O75914	P04049
P04049	P17612
P04049	Q13131
P04049	Q09013
P04049	Q8IYB4
P63261	Q9Y6U3
P07949	Q7L591
P46108	Q14289
P46108	P46109
P02452	P16070
P46108	Q96D71
P08123	P16070
P46108	Q8TEW6
P98174	Q14247
Q07157	Q14247
Q05193	Q14247
P03956	P16070
Q14247	Q9UQB3
Q14247	Q8WZ74
P14780	P16070
P07333	Q13769
Q00987	Q8NG27
P16070	P41240
P63261	Q96KX2
Q00987	Q07864
P11171	P16070
P01111	P98171
P01111	Q9UQ13
P01111	Q9H0H5
P01111	Q8WWW0
P01111	Q7LDG7
P0CE71	P0CE71
P01100	P19419
P01100	P28324
P01100	P29323
P01100	P17612
P01100	Q15418
P01100	Q96GM5
O43318	P01100
P01100	Q12968
P01100	P43694
P01100	Q16520
P04628	P34925
O00144	P04628
P04628	Q9H237
P04628	Q96HF1
P04198	Q05195
P04198	Q8IY57
Q8NCP5	Q9HAU4
P12524	Q05195
P08581	Q99933
P08581	Q8N307
P04626	Q07889
P04626	Q03135
P25054	Q12834
F7VJQ1	P05067
Q13315	Q9NSU2
P43403	P46109
P04626	P11142
P45983	P51617
P10153	P13489
P15311	P43405
O95477	P28845
O95477	Q9NTI2
P00519	P31749
P00519	Q01094
P00519	Q14289
P00519	P52333
P00519	P07948
P00519	Q13233
P00519	Q16584
P00519	P48736
P00519	Q16513
P00519	P45983
P00519	P52564
P00519	Q06124
P00519	P10586
P00519	P45985
P00519	P14679
P00519	P50552
O43639	P00519
P00519	P37198
P00519	Q9UNZ2
P16219	P26440
P42768	P68133
P18075	P36896
P36896	Q9H0E9
O14672	P01033
P55265	P78563
P78563	Q02750
O60896	P35318
P09874	P27695
P21453	P25098
P25098	P34947
P25098	P28482
O00212	P25098
P01584	Q15109
P35869	P46527
P17676	P35869
P04150	P35869
P35869	Q00403
P08651	P35869
P29590	P35869
P35869	Q14155
O95831	P35869
P31749	P62330
P24385	P31749
P11274	P31749
P31749	P60953
P31749	Q14185
P31749	Q92608
P01133	P31749
P31749	Q14247
P31150	P31749
P31749	P62993
P31749	P53667
P31749	P53671
P01374	P31749
P31749	Q13233
P31749	Q9Y6R4
P31749	Q02779
P26038	P31749
P31749	Q13177
P31749	P48736
P31749	Q03405
P28482	P31749
P31749	Q02750
P15151	P31749
P31749	P49023
P31749	Q13464
P29353	P31749
P31749	Q07889
P31749	Q13009
P12270	P31749
P15498	P31749
P31749	P42768
P31749	P52179
P31749	Q14155
O96013	P31749
P31749	Q99828
P31749	P50579
O14578	P31749
P31749	Q00587
P31749	Q9BV73
P31749	Q12802
P31749	Q96KQ4
O00212	P31749
P31751	Q9Y243
P00352	P09455
P12235	Q12983
P10809	P12235
P04083	P30626
O00213	P20339
P14635	P25054
P01730	P25054
P25054	Q99741
P12830	P25054
P25054	P42771
P25054	Q8N726
P25054	P43246
P16333	P25054
P25054	Q96G91
P25054	Q08174
P25054	P53350
P25054	P53779
P25054	Q01201
P25054	P40763
P01375	P25054
P15498	P25054
P25054	Q01638
O95997	P25054
P25054	Q9UM13
O60232	P25054
O00444	P25054
P25054	P83876
O96017	P25054
P25054	Q99570
P25054	Q9UM11
O15527	P27695
O95997	P27695
O15392	P04637
O15392	O43464
P02649	P02654
P02649	P55056
P05090	P28845
P02649	P11597
P02649	P13611
P02649	P06858
O75197	P02649
P02649	P42898
P05067	Q09472
P05067	P49023
P05067	P20339
P05067	Q9Y490
P04275	P05067
P25445	P50453
P17405	P25445
P04637	P25445
P25445	P50591
P01730	P48023
P01732	P48023
P22736	P48023
P48023	Q02750
P48023	Q04206
P01375	P48023
P06681	P29972
P10398	P12931
P42771	P62330
P62330	Q8N726
P49023	P62330
P62330	P63000
P62330	Q15057
P61586	P62745
P61586	P61587
P61586	P84095
P60953	P61586
P61586	Q14185
P61586	Q14289
P31150	P61586
O14939	P61586
P08567	P61586
P28482	P61586
P61586	P63000
P35241	P61586
P61586	Q9NSB8
O00212	P61586
P31150	P62745
O15530	P62745
P17081	P62745
P31150	P61587
P61587	Q16512
P60953	P84095
P42768	P84095
P53365	P84095
Q07960	Q15642
O00212	Q07960
O00212	Q13017
P27540	Q00403
P27540	Q9BYW2
P10523	P36575
P26367	P50553
P50553	Q15465
P50553	P56693
P01100	P18846
P18846	P84022
P18846	Q13485
P08047	P18846
P18846	P18850
P16220	P18847
P18848	Q9UQL6
P51946	Q13315
P06493	Q13315
P24941	Q13315
P42345	Q13315
P29590	Q13315
P16615	P27797
P15692	P20160
Q96QZ7	Q99728
Q07812	Q13323
Q07812	Q12983
P06493	Q07812
Q01094	Q07812
P52333	Q07812
P48736	Q07812
P45880	Q07812
O00198	Q07812
O95831	Q07812
P01106	P54687
P24385	P30279
P24385	P30281
P24385	P24864
P24385	Q01094
P24385	Q16254
P24385	Q06330
P24385	Q92833
P24385	P98177
P24385	Q13415
P24385	P48736
P24385	P53779
P24385	Q13309
P24385	Q12824
P24385	Q14978
P24385	Q9UKV0
O60232	P24385
Q07817	Q92843
Q06187	Q07817
P42574	Q07817
Q07817	Q14289
P48736	Q07817
P78560	Q07817
Q07817	Q13158
P20749	P52657
O75475	P20749
P41182	Q96GC6
P11274	Q06187
P11274	P15391
P11274	P11912
P11274	P41212
P11274	Q14289
P02751	P11274
P06241	P11274
P11274	P98160
P11274	P23458
P07948	P11274
P10636	P11274
P11274	Q14511
P11274	P45983
P11274	P51692
P11274	P43405
P11274	P29597
O43561	P11274
P11274	Q8WV28
