O43541	Q8N2S1
Q9UNN5	Q9Y639
P78423	Q9H2X0
P05113	Q9HC29
Q13164	Q14680
O94806	Q16513
P09619	Q6P5Z2
P53779	Q9NYY3
Q15759	Q9P286
O60307	Q9UK32
Q9NRJ7	Q9Y5E5
P54252	P56715
P35590	P42684
P26718	P43146
O60749	P46934
P53667	P54756
P22309	Q05586
O60504	Q13163
O15344	Q13233
O14979	Q16560
O60861	Q6ZV73
O00308	Q8IX03
Q14511	Q96HU1
Q8N2K1	Q9H8T0
P00751	Q9HB21
Q15434	Q9NW64
P29323	Q9P2A4
Q06546	Q9UJU2
O95835	P09327
P06899	Q07890
Q07890	Q96A08
Q07890	Q99879
P80192	Q9Y6Q6
Q9NYQ6	Q9UIB8
P51817	Q13555
P53355	Q6PHR2
Q13557	Q8N5S9
Q13554	Q92519
P51817	Q96RU7
Q16816	Q96RU7
Q13554	Q9Y243
P10145	P19320
P09326	P25025
P07996	P37173
P18146	P41182
O00305	Q05397
P04626	Q08722
P00736	Q14213
Q06323	Q15389
Q14103	Q76MJ5
P16581	Q8TDF6
O14908	Q8WY64
P16070	Q96T37
P61106	Q99698
O14640	Q9HCK4
P07766	Q9NZP8
Q9NYK1	Q9UDY8
P22301	Q9Y4D7
P02746	Q9Y6Q6
O75791	Q96PC5
Q6ZMT1	Q9H3Y6
O00308	O15530
O15259	P08047
P01732	P28068
P01024	P30559
O43463	Q3L8U1
Q14839	Q99525
P53680	Q9ULW5
Q6ZV73	Q9Y252
Q8IW93	Q9Y2I1
P16471	Q9Y4D7
O15020	O75093
P12643	Q8TD84
O15151	Q99801
Q12959	Q5T5U3
O95759	Q6T310
P10301	Q6ZW31
O15062	Q8IWY8
Q6ZW31	Q8IZ41
P10301	Q8N392
Q6ZW31	Q92963
Q8IWE5	Q9HB21
Q6ZW31	Q9NYR9
Q7L0Q8	Q9H7P9
P28222	P34998
P28335	P46089
O00590	P46094
P23945	P46094
P15813	Q9BZM5
P23945	Q9H1Y3
Q13153	Q13526
P10911	Q8WUD1
P21127	Q05397
P50479	Q96RT1
O14543	Q8N3Y1
P46527	Q92519
Q92793	Q9HD42
O14793	P11362
Q01974	Q13485
O14793	Q9UM47
O95390	Q9UM47
P25021	P47900
P10912	Q12866
O95661	Q7Z6J4
P61106	Q8N4G2
P62745	Q8TDC3
Q7Z6J4	Q92963
P20701	Q9UN66
P20701	Q9UN70
Q14344	Q5MNZ6
Q14247	Q8WUN7
Q8WXH5	Q9H0H3
P61626	Q8NHL6
O15075	P54727
P23416	P98161
P19878	Q13501
P07766	Q15811
P02778	Q9BZP6
Q8WYB5	Q9Y294
P28335	Q9Y4G6
P31785	P43146
P43146	Q92673
Q9NT62	Q9Y221
O60260	O75962
O43781	Q13163
O60292	Q6P9H4
Q13163	Q7Z2Y5
Q8TEU7	Q8TEW0
P62826	Q8WWN8
Q86WV1	Q96M96
O96013	Q99570
Q99570	Q9H4B4
Q5VST9	Q9NYY3
P49760	Q9P289
Q13164	Q9P289
Q14004	Q9P289
Q9HAZ1	Q9P289
Q99570	Q9UQB9
Q86Y82	Q9Y3E7
Q9NQU5	Q9Y6R4
P21918	Q9H1Y3
Q9HCK4	Q9Y219
A6NMZ7	Q06141
O60229	Q8IU85
O14931	O75871
O75871	Q15238
O75400	Q9H4B6
P08922	P15529
P24043	P98160
O75360	Q02962
O60229	Q13671
P02751	Q6IQ23
P78324	Q92823
A2RU54	Q92826
P27694	Q96PU5
Q7Z699	Q99704
Q02548	Q99801
P04440	Q9NQ25
P16591	Q9UQF2
P17947	Q9Y603
P98161	Q14896
Q68DU8	Q8TAE7
Q68DU8	Q8WZ19
Q13555	Q9H2B2
P15692	P54762
Q12756	Q13402
O60259	P27986
P29317	Q99558
Q15349	Q9BXU1
O00506	O15530
O00506	P34947
O15075	P34947
O43781	P53667
O14965	P57059
O43781	Q08881
O96017	Q09013
O14965	Q13131
P51955	Q13163
P49759	Q13188
P49761	Q13188
O95835	Q13237
O14965	Q13523
P50750	Q13554
O94806	Q13557
Q00532	Q13557
P15735	Q13976
O15530	Q16659
P32298	Q16832
P53355	Q16832
Q15835	Q16832
Q16512	Q16832
O14965	Q5VT25
O14965	Q6DT37
O43781	Q6DT37
O14965	Q6P0Q8
O43781	Q6P5Z2
Q13188	Q6P5Z2
O14733	Q6PHR2
P27448	Q6PHR2
P49761	Q86SG6
Q15835	Q86SG6
O14965	Q86UX6
O43781	Q86Z02
Q7Z2Y5	Q86Z02
P05129	Q8IY84
P45985	Q8IY84
Q6SA08	Q8IY84
Q86Z02	Q8IY84
Q86SG6	Q8N568
P34947	Q8N5S9
P51955	Q8NE63
Q13164	Q8NG66
P34947	Q8TDC3
Q6PHR2	Q8TDC3
Q7Z2Y5	Q8WTQ7
Q86SG6	Q8WTQ7
Q8IY84	Q8WTQ7
P11801	Q92630
Q15208	Q92630
P50148	Q96D21
O75962	Q96GD4
O95747	Q96GD4
Q8WTQ7	Q96GD4
Q6PHR2	Q96PN8
Q15208	Q96Q40
Q96GD4	Q96QS6
P11801	Q96RU7
P51957	Q96RU7
Q86SG6	Q96RU7
Q13237	Q9BUB5
Q7Z2Y5	Q9BWU1
Q15370	Q9BYG5
Q13627	Q9C098
Q15208	Q9C098
Q7Z2Y5	Q9H422
Q86SG6	Q9H422
P29992	Q9H4E5
Q8IY84	Q9NQU5
P42685	Q9UJU6
P51451	Q9UJU6
O43781	Q9UKE5
Q00532	Q9UL54
Q13627	Q9UL54
Q96GD4	Q9Y243
Q96GD4	Q9Y463
Q9P286	Q9Y463
P31751	Q9Y6E0
P32298	Q9Y6E0
Q8IY84	Q9Y6E0
P11712	P15538
Q13164	Q9NVX2
Q04759	Q9UBS8
Q13574	Q8IV63
P33981	Q99728
Q15262	Q9UQP3
P08908	P28566
P32239	P34969
O14718	P35462
P28566	P41143
P30939	P41145
P30556	P46094
P32238	P49682
P21917	P50052
P32745	P50052
P41146	P51582
P46094	P51582
P30556	P51686
O95948	P56178
P30556	P61073
O14939	Q01974
O95948	Q07687
P17948	Q07954
P55290	Q13009
P35372	Q13639
P17948	Q14005
P56377	Q15436
P35968	Q86UX7
P68036	Q92993
O14512	Q9HCK4
Q8IYL9	Q9NSD7
P51679	Q9Y271
Q9NSD7	Q9Y271
O75610	P37173
P14653	P37275
Q06187	Q92730
Q03014	Q9NRY4
P56178	Q13506
P01579	Q92823
O14678	P13569
O15530	P21802
P98179	Q96A72
Q16719	Q96EN8
P31942	P62314
P55107	Q14814
P07858	Q9NR56
P01023	P11215
O15530	P45984
Q06418	Q8NER5
Q16620	Q8NER5
Q01082	Q8TAG9
P51805	Q99650
A6NMX2	P31483
A6NI72	Q92835
Q15654	Q9GZY0
Q14183	Q8NER5
Q16849	Q9Y216
Q13202	Q9Y217
O94983	Q9Y5P4
P34820	P55103
P08069	P45985
P46379	P54727
Q14D04	Q86WV1
Q14247	Q8TEC5
Q14D04	Q8TED9
Q96HU1	Q96MF2
Q71RG4	Q96RF0
Q14D04	Q9BQI7
P55854	Q9H347
Q99895	Q9H4F8
Q8IYU4	Q9HCJ0
Q9BVT8	Q9HCJ0
Q6MZW2	Q9UI38
Q8N475	Q9UI38
Q8TEC5	Q9UKS6
P15498	Q9UNZ2
P20929	Q9UNZ2
Q9UNZ2	Q9Y5K6
O95390	P56159
P98174	Q14449
Q13480	Q92888
O14713	Q969H4
Q8TEW6	Q96P47
Q01082	Q9UBP9
O60469	P58304
P32297	Q14184
P08572	P54760
P37023	P98082
Q13415	Q15054
P24534	P52298
P46934	Q08211
P56915	Q15583
Q13637	Q70Z35
Q14774	Q8TE12
Q7Z5Q1	Q92879
O95453	Q96LT9
Q8ND76	Q99683
P04049	Q9BZE4
O60861	Q9HCU4
P23588	Q9NQ94
P20339	Q9NS23
P40617	Q9Y3L5
P02538	Q96PI1
O15392	Q07666
P00734	Q8N5U6
P31431	Q9UL54
P01601	P01903
O14931	P01700
P01700	P10966
P01602	P40259
P01700	P61769
P01593	P29965
P13747	Q6EIG7
O15381	P55072
P13591	Q96TA0
O43390	O43719
O94921	P27361
P11230	P48169
Q00535	Q9NR20
P08571	Q9NPY3
P01344	P49763
P01137	Q68DX3
P78310	Q68DX3
P01130	Q6W4X9
Q13424	Q8WZ42
Q13418	Q9NRM7
O75385	P43405
O60566	Q00535
O95999	P50552
P23560	Q16143
P00734	Q8IYP2
P21675	Q99728
Q9HDC5	Q9NZN1
Q9BZB8	Q9UI40
P02654	Q9UKS6
O43174	O75881
P05108	P11511
P25685	Q92575
P15538	Q9NYL5
Q14116	Q15375
Q9H0E7	Q9UBN7
P51805	Q9NY43
O60674	P31268
P08069	P50219
P35240	Q07157
P20936	Q63HQ2
P10145	Q86YW5
P67870	Q9HC62
Q96BD8	Q9NQY0
P41182	Q92870
O95716	Q92930
Q15286	Q92930
P20594	Q9H2P0
Q92908	Q9UBC0
P01034	Q96I82
P10586	Q92529
O75147	Q01860
P47224	Q92730
P53365	Q96BM9
Q8WXA9	Q9NW64
