O75144	Q5TFQ8
P02778	Q08211
O60543	Q7Z6Z7
Q8IYM9	Q969M7
P29558	Q9NX07
P52597	Q9Y6M1
P08579	P33240
P23246	P33240
P26368	P33240
P07288	P34130
P56177	Q9BPY8
P26368	Q9H0Z9
P52298	Q9H0Z9
P38159	Q9H361
Q14011	Q9UHX1
Q13595	Q9UKM9
P01574	Q01664
O95999	Q9HCY8
O75886	Q5JRA6
O14979	Q96BT7
O14979	Q9NW64
P35241	Q13796
O14682	Q9UH77
Q8NCP5	Q9Y2F9
P31271	P35222
P29033	P35453
P49763	Q13253
Q3SY84	Q9H3D4
P16066	P29317
P08887	P36897
O75882	Q8NER5
O60469	Q9NYJ7
P02753	P48546
P51532	Q01664
P43146	Q93045
Q2PPJ7	Q96Q42
O60858	Q9UKV5
P54727	Q9BQ83
O95297	P40199
O15394	Q15262
P15735	Q16644
Q15262	Q58EX2
Q58EX2	Q9UMF0
P68543	Q96B97
P43034	Q8NFP9
O15034	P12757
Q2TAK8	Q5VT06
O60667	Q8IUL8
Q5VT06	Q96PC5
P78423	Q9BVN2
P41743	Q13322
Q08289	Q15052
P39880	Q86UP3
O43711	Q9HBU1
P98171	Q9P107
O60259	Q9Y5E1
O76041	Q6UXY1
Q6XZF7	Q9NQ75
Q9NQ75	Q9UQB8
Q9H159	Q9Y5E5
Q14790	Q9HC29
Q99714	Q9UET6
P09629	Q8N693
P78414	Q99801
P11047	Q9UBV7
P31267	Q9UBX0
P48742	Q9UBX0
P10912	P49407
Q07157	Q9ULL8
Q8N6P7	Q8TC99
P17948	Q9P2A4
O43318	Q08881
Q14028	Q9UL51
P04080	P29279
P30291	P53667
O15530	Q96NX5
P37023	Q9BZL6
Q9UEW8	Q9Y2H9
P18085	Q92928
P84085	Q92928
Q8N4G2	Q92928
Q58EX7	Q9NP72
Q58EX7	Q9NP90
P01588	P78509
P01111	Q9NZN4
P15153	Q9NZN4
Q9H2X0	Q9UPN3
O15178	Q9NYQ6
P62837	Q9BVT8
P04216	P54284
Q96EP0	Q96J02
Q15828	Q9H4G1
P00746	P08861
Q8N967	Q8TCA0
Q86VZ2	Q9HB21
P04908	P09429
P09429	P0C0S8
P09429	P16104
P09429	Q9BTM1
Q16663	Q96PU5
O43186	P06401
P09629	P10276
O43186	Q13285
Q4LE39	Q8TBE0
P25311	Q8TD07
Q12802	Q99704
O94813	Q99767
Q9NPH3	Q9Y279
O14492	P62879
O60687	P35968
P02549	P42566
Q12791	Q16322
O14512	O43307
Q12788	Q14137
P09651	Q7RTN6
P43146	Q96HC4
Q9NP99	Q9NZP8
Q9NZP8	Q9UDY8
P04141	P20809
O14939	P46939
O75596	P05452
P20700	P54753
P29320	P54756
Q86WK6	Q8N3J6
P58181	Q9H255
Q99062	Q9H7M9
Q8NGS5	Q9Y5P0
P08138	P50219
Q6W3E5	Q9NPB8
P03372	P14652
P03372	P52945
O94813	Q8IU80
O95758	P26378
O15075	Q13163
O00212	Q14088
P40616	Q15382
P09012	Q15717
O95758	Q8N6W0
P52756	Q8N6W0
Q08170	Q8N6W0
O00212	Q96E17
Q16763	Q9H8T0
Q8WVV9	Q9UKA9
O15151	Q15465
O15230	P11362
P12319	P29460
P07550	P47901
P52945	Q14863
Q14213	Q9GZX6
Q9HAP6	Q9Y3E7
P46109	Q8TEJ3
Q12933	Q9Y4L5
P05109	Q5D862
P30679	Q9UKK3
Q04771	Q9BWV1
P07996	Q9Y639
O15520	P10721
O43353	Q14116
P02790	P05156
P01023	P29320
O60543	Q96P20
P35712	Q9NQB0
O14917	Q9Y6N8
Q8N4T0	Q96IY4
P52735	Q969Q5
A5PKW4	Q9H0N0
P09619	Q13207
P07996	Q99988
Q5TEC3	Q8TBJ5
Q13615	Q9Y2I7
Q16512	Q9NX57
P49796	Q8TF65
O75044	Q96HL8
Q86XN8	Q9UNW9
P04275	Q8IUN9
Q02413	Q9UN67
Q13191	Q5ZPR3
P17081	Q6ZNL6
O96013	P11233
P14543	Q495A1
O96013	Q9BPW5
P12319	P17301
P02751	P19438
P16070	P43146
O00468	P78310
P41231	Q15722
P06213	Q99801
P17927	Q9BXR6
P55290	Q9P1Y5
P17947	Q9Y279
O43187	P01308
P53667	Q16763
Q14155	Q9H492
Q9BY11	Q9H492
P19086	Q9NYI0
P38405	Q9NYI0
Q5TCZ1	Q9NZL6
P15498	Q13158
Q02790	Q5T1M5
Q02763	Q13153
Q14289	Q92882
O60259	Q96M96
P21802	P80192
P42336	Q9P0U3
P20936	P29274
P31271	Q05397
O95835	Q9UGU5
P49795	P62873
Q12929	Q96RT1
P53680	Q9Y4K3
P41182	Q9H2C0
Q08043	Q9NRC6
Q86TB3	Q9UDY8
O43566	O75604
O00187	P29965
P32856	Q13402
Q13277	Q13402
Q5TAX3	Q9NQC7
O75460	P19525
O75962	P57075
P00519	Q8WUF5
P98171	Q8WUF5
Q06187	Q8WUF5
Q16584	Q8WUF5
O75962	Q96B97
P57075	Q9Y5X1
O60235	P00751
P00740	P00751
P11801	P20794
O14965	P53778
P00751	P98073
Q00537	Q13237
P20794	Q15131
P22612	Q15131
P49760	Q15131
Q15131	Q16659
Q14520	Q5K4E3
Q13237	Q8IZL9
Q00536	Q8NE63
P34130	Q8TD84
Q15131	Q92772
P00750	Q9NZP8
P15735	Q9UQ88
Q8N568	Q9UQ88
O14558	Q16270
P11831	P29279
P02776	P49767
P16871	Q92956
O75882	Q99767
P78509	Q9Y4C0
P29374	P49711
P04637	Q8TER5
O94813	Q9Y219
O15169	Q04323
O15232	P12111
P48740	Q96EP0
O60383	Q96PD4
Q9HC29	Q9NP99
P17252	Q01974
P36896	Q13627
O14807	Q9Y2J2
P38405	Q14832
P20701	P58335
Q5PRF9	Q6ZW76
Q05397	Q6ZN44
O60678	Q8IY81
P51531	Q9H5I1
P63000	Q13017
P62330	Q6ZV73
Q7L0Q8	Q92538
P11234	Q9UIA0
Q02224	Q9UJT0
Q7Z4S6	Q9UJT1
O00478	P57087
Q07889	Q5JSL3
Q13546	Q68D86
Q13322	Q6ICB4
Q01844	Q7Z3E2
P15018	Q8TDY8
Q12929	Q8TED9
O95104	Q8WXA9
P49418	Q96S82
Q8TD55	Q99704
P68036	Q9H0R8
Q96S82	Q9HB21
P12318	Q9NZC2
Q96PX9	Q9UGK3
Q8N2R8	Q9UH65
Q8TED9	Q9ULL1
Q86YR7	Q9Y2H5
P09936	Q8TEY7
O15522	P31249
P45984	Q00536
P11215	Q02388
P12110	Q02388
P45984	Q15131
Q12866	Q16584
A6NMZ7	Q8NFW1
Q02388	Q96P44
P12644	P31270
P52735	Q92785
P31943	P98179
P11831	Q05655
P45974	Q9HCJ0
P60953	P63172
P23560	P26441
P48729	Q13164
Q9NYZ4	Q9UIB8
P04049	Q3MIN7
O60259	P13726
O75385	Q02779
Q9HAP6	Q9Y490
P05997	P13674
P02649	P21757
P52945	Q02153
O15068	Q6ZWE6
O43566	Q6ZWE6
Q6ZWE6	Q86YR7
P12318	Q8TDQ1
Q6ZWE6	Q8WXI2
Q96LR5	Q9H0R8
O95248	Q9H329
Q14155	Q9H329
Q5JSP0	Q9H4E7
Q9NP90	Q9UHD9
P15311	Q92949
P05231	P21675
P15018	P21675
P06126	Q15223
Q8WUN7	Q9UHD9
Q9UHD9	Q9Y2X8
Q05397	Q8NEV4
P54753	P54756
P30954	Q8NH16
P09936	Q15819
O75054	P56199
P16112	Q4ZHG4
P43631	Q6UX27
P12319	Q9UQ74
Q13705	Q15465
Q07666	Q86V81
Q9UBK7	Q9Y6D6
O15105	P05111
P42081	Q9Y4K3
O94813	Q14160
A4FU49	O15117
A4FU49	O94868
O00478	P01593
P50479	P55196
A6NI03	P61088
A4FU49	Q15052
P55196	Q15700
P55196	Q5EBL8
P22626	Q5JQF8
Q15427	Q5JQF8
A6NI03	Q5JXB2
P06312	Q5SQ64
A4FU49	Q5VV41
Q15700	Q68DX3
P51965	Q6EEV6
P01594	Q6ISS4
P06312	Q6UXG8
Q6EEV6	Q712K3
Q6ZWI9	Q712K3
P21709	Q7Z3H4
Q6P9H4	Q7Z3H4
P01593	Q7Z7D3
P01594	Q7Z7D3
P01593	Q86XK7
P01594	Q86XK7
Q86SG3	Q8IXT5
P01593	Q8N3J6
P22897	Q8NCF0
Q8IUN9	Q8NCF0
Q8NC01	Q8NCF0
P01593	Q8TDQ0
Q6UXN8	Q8WTT0
Q6ZWI9	Q969M7
Q6EEV6	Q969T4
P06312	Q96IQ7
O94868	Q96JP2
P52735	Q96JP2
P98171	Q96JP2
Q12965	Q96JP2
Q15052	Q96JP2
Q5VV41	Q96JP2
Q8N5V2	Q96JP2
Q6EEV6	Q96LR5
P01593	Q96N03
P01594	Q96N03
P06312	Q96N03
P55196	Q96NW7
A4FU49	Q96PC5
Q96JP2	Q96RF0
Q5K651	Q9BYB0
Q6P9H4	Q9BYB0
Q7Z3H4	Q9BYL1
Q9BYB0	Q9BYL1
Q96S82	Q9GZY0
P55196	Q9H987
Q96JP2	Q9NRC9
Q8IYX4	Q9NTZ6
Q8NG50	Q9NTZ6
Q7Z3H4	Q9NYL2
Q7Z3H4	Q9NZS9
A4FU49	Q9UJU6
Q6EEV6	Q9UKV5
Q96JP2	Q9UKW4
A4FU49	Q9UNA1
O00398	O14842
P03999	P34998
P03999	P41586
P31275	P49640
P49640	P50221
P78367	Q03052
P41586	Q13304
O43827	Q15389
Q15319	Q2M1V0
P14859	Q8NHV9
P78367	Q8NHV9
Q8N7G0	Q8NHV9
Q2M1V0	Q8TAU0
Q8NHV9	Q8TAU0
Q8WWN8	Q8WYQ9
P55075	Q92914
O14842	Q96P68
P46094	Q96P68
Q8N7G0	Q99453
Q8TDU6	Q99527
P04201	Q9H228
O00398	Q9HC97
Q8IZF2	Q9NYW2
Q2M1V0	Q9UMQ3
Q8NHV9	Q9UMQ3
Q99453	Q9UMQ3
O95665	P14416
P06340	P24394
O60755	P25929
P24530	P28223
P25929	P35346
P21728	P35367
P28223	P35367
P11229	Q15722
P25929	Q92847
P01601	P01772
P01624	P01772
P40617	P62330
O60431	Q7Z3T1
Q15612	Q8NGL0
Q15615	Q8WZ84
Q15615	Q9H207
Q15615	Q9H209
Q8WZ84	Q9H255
P47881	Q9H343
Q15617	Q9H343
Q8NH16	Q9H343
Q9H343	Q9H344
Q9H255	Q9P1Q5
Q9H343	Q9P1Q5
O60431	Q9Y5P0
P58173	Q9Y5P0
Q8NGL0	Q9Y5P0
O43567	P19474
Q08J23	Q9UBP6
Q13596	Q9UPV9
O43566	P0CG47
O43566	P0CG48
O43566	P62979
O43566	P62987
P0CG29	Q5HYI7
P0CG30	Q5HYI7
P0CG47	Q99933
P0CG48	Q99933
P62979	Q99933
P62987	Q99933
P0CG47	Q9BSE4
P0CG48	Q9BSE4
P62979	Q9BSE4
P62987	Q9BSE4
P62979	Q9UNN5
P62987	Q9UNN5
P36888	Q00535
Q9BQ52	Q9H777
Q8WWH5	Q9NX24
O00238	O43293
Q8IXI2	Q96KP1
P53367	P62070
P53367	Q86YS6
P61026	Q9UNH7
P19022	Q9UHD8
O75569	Q15796
Q14500	Q15842
P00736	P25942
Q13546	Q9Y6Q9
O43293	P06239
Q96Q42	Q9NZQ0
O00308	P00747
O75689	P38405
P52435	P98175
P45983	Q8IV63
P53779	Q8IV63
P36405	Q99819
P36406	Q99819
O15169	P35240
P35346	P43119
Q13813	Q9HBH0
P05997	P36897
P08709	Q6UDR6
P08567	P11488
O95835	P57059
O75385	Q9H0K1
O15075	Q9HCM4
O14921	Q9Y5W8
P28482	Q8N3E9
Q86V35	Q9BV35
O95405	P02545
P59535	Q9NYW6
Q8WU39	Q9Y275
P46939	Q9Y6C2
P29353	Q5VST9
P08912	Q8TDS5
Q8IW93	Q9P212
Q13310	Q8N9W6
Q5SZQ8	Q9UNP9
O14907	Q9Y4G8
P00749	P08572
P00750	P08572
P29279	P48061
P52435	Q15427
P63167	Q9BZC1
Q9H7P9	Q9NYR9
O75449	Q9Y265
P25208	Q16695
P17275	Q99217
P27540	P55854
P04085	P41231
Q13636	Q13795
Q13795	Q9BW83
Q9NX57	Q9UNT1
O60939	P06731
O94885	Q9P1V8
P78364	Q9P1V8
P62253	Q9UHD9
Q96NU1	Q9UN30
Q96DU3	Q9Y279
P54821	Q92570
Q14511	Q96QB1
O60566	P42772
P06213	P42772
P00734	Q8IZT8
O15117	Q13387
P54829	Q4JDL3
O60942	Q68J44
O60890	P52735
P52735	Q70Z35
P52735	Q96Q42
P52735	Q9H7P9
O00425	P19544
O75764	Q13888
P59768	Q15291
O15016	O15164
A1L4K1	Q4KMG0
O60674	Q14116
Q92870	Q969U7
P20719	P54760
P29323	Q5XKR4
P17081	P22612
O94768	Q96RU7
P22694	Q9P1W9
Q13554	Q9UQB9
Q13555	Q9UQB9
O00220	O14727
P02788	P13232
P05198	P17612
O14944	Q495A1
O43719	Q9H2X6
Q9H426	Q9Y6V0
O95096	Q68G74
P23759	Q9NRY4
P45379	Q9UIG0
P02753	Q9P2D1
P11234	Q9Y272
P01137	Q8N8U9
P12644	Q99835
P21462	P25025
P21462	P25105
P16234	P37275
P05156	Q01201
P43146	Q96M93
P13497	P37173
P27797	P49257
A5PKW4	Q92556
P49748	Q9NUZ1
O14960	Q9NZC7
Q9BW92	Q9UHN1
O94888	Q504T8
P62993	Q8N157
O43566	Q8N7F7
P51153	Q9H7X7
P62070	Q9H7X7
Q9H4E5	Q9H7X7
Q504T8	Q9HAC8
Q5T124	Q9HAC8
Q14247	Q9NRC9
Q9BVT8	Q9UNZ2
O60542	O60565
P10646	P24158
O15178	O75051
O95271	P25963
O75051	P14210
P61019	Q16512
Q13153	Q6IQ22
Q16512	Q8WUD1
O60543	P42081
P12755	Q92830
P19429	P48788
O15111	P10721
P15498	P55345
P46531	Q13253
P20936	Q96M96
P49459	Q16576
Q8IYI6	Q8NB66
P07948	P37023
P22694	Q02750
Q13233	Q99640
Q04759	Q9H2X6
Q96PY6	Q9HC98
Q02750	Q9P1W9
O60229	Q99961
Q9BY11	Q9P2A4
O60469	P15692
O75581	Q07954
O14562	P15374
O14562	Q9NRR5
P26368	Q9NTZ6
Q07955	Q9NTZ6
Q13243	Q9NTZ6
Q13283	Q9NTZ6
O14562	Q9UHD9
O14562	Q9UMX0
P01730	P06731
O75054	P15814
P06731	Q13332
P06731	Q5VST9
Q14088	Q8N8L6
P06731	Q8WX77
Q7Z7G0	Q99715
Q9BX59	Q9NSI5
P27216	Q9UJ72
O15111	O15146
P24385	Q15303
P16234	Q8TAS1
P62745	Q96NW4
Q8N1G2	Q96RS0
O75995	P42679
Q16584	Q6ZMT1
P42679	Q86WN1
P46108	Q8TE67
Q86WN1	Q99963
P14317	Q9BVN2
O43639	Q9H6S3
A6NFN3	O75494
A6NDE4	O95758
O95758	P0C7P1
A6NDE4	P22626
A6NFN3	P22626
P0C7P1	P22626
A6NDE4	P26378
A6NFN3	P26378
P0C7P1	P26378
A6NDE4	Q01130
P0C7P1	Q01130
A6NDE4	Q13151
P0C7P1	Q13151
A6NFN3	Q13242
A6NDE4	Q13243
A6NFN3	Q13243
P0C7P1	Q13243
A6NFN3	Q14103
O95758	P0DJD3
O95758	P0DJD4
P0DJD3	P22626
P0DJD4	P22626
P0DJD3	P26378
P0DJD4	P26378
P0DJD3	Q01130
P0DJD4	Q01130
P0DJD3	Q13151
P0DJD4	Q13151
P0DJD3	Q13243
P0DJD4	Q13243
O95758	Q15415
P22626	Q15415
P26378	Q15415
Q01130	Q15415
Q13151	Q15415
Q13243	Q15415
A6NDE4	Q8N6W0
P0C7P1	Q8N6W0
P0DJD3	Q8N6W0
P0DJD4	Q8N6W0
Q15415	Q8N6W0
A6NDE4	Q96J87
P0C7P1	Q96J87
P0DJD3	Q96J87
P0DJD4	Q96J87
Q15415	Q96J87
A6NFN3	Q9BRL6
Q15415	Q9BZB8
Q15415	Q9BZC1
O00213	Q9Y3C5
P47895	P51649
P01375	Q9P1W8
P02778	Q16576
Q12933	Q8WXC3
P05106	P50281
P08887	Q9GZV9
P52333	Q02156
Q16671	Q9H2X6
Q96RU8	Q9NYL2
O00212	O95057
P36406	P62491
P36405	Q969Q5
P62491	Q96KC2
Q8N4G2	Q96P47
Q6IQ22	Q9UPQ3
Q86YM7	Q8WZ42
O15146	P06493
P36406	P55854
P10966	Q01974
O95045	Q13126
O75366	Q16760
Q15027	Q7Z628
Q02410	Q8TF72
O95071	Q92995
Q15283	Q96P48
Q7Z628	Q96P64
P16333	Q9BZ95
Q92506	Q9H2F3
Q96P64	Q9NZN5
Q9UNE7	Q9Y2K6
Q8WVF5	Q9BSF8
P10600	P24821
P01127	P78310
P01584	Q7Z6A9
O00622	Q96I82
P12643	Q99684
P12644	Q99684
Q14119	Q9UHG0
P43146	Q9BVA0
P12644	P41231
P06239	Q8NET5
P42685	Q15700
P50281	Q2TAL6
Q8TD84	Q9NY43
O60487	Q9Y5G7
Q9HCK4	Q9Y5G7
P08246	Q04759
A6NKC9	P16333
Q5KU26	Q6UXN8
O14627	P47902
P22059	Q969R2
P08134	P52198
O76100	P58181
Q6IQ22	Q86YS6
Q6IFN5	Q8N349
Q8NGS5	Q8NH16
P57735	Q8WUD1
P08134	Q9HBH0
O14807	Q13177
P02747	P48740
Q14184	Q96E17
O75351	P13569
P08833	Q6ZWJ1
P07339	Q9NZZ3
O94910	P48167
O15042	P62995
Q4LE39	Q86WN1
Q4LE39	Q9H6S3
P35222	Q9NY43
O60449	P02778
O00623	Q06587
Q9HC98	Q9P1W9
P05129	Q86UR5
P02778	P07996
Q9UN70	Q9Y5F0
P02708	Q8WZ42
P49795	P51148
P49795	P62330
Q86YS6	Q9H7P9
P10911	Q9NZQ0
Q96LT9	Q9UKA9
P36888	P49840
P08069	P49841
P51149	Q8N4T4
P51159	Q99704
Q15669	Q99704
P42773	Q9HC98
P57789	Q12791
Q9H6Q3	Q9Y5X1
O75144	P01375
O60469	P09038
P49840	P62993
P20936	Q96HL8
Q8TEC5	Q99963
Q13636	Q9H7X7
P06239	P16581
Q02246	Q15262
P32004	Q96FE5
P10114	P62330
P08134	Q96DA2
Q8WZ19	Q9BQ13
P22001	Q9H3M0
Q09470	Q9H3M0
O14492	Q9UIA0
P49137	Q13557
P00533	Q9H5K3
P16144	Q8ND94
P51159	Q7L591
P00746	P09341
P27037	P27361
P17948	Q13043
P11233	Q9BPX3
O95361	P06213
O75888	P10966
O00144	P30550
O43365	P78337
O43557	Q01151
O43557	Q14896
O75398	Q15796
P24593	Q15911
P07585	Q92626
Q15052	Q96CA5
O14788	Q9BQ51
O14788	Q9BY67
Q7Z6J0	Q9H2K8
Q01201	Q9HBE1
P84022	Q9P2D1
O60674	Q9UQB8
Q9NYQ6	Q9ULT8
P32242	P56696
O95479	P49247
O15204	O43184
O75445	P10586
P16885	P30542
P25942	P33681
P20339	P62826
P07996	Q01196
P54756	Q13470
Q99965	Q9BZ11
O43184	Q9H2U9
P46934	Q9H2X6
P03999	Q9NPB9
Q8IZQ8	Q9P212
Q13443	Q9UKP5
Q9UKX5	Q9UMF0
Q96PD4	Q9BZS1
O00187	P04264
P31431	Q9HCM4
Q05516	Q9Y6R0
O43524	Q92835
P08047	Q9HB65
Q13501	Q14155
Q99733	Q9UJ04
P42356	Q9NYS0
O00237	Q9Y4K3
P08069	P54646
P29460	Q70J99
Q01826	Q15306
P37288	P49019
P00750	Q12965
O14939	Q9P0G3
O14966	P49792
O15394	Q14324
O94779	Q14324
Q14324	Q7Z5N4
Q14324	Q9BWV1
P62070	Q52LW3
A5PKW4	Q15283
Q12802	Q15283
Q13017	Q16760
O75553	Q70Z35
P08069	Q8IVH8
O75962	Q96P64
P35240	Q9BQL6
P48167	Q9GZZ6
O75460	Q9H0K1
Q07666	Q9NQ94
O15085	Q9NZL6
O15085	Q9UI08
Q14644	Q9Y3P9
O75154	P10114
O75154	P57729
Q96KP1	Q9H082
P10721	P49675
O75398	P12755
P12830	Q9BY67
Q8N831	Q9H489
Q13233	Q96KB5
Q13636	Q9Y5R8
P07288	P07996
P08246	P17948
O14944	Q15465
O60939	Q14183
Q9H0F7	Q9UHV5
O94972	Q9H0X6
P46108	P49418
P80192	P98171
Q5TCZ1	Q9UKW4
P54274	Q93045
P29317	Q01860
O60563	P51959
P43405	Q13263
Q92974	Q96M96
Q8N474	Q9H461
Q9Y2I1	Q9Y6N7
O60609	Q13591
P20248	Q16288
P16591	Q92956
P42574	Q9BYV2
Q15375	Q9H2X6
P10398	Q07912
P52945	Q9BYU1
P20701	Q9P121
P20265	P43034
P31751	P49761
O95382	P53350
P36897	Q05397
P31751	Q13627
Q07890	Q13637
Q5HYI8	Q5VWQ8
O96017	Q76MJ5
O15068	Q8WWN8
Q8IZJ4	Q96A58
Q00444	Q9H161
O95398	Q9NYN1
Q07890	Q9NYS0
Q96BR1	Q9P286
P36888	Q8NET5
O00622	P12107
O95185	Q8TE12
Q6UXK2	Q8N135
P25024	Q9H3N8
P07204	Q9NPY3
P16885	Q02779
O14965	Q9NQU5
Q02779	Q9P2A4
O75628	P84077
P26378	Q15287
P62745	Q6IQ22
Q13404	Q6ZUT3
P04216	P06213
P55286	Q9H159
Q86UP0	Q9HBT6
P17787	Q00535
A6NDG6	Q96GD0
P22079	P35354
P35354	Q9NRD8
O00139	Q9P2E2
Q13118	Q13873
P55345	Q9H5I1
P07585	Q9Y6Y9
P15018	Q969J5
Q13105	Q9H2X0
Q15389	Q9Y6N7
O95456	P11277
O76075	Q16890
P14653	Q9H3D4
P08100	P34981
P23467	P42701
P24821	Q53EP0
O95136	Q8IZF2
P23467	Q99665
P54296	Q9HCK4
Q9HC97	Q9NYW2
P35712	P56693
P08833	Q9UM47
P29692	P61353
Q13546	Q86SG6
Q07955	Q8WVV9
Q13148	Q8WVV9
Q13595	Q8WVV9
P35637	Q9BRL6
Q13242	Q9BRL6
Q8N6W0	Q9BRL6
Q96J87	Q9BRL6
Q86U06	Q9H0Z9
P22626	Q9UKA9
P22626	Q9UPN6
Q13148	Q9Y3B4
P06239	Q13554
Q8TDC3	Q92630
P20336	Q8NEV4
O95835	P32780
O00635	Q96EP0
P62826	Q96JB1
Q12802	Q96M96
P22626	Q96PU8
Q15700	Q5TCX8
Q8IWV2	Q92561
P62837	Q96S82
P04275	Q02447
P37173	Q14767
O60259	O60575
P20231	Q6MZW2
Q15661	Q6MZW2
P06241	Q8TEJ3
P20151	Q96NZ8
Q9BQR3	Q9H4F8
P68543	Q9HCJ0
Q8N7F7	Q9HCJ0
P00995	Q9NRS4
Q96NZ8	Q9UKR3
O60575	Q9Y337
P07333	P54753
P06213	Q8IVH8
O43353	P33681
P05129	Q15465
Q9UN86	Q9Y2J0
P16591	P19525
O75962	P00747
P05019	Q13501
Q14774	Q15561
Q12929	Q15642
O15519	Q9NZS9
Q9NYB9	Q9UQ16
P02652	P53367
P17612	Q13705
P42768	Q9H082
P42771	Q9NYL2
O15195	Q13813
Q13557	Q9UQ88
Q8TDY3	Q9UKX2
P13535	Q9Y614
Q8TDY3	Q9Y623
Q9Y614	Q9Y623
P18827	Q9UP38
P13500	P26038
P17081	Q3SXY8
P60953	Q3SXY8
Q3SXY8	Q9H4E5
Q9H628	Q9NP90
Q99747	Q99962
P13501	P15498
P51511	Q16651
Q13043	Q99558
P51511	Q9Y337
Q8TER0	Q92859
P49810	Q8NFT8
O60259	P09172
P16885	P49810
O15085	O60504
P32238	P51685
P32245	Q9UKP6
P51685	Q9Y271
O75093	P51805
O60260	P29323
P15311	Q16623
Q3MII6	Q8TEA7
P60953	Q9NRC6
O00308	P29965
Q6Q0C0	Q96CA5
P21579	Q96PU5
P07332	P54753
P07332	P54756
P20337	P62826
P50219	Q9H9S0
Q5JRA6	Q9NQ75
Q96E93	Q9UMR7
P49841	Q96GD4
Q00536	Q9C098
Q16763	Q9UNN5
P20336	Q8WUD1
P20336	Q9H0U4
Q13439	Q9NP72
P04275	Q8WZ75
Q99767	Q9Y2H9
P02763	Q86VB7
P30988	Q9H295
A4D1S0	P26718
P52797	Q86UR5
P78317	Q8WVN8
O60861	O95931
P12830	P14543
P14543	P24821
P19793	P31249
P30518	P34972
P28221	P47901
P46095	P47901
P47901	P48039
P19793	P50222
P61019	P61966
O94887	Q92529
Q9BU40	Q9GZZ7
P32239	Q9H1Y3
O60496	Q9H7P9
Q05397	Q9NRC6
Q01201	Q9P1W8
O15085	Q9P212
P08887	Q9UKJ0
P14543	Q9UQP3
P10586	Q9Y5H5
Q9Y5E2	Q9Y6N7
P08476	Q96PD4
P11234	Q03113
Q96IT1	Q9HBT7
P27986	Q9NZM1
Q13153	Q9H0T7
P01138	P12544
P08631	P49913
O00268	P23193
O00268	Q15560
P00749	Q86YL7
O60423	O75110
P07204	P07766
P07204	P49767
P35555	Q14790
P09619	Q15911
Q13017	Q92556
P55290	Q9UHF1
O60687	P00742
P04233	Q8IXA5
Q04771	Q2VWA4
P01034	P31751
P05543	P05546
P05121	P48594
P06239	P57727
P19784	Q9HCP0
Q13243	Q9Y4C8
O14807	Q8WUD1
P14653	P43699
O43248	P49640
P20719	P52954
P55283	P55287
P50222	P56915
P46939	Q13203
P41182	Q14449
P10600	Q15109
P24821	Q8NF91
P55286	Q8TDW7
P49765	Q8WZ75
Q8WX77	Q96I82
Q96JP9	Q9H159
Q03014	Q9H161
Q9HAZ2	Q9HBE1
P04629	Q9UKW4
P13378	Q9UMQ3
P13611	Q9UQP3
P47775	Q9Y271
Q86UP0	Q9Y5G9
Q96JP9	Q9Y5G9
Q15434	Q6XE24
P62070	Q8IW00
Q05315	Q8TCE9
Q8TCE9	Q9UHV8
Q13501	Q9H8M9
O14788	P24394
P10070	Q9P212
P18075	Q9ULB1
O94868	P07947
Q08881	Q6WCQ1
P31943	Q6XE24
P19338	Q8IXT5
Q86XP1	Q8N8I0
Q5JZY3	Q8N8V4
O15117	Q8TEJ3
P16885	Q8TEJ3
Q08881	Q8TEJ3
Q6ZW76	Q969H4
Q8N8L6	Q96L33
Q8TEW8	Q96NW7
Q8N157	Q96PC5
Q14498	Q9BTD8
O94885	Q9BYL1
P57075	Q9H347
P54760	Q9NSI8
Q96NW7	Q9Y3R0
O15198	P57073
O00237	P49459
O60566	Q07912
P53350	Q07912
Q13148	Q13242
O14807	Q13637
P78543	Q14201
P04049	Q14964
P08134	Q14964
P26378	Q16560
Q13242	Q16560
Q14088	Q3MIN7
Q08170	Q6NXG1
O75494	Q86U06
P62834	Q8IYK8
Q08170	Q8WVV9
Q07912	Q92519
P62745	Q96DA2
Q07912	Q96RU7
Q07912	Q96RU8
O00212	Q96S79
O75494	Q9BRL6
O60506	Q9BWF3
Q13243	Q9BWF3
P14866	Q9BZC1
P98175	Q9NW64
P62491	Q9NX57
Q99490	Q9NYN1
O00212	Q9NYS0
P40616	Q9NYS0
P62745	Q9UL26
Q6NXG1	Q9UPN6
Q9NYN1	Q9UPQ3
P20337	Q9Y272
P59190	Q9Y272
Q15771	Q9Y272
Q9ULW5	Q9Y272
Q9UPQ3	Q9Y272
O00273	O60260
P07948	Q96RU7
P35226	Q6VVB1
P10827	Q9UBB5
P49459	Q86UV7
P05129	Q9HCH3
Q96LR5	Q9ULK6
P08581	P22607
O14764	P30532
P28472	P30532
P28472	P32297
P30281	Q02750
P14616	Q08345
P11230	Q16445
O95661	Q86YV0
Q86YV0	Q8IXI1
Q86YV0	Q96D21
O60749	Q9NZ52
P40616	Q9NZM3
P07949	Q9UKE5
O14944	P01033
P02747	P07996
P01137	P15498
P01137	P16885
P02747	P37173
O15164	P51955
O95185	Q12837
P49407	Q13387
P14616	P36896
O75460	Q13177
P43403	Q13263
P11171	Q92974
P35240	Q9NYB9
Q15119	Q9Y478
P61812	Q13387
A4FU49	O00499
A4FU49	P27986
