O75144	Q5TFQ8
Q96J42	Q9H7Z7
P02778	P10147
Q8N8U2	Q9Y6F7
Q9Y232	Q9Y6F7
O00506	P53350
Q13557	Q15349
O14965	Q15418
P35240	Q8WY64
O00506	Q9UQB9
P19438	Q9BQE5
Q8IZP0	Q9Y5S2
Q9NYB9	Q9Y5S2
A6NJZ7	O00160
A6NNM3	O00160
A6NJZ7	P57075
A6NNM3	P57075
A6NJZ7	Q14247
A6NNM3	Q14247
A6NNM3	Q15642
O75556	Q8TD33
A6NJZ7	Q99961
A6NNM3	Q99961
O00160	Q9UFD9
P57075	Q9UFD9
Q14247	Q9UFD9
Q15642	Q9UFD9
Q99961	Q9UFD9
A6NJZ7	Q9ULH1
A6NNM3	Q9ULH1
Q9UFD9	Q9ULH1
Q13422	Q9UQR1
Q9H4P4	Q9Y2X8
O60656	O75310
P35609	Q9BUP0
O00560	Q5EBL8
P31323	Q86TW2
P60842	Q8NHQ9
Q53EL6	Q9BQ39
O75093	P23515
P10747	P35462
P08567	P61006
Q8N6M6	Q9HAU8
P20160	Q9HC29
O15111	Q9Y6N7
P49840	Q15759
A1IGU5	O00212
P00749	Q495A1
Q9UN66	Q9Y5E2
P00746	P40313
P00746	Q8IYP2
P51124	Q9BQR3
Q04756	Q9BQR3
P00750	Q9Y6M0
O15204	P20701
O15344	P13591
P08922	P16471
Q495A1	Q9HBE5
P29460	Q9HCN6
Q17RS7	Q9UQ84
O15357	P48436
O00213	Q9NZN1
A1IGU5	P07948
P07477	Q9BZJ3
O60235	Q9H2R5
O60235	Q9P0G3
P03951	Q9P0G3
P03952	Q9P0G3
P36405	Q92928
Q92928	Q96KC2
P40200	Q13203
O96018	Q8TEW0
P10767	Q92914
P29320	Q99062
P51668	Q9BYE7
Q13332	Q9HCK4
Q9HBG7	Q9NZQ7
O95365	Q9UKS7
P22105	P36897
P56715	Q9HC29
O43566	Q96A58
A8MTJ3	O14775
O14775	P19087
Q5TCQ9	Q8NI35
P42681	Q92835
P16885	Q96PU4
Q09666	Q9P202
Q7Z6J0	Q9UMX0
P21333	Q08043
O95747	P53350
P43250	P54756
O15075	Q00532
P34925	Q01973
Q00532	Q14012
O43781	Q16539
Q15418	Q16584
Q08881	Q6P5Z2
Q15835	Q7L7X3
P34972	Q7Z5H5
O15075	Q8IZL9
Q14012	Q8IZL9
Q6ZV73	Q8WXI2
O60566	Q99558
P31994	Q9NZC2
Q9H7P9	Q9Y4H2
Q99811	Q99835
Q86VQ3	Q96JJ7
O00238	O75093
P29459	Q9H257
P04233	Q9Y6N7
P60763	Q92888
P21333	Q9UNN5
O94921	P49759
P20794	P49759
O94921	P49761
P20794	P49761
P05129	Q15831
P53350	Q7KZI7
Q86Z02	Q8NE63
Q15831	Q92630
O43293	Q96Q40
P49760	Q96Q40
Q92630	Q9H422
O43293	Q9HAZ1
P15735	Q9P1W9
P35240	Q04759
A0PJE2	Q92506
O15530	Q8N4C8
P41182	Q8NAB2
P29965	Q96BF3
P12272	Q9BRK3
O94868	Q9H3Y6
Q9H3Y6	Q9NR46
Q01860	Q8IYX4
P29558	P98179
P98179	Q14498
Q15020	Q15427
Q14964	Q86XE0
Q14596	Q9BYG5
Q8WTU0	Q9Y5A7
P08631	P51812
P51451	P52564
Q00537	Q14012
Q09013	Q16512
P17612	Q16539
O96013	Q6P5Z2
Q09013	Q7RTN6
Q13237	Q8IWQ3
O15264	Q8N5S9
P51451	Q8WTQ7
P23443	Q92630
Q8NE63	Q99640
Q96RR4	Q9NQU5
Q8IWQ3	Q9NRH2
O15264	Q9NYY3
P05771	Q9UK32
Q8IU85	Q9UK32
Q13464	Q9UKE5
P08631	Q9Y2H1
P15924	Q68DX3
Q86UD7	Q8IV04
P14222	P19878
P0DI81	Q9NR31
P0DI82	Q9NR31
Q99728	Q9UDY8
P0DI81	Q9Y6B6
P0DI82	Q9Y6B6
