O75143	Q6ZS81
P18859	Q6ZS81
Q6ZS81	Q93050
P61421	Q6ZS81
Q6ZS81	Q8N8Y2
P38606	Q6ZS81
Q16864	Q6ZS81
P46379	Q6ZS81
Q05682	Q6ZS81
P0DP23	Q6ZS81
P0DP24	Q6ZS81
P0DP25	Q6ZS81
Q6ZS81	Q9H257
Q3V6T2	Q6ZS81
P49368	Q6ZS81
P40227	Q6ZS81
P16070	Q6ZS81
Q6ZS81	Q96G23
Q6ZS81	Q9Y281
P54105	Q6ZS81
P09496	Q6ZS81
Q00610	Q6ZS81
Q6ZS81	Q9UBF2
Q16630	Q6ZS81
Q6ZS81	Q9UJW0
Q6ZS81	Q9BUQ8
O75907	Q6ZS81
Q6IAN0	Q6ZS81
P31689	Q6ZS81
Q6ZS81	Q96C19
O75821	Q6ZS81
Q14697	Q6ZS81
P14317	Q6ZS81
Q6ZS81	Q9UBN7
P08238	Q6ZS81
P54652	Q6ZS81
P11021	Q6ZS81
P11142	Q6ZS81
Q6ZS81	Q9Y4L1
P46940	Q6ZS81
O60282	Q6ZS81
Q6ZS81	Q9UHB6
P33241	Q6ZS81
Q16659	Q6ZS81
O95563	Q6ZS81
Q6ZS81	Q8NDA8
P26038	Q6ZS81
Q6ZS81	Q9BQG0
P35580	Q6ZS81
P35749	Q6ZS81
P35579	Q6ZS81
P60660	Q6ZS81
P14649	Q6ZS81
O00159	Q6ZS81
O94832	Q6ZS81
Q12965	Q6ZS81
O00160	Q6ZS81
Q6ZS81	Q9Y4I1
Q6ZS81	Q9UM54
P49902	Q6ZS81
Q12769	Q6ZS81
Q16875	Q6ZS81
Q15149	Q6ZS81
O60568	Q6ZS81
P13797	Q6ZS81
P62136	Q6ZS81
Q6NYC8	Q6ZS81
P25786	Q6ZS81
P25789	Q6ZS81
O00231	Q6ZS81
P55036	Q6ZS81
P48556	Q6ZS81
P83731	Q6ZS81
P39019	Q6ZS81
P26447	Q6ZS81
P21912	Q6ZS81
P61619	Q6ZS81
Q15393	Q6ZS81
Q6ZS81	Q9BWM7
Q6ZS81	Q9BZZ2
Q6ZS81	Q96GM5
P62316	Q6ZS81
Q6ZS81	Q99523
Q6ZS81	Q9H2V7
Q6ZS81	Q9Y657
Q01082	Q6ZS81
P31948	Q6ZS81
Q13488	Q6ZS81
P17987	Q6ZS81
P02786	Q6ZS81
P04216	Q6ZS81
Q6ZS81	Q9BVK6
P09493	Q6ZS81
P06753	Q6ZS81
Q6ZS81	Q9Y2L5
P10599	Q6ZS81
O75385	Q6ZS81
P31930	Q6ZS81
Q6ZS81	Q709C8
P49754	Q6ZS81
Q6ZS81	Q96JG6
Q5VIR6	Q6ZS81
A3KMH1	Q6ZS81
Q99836	Q9UHD2
Q8NFZ5	Q99836
Q92844	Q99836
P0CG48	Q99836
P08962	P54707
O43914	Q92835
P14672	Q9BZE9
Q9BZE9	Q9UIQ6
Q07954	Q9BZE9
Q15836	Q9BZE9
O60343	Q9BZE9
P14672	Q9UHP3
O15527	Q92769
O15527	Q14739
O15527	P14866
O15527	Q02447
O15527	Q92974
O15527	Q9H0D6
Q676U5	Q9NVI7
P05109	Q676U5
P42680	Q676U5
A0JLT2	Q676U5
Q676U5	Q8WYJ6
O43920	Q676U5
Q676U5	Q9UNQ2
P08240	Q676U5
Q676U5	Q8IX18
Q676U5	Q9BYG3
Q676U5	Q9H5V9
Q676U5	Q9BRP8
Q676U5	Q9NX20
Q676U5	Q9HCU5
P08138	Q07889
Q15075	Q99523
O00541	P46821
P06493	Q13642
P19793	Q96EB6
P37231	Q9HCE7
Q02246	Q09472
Q02246	Q92793
Q9ULX5	Q9ULX5
P38646	Q14573
P07998	Q14185
P16671	Q15831
O75955	P16671
P04114	P06727
P26006	Q969H0
Q06609	Q969H0
P19419	Q969H0
P51161	Q969H0
Q13886	Q969H0
Q8NEG5	Q969H0
Q13042	Q969H0
P05230	Q969H0
P41970	Q969H0
Q969H0	Q9NQX0
Q5SSJ5	Q969H0
Q969H0	Q96HZ4
Q15172	Q969H0
Q969H0	Q99727
O75478	Q969H0
Q969H0	Q9ULT6
Q969H0	Q9NTX7
Q8NBF1	Q969H0
Q8TD19	Q969H0
P61960	Q6NVU6
P13861	Q9Y233
P24588	Q9Y233
Q12879	Q9Y233
Q13224	Q9Y233
P78352	Q9Y233
Q8NER1	Q9UEU0
P53396	Q8NER1
P60709	Q8NER1
P35609	Q8NER1
P35611	Q8NER1
O14617	Q8NER1
Q8NER1	Q96BM9
Q8NBU5	Q8NER1
P16615	Q8NER1
Q8NER1	Q99700
Q8NER1	Q8WWM7
Q8NER1	Q9NSY1
P04040	Q8NER1
Q8NER1	Q9H444
Q14677	Q8NER1
P09497	Q8NER1
Q05707	Q8NER1
P53618	Q8NER1
Q8NER1	Q9Y678
P52943	Q8NER1
O75534	Q8NER1
P07858	Q8NER1
P98082	Q8NER1
O15523	Q8NER1
P26196	Q8NER1
Q8NER1	Q8WXX5
Q5JSL3	Q8NER1
Q8NER1	Q9BZ29
O43237	Q8NER1
P55884	Q8NER1
O43432	Q8NER1
Q8NER1	Q9Y2J2
Q8NER1	Q9BSJ8
Q0JRZ9	Q8NER1
Q5VVH2	Q8NER1
A0A494C030	Q8NER1
P21333	Q8NER1
O75369	Q8NER1
P16104	Q8NER1
P16402	Q8NER1
P55795	Q8NER1
P07900	Q8NER1
P23229	Q8NER1
Q7Z3Y7	Q8NER1
Q14847	Q8NER1
Q8NER1	Q9UPQ0
Q8NER1	Q9Y608
Q3MHD2	Q8NER1
P28482	Q8NER1
Q8NER1	Q9NR56
Q8NER1	Q9Y3B7
Q13402	Q8NER1
E9PAV3	Q8NER1
Q13765	Q8NER1
O96000	Q8NER1
Q0ZGT2	Q8NER1
Q7Z417	Q8NER1
Q02218	Q8NER1
Q8NER1	Q9H4L5
P08237	Q8NER1
Q01813	Q8NER1
Q8NER1	Q9Y2H5
Q8NER1	Q9Y342
P20472	Q8NER1
Q8NER1	Q9BRP8
Q8NER1	Q9P0K7
P11233	Q8NER1
P62834	Q8NER1
Q8NER1	Q96PK6
P38159	Q8NER1
P63173	Q8NER1
