Q9H2X6	Q9UBE0
Q9H3G5	Q9NQP4
Q9H4H8	Q9HBM1
Q9H900	Q9NVI1
Q9HBB8	Q9UDY6
Q9NTI2	Q9NY72
Q9NWB1	Q9Y6K8
Q9NYJ8	Q9NZL4
Q9NZH6	Q9UHA7
Q9P0K7	Q9UBI6
Q9P0L2	Q9Y2K2
Q9P2S2	Q9UI15
Q9UKV5	Q9UNE7
Q9ULB5	Q9Y6N8
Q9UPV7	Q9Y6N8
Q9Y2T4	Q9Y3A3
O14498	Q07954
O14512	Q09472
O14686	Q8TDD1
O14733	Q8N5C8
O14744	P62330
O14757	P61077
O14770	O95931
O14776	P23193
O14777	Q99986
O14782	P31150
O14787	Q12926
O14920	P17706
O14920	P46734
O14920	Q9UK53
O14929	P49458
O14948	Q92608
O14980	P31946
O14980	P62829
O15085	P09619
O15105	Q96QZ7
O15117	Q8WX92
O15151	P33176
O15151	P62913
O15151	Q9UKB1
O15162	O43809
O15197	Q92561
O15212	Q02809
O15350	Q16576
O15360	O95163
O15360	Q9UGK3
O15379	Q15418
O15379	Q16513
O15379	Q969G3
O15519	P41273
O15523	Q8NFZ3
O15530	P40763
O15530	Q12778
O15553	Q9BV97
O43143	P84090
O43143	Q14004
O43175	O95816
O43294	P09619
O43304	Q9H008
O43318	P19784
O43390	Q9UQE7
O43424	Q86YM7
O43426	Q9ULH1
O43463	Q969S8
O43505	Q9HBZ2
O43516	P13796
O43524	P27986
O43524	Q9H0H5
O43561	P40818
O43593	Q9NP62
O43707	O43795
O43708	Q9NYQ7
O43734	Q14790
O43761	P61764
O43809	P23246
O43819	O60925
O43913	O75943
O60216	P36873
O60285	Q04917
O60504	Q13905
O60506	O75494
O60566	Q96T88
O60603	Q92569
O60613	P22626
O60674	P62805
O60716	Q9ULH1
O60721	Q9BY71
O60762	P07910
O60825	Q12802
O60825	Q96F86
O60869	Q04206
O60890	Q13177
O60907	Q13263
O60925	Q6Q0C0
O60934	O94782
O75167	Q96RL7
O75167	Q9BQ89
A4D2P6	Q13002
O75319	P07910
O75319	P61011
O75376	Q00987
O75396	Q9NR31
O75400	Q7RTV0
O75444	P37231
O75477	Q8WY22
O75478	Q96GM5
O75530	Q96BD5
O75608	P99999
O75676	Q9Y463
O75688	P07550
O75688	P63104
O75751	Q969W1
O75751	Q96IW2
O75791	Q16620
O75792	P26358
O75886	Q9UBC2
O75925	Q02078
O75969	Q14990
O75995	Q06187
O76021	P42766
O94782	Q9NZJ0
O94805	P02008
O94875	Q13322
O94915	Q5SW79
O95067	P26358
O95096	O95996
O95196	Q70YC5
O95196	Q9UL42
O95197	Q9ULB1
O95197	Q9UQ16
O95218	P06396
O95235	Q8IX90
O95239	Q9H211
O95267	P05771
O95425	P68032
O95571	P18847
O95831	P23246
O95831	P31151
O95997	Q14191
O95997	Q69YH5
O96004	P12980
O96020	Q9UKX7
O96028	P48382
P00519	P30291
P00533	P05412
P00533	Q96DB2
P00533	Q99665
P00738	P01023
P01008	P17936
P01033	P23284
P01100	P36897
P01100	P38936
P01374	P32971
P01375	Q07011
P01570	P48551
P01571	P48023
P01574	P17947
P02511	P07951
P02511	P25963
P02649	P55774
P02746	P28799
P02751	P07333
P02751	Q07889
P02760	Q14520
P03372	Q8N9B5
P04049	P55042
P04049	P61962
P04150	Q14207
P04150	Q9H3M7
P04179	P22352
P04180	P05067
P04198	P39880
P04259	P81605
P04264	P38646
P04264	Q00839
P04440	P26842
P04626	P0DP24
P04626	P0DP25
P04637	P15311
P04637	P28702
P04637	Q9H211
P05015	Q92985
P05067	P46940
P05107	P26447
P05107	P42684
P05107	P51617
P05109	P48643
P05121	P25116
P05141	Q9UL15
P05155	P08493
P05387	P12236
P05408	Q8IZD9
P05408	Q9UI15
P05412	P41235
P05412	Q8NHW4
P05412	Q9UBS8
P06241	P09603
P06241	P53779
P06241	Q14721
P06241	Q9UHD2
P06400	P54132
P06730	Q9UBT2
P06870	P07384
P07225	Q8IX05
P07355	Q12967
P07355	Q14978
P07359	P38435
P07437	Q969G3
P07437	Q9BXL8
P07550	P14618
P07686	P21673
P07766	Q9ULW0
P07814	P29460
P07948	Q13309
P08047	Q8WUI4
P08238	Q9UK53
P08263	Q12837
P08263	Q9NQ94
P08581	Q92793
P08779	P38646
P09104	P31150
P09326	P28039
P09543	Q7L5A8
P09619	Q14511
P09769	P63104
P09874	P25208
P09958	P11717
P0C0S5	P20700
P10242	P46531
P10244	P30305
P10275	P50616
P10415	P51878
P10415	Q92993
P10589	P51532
P10636	Q9BWQ8
P10828	P13056
P10912	P20138
P10912	Q06187
P10914	P62805
P10914	Q9UK53
P11137	Q92918
P11142	P31947
P11215	Q96S59
P11388	P37198
P11388	Q92830
P11441	Q9NWS0
P11940	P61927
P11940	Q9H307
P12004	P45973
P12236	P19338
P12544	P26718
P12544	Q9NQ25
P12755	Q9H0M0
P12956	P47902
P13164	Q03518
P13637	Q96N03
P13693	P36542
P13804	P25789
