Q92879	Q9HCG8
P62942	Q99614
Q13873	Q9H4A3
P21333	Q9UDY8
P12757	P62993
Q86SS6	Q86UR5
P19320	P33681
O43307	Q9NR81
Q13636	Q16512
Q15238	Q8TD46
Q16557	Q8TD46
P28358	P58304
O43524	O95072
P48730	Q96RU8
Q7L804	Q9NYS0
P50148	Q9ULC3
A6NDE4	P11940
A6NFN3	P11940
P0C7P1	P11940
P0DJD3	P11940
P0DJD4	P11940
P11940	Q15415
P54753	Q96A47
Q495A1	Q6UXL0
P53667	Q13616
O60229	P59190
O43307	Q96AQ7
P61019	Q13637
Q12849	Q6NXG1
P26368	Q9H361
Q16514	Q9NVP2
Q13177	Q15208
Q13177	Q15835
Q13177	Q9UKE5
P84095	Q8IZJ4
A5PKW4	Q99578
Q9NPJ8	Q9UN86
P61956	Q13501
O95057	Q96P47
P11234	Q96S79
Q96S79	Q9H0F7
P61225	Q9NVJ2
Q8TAI7	Q9NVJ2
Q96A58	Q9NVJ2
Q9NVJ2	Q9NYS0
P04798	P05177
Q96P47	Q9UIA0
P17081	Q9UNA1
P17948	Q9UKE5
P51159	P61026
O95727	P09326
Q8NDX1	Q92888
P49841	Q9HCP0
P20336	Q8IXI1
Q13637	Q9NZM3
P25025	P47900
P47900	Q99705
P43699	Q68G74
O95980	P46531
P11362	P49639
P49427	Q9H4P4
Q12756	Q96L93
P31323	P31749
P31323	P31751
O00187	P13726
O14543	P14210
P51617	Q9Y239
O60543	P12757
P10966	P15151
P35348	P46094
O14512	Q13387
P09341	Q16663
P80162	Q8NHW4
Q16663	Q8NHW4
Q8NHW4	Q99616
Q92692	Q9H3D4
P04085	Q9GZP0
O14795	Q96C24
Q01826	Q02548
P02585	P60660
P13501	P19876
P25067	P48023
O43182	P50148
P20336	P50148
O43719	Q13148
Q14155	Q70Z35
P10588	Q92753
Q9HB19	Q9UKW4
P19525	Q96RU8
Q86WK6	Q9Y639
P07766	P09326
O14936	P04049
P27448	Q13043
O00506	Q14012
P57105	Q07157
O15143	P17081
O14786	P98172
P16885	P54284
Q8WZ64	Q9UIA0
Q06547	Q99607
Q6Q0C0	Q99728
O94779	Q58EX2
O94813	P16333
Q13191	Q9NYJ8
O43307	P51159
P10911	Q96AX2
Q8WXF0	Q9UKA9
Q13247	Q9UKM9
O75821	P62750
P31942	Q15233
P53667	Q92519
Q12840	Q9NRH3
P05455	Q9Y3B4
Q92538	Q9NRD0
Q12756	Q2KJY2
P51151	Q96S79
P55042	P61019
Q96D21	Q9BW83
Q96L33	Q9NYS0
O00194	Q9NZQ0
Q9HBH0	Q9ULW5
P36897	Q9Y6R4
P45877	P62937
P35237	Q9UK55
O75037	Q14807
Q16816	Q9UIK4
A5PKW4	Q13017
P17301	P21333
P22001	P48547
P41743	Q00535
O14492	Q07889
P22001	Q96PR1
O43150	Q9UKW4
P54577	Q9UGM6
P28222	P28223
O14788	Q08722
Q12829	Q14C86
P16591	P31749
P10301	Q52LW3
Q13873	Q9Y4K4
P42830	P78423
P06241	Q13418
Q86VH2	Q9NY65
O95755	P61018
P51965	P61081
Q8IYK8	Q8IZ41
Q8IZ41	Q9H0T7
O75962	Q92729
P24530	P32239
P08908	P41143
P40818	Q9H0E7
P20339	Q12829
O15393	P00748
O15393	P08709
P20936	P60953
P00748	P98073
P08709	P98073
P00742	Q04756
Q2L4Q9	Q99895
P00748	Q9NRS4
Q9H3Y6	Q9UQF2
P00742	Q9Y5Q5
P00749	Q9Y5Q5
P00740	Q9Y5Y6
Q5K4E3	Q9Y5Y6
Q8IU80	Q9Y5Y6
O15020	Q9NYI0
P78545	Q3C1V8
P43403	Q14774
P11233	Q9UQ16
P31751	Q92918
Q96P64	Q9NPF8
P31749	Q9Y376
Q9UPQ3	Q9Y6D5
Q6UXB4	Q8IUN9
Q07108	Q9UMR7
Q13009	Q9Y2H5
O00468	Q9Y4C0
O14933	Q16763
P51159	P61020
P20336	Q13464
P11532	P29323
P42679	Q9UHD9
Q96LR5	Q9UHD9
O60229	Q9Y6N7
P00750	P20160
P20160	Q9Y5Q5
P06340	P11215
P05129	P36896
Q00059	Q6T310
P17509	P35453
P17482	P40425
P40425	P52952
P55286	Q86UP0
P04637	Q99551
P11362	Q9UQQ2
Q96MS0	Q9NYQ7
Q15223	Q15375
Q9NRW1	Q9NYR9
P37023	Q6KF10
O60229	Q12829
O75962	Q12829
O75962	Q96DA2
O00194	P51153
Q13253	Q99988
Q9UK17	Q9ULS6
O00716	P52952
P49841	Q13188
P49459	Q13888
P29460	Q9P0W0
P36405	Q8WZA2
O95727	P02753
O60543	Q495A1
P02753	Q9BY67
P49459	Q9Y4L5
Q06413	Q12951
O15143	Q96P48
P11362	P20719
P17481	P17483
O75360	P20719
O60315	P23759
O95977	P24530
P35367	P37288
O94856	P43146
P31270	P50222
P31277	P50222
P20719	P52945
P17481	P54821
P17483	P54821
P20719	P56177
P23759	Q01851
P49640	Q01851
P56915	Q03014
P20719	Q07687
P14651	Q15699
P52952	Q15699
P50219	Q5XKR4
P28360	Q8TAU0
O94856	Q96MS0
P17509	Q99801
P31267	Q9GZZ0
O95096	Q9HBU1
Q03014	Q9HBU1
O94856	Q9HCK4
Q92729	Q9HCK4
Q05925	Q9UIW0
P54821	Q9UMQ3
Q9NZR4	Q9UMQ3
Q05925	Q9Y2V3
Q9H161	Q9Y2V3
O94856	Q9Y6N7
P04216	P19235
O00212	P63000
P49862	Q9P0G3
O14827	Q9NR81
Q7Z7A4	Q9UEW8
O14646	Q12873
O43707	Q9H254
Q9Y6J8	Q9Y6W6
Q7Z4S6	Q9UIL4
P29323	Q15835
O15204	O75078
P14543	P35613
P00533	Q16512
Q9BXT4	Q9BXT8
P61018	Q15286
Q6IQ22	Q9BW83
O60469	Q9BWV1
P63000	Q8WUD1
Q99735	Q9HC29
P29973	Q9Y3Q4
P07316	P43320
P01112	Q96HU1
P78368	Q13043
Q13153	Q9H2X6
P01911	P17693
Q14012	Q9Y463
P13987	P37023
Q99704	Q9UIA0
P62136	P63151
P16157	Q12959
P14416	Q969F8
P61081	Q05086
P51159	Q13464
O75628	P60763
P61020	Q8IXI1
P35125	Q2NKQ1
P35125	Q9HA65
Q5SW96	Q9HCM4
P22612	Q9NRM7
P01137	P25942
Q99733	Q9ULW6
O14512	Q6ZV89
O95976	Q8TDQ1
Q8TDQ1	Q9NZC2
P35225	Q9UDY8
P36404	P51159
P51159	Q7Z444
O15178	O95947
O43364	P13378
P14653	P31267
O60469	P32004
P17948	P33681
O15522	P56178
P14652	Q01851
P49639	Q01851
P78329	Q02928
O14813	Q07687
P17481	Q07687
P31249	Q07687
P31267	Q07687
P06213	Q16270
Q03014	Q5XKR4
O14813	Q99453
P14652	Q99453
P52951	Q99453
P09067	Q99811
P55317	Q99958
P49639	Q9BZM3
P52951	Q9BZM3
P56178	Q9NYD6
P11802	Q13554
O43365	P31314
P11487	Q9GZV9
Q52WX2	Q9P0L2
Q8NCN5	Q9UI17
P04233	Q5ZPR3
P36894	Q9NYJ7
P36896	Q00535
P48431	Q03052
P25929	P34969
P56915	Q9BZM3
O14492	Q9Y6R0
P08246	Q96J02
P35968	P43403
Q15819	Q15843
Q9BYH8	Q9BZF9
Q14213	Q9HBE5
Q92823	Q9Y2H6
Q16512	Q86YS6
P00750	P03951
P98171	Q12979
O75144	Q9NZQ7
P62330	Q9NP72
P43146	Q15223
P24821	Q9BY67
P17181	Q14213
P16144	Q15262
P20340	P36405
P36405	P59190
O95716	P84085
P59190	P84085
P36405	Q15771
P61026	Q9Y689
O14827	O60229
Q14289	Q16890
O15350	Q9BZM3
P53667	Q96RU7
O14782	Q2VIQ3
Q2VIQ3	Q9ULI4
P35241	Q8WY64
Q9BWT3	Q9NRJ5
P23458	P29322
Q02779	Q9UNN5
P11226	Q06141
Q12834	Q6PCD5
Q5VTB9	Q8WY64
P27540	Q92835
P15735	P49841
P12755	Q12933
Q9H2W2	Q9HCM4
P17174	P24298
O15068	Q9H4E5
Q15475	Q99811
P06850	P26441
O15068	O95716
P01137	P23497
Q14289	Q9P286
P24821	P54753
Q01201	Q9HAK2
O00626	P10147
P02776	P10147
P02776	P16619
P13500	P16619
P10147	P78423
P16619	P78423
P16619	Q99731
P05156	P13726
Q13118	Q5ZPR3
Q02447	Q9UDY8
P21802	P29317
P16591	P54764
P21802	Q08345
Q14449	Q9H6Q3
P62993	Q8IW93
A6NJZ7	O15034
A6NNM3	O15034
A6NJZ7	O15117
A6NNM3	O15117
A6NJZ7	O15259
A6NNM3	O15259
A6NJZ7	O60229
A6NNM3	O60229
A6NJZ7	O75962
A6NNM3	O75962
A6NJZ7	O95153
A6NNM3	O95153
A6NJZ7	P20929
A6NNM3	P20929
A6NJZ7	Q5TCZ1
A6NNM3	Q5TCZ1
A6NJZ7	Q5VST9
A6NNM3	Q5VST9
A6NJZ7	Q6UXY1
A6NNM3	Q6UXY1
A6NJZ7	Q6XZF7
A6NNM3	Q6XZF7
A6NJZ7	Q8N2Y8
A6NNM3	Q8N2Y8
A6NJZ7	Q9BVN2
A6NNM3	Q9BVN2
A6NJZ7	Q9BX66
A6NNM3	Q9BX66
A6NJZ7	Q9P0V3
A6NNM3	Q9P0V3
O15034	Q9UFD9
O15117	Q9UFD9
O15259	Q9UFD9
O60229	Q9UFD9
O75962	Q9UFD9
