O96020	Q8IZT6
P24666	Q01130
P28715	Q15054
P29558	P37173
P31273	Q96FA3
P35030	Q9H2X9
P35354	Q92688
P36888	Q9UHD2
P38398	Q00613
P39656	Q9Y4W6
P40227	P78527
P42773	P46379
P46531	Q13642
P46782	Q969H0
P46940	Q02809
P50539	Q29RF7
P50993	Q9ULP0
P51674	Q96DZ5
P51959	Q9H3D4
P54252	P68104
P54253	P78356
P55899	Q9ULZ3
P60880	Q99435
P62140	Q8NEZ4
P62937	Q13425
P68543	Q13617
P98160	Q12805
Q00597	Q05586
Q00653	Q15031
Q04917	Q13310
Q13153	Q9Y2H0
Q13427	Q13838
Q13547	Q86WJ1
Q15653	Q969T4
Q2LD37	Q96L91
Q5JVS0	Q9Y6K9
Q5VV63	Q9BRR3
Q8IWZ3	Q9GZN7
Q8IYX8	Q9BZJ0
O00294	Q9P1A6
O00459	O15197
Q96KR7	Q9ULJ8
Q96L91	Q96P70
Q96NY9	Q9NY61
Q99689	Q9BR01
Q9BUB5	Q9UGR2
Q9BZH6	Q9UPU7
O00560	O75143
O00567	Q8TAD8
Q9H6T3	Q9UDY4
Q9H6Z4	Q9HAV4
B3KU38	Q9UIL1
Q9UNH7	Q9Y6A5
O14828	P04626
O14974	P53671
O14976	Q9Y252
O15457	P38398
O43150	P05067
O43524	Q03164
O43795	Q9UDY4
O60229	P17021
O60381	O75884
O60641	P15882
O60716	Q02410
O75159	O75312
O75528	P63279
O75593	Q92831
O75928	P07900
O94921	Q9GZV5
O94979	P49755
O95163	P21580
O95347	P11021
O95665	P50150
O95944	Q8NCN5
P01023	P19957
P02778	Q13547
P04049	Q9UHH9
P04150	Q9UKI9
P04637	P43320
P04637	Q8WUM4
P05067	P20273
P05412	Q8N3C0
P08069	Q9H0H5
P0DMV8	P0DPH7
P0DMV8	P0DPH8
P0DMV9	P0DPH7
P0DMV9	P0DPH8
P10912	P40189
P12036	P28562
P12268	P62841
P12524	Q92793
P13645	Q9Y4G6
P13693	Q07812
P15976	P24468
P16220	P49848
P17480	P27695
P19784	Q92934
P22626	P28715
P22681	Q15036
P23025	Q8IXW5
P23510	P28908
P23511	Q15459
P29317	Q12913
P29353	Q8IZP0
P32121	P32780
P35240	Q92922
P40937	Q01130
P41587	P46439
P41970	Q9BQ89
P48736	Q15303
P49407	Q0VDF9
P49902	Q9BPX1
P49917	Q9BXJ9
P49959	Q92889
P50549	Q00839
P51813	Q14980
P52434	Q9H6T3
P52657	Q15185
P55072	Q96QZ7
P56524	Q9HC77
P59768	Q99755
P61088	P61158
P61758	Q05513
P0DP23	Q9P2U7
P0DP24	Q9P2U7
P0DP25	Q9P2U7
P62380	Q15545
P62750	Q9NZM5
P63279	Q99966
Q02078	Q04917
Q06609	Q86Z02
Q07002	Q92552
Q07352	Q9UEW8
Q08380	Q13547
Q12805	Q7Z7M0
Q12805	Q9BQY4
Q13057	Q15118
Q13242	Q15185
Q13257	Q9H211
Q13347	Q15056
Q13424	Q96PU5
Q13547	Q7Z2E3
Q13796	Q8IZD9
Q13813	Q14195
Q13952	Q96L91
Q14012	Q16816
Q14123	Q99726
Q14152	Q99627
Q14894	Q9UPP5
Q15306	Q96KQ7
Q15438	Q9NZ52
Q15532	Q92831
Q15543	Q9NVC6
Q15796	Q9P0W2
Q16643	Q9Y230
Q58WW2	Q9H9Q2
Q6ICG6	Q96JH8
Q6UUV7	Q8N3F8
Q86TM6	Q9UMX0
Q86V86	Q9HBH9
Q86VP6	Q99081
Q86WV1	Q92854
O00159	Q9Y230
Q8N684	Q93062
Q8N684	Q96N03
Q8N684	Q9NRX4
Q8N9N5	Q96EB6
O00187	Q9BXR6
Q8WVC0	Q9Y4A5
Q92556	Q9NR80
Q92934	Q9H0H5
O00410	P54136
O00459	Q13224
Q99726	Q9BZM6
Q99952	Q9H3Y6
Q9BU76	Q9H9D4
Q9BXH1	Q9UMX3
Q9BXJ1	Q9NR12
Q9BY71	Q9BYB0
Q9H0E3	Q9H257
Q9NQ94	Q9NYW5
Q9NQN1	Q9UKU0
Q9NRX5	Q9UGP8
Q9NWT8	Q9ULW0
Q9NZ45	Q9Y3D3
Q9P2X0	Q9Y2Q5
Q9UBV2	Q9Y4W6
Q9ULV8	Q9Y4K4
O14530	O15155
O14646	Q6KC79
O14647	P51531
O14830	Q96RR4
O14920	Q9Y6X2
A4D0S4	P11047
O43292	Q9HD20
O43557	Q9Y385
O43639	O75886
O43639	P29074
O43663	Q9Y6N9
O43749	P33681
O43749	Q9Y3X0
O60216	Q9NYF8
O60518	Q8IZQ1
O60637	P41732
O75052	P12931
O75477	Q9HAV5
O75494	Q9UKV3
O75935	P31269
O94941	Q9NPC3
O95782	P41240
O95997	P33992
O96017	Q9Y266
P00533	Q9BWF2
P00540	Q9Y2P0
P01579	Q09472
P02647	P51693
P02647	Q15109
P02786	P48643
P02794	Q14582
P03372	Q6DJT9
P04049	Q00526
P04179	P40763
P04637	Q9BTT4
P05408	P26885
P06454	P49736
P06454	Q13469
P06729	P41218
P07195	Q14164
P07196	Q9NYL2
P07766	Q96F15
P07996	P49747
P07996	Q9P1W8
P08069	Q8TC17
P08708	Q10567
P09471	Q16653
P09525	P40925
P09525	P52907
P09619	Q14515
P09661	Q9NS56
P09874	Q13546
P10144	P61981
P10242	P38398
P10275	Q01538
P10415	P52333
P11142	Q9H857
P11474	P43699
P11532	Q99689
P11802	P13010
P12236	Q9UIA9
P12931	Q13002
P13501	P13796
P15153	Q14232
P15529	Q99075
P15941	P31749
P16144	P56945
P18564	Q92785
P19438	Q9Y6Q9
P20290	Q92793
P20810	Q9BZQ8
P21802	Q7Z406
P21810	Q8IWU6
P23142	Q92870
P23515	Q13491
P23528	P49815
P25774	Q14116
P26358	P26599
P26447	Q96FQ6
P29323	P42263
P29353	Q8WUM4
P30154	Q13887
P30304	Q9P0L2
P31512	Q8NCG5
P31689	P45983
P36575	Q13574
P38159	Q13310
P39880	P42685
P40238	Q96EY1
P40939	Q14790
P49116	Q99967
P49841	Q86Y01
P51398	Q15788
P51668	Q86TG7
P52803	Q13239
P53778	Q13627
P56282	Q8IZT6
P62753	Q12933
P63267	Q9UKW4
P78368	Q13761
P78527	Q9NYF8
P98082	Q8TB24
Q05209	Q9H3Y6
Q05682	Q9BQE3
Q07687	Q9Y5V3
Q08830	Q9UKU9
Q12972	Q92800
Q13163	Q9UKW4
Q13291	Q6DKI7
Q13352	Q9Y2X0
Q13444	Q9Y283
Q14790	Q96FA3
Q15121	Q15746
Q15365	Q93062
Q15398	Q9NSG2
Q5QP82	Q8NHY2
Q6VMQ6	Q8TF61
Q7Z570	Q96K80
O00167	Q05655
O00257	Q9Y605
Q9GZN7	Q9UBB9
O00487	P31689
O00506	Q9H4A3
O00574	P06239
Q9H9L3	Q9UL42
Q9UHV2	Q9UJU6
Q9UK45	Q9UL18
Q9ULV4	Q9Y230
O14686	P10276
O14832	P29034
O14920	Q9Y6R4
O14965	Q9UBT7
O15514	P18848
O43439	P10275
O43482	Q13233
O43557	Q9UNG2
O60264	P22626
O60565	P62258
O75044	P55081
O75167	O75326
O75691	P04843
O75821	P49588
O75886	Q96CF2
O75969	Q9NZN5
P07196	Q13015
P07355	P0DP23
P07355	P0DP24
P07355	P0DP25
P0DMV8	P41252
P0DMV9	P41252
P08567	P14598
P08581	Q9H0H5
P08621	Q01543
P09211	Q9Y2Y4
P09237	P17936
P09972	Q9UF11
P10276	P16333
P11142	P46778
P11142	P52926
P11166	Q03518
P11532	Q16849
P14784	P46108
P16422	Q8IX03
P17535	Q16665
P21926	P29350
P23246	Q92530
P23508	P25054
P24534	Q9Y250
P26998	Q16385
P27986	Q9UN19
P28161	Q16772
P28749	Q9Y230
P30530	Q9H3Y6
P31946	P62826
P35222	Q63HR2
P37231	Q99967
P40227	Q9NQP4
P40763	Q05516
P41226	Q14258
P41732	P61764
P42684	P84095
P43003	Q9P035
P46013	Q8NBT2
P49454	Q9Y383
P50876	Q7Z419
P51610	Q13227
P55268	Q6NZI2
P61758	P62826
P0DP23	Q96RU3
P0DP24	Q96RU3
P0DP25	Q96RU3
P63272	Q8WX92
P78396	Q9UJX2
P82251	Q86W47
Q00887	Q99518
Q01826	Q66K89
Q03164	Q15797
Q07817	Q9NWB7
Q08945	Q8TDX7
Q12815	Q14134
Q13490	Q96BP3
Q14980	Q63HR2
Q14990	Q9Y2T7
Q5SQI0	Q9BRR3
Q6ZNE5	Q96EE3
Q7Z569	Q9NS23
O00141	P19525
O00165	P52815
Q92889	Q9NW38
Q96N67	Q9Y4B6
Q99640	Q9BZD4
Q9BV47	Q9H3D4
Q9BVA1	Q9Y6Y1
Q9NZ52	Q9P2Y5
Q9UNE7	Q9Y4P8
Q9UQ13	Q9UQM7
O15105	P62805
O15111	Q9BPZ7
O75113	P04637
O75376	Q92753
O75494	P40937
O75676	Q13976
O94906	P68400
O95196	P35346
P02763	P25815
P03372	Q9Y4R8
P04083	P08962
P04839	P19838
P05015	Q01344
P06239	P0DPH7
P06239	P0DPH8
P06753	Q9NQC7
P07101	P56524
P0DMV8	P12236
P0DMV9	P12236
P09104	Q7L0J3
P10415	P19525
P11021	Q13257
P11021	Q8N752
P11831	Q9Y6K9
P14317	P21675
P17066	P50213
P18850	P28324
P22001	P29475
P22736	P83916
P23508	Q14155
P24588	P53805
P24752	Q6NVY1
P25098	Q13233
P25786	Q9GZT8
P29074	P54762
P31350	P45983
P31944	Q13075
P33993	Q14807
P0DP23	P35232
P0DP24	P35232
P0DP25	P35232
P37840	Q9NTI2
P39023	P41279
P45985	Q13523
P46527	P68400
P49450	Q9BWT6
P49910	Q01543
P50406	Q86WV1
P50502	Q9UDY4
P51532	Q8WXI9
P52435	Q99708
P52926	Q9Y6Q9
P53355	Q9BVA1
P53779	Q16828
P54274	Q92769
P54652	Q99832
P54821	Q06828
P55055	Q16512
P55286	Q9Y6N8
P60880	Q99250
P61218	Q92831
P61586	Q6DT37
P61586	Q9BZ29
P61764	Q14789
P62701	Q7Z2W4
P63279	Q9UNL4
P78406	Q92834
P84090	Q9BQE3
Q00610	Q07890
Q00653	Q9NSE4
Q01814	Q14721
Q04724	Q9HCC6
Q07960	Q6DT37
A7KAX9	P43405
Q08999	Q6UWZ7
Q12809	Q13370
Q12860	Q96PU5
Q13115	Q16659
Q13285	Q14994
Q13309	Q9H4M3
Q13363	Q9NPI1
Q13489	Q9Y5V3
Q13501	Q8N5C8
Q13509	Q8IUE6
Q13574	Q9BR76
Q13636	Q16270
Q13813	Q92558
Q13976	Q7Z5R6
Q14155	Q9NQ25
Q14195	Q9BZJ0
Q14451	Q5T124
Q14469	Q92993
Q14676	Q92698
Q14839	Q15047
Q14847	Q9HCS4
Q15011	Q99759
Q15393	Q9HCG8
Q15418	Q15654
Q16254	Q8WX92
Q3V6T2	Q9H0D6
Q5T0N5	Q9BY11
Q6IE81	Q9Y265
Q6ZRS2	Q96JC9
Q7RTV3	Q9NS87
Q7Z6Z7	Q92538
Q8IUD2	Q8NEM2
Q8IWZ3	Q8TF61
O00159	Q16531
Q8N684	Q96MN9
Q8N752	Q9BQE3
O00232	Q9Y6K9
Q8TDW5	Q9UNE2
Q8TEQ6	Q9NY27
Q8TES7	Q96EZ8
Q8TF61	Q9GZM8
Q8WUM4	Q99683
Q8WWM7	Q96MN9
Q92974	Q96P70
Q93045	Q9Y2J0
Q969X1	Q99683
O00311	Q71F23
O00429	O75398
O00459	P17252
O00459	Q14247
Q96KB5	Q96PE1
Q96L21	Q9BQ67
Q99081	Q9Y5B9
Q9BUN8	Q9UNZ2
O00750	Q12866
Q9GZZ7	Q9UDX4
Q9H0E3	Q9NWT6
Q9HAV5	Q9UDY8
Q9HBE5	Q9P0V8
Q9NVP2	Q9UKT4
Q9ULH7	Q9UQM7
O14641	P45983
O14757	O75717
O14920	P42684
O14965	Q9UER7
O14974	Q9Y6K9
O14980	Q08999
O15111	P06730
O15164	P12755
O15198	Q01844
O43143	P62826
O43164	Q9UIF8
O43164	Q9Y639
O43242	P12236
O43251	Q9NX95
O43307	P84022
O43426	O95219
O43447	P09012
O43615	Q12805
O43633	Q99497
O43639	P18085
O43683	O75419
O43683	P33991
O43684	P22234
O43734	P01375
O43761	Q9UI15
O43809	Q96T58
O43896	P17812
O60383	P47775
O60500	P46108
O60674	P27708
O60711	P09769
O75015	P06239
O75170	Q9UKJ3
O75376	Q16666
O75444	Q9UBC5
O75446	P38398
O75618	Q93038
O75676	P51617
O75689	P35568
O75689	Q15349
O75962	Q9BZD4
O76064	Q92830
O94806	Q13144
O94817	P61604
O94874	Q9UKI8
O94911	Q9Y646
O94925	P01135
O95166	Q9Y6K9
O95178	P48201
O95619	P11171
O95721	Q9H270
O95741	P46459
O95782	P06241
O95782	Q07889
O95793	Q9H074
O95999	Q86Y07
O96004	P08047
P00558	Q14764
P01127	P01138
P01567	P08263
P01570	Q9NQ94
P01571	Q9BYJ1
P02787	P20273
P04083	P15514
P04150	Q5SXM2
P04179	P10145
P04183	Q5BJF2
P04198	P45984
P04264	P16284
P04439	P05161
P05015	Q02577
P05015	Q13224
P05106	P43146
P05408	Q9UQ16
P05412	P16104
P05455	P10124
P05814	P53779
P06239	Q86YW0
P06241	Q5VWX1
P06396	Q13772
P06576	Q9UBF6
P06756	P48509
P07355	P37802
P07384	P68371
P07437	Q99767
P0DMV8	P55211
P0DMV9	P55211
P08708	Q92522
P08922	Q9UKJ1
P09104	Q13015
P09417	P20916
P09471	P50993
P09471	Q05586
P09471	Q53FP2
P09525	Q13751
P10275	Q15560
P10589	P48552
P10914	P15260
P11142	P46781
P11142	Q9P0L2
P11215	Q5VVH5
P11387	P17676
P12036	P51452
P12110	P17936
P13010	P31267
P13498	P40306
P13569	Q13507
P13645	P14314
P13647	P81605
P13693	Q86UP2
P13725	Q14626
P14373	Q8NE71
P14678	P62136
P15173	Q15459
P15173	Q9P2T0
P18433	Q03135
P19086	Q92737
P19338	Q9Y5K6
P19525	Q8IW41
P19793	P29083
P20592	Q9NUL5
P20749	P62424
P21266	Q16772
P21333	Q9NPE3
P21980	Q9UBT7
P22102	P48047
A6NI72	Q9UQ88
P22674	Q9HCU8
P23025	Q9BWH6
P23409	Q01664
P23443	Q13043
P23458	Q99759
P23468	Q99689
P24534	Q92769
P24863	P51959
P25116	Q92888
P26639	P61158
P27448	P49841
P29350	Q9UBE8
P30101	Q8N423
P30281	P31749
P30679	P49795
P31749	P57059
P32121	Q9H6T0
P32519	P35606
P32519	Q9BYH8
P33151	Q96QZ7
P33992	Q9BVW5
P33993	Q7Z5K2
P35221	Q9ULB5
P38936	Q8WUM4
P40261	Q9NR99
P40337	Q9Y574
P40818	Q92973
P40938	Q12905
P42224	P49356
P42224	Q99623
P42574	P51532
P43405	Q96LA5
P46060	Q15554
P46439	Q99683
P48059	Q14790
P48357	Q96EY1
P48594	Q9NZC7
P48729	Q9Y265
P49354	Q99819
P49407	Q06481
P49407	Q8N5C8
P49761	Q96NE9
P50990	Q15173
P51451	Q12866
P51532	Q93008
P51571	P51572
P51610	Q04637
P51617	Q6P1M3
P51668	Q7Z7E8
P51684	Q16663
P51795	P51797
P52926	Q8WUF5
P53355	Q13233
P53355	Q99986
P53779	P62805
P56545	Q13485
P60842	Q14103
P61020	P63000
P61201	Q13503
P61981	Q96RK4
P0DP23	Q06124
P0DP24	Q06124
P0DP25	Q06124
P62241	P63165
P62258	Q5MJ70
P62318	Q9HCG8
P63010	Q12967
P78352	Q9H2G4
P98175	Q14004
Q00526	Q92466
Q00610	Q13435
Q00987	Q04323
Q01538	Q13387
Q03001	Q9P2Q2
Q07666	Q14008
A7E2V4	Q96K80
Q09013	Q9NR80
Q09472	Q13438
Q12929	Q92625
Q13049	Q9H0L4
Q13243	Q15424
Q13485	Q16520
Q13491	Q9ULB1
Q13509	Q5JUX0
Q13522	Q9UDX4
Q13547	Q14653
Q13554	Q69YW2
Q13596	Q14677
Q13637	Q9UKA4
Q14934	Q16621
Q15006	Q9BYX7
Q15326	Q96EK5
Q15366	Q9UBW7
Q15406	Q96T58
Q15468	Q8TAT5
Q15796	Q15843
Q15906	Q99558
Q16143	Q16352
Q16543	Q96CV9
Q16643	Q9BTW9
Q16666	Q92908
Q59EK9	Q8WWW0
Q5SW79	Q63HM2
Q5VU43	Q6AI39
Q6AZZ1	Q96L73
Q6UUV7	Q9H4L5
Q6VMQ6	Q8IYX8
Q70EL1	Q93062
Q70EL1	Q96K80
Q7L2E3	Q8TAQ2
Q8IWT3	Q9H7Z6
O00124	Q9BZV1
O00148	P31749
O00148	Q8NCD3
Q8IYU8	Q9UKB1
Q8IYX8	Q8TF05
Q8IZD9	Q96B97
Q8N163	Q8N5C8
Q8N163	Q9Y297
Q8N1L9	Q96MN9
Q8N423	Q9UMR7
O00231	O00463
Q92547	Q9NS87
Q92734	Q9BWT7
Q92753	Q92831
Q92820	Q9H8V3
Q92831	Q99814
Q92922	Q96T58
Q93009	Q9UBF6
Q93052	Q96AC1
Q969R5	Q9HCU9
Q969R5	Q9Y5X4
O00459	P22607
Q96JK2	Q9H9Q2
Q96K80	Q96N03
Q96RL7	Q9H9L3
Q99614	Q9UQ13
Q99726	Q9NYQ3
Q9BWF2	Q9UBN7
O00555	Q13387
Q9H257	Q9H6Z9
Q9UER7	Q9UPT6
Q9UPT6	Q9Y6W6
O14757	Q9Y2U5
O14933	O94817
O14974	O75807
O14981	P09429
O15105	P28827
O15162	P40763
O15164	Q13257
O15235	P62917
O15350	Q9UBK2
O15360	O43318
O15360	P11021
O15360	P28749
O43143	P06730
O43187	P10914
O43255	P63027
O43295	Q05193
O43300	P51674
O43318	P38398
O43592	P46527
O43708	O75326
O60234	P12544
O60271	Q12830
O60282	Q9NS85
O60315	P19532
O60831	P01730
O75044	Q9UKE5
A6NCE7	Q96NL1
O75326	P0DML2
O75326	P0DML3
O75385	P41743
O75528	Q8IXJ6
O75554	O95400
O75691	P48047
O75747	Q92569
O75794	Q15046
O76064	Q07869
O94777	P54920
O94805	P60709
O94826	Q02790
O94915	Q03001
O95149	Q9NWZ8
O95232	P78332
O95232	Q8WUM0
O95365	P84022
O95411	P05141
O95478	P26641
O95711	P02745
O95999	P40337
O95999	P62837
P00374	Q96DY7
P00533	Q15661
P00749	Q4L180
P01040	P49716
P01106	Q9H0M0
P01106	Q9HD15
P01133	P16591
P01730	P49715
P02462	Q08431
P02751	Q07666
P02765	P13645
P03372	P09769
P04150	P61289
P04439	Q9UL46
P04629	P13688
P04637	Q7Z465
P04843	P53621
P05114	P35268
P06239	P23443
P06493	Q92698
P06703	Q00688
P06748	P23511
P06756	P35568
P07237	P25686
P07437	P17302
P07550	P08670
P07900	Q5T1R4
P07947	P35240
P08473	Q9UH73
P08514	Q9H4B4
P08581	Q00987
P08590	Q9UKX2
P08670	P62314
P08729	P78344
P09769	P35326
P09871	P35442
P09874	P55316
P09874	Q9UID6
P10124	P13501
P10242	Q06330
P10242	Q9UER7
P10415	Q9HC29
P10599	Q9H3D4
P10826	P56524
P10912	Q14118
P10914	P16403
P11021	P52429
P11388	Q13233
P11802	P43246
P11802	Q13574
P11831	P15036
P12270	P25789
P13591	P15311
P14136	Q13009
P14373	P40763
P15172	Q9UKG1
P15309	Q8TEW6
P15882	Q9NY72
P16104	Q96PM5
P16220	P43699
P16591	P29597
P17544	Q15572
P17677	P35612
P17812	P62258
P17812	Q7Z401
P17812	Q9NYF8
P18031	Q13393
P18065	P22692
P18206	Q9BUB5
P18846	Q15853
P18887	Q14527
P19105	P62805
P19174	Q9UJM3
P19235	Q07912
P19338	P63010
P20042	P62906
P20333	Q9HB75
P21333	P42768
P21580	Q96EQ8
P22681	Q92556
P22736	P42858
P23246	P46060
P24522	P98082
P24941	Q13557
P25054	Q96GD4
P26038	Q96AC1
P26358	Q08945
P26373	Q9NY61
P27361	Q9Y2R2
P28074	P36406
P28482	Q15185
P28482	Q99816
P28749	Q9BXW9
P29034	Q92990
P29074	Q9HD26
P29353	Q13625
P29597	Q16620
P30153	Q15233
P30260	Q00987
P30304	P54253
P30530	Q9NP31
P31269	P36578
P31749	Q13387
P32121	P59046
P32121	Q5VWQ8
P32121	Q96NE9
P33981	P33993
P35269	Q13200
P36578	Q2NL82
P37173	Q13131
P40313	Q9Y3X0
P40939	Q9Y265
P41240	Q99986
P41252	Q99683
P42684	Q8TEC5
P43243	Q63HM2
P45973	Q5QNW6
P45984	Q8WU20
P46013	P50748
P47736	P62070
P47989	Q99801
P49137	Q13153
P49368	P62834
P49368	Q13610
P49407	P50552
P49407	Q14152
P49759	Q01081
P49841	P98177
P50402	Q07666
P51531	Q96S59
P51571	Q9Y4W6
P51812	P54646
P52272	Q2NL82
P52799	Q05397
P53667	Q04771
P53779	Q13885
P55345	Q15910
P56470	Q9NYL9
P62140	Q00653
P62258	Q9UHX1
P62258	Q9ULV4
P62714	Q14974
P62837	P63244
P62993	Q99697
P63267	Q05193
P78504	Q92585
P80303	Q00839
Q02078	Q9BY41
Q03001	Q99570
Q04759	Q16513
Q06418	Q9H3Y6
Q08209	Q15413
A8K7I4	Q15149
Q09472	Q969D9
Q12874	Q13435
Q13023	Q9ULM2
Q13232	Q7Z3S9
Q13242	Q99697
Q13491	Q16555
Q15329	Q9UJU2
Q16594	Q9NS56
Q32P44	Q9UMS4
Q53GT1	Q8IWV8
Q5JY77	Q9UBS5
Q5T5U3	Q9UPM8
Q5TKA1	Q8IYF3
Q674R7	Q9BXW4
Q6GPH4	Q9Y2U5
Q6P2Q9	Q99558
C9JL84	P08263
Q86V81	Q99683
O00220	P05067
O00220	Q8IVM0
O00255	P11021
Q8WXH5	Q9UK73
Q92734	Q9BXL7
Q92886	Q9UHV2
Q93077	Q93079
O00458	O43593
Q96CW5	Q96L34
Q96DZ5	Q99962
Q96GD4	Q99708
Q9BRR3	Q9NYX4
Q9BV68	Q9Y266
O00716	P35232
Q9H160	Q9NR12
Q9H1R2	Q9H5I1
Q9H6Q3	Q9Y5K6
Q9NY72	Q9UQB3
Q9UQB3	Q9Y4J8
Q9Y3X0	Q9Y6X6
O14625	O15204
O14818	P04637
O14920	Q92851
O14965	P50750
O15085	Q9BST9
O15151	Q92466
O15354	Q15011
O15550	P55055
O15553	P04150
O43187	Q9Y6R4
O43318	Q14012
O43505	O94805
O43567	O95551
O43809	Q96BR1
O43914	P49795
O60333	Q5JTD0
O60674	Q96S53
O60825	P49407
O60828	P20226
O75030	Q02078
O75044	P78559
O75368	Q9NR56
O75460	Q96NX5
O75528	Q9NRF9
O75578	P12034
O75586	P78527
O75593	Q9UI36
O75626	Q02790
O75663	Q8TF05
O75970	Q9P0V3
O76015	Q8TCN5
O76081	Q9Y272
O94805	Q5U4P2
O94921	Q9BTV7
O95197	P51674
O95197	P63027
O95297	P25098
O95382	Q8TD08
O95429	P08473
O95602	P0DMV8
O95602	P0DMV9
O95619	Q9H4G0
O95670	Q93050
O95816	Q92734
O96028	Q92793
P00519	P48426
P01225	P27348
P04629	Q13163
P04637	P09086
P04839	Q13094
P05129	Q16515
P05771	P08575
P07437	P40818
P07550	Q13873
P07585	Q9UKU9
P07919	P62081
P08581	Q16665
P08648	P21781
P08727	Q13523
P09012	P33992
P09382	P83731
P09769	P15309
P0C1S8	P41240
P10275	Q96AJ1
P10415	P67809
P10809	P62306
P10826	P12755
P10826	P27540
P11274	Q96JZ2
P13236	P49682
P14136	P27816
