O96020	Q8IZT6
P01011	P05156
P01100	P05161
P01112	P06400
P01614	P13645
P02768	Q15834
P05067	P19338
P06239	P12830
P06239	P30419
P07195	Q08380
P07437	Q15306
P07437	Q9NX02
P07947	P49796
P07992	P52294
P08575	Q15669
P09543	P60201
P09871	P14543
P09884	P23025
P09923	P35452
P11021	Q8IUF1
P11142	P27635
P11802	P35250
P12004	P16220
P12111	Q03135
P13056	P14859
P13747	P15153
P14854	P61165
P15056	P48643
P15311	P35228
P16104	P54253
P17677	Q96GW7
P17706	Q92835
P17858	Q12931
P17948	Q16665
P18505	Q9UQ16
P19838	Q96BH1
P20591	Q14571
P21980	Q00653
P23142	Q14515
P23443	Q9UBS0
P23497	Q9BV40
P25774	P32249
P25787	Q15797
P25963	Q9UHB6
P26038	Q04206
P27348	Q13239
P29374	Q92793
P30050	Q9NYF8
P30153	P35579
P30304	Q9Y5N6
P32121	Q9UJ41
P33076	P35222
P34931	Q9H6T3
P34932	P78347
P35219	Q9NZU7
P37231	Q02447
P38432	Q92793
P38646	P57678
P41091	Q9NR50
P41143	Q5TCQ9
P41212	P51610
P41970	Q9H5I1
P43403	Q07890
P45985	Q9BUB5
P46439	Q5JY77
P46821	Q00987
P46940	Q13322
P47775	P49758
P49789	Q09472
P49815	Q96TC7
P50053	Q9HBB8
P51812	Q16816
P52179	Q9NPC6
P60660	P60866
P61626	Q07325
P61764	Q9NZN3
P62314	Q92769
P78527	Q96CX2
P51681	P78556
P81274	Q9H4G0
P84157	Q03135
Q01831	Q92922
Q03164	Q8WYH8
Q09470	Q16478
Q8IYA6	Q96FF9
O00170	Q14318
Q8N5D0	Q9C0C7
Q8N684	Q9H7H0
O00213	Q9BXW4
O00294	P41970
Q8TBC4	Q9Y6B2
Q92769	Q9BUJ2
Q99759	Q9H4B7
Q9BZE4	Q9NW13
Q9BZJ0	Q9GZN7
Q9NQN1	Q9NYV7
Q9NYJ8	Q9UKI8
O15111	P51955
O15169	Q66K89
O15360	P98177
O15519	Q04637
O43318	Q92783
O43592	Q96SB4
O43676	Q07326
O43747	Q9Y2T2
O43809	P40937
O75478	P84022
O75716	P27658
O75794	P20248
O94874	Q14498
O95067	P63010
O95365	P14859
O95406	Q7L2H7
O95670	Q9UPV7
P04839	P49715
P05129	Q02750
P07814	P12236
P08047	P35226
P08047	Q01826
P08243	Q9NX09
P08729	Q9UBQ5
P09769	P20702
P10827	P20265
P10827	Q99626
P12931	Q9P2Y5
P12980	Q00653
P15173	P78347
P15173	Q01664
P16220	P50613
P17535	Q00613
P19388	Q92831
P20701	Q14192
P21579	P49802
P23458	P27708
P24864	Q14839
P24941	Q66K89
P29353	Q9NZN5
P29459	Q92831
P29475	P41594
P29597	P49715
P30304	Q06124
P31350	Q9UM63
P35268	P49619
P40337	Q9UHD8
P47756	Q9NVI7
P50991	Q16537
P51532	Q7KZ85
P55055	Q8IV08
P60228	Q9NYF8
P62241	Q15758
P62837	Q7Z419
P63104	Q14191
P68133	Q99683
P78352	Q06481
P78356	Q99856
P98175	Q05682
Q00577	Q92994
Q00610	Q99832
Q01826	Q96EP1
Q01831	Q13884
Q04917	Q06124
Q05066	Q15652
Q05513	Q13219
Q05655	Q14814
Q06187	Q9NZM3
Q07912	Q99062
Q09028	Q9H5I1
Q13111	Q14739
Q13535	Q15759
Q13536	Q9UPV7
Q13562	Q14203
Q14005	Q15759
Q14974	Q9Y6Q6
Q14978	Q9UQ80
Q15459	Q2TAZ0
Q15759	Q8N819
Q66K74	Q66K89
Q7Z569	Q8IZJ4
Q8IWT3	Q9NRG4
O00170	P55210
Q8N2S1	Q9NS15
Q8NF91	Q8WXH0
O00220	P55210
O00303	P30281
Q93074	Q9Y618
O00750	Q04912
Q9H0M0	Q9UM13
O15069	Q9Y6Y1
O15379	Q8IY57
O15524	Q13616
O43312	P35520
O43390	P00492
O43657	P08962
O75362	Q9H307
O75496	Q96KB5
O75899	Q3SXP7
O94885	P78352
O94888	Q6UXN9
O95972	Q76N89
O95996	Q9BRK4
P01033	P54368
P01106	Q9UPT6
P01112	P46821
P05107	Q9NNX6
P05386	P27348
P05787	Q13523
P06734	Q9UDX4
P07437	Q9BQG0
P08575	P20138
P10451	P18564
P10912	Q9Y4K4
P11168	P55060
P11277	Q14980
P11388	P41212
P13671	Q9NQ76
P16220	P40426
P19419	P19438
P21731	P48023
P22004	Q15326
