P15927	Q16667
P15976	Q15233
P16220	Q12834
P16284	P17302
P17014	Q96HQ0
P17275	P21333
P17542	Q8WW38
P17706	P61088
P17987	Q9NVI1
P18031	P42336
P18507	Q59EK9
P19086	Q8TAC9
P19235	Q9ULH1
P19419	Q04864
P19793	Q15572
P19838	P31751
P19878	Q96JQ5
P20248	P30279
P20339	P30154
P20700	Q13263
P20702	P21926
P20749	Q8WYK2
P21333	P63279
P21580	Q02246
P22001	P23469
P22626	Q01081
P23229	Q13418
P23246	Q92499
P23409	Q14814
P23497	Q13547
P24043	Q8IW00
P24928	Q13164
P24941	Q07817
P25098	P46734
P25098	Q92569
P25440	Q8NEM0
P25445	Q07666
P25445	Q13224
P25685	P32121
P25789	P34932
P25942	P61088
P26373	Q07666
P26447	Q9H2X6
P26998	Q9UK13
P27361	Q00722
P27635	P31689
P29353	Q01113
P29558	Q15365
P29597	P35916
P29622	Q6IB77
P30050	P68371
P30273	P78314
P31689	P62266
P31942	Q15072
P31946	Q92569
P32942	Q9Y490
P32969	Q5JWF2
P33316	P78527
P33552	Q13352
P33763	Q00987
P34931	Q15306
P35222	Q9Y2G4
P35658	Q8N1F7
P35916	Q12913
P39210	Q15036
P40938	Q9Y265
P41182	Q16649
P41229	Q9UKL0
P41279	Q8TD08
P42224	Q9H204
P42226	Q12834
P42331	Q06643
P42566	Q13444
P42574	Q15121
P42684	Q14108
P42696	Q9UQE7
P42766	Q9Y230
P42858	Q9BUJ2
P43489	Q14790
P46439	Q9UJV3
P47897	P62847
P47928	Q9UMN6
P48023	Q9UKU0
P48552	P51610
P48643	Q92598
P48730	Q96DY7
P49137	Q9UER7
P49327	Q9Y230
P49418	Q9UPA5
P49427	P62837
P49736	Q96T88
P49755	P61803
P49759	Q8TF01
P49841	P51693
P49848	Q92793
P52757	Q08881
P54132	Q9H160
P61086	Q9H7Z6
P62306	Q96I25
P62987	Q71UM5
P68400	Q9UBL3
Q00987	Q07869
Q06546	Q16589
Q07889	Q9H1R2
Q12931	Q9Y4W6
Q13114	Q96EQ8
Q13153	Q9Y618
Q13330	Q15648
Q13424	Q9NUP9
Q13546	Q9HAU4
Q13574	Q7L2E3
Q13615	Q9Y2L1
Q13643	Q92785
P0DPH7	Q9BV68
P0DPH8	Q9BV68
Q13882	Q6S5L8
Q14994	Q6AZZ1
Q15906	Q99759
Q16478	Q8N2Q7
Q16534	Q9Y6Y1
