P05771	Q5JWF2
P04054	Q5JWF2
O14965	Q9H410
P05388	P51114
P05388	P51116
O43674	P05388
A6NHQ2	P05388
P49023	P56159
P30086	Q9UH99
P48547	Q9UQ05
Q9NR82	Q9UQ05
P98171	Q07889
P51003	Q96CJ1
O95178	Q9Y375
Q13561	Q9Y266
P48651	Q7L5Y9
Q86TM3	Q9NZD8
O75154	P52198
O75154	Q9NPA3
P49588	Q96KP4
Q8IUC4	Q9NV70
O60610	Q15319
P07942	P31749
P07942	P35442
O43511	O60487
Q8WWW0	Q8WZA2
P15085	Q92813
Q16778	Q9Y5B9
O14893	Q99633
Q13886	Q14050
Q07001	Q14050
P28360	Q14050
P15311	P63211
Q8NDX5	Q9UL18
Q96KQ7	Q9UL18
P63165	Q9UKX7
P00505	P21964
Q96BW1	Q9BSU3
O14818	Q9UJX2
P49721	Q9UJX2
Q99436	Q9UJX2
P28072	Q9UJX2
P28070	Q9UJX2
P17980	Q9UJX2
Q9UJX2	Q9UNM6
P40306	Q9UJX2
P28062	Q9UJX2
P23219	Q9NZ20
P22004	Q13145
Q14137	Q96SB4
P20142	P37088
Q02083	Q96EB6
O00311	Q9UPV0
Q9UL51	Q9Y257
P48547	Q9Y257
P48556	Q9H1A4
O15047	Q9HCU9
P52272	P62487
P17568	P37837
P19388	Q15428
P17812	P19388
P52594	Q9UL51
O15547	Q12879
P09651	Q15459
Q15459	Q8WXD5
Q5JSQ8	Q9UDX4
Q96KN2	Q9UBR1
P17844	P62318
P62318	Q9BWF3
P28482	Q9NZK7
P19440	P22352
O75608	Q9NZ20
P41227	P55769
P55769	P55795
P61218	Q9BZI7
O75643	P61218
P61218	Q15365
P13866	Q5TF39
P17861	Q16799
O75907	Q9NST1
P42167	P50502
P62877	Q9NP62
P62877	Q96LD8
P46060	Q12815
Q7RTV0	Q9BUP3
Q7Z2Y5	Q8N4C6
O95406	Q96TA2
P25788	Q9H211
O43791	Q13573
Q13243	Q96IY1
P55010	Q92974
Q8NC51	Q9UPY3
Q9NQB0	Q9P0R6
P14678	P62191
P25054	P62191
P62191	Q969Q0
Q86U42	Q8IV48
Q86U42	Q9UKF6
Q58A45	Q86U42
O94782	P60900
Q9C005	Q9Y3B6
P32881	Q9UL46
P47902	Q9UJQ4
Q9BQE3	Q9NQP4
P50990	Q9H4B7
O14818	Q9NZH5
Q00975	Q9UL49
P46940	Q8N6T3
Q8N6T3	Q96H20
Q16082	Q8N6T3
Q15008	Q8TCT9
Q15691	Q8N668
Q8WXA9	Q96SZ6
P01036	P81274
P01036	P14902
O43566	P01036
P54578	Q9BX26
O15466	Q9H4F1
O43148	P18074
Q86YT6	Q9C035
O75832	Q9UK22
P51841	Q08493
O43463	Q96AY2
O60412	O60840
P13797	Q16643
P32004	P41227
O60828	O95639
O95149	Q15075
Q92674	Q9Y2Z0
Q15555	Q92674
P08581	Q92915
P78508	Q13326
P19387	P84103
P09914	P51665
Q15572	Q9GZL7
P51798	Q15052
P63104	Q08999
O14735	Q01105
Q15542	Q9H7Z6
O95059	Q9H2Y7
O60934	Q96AY2
O76013	Q9UBT3
Q8IV48	Q8NC51
P33991	Q9H4L7
Q96SQ9	Q9UQ10
P14866	P62308
O75643	P14866
O43805	P04350
P08621	P36954
P08621	P52434
O75381	Q96HA9
P18074	Q13503
P18074	Q9UM54
O75792	P10153
P53803	Q15428
Q08117	Q15063
P61224	Q9Y421
O95402	Q5SXM2
O95402	Q96GJ1
P53667	Q9UQB9
O95707	Q9Y265
P15173	Q9Y463
P36954	Q08170
O75643	P36954
P31943	P36954
O60664	Q9BZL6
P49721	Q9UM11
P61289	Q9UM11
P28072	Q9UM11
Q14008	Q9UM11
Q9UM11	Q9UNM6
P35452	Q9NYZ4
P29597	Q07325
P29597	P51681
P48051	Q92952
O00459	P62070
P20336	Q8TC26
P49961	Q08493
O60503	Q08493
P62308	Q8IWZ8
Q8NFY4	Q8NFZ8
P18564	P51636
P26010	P51636
P08581	Q92914
O43915	P08581
P49639	Q13112
Q04837	Q9H611
P60842	Q04837
P09913	P55884
P55884	Q9Y2R9
P49848	Q68CP9
P20839	P23109
P81408	Q9NX63
P15880	Q15056
P47813	Q15056
O60361	P00568
O76074	P00568
P00568	P18545
Q92902	Q9UL26
P55212	Q14152
O14958	P16298
Q9BRK4	Q9Y572
Q8N3I7	Q9BRK4
O60882	P55075
Q92538	Q9UBQ0
Q13895	Q9BZE4
O75478	Q9Y2Y1
P09919	P24158
O43242	P49336
Q8N3I7	Q9UJT1
Q13889	Q9UHV7
