O75386	P02489
O00233	Q9Y4H2
O60755	P30989
P21554	P30989
P25103	P34969
P24530	P47775
P18825	P51677
P15170	P55769
P13591	P57087
O14594	Q13349
P35367	Q15743
P28335	Q969F8
P30989	Q969F8
Q15743	Q96LB2
P41143	Q9NPB9
Q9HCJ2	Q9P2J2
P55317	Q9UJU5
Q96L73	Q9UMN6
P56559	Q9UPQ3
P04216	P12755
O43918	P06681
P03952	P19320
Q9NQ25	Q9NZP8
O00182	Q7L591
P35609	Q7RTP6
Q13813	Q7Z6B7
Q7Z6B7	Q8WUF5
Q6ZUT3	Q96AQ7
A1IGU5	Q96KQ4
Q8NCF5	Q9BSE4
P29323	P49761
P20827	Q9Y6R4
P04275	P58335
Q13410	Q13449
Q4ZHG4	Q53EP0
Q13347	Q5MNZ6
O75923	Q8IYJ3
Q53EP0	Q8N3K9
Q03405	Q8WVV5
Q6TDP4	Q9BYV9
Q9BYV9	Q9H0H3
O60784	Q9H201
Q9BQS2	Q9H426
P34130	Q9NT99
P46060	Q9P2Q2
P13501	P27540
O00175	P53667
P36897	Q12797
P29317	P48960
O00187	P07357
O75093	P09038
P37275	P43403
P35711	P56177
O60315	Q01974
P49321	Q02447
P12319	Q04206
P10586	Q14162
P07766	Q15465
P51692	Q7Z6A9
P48431	Q8TE12
P07766	Q96RJ3
O15522	P19793
P35869	P46531
P35398	Q05925
O75093	Q13591
P01584	Q29980
Q63HK5	Q9BRQ0
P13631	Q9Y2V3
O15146	Q9Y5E3
O15146	Q9Y5E6
P07358	Q9Y5Q5
Q9H3D4	Q9Y6Q9
P52179	Q16602
O60543	Q7Z3T8
P55286	Q86SJ6
Q08174	Q96JP9
O14917	Q9BZA8
P55286	Q9H158
Q9BZA8	Q9H158
O95206	Q9H159
P55287	Q9HCL0
Q14517	Q9NPG4
O95206	Q9P2E7
P55286	Q9P2E7
Q8TAB3	Q9P2E7
Q9BZA8	Q9P2E7
P55287	Q9UN67
Q9HCL0	Q9UN67
Q9HCL0	Q9UN70
Q9NYQ6	Q9UN70
Q9BZA7	Q9Y5E1
Q9HCL0	Q9Y5E4
O60245	Q9Y5E5
Q9UJ99	Q9Y5E5
Q9H158	Q9Y5F9
Q9HCL0	Q9Y5F9
Q9BZA8	Q9Y5G0
Q9HCL0	Q9Y5G9
Q9H158	Q9Y5H0
Q9H158	Q9Y5H2
O60245	Q9Y5H7
Q9HC56	Q9Y5H7
P55287	Q9Y5H9
Q9HBT6	Q9Y5H9
Q9UJ99	Q9Y5I2
Q9UN70	Q9Y5I2
Q9Y5H2	Q9Y5I2
Q9Y5E5	Q9Y639
P04637	P11230
P20160	Q9NRD5
Q9H2K2	Q9UKI8
P15018	Q9UL46
Q15831	Q9Y6N7
P08253	P62942
P29279	Q08881
O15357	Q14774
Q15691	Q16514
P20336	Q5VWJ9
Q03164	Q96HC4
O75843	Q9BY11
P01112	Q9UPW8
P26718	Q2HXU8
P01242	Q5VTT5
O95460	Q6UXB4
Q495A1	Q6UXG3
P25445	Q86W28
Q8IU80	Q8N475
P28799	Q8NHL6
Q7Z408	Q96MU8
P48740	Q9NQ36
Q8IYI6	Q9UMF0
Q07108	Q92752
Q6UXB4	Q92752
Q92478	Q92752
A6NDE4	Q9NZI8
A6NFN3	Q9NZI8
P0C7P1	Q9NZI8
P0DJD4	Q9NZI8
Q15415	Q9NZI8
O43307	Q71RG4
P80192	Q71RG4
P61956	Q8N2Y8
Q14CS0	Q8N2Y8
O15020	Q8TED9
P55854	Q8TEJ3
Q14CS0	Q96HL8
Q14CS0	Q99962
P10398	Q9H347
P61960	Q9UHD9
Q14CS0	Q9UNA1
P04216	Q5VV43
O95863	P10071
P18031	P21709
O15151	P35227
P49450	Q12872
P20160	Q13422
Q12872	Q16695
P49796	Q6Q0C0
P55212	Q6W2J9
Q06587	Q8N6D2
O60481	Q8NAP3
P19544	Q8NAP3
Q6W2J9	Q8NI38
P02549	Q96A08
P02549	Q99877
P19474	Q99942
Q13185	Q9H3R0
Q8WY64	Q9H4P4
Q96BD5	Q9UNL4
P35226	Q9Y3C5
P19429	Q9Y6Q9
O14896	P12757
O43248	Q99835
O60478	P04201
P21854	Q5QGZ9
A4D1S0	Q8IX05
Q86SU0	Q8N126
O95661	Q8N8L6
Q6ZRY4	Q9NW64
Q8N8V4	Q9NYL2
O60478	Q9NYW2
Q8N6K7	Q9NZS9
Q86UV5	Q96PU4
Q9BXF3	Q9NQZ2
Q86YV0	Q9NYR9
O43283	P05129
P12931	P22612
O94768	P24723
O95382	P25098
O94768	P49336
O94768	P50750
P42684	P51817
O43293	Q00532
O94768	Q09013
Q00532	Q13177
O94768	Q15835
O60674	Q32MK0
P23458	Q32MK0
