Q15542	Q6P1X5
Q5VWG9	Q9UM13
Q13042	Q5VWG9
O00268	Q9BS18
O00268	Q9UJX2
O00268	P30260
O00268	P19338
P30260	Q15542
P26885	Q01995
P78417	Q01995
P49773	Q01995
Q01995	Q99714
P22392	Q01995
P23284	Q01995
Q01995	Q9UMY4
O60493	Q01995
O15498	Q01995
P00966	P37802
P06576	P37802
P37802	Q9HB71
P23528	P37802
P37802	Q14019
P37802	Q96EP5
P37802	Q9GZV4
P37802	Q6IS14
P15311	P37802
P26885	P37802
P31150	P37802
P37802	P78417
P37802	Q9H4Y5
P37802	P49773
P37802	Q99714
P37802	Q6YN16
P34932	P37802
O95757	P37802
P37802	Q92598
P09960	P37802
P26038	P37802
P37802	Q13126
P22392	P37802
P30101	P37802
P18669	P37802
P00558	P37802
P37802	Q9H2H8
P37802	P78406
P35241	P37802
P37802	Q9UMY4
O60493	P37802
P00441	P37802
P35270	P37802
P37802	P55854
P37802	Q9UI15
P10599	P37802
O00762	P37802
A5PLL7	P37802
P37802	Q13404
P37802	Q9Y3C8
O15498	P37802
P50395	Q9UI15
P78417	Q9UI15
P49773	Q9UI15
Q99714	Q9UI15
P34932	Q9UI15
O95757	Q9UI15
Q92598	Q9UI15
Q13126	Q9UI15
P22392	Q9UI15
P00558	Q9UI15
O60493	Q9UI15
P55854	Q9UI15
P10599	Q9UI15
O15498	Q9UI15
P24666	P37837
P04075	P37837
P37837	Q14061
P21291	P37837
P37837	Q96EP5
P30084	P37837
P06733	P37837
P37837	Q9NUQ9
P37837	Q9HC38
P17174	P37837
P00338	P37837
P37837	Q6ZMR3
P37837	Q9BYZ2
P07195	P37837
P07864	P37837
P09382	P37837
P37837	Q13126
P37837	P55809
P37837	Q15365
P37837	P52209
O95336	P37837
P37837	Q15124
P37837	Q9NVS9
P32119	P37837
P37837	P63000
P37837	Q96AT9
P37837	Q9H0I9
P37837	Q9Y3C8
O75191	P37837
P30520	Q6ICL3
P04040	Q6ICL3
P23528	Q6ICL3
Q6ICL3	Q9NY33
P11413	Q6ICL3
P04406	Q6ICL3
P46926	Q6ICL3
P10809	Q6ICL3
Q6ICL3	Q9UIC8
P61970	Q6ICL3
P12955	Q6ICL3
Q6ICL3	Q9H2U2
P30405	Q6ICL3
P09417	Q6ICL3
P00441	Q6ICL3
P49327	Q13395
P26639	Q13395
Q05048	Q13148
Q13148	Q99714
P04792	Q13148
Q13148	Q92597
Q13148	Q9UGV2
P43487	Q13148
Q13148	Q15645
Q13148	Q9NQW7
P26639	Q9Y613
P26639	P35637
P26639	Q15785
O43399	P26639
A2RTX5	P07814
A2RTX5	O94808
P30085	Q6P1N9
O75146	Q6P1N9
P53041	Q6P1N9
Q6P1N9	Q8WXF1
Q6P1N9	Q99816
P40818	Q6P1N9
P23381	Q6P1N9
P54577	Q6P1N9
Q9BZZ5	Q9NUY8
Q13618	Q9ULP9
Q01433	Q66K14
O75347	P53367
O75347	Q14061
O75347	Q13542
O75347	Q13526
Q99426	Q9BTE6
Q16401	Q9BTW9
P62330	Q15813
O60907	Q12824
O60907	Q96GM5
O60907	Q6STE5
O96019	Q9BZK7
Q9BY44	Q9BZK7
P55769	Q9BZK7
P30405	Q9BZK7
Q12824	Q9BZK7
Q92922	Q9BZK7
Q8TAQ2	Q9BZK7
Q96GM5	Q9BZK7
Q92925	Q9BZK7
Q6STE5	Q9BZK7
Q12788	Q9NV06
Q12788	Q9NVP1
Q12788	Q9GZR7
Q12788	Q9NY93
O60832	Q12788
P22087	Q12788
Q12788	Q8IY81
Q12788	Q9BZE4
Q12788	Q15397
Q12788	Q13601
Q12788	Q9BYG3
Q12788	Q8WTT2
O00567	Q12788
Q12788	Q9Y2X3
Q12788	Q9H9Y6
Q12788	Q15269
O43818	Q12788
Q12788	Q8TED0
Q12788	Q9UNX4
Q12788	Q8NI36
P23193	Q8N6T3
P23193	Q02241
P23193	Q86W50
P23193	Q6XQN6
P23193	Q7Z2T5
Q15369	Q9NQW7
Q15370	Q9BQL6
O94979	Q15370
O14776	Q9NRY4
O14776	Q5VWI1
O60884	P17987
P17987	P78347
Q92805	Q9NUW8
B5MCY1	P21333
B5MCY1	P05388
O43143	Q9H7E2
Q7KZF4	Q9H7E2
O95985	Q9H7E2
P28347	Q01167
P42680	Q96AT9
P05023	Q9NZ01
Q9H0U3	Q9NZ01
P28331	Q9NZ01
Q9NZ01	Q9Y277
O00429	Q9UGI8
P04792	Q9UGI8
Q9BY32	Q9UGI8
P61019	Q9UGI8
P30740	Q9UGI8
P27694	Q00059
P05549	P57772
Q01664	Q12830
P39748	Q92734
P08621	Q9UBB9
Q96FV9	Q9BVC3
Q5UIP0	Q86W42
P14735	P52888
Q9NYF8	Q9Y2W1
Q99933	Q9NXG2
Q92499	Q9NXG2
O95747	Q9NXG2
P31483	Q96EP5
O95786	P31483
O43464	P31483
O00625	P31483
Q01085	Q14019
Q01085	Q96EP5
P33316	Q01085
O00625	Q01085
P61026	Q01085
Q01085	Q15404
P30626	Q01085
Q01085	Q04837
P14868	Q13009
P62072	Q9Y5L4
O60220	P62072
P26196	Q9Y5L4
P26599	Q9Y5L4
Q9Y5J7	Q9Y5L4
O43615	Q9HAV7
O43615	P38646
O60220	P32320
O60220	Q9Y5J7
P26196	Q9Y5J9
Q5VYK3	Q9Y5J9
Q9GZZ1	Q9Y5J9
P78330	Q9Y5J9
Q9Y5J7	Q9Y5J9
P10619	Q9Y5J7
O75663	Q6JQN1
O75663	Q86X83
O75663	Q9H0A8
O75663	Q9BR76
O75663	Q9ULV4
O75663	P55060
O75663	P38919
O75663	Q9Y2T3
O75663	Q9H4A6
O75663	P41252
O75663	Q9P2J5
O75663	P43246
O75663	P19174
O75663	Q5H9R7
O75663	P19623
O75663	P29144
O75663	Q9Y5K5
O75663	P06132
Q07157	Q9UBQ7
Q07157	Q13526
Q07157	Q13769
Q07157	Q9UNX4
O60739	Q9UDY2
P25205	Q9UDY2
Q96PZ0	Q9UDY2
Q00796	Q3LXA3
P29401	Q96IU4
P29401	P54819
P20073	P29401
P00966	P29401
P29401	Q9H0W9
O43852	P29401
P29401	P40121
P23528	P29401
P29401	Q14019
P29401	Q96EP5
P15311	P29401
P29401	Q9Y680
P29401	Q16658
P29401	Q04760
P29401	Q9HC38
P29401	Q99714
P29401	P38646
P04792	P29401
P28838	P29401
P26038	P29401
P22234	P29401
O00625	P29401
P29401	Q15185
P29401	P35241
P29401	P49247
P29401	Q15404
P29401	Q9NRM0
P00441	P29401
P29401	P35270
P29401	P30626
P29401	P37802
P29401	Q9UI15
P29401	Q9NQ88
P29401	Q9P0L0
O75083	P29401
O15498	P29401
P35241	Q9H0I9
P00441	Q9H0I9
P37802	Q9H0I9
O75369	Q6P9B6
Q04726	Q92793
Q04726	Q13451
Q04726	Q13547
Q86UE8	Q9Y6E0
Q92917	Q9Y490
Q6PGP7	Q9Y490
Q9BTA9	Q9Y490
Q9BTE7	Q9Y4G6
Q5TDH0	Q9Y4G6
O60610	Q9Y4G6
O14929	Q9Y4G6
Q96H20	Q9Y4G6
Q9UJA5	Q9Y4G6
Q96FX7	Q9Y4G6
O95801	Q9Y4G6
Q96S82	Q9Y4G6
O95470	Q92544
Q15363	Q92544
Q9UM00	Q9Y4W6
P05023	Q9UM00
Q86VP6	Q9UM00
Q00610	Q9UM00
O00148	Q9UM00
O00505	Q9UM00
P30153	Q9UM00
P62820	Q9UM00
Q00325	Q9UM00
Q9UM00	Q9UNL2
P22695	Q9UM00
P07099	P49755
P49257	P49755
P49755	Q12907
P49755	P54802
P05023	Q15363
Q13347	Q15363
Q12907	Q15363
P62820	Q15363
Q15363	Q9H0U4
P62854	Q15363
Q15363	Q9Y5M8
P49257	Q7Z7H5
P54802	Q7Z7H5
P49257	Q9BVK6
P54802	Q9BVK6
Q15005	Q8NBN3
P28289	Q96C19
P21281	Q9NZR1
P36543	Q9NZR1
Q08211	Q9NZR1
P47756	Q9NYL9
Q08211	Q9NYL9
P11021	Q9NYL9
P25786	Q9NYL9
O43242	Q9NYL9
P54725	Q9NYL9
P45974	Q9NYL9
P42166	Q14696
P42167	Q14696
P07099	Q9H3N1
Q8IX12	Q9C0C2
Q04637	Q9C0C2
Q9NPJ3	Q9UQP3
P19237	P35609
Q13895	Q92973
Q92973	Q9NY12
O14787	Q13895
O14787	O14980
P08572	Q9Y5L0
Q6XQN6	Q9HCJ0
P05198	Q96GM8
O60784	Q5TDH0
P24539	Q9NS69
Q9NS69	Q9NZJ7
